ClinicID,State,Name,Street.Address,City,Latitude,Longitude,Full_Address,County,FIPS,County_RUC,County_Population,County_Land
C1,Alabama,Metro Treatment of Alabama L.P.,151 Industrial Drive,Birmingham,33.450188,-86.850579,"151, Industrial Drive, Spaulding, Birmingham, Jefferson County, Alabama, 35211, United States of America",jefferson,1073,1,659460,1111.417
C2,Alabama,Tri County Treatment Center P.C.,5605 Clifford Circle,Birmingham,33.58206789,-86.6328892,"5605, Clifford Circle, Birmingham, Jefferson County, Alabama, 35210, United States of America",jefferson,1073,1,659460,1111.417
C3,Alabama,Chilton County Treatment Center,2100 Holiday Inn Drive,Clanton,32.812285,-86.579141,"2100, Holiday Inn Drive, Falakto, Clanton, Chilton County, Alabama, 35046, United States of America",chilton,1021,1,43805,692.85
C4,Alabama,Cullman County Treatment Center,1912 Commerce Ave. NW,Cullman,34.20508,-86.87515,,cullman,1043,4,81703,734.742
C5,Alabama,BHG Gadsden Treatment Center,1121 Gardner Street ,Gadsden,34.02090813,-86.0174855,"1121, Gardner Street, Scenic Heights, Gadsden, Etowah County, Alabama, 35901, United States of America",etowah,1055,3,103132,535.089
C6,Alabama,"Gulf Coast Treatment Center, Inc.",12271 Interchange Rdoad,Grand Bay,30.5,-88.333,,mobile,1097,2,414328,1229.408
C7,Alabama,Marion County Treatment Center,1879 Military Street South,Hamilton,34.11818082,-87.98941598,"1879, Military Street South, Fulton Bridge, Hamilton, Marion County, Alabama, 35570, United States of America",marion,1093,7,30058,742.343
C8,Alabama,Huntsville Metro Treatment Center P.C.,2227 Drake Ave.,Huntsville,34.69899,-86.602799,,madison,1089,2,353213,801.591
C9,Alabama,"Huntsville Recovery, Inc.",4040 Independence Drive,Huntsville,34.87464,-86.595824,"Independence Drive, Colonial Gardens, Madison County, Alabama, 35759, United States of America",madison,1089,2,353213,801.591
C10,Alabama,Walker Recovery Center,2195 North Airport Rd.,Jasper,33.87343891,-87.26771308,"2195, North Airport Road, Hillsdale, Jasper, Walker County, Alabama, 35504, United States of America",walker,1127,1,64927,791.003
C11,Alabama,AltaPointe Medication Assisted Treatment Program,4211 Government Blvd.,Mobile,30.62764152,-88.14996998,"4211, Government Boulevard, Belle Chene, Mobile, Mobile County, Alabama, 36693, United States of America",mobile,1097,2,414328,1229.408
