"PharmID","Name","Address","City","State","Zip","Latitude","Longitude","Cluster","Cluster_centroid_Latitude","Cluster_centroid_Longitude","distance_to_clust","County","FIPS","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC"
"P0660","CVS Pharmacy #07112","700 MAIN ST","MONTEVALLO","AL",35115,33.100176,-86.862403,"AL1",33.09745367,-86.863518,320.3910244,"shelby",1117,208721,785.385,1
"P0767","WALGREENS #10966","201 HIGHWAY 31 NW","HARTSELLE","AL",356404444,34.443009,-86.94329,"AL10",34.44596243,-86.94329457,328.7744325,"morgan",1103,119157,579.598,3
"P0157","The Drug Store","108 LAFAYETTE ST","LIVINGSTON","AL",35470,32.583708,-88.187139,"AL100",32.583708,-88.187139,0,"sumter",1119,13084,903.826,8
"P0158","ALACO DISCOUNT PHARMACY","702 US Highway 278 Byp E","PIEDMONT","AL",36272,33.933658,-85.624079,"AL101",33.933145,-85.617771,585.4010847,"calhoun",1015,115527,605.869,3
"P0159","HARLAND DISCOUNT DRUGS","16061 HWY 69 SOUTH","MOUNDVILLE","AL",35474,33.012084,-87.605803,"AL102",33.0068035,-87.6127365,874.3347975,"tuscaloosa",1125,204424,1320.861,3
"P0861","Haley's Pharmacy","1625 21st St","Haleyville","AL",355652039,34.228614,-87.613945,"AL103",34.22764233,-87.613092,133.6545122,"winston",1133,23968,612.982,6
"P0314","KLEIN DRUG SHOPPE","87490 US HWY 278","ALTOONA","AL",35952,34.116835,-86.390985,"AL104",34.13361467,-86.37208533,2553.892533,"blount",1009,57667,644.831,1
"P0167","H&M DRUGS","146 VILLAGE LN","WEDOWEE","AL",36278,33.314593,-85.484116,"AL105",33.313402,-85.4838415,135.0182822,"randolph",1111,22530,580.549,6
"P0169","ANDERSON PHARMACY","7101 ETOWAH ST","ALTOONA","AL",35952,34.026113,-86.325627,"AL106",34.026113,-86.325627,0,"etowah",1055,103132,535.089,3
"P0171","B AND F DRUGS INC","16900 JORDAN ST","CHATOM","AL",36518,31.46605,-88.25391,"AL107",31.46605,-88.25391,0,"washington",1129,16746,1080.205,8
"P0973","Inverness Apothecary - Trinity","24333 AL-24 Suite B","Trinity","AL",35673,34.548504,-87.135532,"AL108",34.55570075,-87.13025625,935.836587,"lawrence",1079,33288,690.685,3
"P0178","Hayes Drug","24724 US HWY 31","JEMISON","AL",35085,32.959557,-86.743539,"AL109",32.938147,-86.729928,2701.292299,"chilton",1021,43805,692.85,1
"P0065","BENDALLS PHARMACY INC","1316-A Stratford Rd SE","DECATUR","AL",35601,34.573954,-86.972672,"AL11",34.57317588,-86.98421725,1061.779972,"morgan",1103,119157,579.598,3
"P0179","MOUNT VERNON PHARMACY","19390 US-43 19390 Hwy 43","MOUNT VERNON","AL",36560,31.095798,-88.012787,"AL110",31.095798,-88.012787,0,"mobile",1097,414328,1229.408,2
