"ID","Origin","Destination","Drive_Time"
"C1_AL1","C1","AL1",2074.3374514762
"C2_AL1","C2","AL1",2874.82541773284
"C3_AL1","C3","AL1",2211.28814289441
"C4_AL1","C4","AL1",5815.55555677269
"C5_AL1","C5","AL1",6029.90946959174
"C10_AL1","C10","AL1",4447.12061835921
"C14_AL1","C14","AL1",4838.14877927607
"C16_AL1","C16","AL1",5281.33083630061
"C17_AL1","C17","AL1",1050.63166663402
"C1_AL10","C1","AL10",5227.34546969441
"C2_AL10","C2","AL10",4765.38986823525
"C4_AL10","C4","AL10",1732.33248521523
"C5_AL10","C5","AL10",4680.87972647178
"C7_AL10","C7","AL10",5086.18388084386
"C8_AL10","C8","AL10",2312.46806645935
"C9_AL10","C9","AL10",2968.26962601819
"C10_AL10","C10","AL10",3519.58667444207
"C16_AL10","C16","AL10",6406.38564392628
"C17_AL10","C17","AL10",6398.5725732015
"C18_AL10","C18","AL10",3780.81474547551
"C19_AL10","C19","AL10",5534.6447086196
"C17_AL100","C17","AL100",7069.26995840972
"C1_AL101","C1","AL101",5861.2067778847
"C2_AL101","C2","AL101",4816.98785683404
"C3_AL101","C3","AL101",7067.04913197169
"C4_AL101","C4","AL101",5661.72518339386
"C5_AL101","C5","AL101",2133.48799187945
"C8_AL101","C8","AL101",5797.53082428074
"C9_AL101","C9","AL101",6382.11763802607
"C10_AL101","C10","AL101",7016.81540637741
"C16_AL101","C16","AL101",2255.0604342628
"C17_AL101","C17","AL101",6262.49257063771
"C19_AL101","C19","AL101",5178.08519677939
"C1_AL102","C1","AL102",4148.69544414495
"C2_AL102","C2","AL102",5214.31052709899
"C3_AL102","C3","AL102",4735.6335688755
"C4_AL102","C4","AL102",6937.64836764159
"C7_AL102","C7","AL102",6173.32010476864
"C10_AL102","C10","AL102",4838.43739510715
"C14_AL102","C14","AL102",6904.16060355763
"C17_AL102","C17","AL102",3915.37682010321
"C1_AL103","C1","AL103",5394.40046174456
"C2_AL103","C2","AL103",5564.17713150911
"C4_AL103","C4","AL103",3568.63166327514
"C5_AL103","C5","AL103",7013.2222143866
"C7_AL103","C7","AL103",2278.8486474442
"C8_AL103","C8","AL103",5184.75153039771
"C9_AL103","C9","AL103",5666.11357612431
"C10_AL103","C10","AL103",2835.45394684249
"C17_AL103","C17","AL103",6476.67110991812
"C18_AL103","C18","AL103",3231.37842002636
"C1_AL104","C1","AL104",4061.14779961152
"C2_AL104","C2","AL104",3124.8448505127
"C3_AL104","C3","AL104",6694.78075810306
"C4_AL104","C4","AL104",2527.50893664922
"C5_AL104","C5","AL104",2068.02646281068
"C7_AL104","C7","AL104",6995.65491602022
"C8_AL104","C8","AL104",3353.79235632939
"C9_AL104","C9","AL104",4154.65676090519
"C10_AL104","C10","AL104",4093.96627228669
"C16_AL104","C16","AL104",3771.7613470651
"C17_AL104","C17","AL104",5009.05645515024
"C18_AL104","C18","AL104",6444.24418742106
"C19_AL104","C19","AL104",4917.99531619709
"C1_AL105","C1","AL105",6083.64750348526
"C2_AL105","C2","AL105",5352.40685303362
"C3_AL105","C3","AL105",5638.34178815009
"C5_AL105","C5","AL105",4620.73582257179
"C14_AL105","C14","AL105",5988.34051726392
"C16_AL105","C16","AL105",2647.24313018409
"C17_AL105","C17","AL105",5852.87117256719
"C1_AL106","C1","AL106",3929.70351411941
"C2_AL106","C2","AL106",2929.79160207331
"C3_AL106","C3","AL106",6383.02958792327
"C4_AL106","C4","AL106",2894.53369088794
"C5_AL106","C5","AL106",1742.66869151913
"C8_AL106","C8","AL106",3885.39401105609
"C9_AL106","C9","AL106",4676.82997774114
"C10_AL106","C10","AL106",4312.13756028031
"C16_AL106","C16","AL106",3282.55088163171
"C17_AL106","C17","AL106",4796.723235912
"C18_AL106","C18","AL106",6886.15913602206
"C19_AL106","C19","AL106",5159.29609797107
"C6_AL107","C6","AL107",5332.0150947151
"C11_AL107","C11","AL107",4736.68919551069
"C12_AL107","C12","AL107",4762.4103948479
"C13_AL107","C13","AL107",4528.30869858151
"C1_AL108","C1","AL108",5833.76905992773
"C2_AL108","C2","AL108",5495.88130220085
"C4_AL108","C4","AL108",2503.22920562374
"C5_AL108","C5","AL108",5583.35902954381
"C7_AL108","C7","AL108",4636.47270512875
"C8_AL108","C8","AL108",2710.83897571782
"C9_AL108","C9","AL108",3124.82471186924
"C10_AL108","C10","AL108",3787.18187076416
"C17_AL108","C17","AL108",7014.1881502755
"C18_AL108","C18","AL108",2891.19232724148
"C19_AL108","C19","AL108",6071.95968747376
"C1_AL109","C1","AL109",2780.29105735645
"C2_AL109","C2","AL109",3400.82954788569
"C3_AL109","C3","AL109",1413.22494701305
"C4_AL109","C4","AL109",6518.95611406185
"C5_AL109","C5","AL109",6334.51096191784
"C10_AL109","C10","AL109",5266.49741209987
"C14_AL109","C14","AL109",4019.84052724954
"C16_AL109","C16","AL109",5298.80058154797
"C17_AL109","C17","AL109",1655.04986053565
"C1_AL11","C1","AL11",5856.95580200393
"C2_AL11","C2","AL11",5394.78521318842
"C4_AL11","C4","AL11",2364.5032261037
"C5_AL11","C5","AL11",5106.15332890551
"C7_AL11","C7","AL11",5237.2430765366
"C8_AL11","C8","AL11",2071.8700431859
"C9_AL11","C9","AL11",2559.66860936449
"C10_AL11","C10","AL11",4052.24511212052
"C16_AL11","C16","AL11",6917.83505442085
"C17_AL11","C17","AL11",7029.54630088735
"C18_AL11","C18","AL11",3426.20660798344
"C19_AL11","C19","AL11",5414.7539898854
"C6_AL110","C6","AL110",3592.26373195612
"C11_AL110","C11","AL110",2768.02007566966
"C12_AL110","C12","AL110",2712.06154177085
"C13_AL110","C13","AL110",2557.0565038121
"C1_AL111","C1","AL111",6219.10382619042
"C2_AL111","C2","AL111",6831.9276622361
"C4_AL111","C4","AL111",5910.69267285812
"C7_AL111","C7","AL111",1931.80121036008
"C10_AL111","C10","AL111",4171.48443878091
"C17_AL111","C17","AL111",6990.35246727335
"C18_AL111","C18","AL111",5234.19514196993
"C1_AL112","C1","AL112",3528.80887716824
"C2_AL112","C2","AL112",2774.24700584034
"C3_AL112","C3","AL112",4108.45181145106
"C4_AL112","C4","AL112",5353.78105241942
"C5_AL112","C5","AL112",3369.52640372257
"C8_AL112","C8","AL112",6875.29895618433
"C10_AL112","C10","AL112",5655.42766549991
"C14_AL112","C14","AL112",5655.28077575169
"C16_AL112","C16","AL112",1916.63996726531
"C17_AL112","C17","AL112",3506.65394483428
"C1_AL114","C1","AL114",1683.51611507734
"C2_AL114","C2","AL114",724.919606548533
"C3_AL114","C3","AL114",4388.20606531735
"C4_AL114","C4","AL114",3350.31491537271
"C5_AL114","C5","AL114",3505.66088058483
"C7_AL114","C7","AL114",6460.5880546004
"C8_AL114","C8","AL114",5447.44668172456
"C9_AL114","C9","AL114",6282.40208718038
"C10_AL114","C10","AL114",3132.78054958912
"C14_AL114","C14","AL114",6771.72285685394
"C16_AL114","C16","AL114",3665.41418097984
"C17_AL114","C17","AL114",2565.90840807575
"C1_AL115","C1","AL115",5874.74821041401
"C2_AL115","C2","AL115",6887.6345720016
"C3_AL115","C3","AL115",6971.59645973588
"C7_AL115","C7","AL115",5462.91511910401
"C10_AL115","C10","AL115",5513.07618367377
"C17_AL115","C17","AL115",5949.85837925379
"C1_AL116","C1","AL116",3253.27791961816
"C2_AL116","C2","AL116",3011.55488238107
"C3_AL116","C3","AL116",2697.89975593808
"C4_AL116","C4","AL116",6082.65366326044
"C5_AL116","C5","AL116",4737.47408229185
"C10_AL116","C10","AL116",5803.04234966148
"C14_AL116","C14","AL116",4366.22295464467
"C16_AL116","C16","AL116",3281.80245876231
"C17_AL116","C17","AL116",2688.45424098183
"C1_AL117","C1","AL117",6268.10526292329
"C2_AL117","C2","AL117",5525.89049902339
"C4_AL117","C4","AL117",3023.9337659519
"C5_AL117","C5","AL117",4126.09771199292
"C7_AL117","C7","AL117",6886.04353606511
"C8_AL117","C8","AL117",808.340609989279
"C9_AL117","C9","AL117",1567.47442817455
"C10_AL117","C10","AL117",5116.57390831693
"C16_AL117","C16","AL117",6147.7062215415
"C18_AL117","C18","AL117",4975.88180221904
"C19_AL117","C19","AL117",3690.56391636176
"C1_AL118","C1","AL118",5127.63737897538
"C2_AL118","C2","AL118",6167.87258365091
"C3_AL118","C3","AL118",4631.81004697653
"C10_AL118","C10","AL118",6258.38584582325
"C14_AL118","C14","AL118",6308.46492964962
"C17_AL118","C17","AL118",4556.56546352939
"C3_AL119","C3","AL119",4660.32507619823
"C14_AL119","C14","AL119",2712.70080777354
"C15_AL119","C15","AL119",6319.62207104627
"C16_AL119","C16","AL119",6346.09267554905
"C17_AL119","C17","AL119",6406.81705062724
"C6_AL12","C6","AL12",6585.6368874441
"C11_AL12","C11","AL12",5635.66172462448
"C12_AL12","C12","AL12",5413.2058552254
"C13_AL12","C13","AL12",5518.26406272859
"C15_AL12","C15","AL12",6900.91199603522
"C6_AL120","C6","AL120",4568.18876558583
"C11_AL120","C11","AL120",3797.82819393828
"C12_AL120","C12","AL120",3760.39776322369
"C13_AL120","C13","AL120",3584.83804381273
"C1_AL121","C1","AL121",3157.84117521549
"C2_AL121","C2","AL121",2335.22150899522
"C3_AL121","C3","AL121",6025.54438919352
"C4_AL121","C4","AL121",2118.29327875893
"C5_AL121","C5","AL121",2780.2376504021
"C7_AL121","C7","AL121",6263.1921679831
"C8_AL121","C8","AL121",3857.03376476114
"C9_AL121","C9","AL121",4691.15954436982
"C10_AL121","C10","AL121",3185.95864238609
"C16_AL121","C16","AL121",3985.58118311646
"C17_AL121","C17","AL121",4191.37534083147
"C18_AL121","C18","AL121",6194.39732708927
"C19_AL121","C19","AL121",5868.36320280423
"C11_AL122","C11","AL122",6904.54852283155
"C12_AL122","C12","AL122",6705.79744788718
"C13_AL122","C13","AL122",6756.7847580222
"C14_AL122","C14","AL122",6038.06371715752
"C15_AL122","C15","AL122",6500.11781184226
"C1_AL123","C1","AL123",4698.77483023035
"C2_AL123","C2","AL123",4091.62657732637
"C4_AL123","C4","AL123",1323.61654088154
"C5_AL123","C5","AL123",3796.69460931133
"C7_AL123","C7","AL123",5635.57038147648
"C8_AL123","C8","AL123",2359.38362240342
"C9_AL123","C9","AL123",3167.47580234827
"C10_AL123","C10","AL123",3483.18395752747
"C16_AL123","C16","AL123",5516.75146926947
"C17_AL123","C17","AL123",5837.81889500371
"C18_AL123","C18","AL123",4668.49556513559
"C19_AL123","C19","AL123",5174.36689472669
"C4_AL124","C4","AL124",4312.45412406062
"C5_AL124","C5","AL124",6167.63365023768
"C7_AL124","C7","AL124",6803.80308862359
"C8_AL124","C8","AL124",2149.0645660672
"C9_AL124","C9","AL124",1588.29809317389
"C10_AL124","C10","AL124",6051.77873522725
"C18_AL124","C18","AL124",3940.42523136914
"C19_AL124","C19","AL124",4736.62080992971
"C4_AL125","C4","AL125",5806.5447131353
"C7_AL125","C7","AL125",2438.6592377254
"C8_AL125","C8","AL125",6798.02422453277
"C9_AL125","C9","AL125",7026.80207744681
"C10_AL125","C10","AL125",5105.50487132969
"C18_AL125","C18","AL125",3030.08996612748
"C14_AL126","C14","AL126",5943.09952651386
"C15_AL126","C15","AL126",2459.30989880986
"C1_AL128","C1","AL128",4441.86118676009
"C2_AL128","C2","AL128",4294.96193929449
"C4_AL128","C4","AL128",1880.20391463767
"C5_AL128","C5","AL128",5330.41435209203
"C7_AL128","C7","AL128",3902.43893668963
"C8_AL128","C8","AL128",3911.53589890918
"C9_AL128","C9","AL128",4568.48518412412
"C10_AL128","C10","AL128",2271.49279985831
"C16_AL128","C16","AL128",6674.34050161485
"C17_AL128","C17","AL128",5614.45661713059
"C18_AL128","C18","AL128",3957.94146944892
"C19_AL128","C19","AL128",6918.18986488607
"C1_AL129","C1","AL129",5697.58187374902
"C2_AL129","C2","AL129",5483.85703400432
"C4_AL129","C4","AL129",2642.32017027237
"C5_AL129","C5","AL129",5943.32067208626
"C7_AL129","C7","AL129",4014.40459276338
"C8_AL129","C8","AL129",3327.90986504486
"C9_AL129","C9","AL129",3742.59304160184
"C10_AL129","C10","AL129",3451.43191239983
"C17_AL129","C17","AL129",6872.51986532543
"C18_AL129","C18","AL129",2591.3885125193
"C19_AL129","C19","AL129",6684.4377937688
"C14_AL13","C14","AL13",6803.96246720927
"C15_AL13","C15","AL13",1042.09184756733
"C14_AL130","C14","AL130",5790.13563500413
"C15_AL130","C15","AL130",3568.93462787903
"C3_AL131","C3","AL131",6979.69649135179
"C11_AL131","C11","AL131",7089.80652529574
"C12_AL131","C12","AL131",7021.60423973572
"C13_AL131","C13","AL131",6879.22058414195
"C1_AL133","C1","AL133",1422.89998559516
"C2_AL133","C2","AL133",2198.65719897281
"C3_AL133","C3","AL133",2676.54832847703
"C4_AL133","C4","AL133",5161.76958291828
"C5_AL133","C5","AL133",5404.64735835135
"C7_AL133","C7","AL133",6931.31316105923
"C10_AL133","C10","AL133",3939.03069569922
"C14_AL133","C14","AL133",5286.24256338106
"C16_AL133","C16","AL133",4814.55086123194
"C17_AL133","C17","AL133",608.766420196469
"C6_AL135","C6","AL135",2565.17595537765
"C11_AL135","C11","AL135",1683.74117338017
"C12_AL135","C12","AL135",1434.83447930705
"C13_AL135","C13","AL135",1655.41223754535
"C14_AL136","C14","AL136",7130.26471460126
"C15_AL136","C15","AL136",1430.05086845114
"C6_AL137","C6","AL137",1952.42518956637
"C11_AL137","C11","AL137",1646.78114770307
"C12_AL137","C12","AL137",1821.39423032262
"C13_AL137","C13","AL137",1515.99073213987
"C1_AL138","C1","AL138",6661.25297849976
"C2_AL138","C2","AL138",6036.00607176061
"C4_AL138","C4","AL138",3210.00782678063
"C5_AL138","C5","AL138",4999.91464155563
"C7_AL138","C7","AL138",6427.52898523134
"C8_AL138","C8","AL138",1065.56124648942
"C9_AL138","C9","AL138",1273.48259162474
"C10_AL138","C10","AL138",5130.46800729417
"C16_AL138","C16","AL138",6987.91689793548
"C18_AL138","C18","AL138",4160.25172498954
"C19_AL138","C19","AL138",4314.76857978966
"C1_AL140","C1","AL140",2311.15070692344
"C2_AL140","C2","AL140",3350.23789933616
"C3_AL140","C3","AL140",3174.72318835993
"C4_AL140","C4","AL140",5776.68915464964
"C5_AL140","C5","AL140",6663.198579704
"C7_AL140","C7","AL140",6461.75512072647
"C10_AL140","C10","AL140",3999.70327215804
"C14_AL140","C14","AL140",5705.38598307379
"C16_AL140","C16","AL140",6206.29792526326
"C17_AL140","C17","AL140",1901.93973457015
"C1_AL141","C1","AL141",6688.85223703965
"C2_AL141","C2","AL141",6744.62230044758
"C4_AL141","C4","AL141",4262.12206690137
"C7_AL141","C7","AL141",2836.21500965836
"C8_AL141","C8","AL141",5092.98760166902
"C9_AL141","C9","AL141",5358.14817072485
"C10_AL141","C10","AL141",4148.56605712084
