"ID","Origin","Destination","Drive_Time"
"AL10_AL1","AL10","AL1",6910.99378001902
"AL100_AL1","AL100","AL1",6566.27141023758
"AL101_AL1","AL101","AL1",6827.05409165779
"AL102_AL1","AL102","AL1",3512.76178444166
"AL103_AL1","AL103","AL1",6781.12806143652
"AL104_AL1","AL104","AL1",5615.48221911706
"AL105_AL1","AL105","AL1",6224.12815349908
"AL106_AL1","AL106","AL1",5408.64230039212
"AL109_AL1","AL109","AL1",1256.42256256224
"AL111_AL1","AL111","AL1",7051.6667375448
"AL112_AL1","AL112","AL1",4000.28489533257
"AL114_AL1","AL114","AL1",3167.52536580817
"AL115_AL1","AL115","AL1",5642.8257640424
"AL116_AL1","AL116","AL1",2996.06932071134
"AL118_AL1","AL118","AL1",4006.23691168535
"AL119_AL1","AL119","AL1",6317.22665913227
"AL121_AL1","AL121","AL1",4781.85811398061
"AL123_AL1","AL123","AL1",6387.30130941013
"AL128_AL1","AL128","AL1",6049.29662936756
"AL133_AL1","AL133","AL1",1120.01572478134
"AL140_AL1","AL140","AL1",1568.64472936317
"AL143_AL1","AL143","AL1",1757.90924474551
"AL144_AL1","AL144","AL1",6680.49839771102
"AL148_AL1","AL148","AL1",5165.67504657537
"AL15_AL1","AL15","AL1",3223.46999073406
"AL150_AL1","AL150","AL1",5566.7265276106
"AL151_AL1","AL151","AL1",4750.29325948409
"AL152_AL1","AL152","AL1",3582.64154112849
"AL155_AL1","AL155","AL1",6815.91036516933
"AL158_AL1","AL158","AL1",1946.92061317235
"AL160_AL1","AL160","AL1",6132.17413338127
"AL165_AL1","AL165","AL1",5390.14779378047
"AL166_AL1","AL166","AL1",4772.50590699334
"AL167_AL1","AL167","AL1",4462.47502981637
"AL168_AL1","AL168","AL1",6265.20939808509
"AL17_AL1","AL17","AL1",1774.26969357154
"AL170_AL1","AL170","AL1",2683.64440541767
"AL175_AL1","AL175","AL1",4369.45536529868
"AL176_AL1","AL176","AL1",1959.6251146991
"AL177_AL1","AL177","AL1",3616.18191135854
"AL178_AL1","AL178","AL1",4376.18480864967
"AL179_AL1","AL179","AL1",3262.68341949215
"AL184_AL1","AL184","AL1",3718.12973722656
"AL189_AL1","AL189","AL1",4170.42317441256
"AL191_AL1","AL191","AL1",4071.47574894534
"AL192_AL1","AL192","AL1",2403.42349835088
"AL193_AL1","AL193","AL1",1639.29841932782
"AL194_AL1","AL194","AL1",3441.62271973465
"AL197_AL1","AL197","AL1",5222.83732141089
"AL199_AL1","AL199","AL1",4726.91708531915
"AL204_AL1","AL204","AL1",2473.60580533298
"AL206_AL1","AL206","AL1",5488.60870674818
"AL211_AL1","AL211","AL1",2078.86686731517
"AL212_AL1","AL212","AL1",6527.64664704774
"AL213_AL1","AL213","AL1",5766.62340742279
"AL214_AL1","AL214","AL1",3770.70868553611
"AL215_AL1","AL215","AL1",4606.84747373031
"AL218_AL1","AL218","AL1",7019.11916744886
"AL219_AL1","AL219","AL1",4736.31638899319
"AL22_AL1","AL22","AL1",3852.38205178405
"AL220_AL1","AL220","AL1",3767.03992436981
"AL221_AL1","AL221","AL1",6052.8318344437
"AL223_AL1","AL223","AL1",1757.79537273601
"AL225_AL1","AL225","AL1",5071.4643984394
"AL229_AL1","AL229","AL1",5120.71661358539
"AL239_AL1","AL239","AL1",4020.62403597578
"AL240_AL1","AL240","AL1",5001.89810678658
"AL242_AL1","AL242","AL1",5290.88219405499
"AL245_AL1","AL245","AL1",6638.47908370121
"AL25_AL1","AL25","AL1",2142.22738167865
"AL27_AL1","AL27","AL1",1679.28642581448
"AL28_AL1","AL28","AL1",3570.36556122668
"AL29_AL1","AL29","AL1",2653.90660952807
"AL30_AL1","AL30","AL1",6724.13227600693
"AL31_AL1","AL31","AL1",4340.0991102219
"AL35_AL1","AL35","AL1",4999.75139420934
"AL38_AL1","AL38","AL1",3036.95696260832
"AL39_AL1","AL39","AL1",5220.21954081227
"AL42_AL1","AL42","AL1",5029.36004104817
"AL45_AL1","AL45","AL1",2737.12640028238
"AL49_AL1","AL49","AL1",1492.76827335132
"AL6_AL1","AL6","AL1",6443.61383901528
"AL61_AL1","AL61","AL1",6878.03555195322
"AL62_AL1","AL62","AL1",5137.14207254697
"AL63_AL1","AL63","AL1",4979.58546459652
"AL66_AL1","AL66","AL1",6017.7925158174
"AL69_AL1","AL69","AL1",3018.61208238699
"AL7_AL1","AL7","AL1",6587.45948569729
"AL70_AL1","AL70","AL1",5999.65841243878
"AL71_AL1","AL71","AL1",6622.38456422538
"AL72_AL1","AL72","AL1",5303.81244248419
"AL74_AL1","AL74","AL1",3608.82080625749
"AL75_AL1","AL75","AL1",4754.7579480747
"AL76_AL1","AL76","AL1",6602.16123254973
"AL8_AL1","AL8","AL1",6593.37837506097
"AL83_AL1","AL83","AL1",4085.0433217322
"AL85_AL1","AL85","AL1",7104.3313477849
"AL87_AL1","AL87","AL1",3770.66305083627
"AL88_AL1","AL88","AL1",5888.24684876375
"AL89_AL1","AL89","AL1",7169.47838057828
"AL91_AL1","AL91","AL1",5938.40298210928
"AL93_AL1","AL93","AL1",4272.56927874852
"AL95_AL1","AL95","AL1",3710.29547134127
"AL99_AL1","AL99","AL1",2092.4449614742
"AL1_AL10","AL1","AL10",6910.99378001902
"AL101_AL10","AL101","AL10",6249.50801071473
"AL103_AL10","AL103","AL10",3477.60443719069
"AL104_AL10","AL104","AL10",3193.08852242706
"AL106_AL10","AL106","AL10",3659.9660579925
"AL108_AL10","AL108","AL10",1432.34124523073
"AL11_AL10","AL11","AL10",1160.65687376078
"AL111_AL10","AL111","AL10",6082.93302913551
"AL112_AL10","AL112","AL10",6405.05974833333
"AL114_AL10","AL114","AL10",4463.8403162747
"AL117_AL10","AL117","AL10",2353.98943279945
"AL121_AL10","AL121","AL10",3113.00618950487
"AL123_AL10","AL123","AL10",1422.32105780493
"AL124_AL10","AL124","AL10",3161.5796852844
"AL125_AL10","AL125","AL10",5384.45715633194
"AL128_AL10","AL128","AL10",2134.15412702476
"AL129_AL10","AL129","AL10",1847.02083546361
"AL133_AL10","AL133","AL10",6265.24232886198
"AL138_AL10","AL138","AL10",2182.86603979562
"AL140_AL10","AL140","AL10",6797.16241354718
"AL141_AL10","AL141","AL10",3703.09280725364
"AL143_AL10","AL143","AL10",6429.45536829417
"AL147_AL10","AL147","AL10",5320.2646821378
"AL149_AL10","AL149","AL10",4453.16259705957
"AL15_AL10","AL15","AL10",6843.29308393569
"AL152_AL10","AL152","AL10",3872.9291037144
"AL153_AL10","AL153","AL10",4516.24253359172
"AL155_AL10","AL155","AL10",2653.23382684141
"AL16_AL10","AL16","AL10",5795.71259207272
"AL160_AL10","AL160","AL10",2942.08815157019
"AL161_AL10","AL161","AL10",2654.37594048347
"AL163_AL10","AL163","AL10",958.795138259715
"AL165_AL10","AL165","AL10",5677.21019730898
"AL166_AL10","AL166","AL10",7077.95241454097
"AL170_AL10","AL170","AL10",5967.11499373382
"AL175_AL10","AL175","AL10",5706.68872355983
"AL176_AL10","AL176","AL10",5880.38397697939
"AL177_AL10","AL177","AL10",6519.50714505255
"AL178_AL10","AL178","AL10",3384.02977430406
"AL18_AL10","AL18","AL10",5368.50135396701
"AL181_AL10","AL181","AL10",2632.03176540547
"AL183_AL10","AL183","AL10",3549.20424192151
"AL184_AL10","AL184","AL10",4742.46216299934
"AL189_AL10","AL189","AL10",3280.30443850477
"AL192_AL10","AL192","AL10",5090.98898360909
"AL193_AL10","AL193","AL10",5763.61760466533
"AL195_AL10","AL195","AL10",2826.03059027681
"AL196_AL10","AL196","AL10",2162.95851332572
"AL198_AL10","AL198","AL10",3132.07803855933
"AL199_AL10","AL199","AL10",4284.70226931836
"AL20_AL10","AL20","AL10",2575.82527431119
"AL201_AL10","AL201","AL10",6034.82000905322
"AL202_AL10","AL202","AL10",3017.30270505693
"AL204_AL10","AL204","AL10",6329.72797160678
"AL205_AL10","AL205","AL10",3772.01035518104
"AL210_AL10","AL210","AL10",3479.28925621863
"AL211_AL10","AL211","AL10",6537.73954157781
"AL213_AL10","AL213","AL10",2389.40954498265
"AL215_AL10","AL215","AL10",5099.57762651701
"AL216_AL10","AL216","AL10",4249.62149888398
"AL220_AL10","AL220","AL10",3534.71125784958
"AL221_AL10","AL221","AL10",1940.85963754401
"AL222_AL10","AL222","AL10",4975.03846316661
"AL223_AL10","AL223","AL10",6089.17473221052
"AL225_AL10","AL225","AL10",2465.48657444618
"AL229_AL10","AL229","AL10",5280.92892322926
"AL233_AL10","AL233","AL10",5088.80622269413
"AL235_AL10","AL235","AL10",2949.03873182175
"AL236_AL10","AL236","AL10",1943.196445071
"AL239_AL10","AL239","AL10",5896.06099777388
"AL241_AL10","AL241","AL10",1815.01668742345
"AL242_AL10","AL242","AL10",7111.48018290975
"AL243_AL10","AL243","AL10",3315.2381694515
"AL244_AL10","AL244","AL10",2320.10685249029
"AL246_AL10","AL246","AL10",1464.73343293314
"AL25_AL10","AL25","AL10",5201.11924032117
"AL27_AL10","AL27","AL10",5637.86142965179
"AL29_AL10","AL29","AL10",4778.08619876199
"AL30_AL10","AL30","AL10",3486.5813365696
"AL38_AL10","AL38","AL10",4292.94974143518
"AL39_AL10","AL39","AL10",2734.4064188604
"AL4_AL10","AL4","AL10",2191.19794222068
"AL42_AL10","AL42","AL10",4029.53339550212
"AL43_AL10","AL43","AL10",5705.35068173634
"AL44_AL10","AL44","AL10",4816.78636274511
