"GEOID","Cluster","State","County.Code","Tract_RUC","Tract_Population","Tract_Land","Tract_Lat","Tract_Long","Tract_methadone_unserved","Name","Address","Pharm_Lat","Pharm_Long","Cluster_centroid_Latitude","Cluster_centroid_Longitude","Shortest_distance","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC","Max_RUC","Max_PopD","Drive_Time"
1001020100,"AL151","Alabama",1001,2,55036,594.444,32.4819591,-86.4913377,0,"WINN DIXIE","4724 MOBILE HWY",32.310575,-86.351268,32.309513,-86.3507995,23180.1809653685,227120,785.341,2,2,289.199214099353,1467.71603199077
1001020100,"AL214","Alabama",1001,2,55036,594.444,32.4819591,-86.4913377,0,"Autauga Pharmacy","209 S Washington St",32.430098,-86.654286,32.430098,-86.654286,16358.5930459992,55036,594.444,2,2,92.583994455323,1192.67934453752
1001020200,"AL151","Alabama",1001,2,55036,594.444,32.475758,-86.4724678,0,"WINN DIXIE","4724 MOBILE HWY",32.310575,-86.351268,32.309513,-86.3507995,21631.2151020346,227120,785.341,2,2,289.199214099353,1401.60616894368
1001020200,"AL214","Alabama",1001,2,55036,594.444,32.475758,-86.4724678,0,"Autauga Pharmacy","209 S Washington St",32.430098,-86.654286,32.430098,-86.654286,17819.3919286367,55036,594.444,2,2,92.583994455323,1255.02624084849
1001020200,"AL28","Alabama",1001,2,55036,594.444,32.475758,-86.4724678,0,"Lake Pharmacy LLC","95 LIGHTWOOD ROAD MAIN ST SLAPOUT",32.636816,-86.319015,32.636816,-86.319015,22994.5261458422,80989,618.446,2,2,130.95565336343,1472.75717922448
1001020300,"AL151","Alabama",1001,2,55036,594.444,32.4740243,-86.4597033,0,"WINN DIXIE","4724 MOBILE HWY",32.310575,-86.351268,32.309513,-86.3507995,20855.5214804976,227120,785.341,2,2,289.199214099353,1368.49956517648
1001020300,"AL214","Alabama",1001,2,55036,594.444,32.4740243,-86.4597033,0,"Autauga Pharmacy","209 S Washington St",32.430098,-86.654286,32.430098,-86.654286,18921.0716083909,55036,594.444,2,2,92.583994455323,1302.0459295804
1001020300,"AL28","Alabama",1001,2,55036,594.444,32.4740243,-86.4597033,0,"Lake Pharmacy LLC","95 LIGHTWOOD ROAD MAIN ST SLAPOUT",32.636816,-86.319015,32.636816,-86.319015,22419.987955605,80989,618.446,2,2,130.95565336343,1448.23588926516
1001020300,"AL93","Alabama",1001,2,55036,594.444,32.4740243,-86.4597033,0,"Wetumpka Pharmacy, LLC","54 Village Loop",32.501535,-86.217315,32.5217917142857,-86.2080395714286,22965.0440139786,80989,618.446,2,2,130.95565336343,1471.49888183654
1001020400,"AL151","Alabama",1001,2,55036,594.444,32.4710304,-86.4448353,0,"WINN DIXIE","4724 MOBILE HWY",32.310575,-86.351268,32.309513,-86.3507995,19909.836216332,227120,785.341,2,2,289.199214099353,1328.13771810189
1001020400,"AL214","Alabama",1001,2,55036,594.444,32.4710304,-86.4448353,0,"Autauga Pharmacy","209 S Washington St",32.430098,-86.654286,32.430098,-86.654286,20196.0014952387,55036,594.444,2,2,92.583994455323,1356.45993715106
1001020400,"AL28","Alabama",1001,2,55036,594.444,32.4710304,-86.4448353,0,"Lake Pharmacy LLC","95 LIGHTWOOD ROAD MAIN ST SLAPOUT",32.636816,-86.319015,32.636816,-86.319015,21908.1432986375,80989,618.446,2,2,130.95565336343,1426.39035930578
1001020400,"AL93","Alabama",1001,2,55036,594.444,32.4710304,-86.4448353,0,"Wetumpka Pharmacy, LLC","54 Village Loop",32.501535,-86.217315,32.5217917142857,-86.2080395714286,21632.3901857339,80989,618.446,2,2,130.95565336343,1414.62121644706
1001020500,"AL151","Alabama",1001,2,55036,594.444,32.4589224,-86.4218265,0,"WINN DIXIE","4724 MOBILE HWY",32.310575,-86.351268,32.309513,-86.3507995,17796.2469861929,227120,785.341,2,2,289.199214099353,1237.92972975955
1001020500,"AL214","Alabama",1001,2,55036,594.444,32.4589224,-86.4218265,0,"Autauga Pharmacy","209 S Washington St",32.430098,-86.654286,32.430098,-86.654286,22072.5941650035,55036,594.444,2,2,92.583994455323,1436.55291229662
1001020500,"AL28","Alabama",1001,2,55036,594.444,32.4589224,-86.4218265,0,"Lake Pharmacy LLC","95 LIGHTWOOD ROAD MAIN ST SLAPOUT",32.636816,-86.319015,32.636816,-86.319015,22027.9854137351,80989,618.446,2,2,130.95565336343,1431.50522077815
1001020500,"AL93","Alabama",1001,2,55036,594.444,32.4589224,-86.4218265,0,"Wetumpka Pharmacy, LLC","54 Village Loop",32.501535,-86.217315,32.5217917142857,-86.2080395714286,19782.1254206762,80989,618.446,2,2,130.95565336343,1335.65191627439
1001020600,"AL151","Alabama",1001,2,55036,594.444,32.4473399,-86.4768278,0,"WINN DIXIE","4724 MOBILE HWY",32.310575,-86.351268,32.309513,-86.3507995,19264.6269602753,227120,785.341,2,2,289.199214099353,1300.60018705339
1001020600,"AL214","Alabama",1001,2,55036,594.444,32.4473399,-86.4768278,0,"Autauga Pharmacy","209 S Washington St",32.430098,-86.654286,32.430098,-86.654286,16782.2828624071,55036,594.444,2,2,92.583994455323,1210.76242590181
1001020700,"AL151","Alabama",1001,2,55036,594.444,32.4305953,-86.4396208,0,"WINN DIXIE","4724 MOBILE HWY",32.310575,-86.351268,32.309513,-86.3507995,15732.5061708533,227120,785.341,2,2,289.199214099353,1149.84927176086
1001020700,"AL214","Alabama",1001,2,55036,594.444,32.4305953,-86.4396208,0,"Autauga Pharmacy","209 S Washington St",32.430098,-86.654286,32.430098,-86.654286,20169.7033053166,55036,594.444,2,2,92.583994455323,1355.33753040519
1001020700,"AL93","Alabama",1001,2,55036,594.444,32.4305953,-86.4396208,0,"Wetumpka Pharmacy, LLC","54 Village Loop",32.501535,-86.217315,32.5217917142857,-86.2080395714286,22322.7480922003,80989,618.446,2,2,130.95565336343,1444.08569189504
1001020801,"AL151","Alabama",1001,2,55036,594.444,32.4180817,-86.5271377,0,"WINN DIXIE","4724 MOBILE HWY",32.310575,-86.351268,32.309513,-86.3507995,20412.7515421032,227120,785.341,2,2,289.199214099353,1349.6021442058
1001020801,"AL214","Alabama",1001,2,55036,594.444,32.4180817,-86.5271377,0,"Autauga Pharmacy","209 S Washington St",32.430098,-86.654286,32.430098,-86.654286,12022.1465701417,55036,594.444,2,2,92.583994455323,1007.59980894792
1001020802,"AL214","Alabama",1001,2,55036,594.444,32.5467483,-86.5315257,0,"Autauga Pharmacy","209 S Washington St",32.430098,-86.654286,32.430098,-86.654286,17363.5341115863,55036,594.444,2,2,92.583994455323,1235.57022921678
1001020802,"AL28","Alabama",1001,2,55036,594.444,32.5467483,-86.5315257,0,"Lake Pharmacy LLC","95 LIGHTWOOD ROAD MAIN ST SLAPOUT",32.636816,-86.319015,32.636816,-86.319015,22311.1140513794,80989,618.446,2,2,130.95565336343,1443.58915103281
1001020900,"AL28","Alabama",1001,2,55036,594.444,32.6385222,-86.5148731,0,"Lake Pharmacy LLC","95 LIGHTWOOD ROAD MAIN ST SLAPOUT",32.636816,-86.319015,32.636816,-86.319015,18361.0942468673,80989,618.446,2,2,130.95565336343,1275.00230577623
1001021000,"AL158","Alabama",1001,2,55036,594.444,32.6061376,-86.7489849,0,"MAPLESVILLE PHARMACY","9081 HWY 22 SOUTH",32.78263,-86.873564,32.78263,-86.873564,22852.0328350485,43805,692.85,1,2,92.583994455323,1469.81935473415
1001021000,"AL214","Alabama",1001,2,55036,594.444,32.6061376,-86.7489849,0,"Autauga Pharmacy","209 S Washington St",32.430098,-86.654286,32.430098,-86.654286,21518.4620880538,55036,594.444,2,2,92.583994455323,1412.90255525241
1001021100,"AL214","Alabama",1001,2,55036,594.444,32.4574129,-86.7290029,3.605982332,"Autauga Pharmacy","209 S Washington St",32.430098,-86.654286,32.430098,-86.654286,7649.54706392003,55036,594.444,2,2,92.583994455323,820.977262022382
1003010100,"AL110","Alabama",1003,3,203360,1589.825,31.1104762,-87.7868713,4.232738756,"MOUNT VERNON PHARMACY","19390 US-43 19390 Hwy 43",31.095798,-88.012787,31.095798,-88.012787,21595.2966787155,414328,1229.408,2,3,337.014237746948,1438.89568574897
1003010200,"AL37","Alabama",1003,3,203360,1589.825,30.9478929,-87.6787306,3.459000904,"NORTH BALDWIN FAMILY PHARMACY","2012 HAND AVE",30.904632,-87.783357,30.88868625,-87.7864805,11091.1618219632,203360,1589.825,3,3,127.913449593509,1007.71083763619
1003010300,"AL135","Alabama",1003,3,203360,1589.825,30.8412001,-87.8786378,9.611755811,"CVS Pharmacy #10898","9917A Spanish Fort Blvd",30.676595,-87.852775,30.65454425,-87.881636,18490.0203772399,203360,1589.825,3,3,127.913449593509,1323.4941207754
1003010300,"AL2","Alabama",1003,3,203360,1589.825,30.8412001,-87.8786378,9.611755811,"Royal Street Pharmacy","1 S Royal St",30.692179,-88.040691,30.6771924814815,-88.125835537037,22703.86838836,414328,1229.408,2,3,337.014237746948,1486.2095263166
1003010300,"AL3","Alabama",1003,3,203360,1589.825,30.8412001,-87.8786378,9.611755811,"MCCONAGHY DRUG STORE","5565 HWY 43",30.852075,-88.057335,30.8004425,-88.088701,17121.396790359,414328,1229.408,2,3,337.014237746948,1247.94963851391
1003010300,"AL37","Alabama",1003,3,203360,1589.825,30.8412001,-87.8786378,9.611755811,"WALMART PHARMACY 10-2739","701 MCMEANS AVENUE",30.88563,-87.789892,30.88868625,-87.7864805,9817.10159873748,203360,1589.825,3,3,127.913449593509,953.33394730892
1003010400,"AL135","Alabama",1003,3,203360,1589.825,30.7200267,-87.6245437,5.105183905,"Publix Pharmacy #1400","10179 Eastern Shore Drive",30.673666,-87.847905,30.65454425,-87.881636,21994.5108959313,203360,1589.825,3,3,127.913449593509,1473.06577611315
1003010400,"AL23","Alabama",1003,3,203360,1589.825,30.7200267,-87.6245437,5.105183905,"LEE DRUG STORE INC","18530 FLORIDA ST",30.551755,-87.707672,30.54361675,-87.70840025,20353.895828323,203360,1589.825,3,3,127.913449593509,1403.04432502763
1003010400,"AL24","Alabama",1003,3,203360,1589.825,30.7200267,-87.6245437,5.105183905,"LOXLEY DISCOUNT PHARMACY","2140 E. RELHAM AVE",30.621743,-87.750849,30.621743,-87.750849,16308.0587849916,203360,1589.825,3,3,127.913449593509,1230.36800001825
1003010500,"AL37","Alabama",1003,3,203360,1589.825,30.8969612,-87.7737368,5.347175991,"NORTH BALDWIN FAMILY PHARMACY","2012 HAND AVE",30.904632,-87.783357,30.88868625,-87.7864805,1254.41327851066,203360,1589.825,3,3,127.913449593509,587.878409801639
1003010600,"AL135","Alabama",1003,3,203360,1589.825,30.8531544,-87.7701913,3.627758542,"CVS Pharmacy #10898","9917A Spanish Fort Blvd",30.676595,-87.852775,30.65454425,-87.881636,21182.5571467888,203360,1589.825,3,3,127.913449593509,1438.41159009975
1003010600,"AL37","Alabama",1003,3,203360,1589.825,30.8531544,-87.7701913,3.627758542,"CVS Pharmacy #04938","208 McMeans Ave",30.880415,-87.784502,30.88868625,-87.7864805,3328.49234601108,203360,1589.825,3,3,127.913449593509,676.400104402557
