"PharmID","Name","Address","City","State","Zip","Latitude","Longitude","Cluster","Cluster_centroid_Latitude","Cluster_centroid_Longitude","distance_to_clust","County","FIPS","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC"
"P2449","WALGREENS #6428","15385 N DYSART RD","EL MIRAGE","AZ",85335,33.622988,-112.341413,"AZ15",33.62480896,-112.3496251,787.7495236,"maricopa",4013,4155501,9200.674,1
"P2754","CVS Pharmacy #17304","24890 N Lake Pleasant Pkwy","PEORIA","AZ",85383,33.709886,-112.275278,"AZ16",33.71606733,-112.2893948,1477.247154,"maricopa",4013,4155501,9200.674,1
"P2199","WALGREENS #2771","1305 S GREENFIELD RD","MESA","AZ",852063303,33.391841,-111.736199,"AZ17",33.3924565,-111.7348597,142.091433,"maricopa",4013,4155501,9200.674,1
"P2303","COBRE VALLEY PHARMACY","5880 S HOSPITAL DRIVE PHARMACY DEPT","GLOBE","AZ",85501,33.405993,-110.82728,"AZ18",33.4087375,-110.8167578,1024.41909,"gila",4007,53145,4757.995,4
"P1971","WESTERN DRUG","106 E MAIN","SPRINGERVILLE","AZ",859380111,34.133156,-109.285556,"AZ2",34.133156,-109.285556,0,"apache",4001,71602,11197.749,6
"P2001","WALTON DRUG OF MORENCI","408 BURRO ALLEY","MORENCI","AZ",85540,33.050447,-109.328815,"AZ20",33.050447,-109.328815,0,"greenlee",4011,9368,1842.141,7
"P2511","CVS Pharmacy #03625","8245 WEST THOMAS RD","PHOENIX","AZ",85033,33.479291,-112.237081,"AZ25",33.47974315,-112.2418229,443.1554654,"maricopa",4013,4155501,9200.674,1
"P2216","WALMART PHARMACY 10-2051","3396 STOCKTON HILL ROAD","KINGMAN","AZ",864093648,35.222599,-114.033484,"AZ26",35.2225707,-114.0312674,201.5996781,"mohave",4015,204691,13331.86,3
"P1972","OLD PUEBLO DRUG","3272 HWY 82","SONOITA","AZ",85637,31.679998,-110.651821,"AZ3",31.679998,-110.651821,0,"santa cruz",4023,46358,1236.234,4
"P2832","Cigna Medical Group Pharmacy - Palm Valley","14445 W McDowell Rd, Ste A104","Goodyear","AZ",85395,33.464111,-112.369751,"AZ32",33.46700881,-112.3627254,727.8213497,"maricopa",4013,4155501,9200.674,1
"P2165","SAFEWAY PHARMACY #1291","13733 N FOUNTAIN HILLS BLVD","FOUNTAIN HILLS","AZ",852683730,33.609698,-111.728271,"AZ33",33.5959055,-111.7457915,2235.223865,"maricopa",4013,4155501,9200.674,1
"P2087","FRYS FOOD AND DRUG","201 N SWITZER CANYON ROAD","FLAGSTAFF","AZ",86001,35.194932,-111.634601,"AZ34",35.20173092,-111.6314656,808.8094109,"coconino",4005,138639,18616.784,3
"P2961","White Mountain Pharmacy, Medicine Shoppe","4461 S White Mountain Rd Ste E1","Show Low","AZ",859017783,34.210312,-110.024673,"AZ39",34.21956567,-110.0298858,1136.398165,"navajo",4017,107902,9950.054,4
"P2377","SAFEWAY PHARMACY #2052","1635 E COTTONWOOD ST","COTTONWOOD","AZ",863264904,34.727497,-112.007754,"AZ40",34.72381983,-112.0091675,429.2834472,"yavapai",4025,220972,8123.1,3
"P2117","WALMART PHARMACY 10-1324","100 W White Park Dr","NOGALES","AZ",856211021,31.360656,-110.932235,"AZ41",31.35586867,-110.9336943,550.6827568,"santa cruz",4023,46358,1236.234,4
