"ID","Origin","Destination","Drive_Time"
"C24_AZ15","C24","AZ15",1221.581242711
"C26_AZ15","C26","AZ15",4800.77851025005
"C27_AZ15","C27","AZ15",2592.88502839255
"C29_AZ15","C29","AZ15",1179.01011843217
"C30_AZ15","C30","AZ15",1107.9156214402
"C31_AZ15","C31","AZ15",912.546176386079
"C33_AZ15","C33","AZ15",3222.51960394947
"C34_AZ15","C34","AZ15",3166.59799209362
"C35_AZ15","C35","AZ15",2819.50187369846
"C36_AZ15","C36","AZ15",2604.40342422068
"C37_AZ15","C37","AZ15",2748.70430057182
"C38_AZ15","C38","AZ15",5441.78136980475
"C39_AZ15","C39","AZ15",1783.57091959238
"C40_AZ15","C40","AZ15",1800.95974589654
"C41_AZ15","C41","AZ15",1845.35398222874
"C42_AZ15","C42","AZ15",1496.84993871007
"C43_AZ15","C43","AZ15",1195.10050478362
"C44_AZ15","C44","AZ15",1740.61022239388
"C45_AZ15","C45","AZ15",1559.68582882676
"C46_AZ15","C46","AZ15",1443.30460705752
"C47_AZ15","C47","AZ15",2111.51683601448
"C48_AZ15","C48","AZ15",1633.73858924038
"C49_AZ15","C49","AZ15",1479.66861589731
"C50_AZ15","C50","AZ15",1593.6465700536
"C51_AZ15","C51","AZ15",1405.94642273601
"C52_AZ15","C52","AZ15",1404.49108843427
"C53_AZ15","C53","AZ15",5096.05966016161
"C55_AZ15","C55","AZ15",2082.34664827804
"C56_AZ15","C56","AZ15",2074.33010434063
"C58_AZ15","C58","AZ15",2500.70102342898
"C24_AZ16","C24","AZ16",1586.7602548545
"C26_AZ16","C26","AZ16",5001.85342545685
"C27_AZ16","C27","AZ16",2741.10094231004
"C29_AZ16","C29","AZ16",1273.04413348822
"C30_AZ16","C30","AZ16",1288.67805974872
"C31_AZ16","C31","AZ16",946.16962348288
"C33_AZ16","C33","AZ16",3167.19931625244
"C34_AZ16","C34","AZ16",3115.42617280664
"C35_AZ16","C35","AZ16",2828.47214531165
"C36_AZ16","C36","AZ16",2589.02957078297
"C37_AZ16","C37","AZ16",2749.26054087118
"C38_AZ16","C38","AZ16",4989.48292854312
"C39_AZ16","C39","AZ16",1936.94546851973
"C40_AZ16","C40","AZ16",1945.13047640225
"C41_AZ16","C41","AZ16",1953.4616408933
"C42_AZ16","C42","AZ16",1618.69906527952
"C43_AZ16","C43","AZ16",1464.99227048197
