"ID","Origin","Destination","Drive_Time"
"AZ16_AZ15","AZ16","AZ15",911.054145620462
"AZ17_AZ15","AZ17","AZ15",3059.46249544372
"AZ18_AZ15","AZ18","AZ15",6636.27860295841
"AZ25_AZ15","AZ25","AZ15",1220.31208329624
"AZ32_AZ15","AZ32","AZ15",1185.47462291913
"AZ33_AZ15","AZ33","AZ15",2849.08437672167
"AZ40_AZ15","AZ40","AZ15",5916.86229965455
"AZ43_AZ15","AZ43","AZ15",3570.8105478139
"AZ46_AZ15","AZ46","AZ15",6779.44017474993
"AZ49_AZ15","AZ49","AZ15",5932.55367129344
"AZ54_AZ15","AZ54","AZ15",4821.90934262847
"AZ56_AZ15","AZ56","AZ15",3520.05163624395
"AZ57_AZ15","AZ57","AZ15",4091.06816674135
"AZ60_AZ15","AZ60","AZ15",2759.08139248265
"AZ65_AZ15","AZ65","AZ15",6456.57854569479
"AZ71_AZ15","AZ71","AZ15",4151.26560218685
"AZ75_AZ15","AZ75","AZ15",3310.710145017
"AZ77_AZ15","AZ77","AZ15",1661.84549878232
"AZ79_AZ15","AZ79","AZ15",5370.0174257357
"AZ86_AZ15","AZ86","AZ15",6746.383173107
"AZ87_AZ15","AZ87","AZ15",1727.48914388492
"AZ89_AZ15","AZ89","AZ15",4032.32691484118
"AZ90_AZ15","AZ90","AZ15",5162.42965918306
"AZ96_AZ15","AZ96","AZ15",6704.98133566471
"AZ15_AZ16","AZ15","AZ16",911.054145620462
"AZ17_AZ16","AZ17","AZ16",3037.56943558898
"AZ18_AZ16","AZ18","AZ16",6462.47666076073
"AZ25_AZ16","AZ25","AZ16",1528.29938432497
"AZ32_AZ16","AZ32","AZ16",1648.44707440433
"AZ33_AZ16","AZ33","AZ16",2637.2579592083
"AZ40_AZ16","AZ40","AZ16",5455.51666515606
"AZ43_AZ16","AZ43","AZ16",3511.22048428174
"AZ46_AZ16","AZ46","AZ16",6303.21139117639
"AZ49_AZ16","AZ49","AZ16",5550.23890292555
"AZ54_AZ16","AZ54","AZ16",4930.20688707903
"AZ56_AZ16","AZ56","AZ16",3563.30291635545
"AZ57_AZ16","AZ57","AZ16",4124.89702544335
"AZ60_AZ16","AZ60","AZ16",2714.50051808534
"AZ65_AZ16","AZ65","AZ16",5976.99181394438
"AZ71_AZ16","AZ71","AZ16",4077.25286106751
"AZ75_AZ16","AZ75","AZ16",3607.05340867051
"AZ77_AZ16","AZ77","AZ16",2143.3023103273
"AZ79_AZ16","AZ79","AZ16",4889.09047825981
"AZ87_AZ16","AZ87","AZ16",2199.93691424033
"AZ89_AZ16","AZ89","AZ16",3579.87410211272
"AZ90_AZ16","AZ90","AZ16",5226.26683322815
"AZ96_AZ16","AZ96","AZ16",6659.91845166371
"AZ15_AZ17","AZ15","AZ17",3059.46249544372
"AZ16_AZ17","AZ16","AZ17",3037.56943558898
"AZ18_AZ17","AZ18","AZ17",4156.40644975919
"AZ25_AZ17","AZ25","AZ17",2451.24576455204
"AZ32_AZ17","AZ32","AZ17",2957.83760004553
"AZ33_AZ17","AZ33","AZ17",1457.87647641037
"AZ40_AZ17","AZ40","AZ17",6943.0503800441
"AZ43_AZ17","AZ43","AZ17",963.990155215699
"AZ54_AZ17","AZ54","AZ17",2470.07056292034
"AZ56_AZ17","AZ56","AZ17",1047.31874407216
"AZ57_AZ17","AZ57","AZ17",1542.71788368476
"AZ60_AZ17","AZ60","AZ17",5327.31244226451
"AZ65_AZ17","AZ65","AZ17",7129.10562859704
"AZ69_AZ17","AZ69","AZ17",6182.68940366049
"AZ71_AZ17","AZ71","AZ17",1542.20032745826
"AZ75_AZ17","AZ75","AZ17",2391.9545322776
"AZ77_AZ17","AZ77","AZ17",3690.28652102526
"AZ79_AZ17","AZ79","AZ17",6112.56659065439
"AZ86_AZ17","AZ86","AZ17",7064.1729018968
"AZ87_AZ17","AZ87","AZ17",3165.55145324361
"AZ89_AZ17","AZ89","AZ17",5353.90562731882
"AZ90_AZ17","AZ90","AZ17",2661.25744076892
"AZ95_AZ17","AZ95","AZ17",5716.20855435393
"AZ96_AZ17","AZ96","AZ17",4067.952947021
"AZ15_AZ18","AZ15","AZ18",6636.27860295841
"AZ16_AZ18","AZ16","AZ18",6462.47666076073
"AZ17_AZ18","AZ17","AZ18",4156.40644975919
"AZ20_AZ18","AZ20","AZ18",6905.06179233519
"AZ25_AZ18","AZ25","AZ18",6150.52329706717
"AZ32_AZ18","AZ32","AZ18",6672.40869011046
"AZ33_AZ18","AZ33","AZ18",4248.73046231778
"AZ39_AZ18","AZ39","AZ18",5550.71409000856
"AZ43_AZ18","AZ43","AZ18",3617.16111622562
"AZ54_AZ18","AZ54","AZ18",3948.37816007768
"AZ55_AZ18","AZ55","AZ18",6367.09749042197
"AZ56_AZ18","AZ56","AZ18",4025.79216749724
"AZ57_AZ18","AZ57","AZ18",3654.15630898365
"AZ69_AZ18","AZ69","AZ18",4433.09971422325
"AZ71_AZ18","AZ71","AZ18",3095.79779702272
"AZ73_AZ18","AZ73","AZ18",5495.53407332824
"AZ75_AZ18","AZ75","AZ18",5680.97585011861
"AZ84_AZ18","AZ84","AZ18",7038.66514285173
"AZ87_AZ18","AZ87","AZ18",6898.77116213103
"AZ90_AZ18","AZ90","AZ18",3474.0723543341
"AZ93_AZ18","AZ93","AZ18",5451.82350492145
"AZ95_AZ18","AZ95","AZ18",4725.89676897937
