"GEOID","Cluster","State","County.Code","Tract_RUC","Tract_Population","Tract_Land","Tract_Lat","Tract_Long","Tract_methadone_unserved","Name","Address","Pharm_Lat","Pharm_Long","Cluster_centroid_Latitude","Cluster_centroid_Longitude","Shortest_distance","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC","Max_RUC","Max_PopD","Drive_Time"
4001970501,"AZ2","Arizona",4001,6,71602,11197.749,34.111854,-109.2865313,9.947812434,"WESTERN DRUG","106 E MAIN",34.133156,-109.285556,34.133156,-109.285556,2373.03047767313,71602,11197.749,6,6,6.39432085859399,773.797054079145
4003000201,"AZ52","Arizona",4003,3,126516,6209.749,32.286717,-109.9857623,5.206838275,"SAFEWAY PHARMACY #0272","650 N BISBEE AVE",32.263012,-109.842173,32.263388,-109.8400745,13769.8677656296,126516,6209.749,3,3,20.373770340798,1130.84873323305
4003000202,"AZ52","Arizona",4003,3,126516,6209.749,32.2379491,-109.8162616,6.382630289,"The Medicine Shoppe Pharmacy","902 W Rex Allen Dr",32.263764,-109.837976,32.263388,-109.8400745,3526.66142434592,126516,6209.749,3,3,20.373770340798,693.668686587062
4003000203,"AZ52","Arizona",4003,3,126516,6209.749,32.0799299,-109.7935193,4.551561637,"The Medicine Shoppe Pharmacy","902 W Rex Allen Dr",32.263764,-109.837976,32.263388,-109.8400745,20888.6612479176,126516,6209.749,3,3,20.373770340798,1434.6788390571
4003000301,"AZ53","Arizona",4003,3,126516,6209.749,31.9582989,-110.3045946,6.576349605,"Benson Chiricahua Pharmacy","335 S Ocotillo Ave",31.96549,-110.306977,31.968464,-110.3097895,831.529665658997,126516,6209.749,3,3,20.373770340798,578.640463126304
4003000302,"AZ53","Arizona",4003,3,126516,6209.749,31.9018104,-110.2624324,7.356280409,"Benson Chiricahua Pharmacy","335 S Ocotillo Ave",31.96549,-110.306977,31.968464,-110.3097895,8243.79160728429,126516,6209.749,3,3,20.373770340798,894.995802794872
4003000600,"AZ51","Arizona",4003,3,126516,6209.749,31.4446761,-109.4183013,6.458433501,"FOOD CITY UNITED DRUG # 112","1300 SAN ANTONIO AVE",31.347681,-109.532304,31.343283,-109.5519485,15294.7817628422,126516,6209.749,3,3,20.373770340798,1195.93206263408
4003000700,"AZ51","Arizona",4003,3,126516,6209.749,31.3644348,-109.4911064,7.110341106,"FOOD CITY UNITED DRUG # 112","1300 SAN ANTONIO AVE",31.347681,-109.532304,31.343283,-109.5519485,4337.70667072693,126516,6209.749,3,3,20.373770340798,728.284097702604
4003000800,"AZ51","Arizona",4003,3,126516,6209.749,31.380745,-109.5244977,6.017090366,"FOOD CITY UNITED DRUG # 112","1300 SAN ANTONIO AVE",31.347681,-109.532304,31.343283,-109.5519485,3754.7166305559,126516,6209.749,3,3,20.373770340798,703.402082788104
4003000901,"AZ51","Arizona",4003,3,126516,6209.749,31.3389572,-109.5503487,3.478525085,"CVS Pharmacy #10859","286 E. 7th St.",31.34156,-109.55746,31.343283,-109.5519485,735.590149252238,126516,6209.749,3,3,20.373770340798,574.545764566064
4003000902,"AZ51","Arizona",4003,3,126516,6209.749,31.3532777,-109.5502491,2.961378741,"Chiricahua Douglas Pharmacy","1111 N F Ave",31.345622,-109.552792,31.343283,-109.5519485,885.8532014957,126516,6209.749,3,3,20.373770340798,580.958991635815
4003001000,"AZ63","Arizona",4003,3,126516,6209.749,31.5294519,-109.8948529,2.464446586,"Chiricahua Bisbee Pharmacy","307 Arizona St",31.413127,-109.877479,31.4040835,-109.8983685,13053.871530951,126516,6209.749,3,3,20.373770340798,1100.29001393697
4003001100,"AZ63","Arizona",4003,3,126516,6209.749,31.379947,-109.8356632,5.713877525,"Chiricahua Bisbee Pharmacy","307 Arizona St",31.413127,-109.877479,31.4040835,-109.8983685,5424.94806474237,126516,6209.749,3,3,20.373770340798,774.687560399183
4003001200,"AZ63","Arizona",4003,3,126516,6209.749,31.4646753,-110.0397849,0,"SAFEWAY PHARMACY #0261","101 NACO HWY",31.39504,-109.919258,31.4040835,-109.8983685,13825.9404257896,126516,6209.749,3,3,20.373770340798,1133.24191436868
4005000100,"AZ34","Arizona",4005,3,138639,18616.784,35.227087,-111.6698017,0,"FLAGSTAFF PHARMACY","77 W FOREST AVE STE 104",35.210615,-111.643627,35.2017309230769,-111.631465615385,3004.76710545065,138639,18616.784,3,3,7.44698977009133,672.45332818877
