"PharmID","Name","Address","City","State","Zip","Latitude","Longitude","Cluster","Cluster_centroid_Latitude","Cluster_centroid_Longitude","distance_to_clust","County","FIPS","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC"
"P1943","The Local Pharm","924 State Highway 77","Marion","AR",723649004,35.180575,-90.183852,"AR1",35.1776486666667,-90.1908883333333,718.330133163544,"crittenden",5035,49278,610.384,1
"P1281","PEOPLES PHARMACY","317 E 13TH","MURFREESBORO","AR",71958,34.070932,-93.686278,"AR10",34.070932,-93.686278,0,"pike",5109,10893,600.624,9
"P1477","WALMART PHARMACY 10-1114","409 SYLAMORE AVENUE","MOUNTAIN VIEW","AR",72560,35.867263,-92.101816,"AR100",35.8651953333333,-92.1023323333333,234.837403910823,"stone",5137,12443,606.472,9
"P1478","WALMART PHARMACY 10-1147","168 Walmart Dr","FLIPPIN","AR",726348660,36.275168,-92.603848,"AR101",36.275168,-92.603848,0,"marion",5089,16374,596.957,9
"P1481","WEINER PHARMACY","212 N VAN BUREN ST","WEINER","AR",724790412,35.619618,-90.898768,"AR102",35.619618,-90.898768,0,"poinsett",5111,24098,758.362,3
"P1604","PRICE CHOPPER PHARMACY","801 HWY 463 N","TRUMANN","AR",72472,35.683199,-90.527331,"AR103",35.67502625,-90.52582725,919.891637450219,"poinsett",5111,24098,758.362,3
"P1487","Southern Pharmacy of Arkansas","109 MAIN ST","LEACHVILLE","AR",724389748,35.937355,-90.258312,"AR104",35.937355,-90.258312,0,"mississippi",5093,43534,900.578,4
"P1490","MITCHELLS PARK STREET PHARMACY","526 Park St","CALICO ROCK","AR",72519,36.125591,-92.130012,"AR105",36.125591,-92.130012,0,"izard",5065,13521,580.596,9
"P1491","Wagner's Mount Ida Pharmacy","744 HWY 270 E","MT IDA","AR",719570066,34.551184,-93.626526,"AR106",34.551184,-93.626526,0,"montgomery",5097,9059,779.921,8
"P1909","Econo-Med Pharmacy","1045 W MAIN STE B","WALNUT RIDGE","AR",72476,36.074213,-90.965291,"AR107",36.0726564,-90.9642652,196.327857797994,"lawrence",5075,16777,587.613,6
"P1495","RECTOR DOWNTOWN DRUG","403 S MAIN ST","RECTOR","AR",724611706,36.263556,-90.292551,"AR108",36.263556,-90.292551,0,"clay",5021,15190,639.468,7
"P1499","WOODARD FAMILY PHARMACY","210 E BROADWAY","GLENWOOD","AR",71943,34.326948,-93.55034,"AR109",34.32817,-93.5458276666667,436.556890927967,"pike",5109,10893,600.624,9
"P1547","HICKORY HILL PHARMACY","109 HICKORY HILL DR","HELENA","AR",72342,34.536815,-90.618302,"AR11",34.540677,-90.6192522,438.656646256105,"phillips",5107,19518,695.628,6
"P1500","Dierks Pharmacy","323 Main St","Dierks","AR",718330140,34.120172,-94.017082,"AR110",34.120172,-94.017082,0,"howard",5061,13472,588.567,6
"P1505","FAIRFIELD BAY PHARMACY","367 DAVE CREEK PKWY","FAIRFIELD BAY","AR",72088,35.610186,-92.262127,"AR111",35.610186,-92.262127,0,"cleburne",5023,25361,553.7,6
