"ID","Origin","Destination","Drive_Time"
"C72_AR1","C72","AR1",4208.85783029118
"C71_AR10","C71","AR10",6127.4072704778
"C73_AR10","C73","AR10",7007.03590480491
"C76_AR10","C76","AR10",4165.58066102224
"C71_AR100","C71","AR100",6894.23696649099
"C72_AR100","C72","AR100",6217.17616131612
"C73_AR100","C73","AR100",6142.20522190048
"C74_AR100","C74","AR100",5917.59968713773
"C75_AR101","C75","AR101",6959.78250442378
"C72_AR102","C72","AR102",1824.21333146566
"C74_AR102","C74","AR102",6981.32889072754
"C72_AR103","C72","AR103",1492.31959117934
"C72_AR104","C72","AR104",2318.93099196185
"C72_AR105","C72","AR105",6485.45230522579
"C74_AR105","C74","AR105",7134.18343566787
"C71_AR106","C71","AR106",5159.40837152887
"C73_AR106","C73","AR106",5908.11473135434
"C74_AR106","C74","AR106",6326.79926374158
"C76_AR106","C76","AR106",6343.84721838775
"C72_AR107","C72","AR107",2210.1742777417
"C72_AR108","C72","AR108",3259.14976094569
"C71_AR109","C71","AR109",5132.01100501501
"C73_AR109","C73","AR109",5973.87961409574
"C74_AR109","C74","AR109",6404.76816324808
"C76_AR109","C76","AR109",5493.9507167059
"C72_AR11","C72","AR11",6830.82001612279
"C74_AR11","C74","AR11",6997.71057587219
"C71_AR110","C71","AR110",7067.45459091322
"C76_AR110","C76","AR110",3969.53769813739
"C71_AR111","C71","AR111",5435.8811354645
"C72_AR111","C72","AR111",6806.45876069381
"C73_AR111","C73","AR111",4731.91416235698
"C74_AR111","C74","AR111",4551.38699503776
"C71_AR112","C71","AR112",1142.42504421343
"C73_AR112","C73","AR112",1003.93081947631
"C74_AR112","C74","AR112",1397.73415679117
"C71_AR113","C71","AR113",1865.61943229137
"C73_AR113","C73","AR113",2631.01661769009
"C74_AR113","C74","AR113",3058.38053679274
"C72_AR114","C72","AR114",4041.01639662315
"C73_AR114","C73","AR114",7090.41294054608
"C74_AR114","C74","AR114",6756.86494141911
"C71_AR115","C71","AR115",3002.16180484479
"C72_AR115","C72","AR115",7092.78439654279
"C73_AR115","C73","AR115",2051.1407258242
"C74_AR115","C74","AR115",1648.2244097813
"C72_AR116","C72","AR116",2297.93773346626
"C72_AR117","C72","AR117",1905.69918497509
"C71_AR118","C71","AR118",5011.45473863048
"C72_AR118","C72","AR118",5870.2570388072
"C73_AR118","C73","AR118",4107.11267943817
"C74_AR118","C74","AR118",3678.19812035709
"C71_AR119","C71","AR119",6924.90231471683
"C73_AR119","C73","AR119",6418.6374152717
"C74_AR119","C74","AR119",6345.2327033807
"C75_AR119","C75","AR119",6958.84778717692
"C71_AR12","C71","AR12",3719.77132532903
"C72_AR12","C72","AR12",6507.48718829628
"C73_AR12","C73","AR12",2769.68399226336
"C74_AR12","C74","AR12",2368.05267288556
"C74_AR120","C74","AR120",7140.09534908752
"C71_AR122","C71","AR122",5000.83937180646
"C73_AR122","C73","AR122",5674.57719258565
"C74_AR122","C74","AR122",5950.67809569877
"C76_AR122","C76","AR122",6521.25444322529
"C71_AR123","C71","AR123",5366.75828982425
"C72_AR123","C72","AR123",6633.10147895497
"C73_AR123","C73","AR123",4622.34609414726
"C74_AR123","C74","AR123",4247.19800065745
"C72_AR124","C72","AR124",4500.45886579353
"C73_AR124","C73","AR124",6744.67322759538
"C74_AR124","C74","AR124",6322.53092746003
"C75_AR125","C75","AR125",4790.38160710203
"C71_AR126","C71","AR126",2019.76431739401
"C73_AR126","C73","AR126",2044.66912638138
"C74_AR126","C74","AR126",2144.08163975201
"C72_AR127","C72","AR127",3350.74496812424
"C71_AR128","C71","AR128",4961.91000158504
"C73_AR128","C73","AR128",4920.97220993697
"C74_AR128","C74","AR128",5091.09535783506
"C75_AR128","C75","AR128",6257.58702181916
"C71_AR129","C71","AR129",5954.4011520611
"C72_AR129","C72","AR129",5531.87540417792
"C73_AR129","C73","AR129",5103.43904166498
"C74_AR129","C74","AR129",4687.14023764389
"C72_AR13","C72","AR13",3627.14308509298
"C71_AR130","C71","AR130",4683.09176199281
"C73_AR130","C73","AR130",5047.50550491578
"C74_AR130","C74","AR130",5367.51019875497
"C75_AR130","C75","AR130",6852.89274735551
"C75_AR131","C75","AR131",5021.31821018526
"C72_AR132","C72","AR132",5309.88745714858
"C75_AR133","C75","AR133",1404.81003693102
"C71_AR134","C71","AR134",2652.15438720612
"C73_AR134","C73","AR134",2174.12900321728
"C74_AR134","C74","AR134",1992.86100519752
"C75_AR135","C75","AR135",916.817072475021
"C72_AR136","C72","AR136",3381.96513774127
"C71_AR137","C71","AR137",5010.64947413984
"C73_AR137","C73","AR137",4834.93719303077
"C74_AR137","C74","AR137",4946.68991683531
"C75_AR137","C75","AR137",6452.03600347228
"C75_AR138","C75","AR138",1724.4835058233
"C71_AR139","C71","AR139",6327.06447614955
"C73_AR139","C73","AR139",6728.19302069194
"C74_AR139","C74","AR139",7050.19809439012
"C75_AR139","C75","AR139",5774.29747251074
"C71_AR14","C71","AR14",4610.51617094191
"C73_AR14","C73","AR14",4666.50154469027
"C74_AR14","C74","AR14",4879.89897396361
"C75_AR14","C75","AR14",6533.54971431543
"C71_AR140","C71","AR140",6797.00226049296
"C76_AR140","C76","AR140",5957.08293870178
"C72_AR141","C72","AR141",5266.98014876126
"C72_AR143","C72","AR143",5746.8515666362
"C73_AR143","C73","AR143",6734.12703659148
"C74_AR143","C74","AR143",6339.06850639867
"C72_AR144","C72","AR144",1763.53866095959
"C75_AR145","C75","AR145",3690.67447618065
"C75_AR146","C75","AR146",1467.40019453763
"C71_AR147","C71","AR147",4270.78843200847
"C73_AR147","C73","AR147",4289.86137024026
"C74_AR147","C74","AR147",4494.51628773806
"C75_AR147","C75","AR147",6894.92596193177
"C75_AR148","C75","AR148",1677.36067302427
"C71_AR149","C71","AR149",3919.6595941487
"C73_AR149","C73","AR149",4287.20869758378
"C74_AR149","C74","AR149",4432.93245719693
"C71_AR15","C71","AR15",2665.09422796791
"C73_AR15","C73","AR15",2709.23715410035
"C74_AR15","C74","AR15",2962.95400174211
"C71_AR150","C71","AR150",2959.19560679443
"C73_AR150","C73","AR150",2116.99812015345
"C74_AR150","C74","AR150",1878.15977718492
"C75_AR151","C75","AR151",4831.99277680217
"C75_AR152","C75","AR152",1797.4544286869
"C75_AR154","C75","AR154",1163.54006715505
"C75_AR155","C75","AR155",4469.17593561064
"C71_AR156","C71","AR156",2766.23961682516
"C73_AR156","C73","AR156",1876.52309030099
"C74_AR156","C74","AR156",1551.01137897495
"C75_AR157","C75","AR157",5219.40556469757
"C75_AR158","C75","AR158",5941.11760212868
"C72_AR16","C72","AR16",2518.97746860624
"C72_AR160","C72","AR160",3942.29594187591
"C75_AR161","C75","AR161",1847.76159661713
"C75_AR163","C75","AR163",7099.55080453322
"C72_AR164","C72","AR164",3682.86398427457
"C73_AR164","C73","AR164",6328.26851341883
"C74_AR164","C74","AR164",5955.74554472389
"C72_AR165","C72","AR165",6406.78237756166
"C71_AR166","C71","AR166",2124.29848067884
"C73_AR166","C73","AR166",1556.43927361591
"C74_AR166","C74","AR166",1618.2711381445
"C75_AR167","C75","AR167",6642.94722998112
"C71_AR168","C71","AR168",3657.97354732303
"C73_AR168","C73","AR168",4538.64645247566
"C74_AR168","C74","AR168",4966.90177672428
"C76_AR168","C76","AR168",6117.14528169286
"C72_AR169","C72","AR169",3241.1048180306
"C71_AR17","C71","AR17",1170.62113057473
"C73_AR17","C73","AR17",1111.83949187954
"C74_AR17","C74","AR17",1378.93856595722
"C71_AR170","C71","AR170",6218.37950818992
"C72_AR170","C72","AR170",4469.28973476161
"C73_AR170","C73","AR170",5269.82244194283
"C74_AR170","C74","AR170",4846.06308041498
"C71_AR171","C71","AR171",4277.6281926742
"C73_AR171","C73","AR171",3664.00242266268
"C74_AR171","C74","AR171",3564.83485987518
"C71_AR172","C71","AR172",2431.90606011811
"C73_AR172","C73","AR172",3222.00537881012
"C74_AR172","C74","AR172",3650.24258399328
"C76_AR173","C76","AR173",3292.54809001753
"C71_AR174","C71","AR174",5151.95456699646
"C72_AR174","C72","AR174",5430.4407653394
"C73_AR174","C73","AR174",4247.28663452359
"C74_AR174","C74","AR174",3906.83700994541
"C71_AR175","C71","AR175",6870.89171055844
"C72_AR175","C72","AR175",6791.55550771505
"C73_AR175","C73","AR175",6193.93346552876
"C74_AR175","C74","AR175",5839.47583259218
"C72_AR19","C72","AR19",4592.04838100066
"C71_AR2","C71","AR2",1313.22293723804
"C73_AR2","C73","AR2",556.840363933381
"C74_AR2","C74","AR2",978.965976529354
"C71_AR20","C71","AR20",5409.518391841
"C72_AR20","C72","AR20",4821.12706043762
"C73_AR20","C73","AR20",4458.91082880737
"C74_AR20","C74","AR20",4052.0788948592
"C71_AR22","C71","AR22",6648.51908927124
"C73_AR22","C73","AR22",7071.30878512026
"C75_AR22","C75","AR22",5705.97666002972
"C71_AR23","C71","AR23",6140.0662947544
"C72_AR23","C72","AR23",4108.26763761562
"C73_AR23","C73","AR23",5190.55219310067
"C74_AR23","C74","AR23",4786.6013023844
"C71_AR24","C71","AR24",5842.55352262711
"C73_AR24","C73","AR24",6595.41937604693
"C74_AR24","C74","AR24",6908.6629560515
"C76_AR24","C76","AR24",5479.39069988073
"C71_AR25","C71","AR25",3532.25052272932
"C72_AR25","C72","AR25",6982.64470634583
"C73_AR25","C73","AR25",2702.48487304834
"C74_AR25","C74","AR25",2303.02670678536
"C71_AR26","C71","AR26",6165.65849995722
"C73_AR26","C73","AR26",6260.35047610832
