"ID","Origin","Destination","Drive_Time"
"AR102_AR1","AR102","AR1",4004.72142671446
"AR103_AR1","AR103","AR1",3271.46401032858
"AR104_AR1","AR104","AR1",4187.99418244039
"AR107_AR1","AR107","AR1",5875.36551085565
"AR108_AR1","AR108","AR1",5871.58692903195
"AR11_AR1","AR11","AR1",4162.65124976937
"AR114_AR1","AR114","AR1",7111.95360868575
"AR116_AR1","AR116","AR1",2455.91455291676
"AR117_AR1","AR117","AR1",3962.07093280833
"AR118_AR1","AR118","AR1",5944.13307659199
"AR123_AR1","AR123","AR1",5673.66352640617
"AR124_AR1","AR124","AR1",3125.37005381528
"AR127_AR1","AR127","AR1",1626.37445373838
"AR129_AR1","AR129","AR1",4872.96070384334
"AR13_AR1","AR13","AR1",4327.9512344309
"AR136_AR1","AR136","AR1",2502.97095463104
"AR143_AR1","AR143","AR1",3690.36352128985
"AR144_AR1","AR144","AR1",3347.54344573695
"AR16_AR1","AR16","AR1",3941.5118331588
"AR160_AR1","AR160","AR1",6418.72149930794
"AR164_AR1","AR164","AR1",6195.45410403486
"AR169_AR1","AR169","AR1",6879.16150850064
"AR170_AR1","AR170","AR1",5390.9851847983
"AR174_AR1","AR174","AR1",7120.61267112723
"AR175_AR1","AR175","AR1",4780.6833171661
"AR20_AR1","AR20","AR1",6021.44777804027
"AR23_AR1","AR23","AR1",5645.25722347827
"AR25_AR1","AR25","AR1",6864.34476498282
"AR40_AR1","AR40","AR1",4761.14512651342
"AR44_AR1","AR44","AR1",3161.66103620384
"AR46_AR1","AR46","AR1",6671.1110230264
"AR5_AR1","AR5","AR1",6614.09106074188
"AR54_AR1","AR54","AR1",6906.66630829184
"AR58_AR1","AR58","AR1",6777.65802763966
"AR60_AR1","AR60","AR1",4936.21833691785
"AR63_AR1","AR63","AR1",6512.8467939251
"AR73_AR1","AR73","AR1",6982.32258761836
"AR74_AR1","AR74","AR1",5315.69551753808
"AR87_AR1","AR87","AR1",2668.79341355643
"AR91_AR1","AR91","AR1",3735.25803699854
"AR93_AR1","AR93","AR1",6825.78770941082
"AR94_AR1","AR94","AR1",5439.55457288127
"AR97_AR1","AR97","AR1",3014.18183444165
"AR106_AR10","AR106","AR10",3093.52417231301
"AR109_AR10","AR109","AR10",2128.26410069064
"AR110_AR10","AR110","AR10",2121.7633664703
"AR112_AR10","AR112","AR10",6589.38003946817
"AR113_AR10","AR113","AR10",4970.40442220893
"AR122_AR10","AR122","AR10",5327.62047618622
"AR126_AR10","AR126","AR10",6915.11998854039
"AR130_AR10","AR130","AR10",5612.80996647584
"AR131_AR10","AR131","AR10",6721.12554548791
"AR139_AR10","AR139","AR10",5942.14727484061
"AR14_AR10","AR14","AR10",6920.93113491218
"AR140_AR10","AR140","AR10",5914.7934406498
"AR147_AR10","AR147","AR10",6919.31753787215
"AR149_AR10","AR149","AR10",6711.01892965359
"AR15_AR10","AR15","AR10",6456.01210543738
"AR151_AR10","AR151","AR10",7070.97504126718
"AR155_AR10","AR155","AR10",7108.84672267764
"AR158_AR10","AR158","AR10",5994.92744397471
"AR168_AR10","AR168","AR10",3138.03842671727
"AR17_AR10","AR17","AR10",6699.77327216948
"AR172_AR10","AR172","AR10",4447.04036237063
"AR173_AR10","AR173","AR10",2760.2145414335
"AR2_AR10","AR2","AR10",6926.43568424535
"AR22_AR10","AR22","AR10",5958.03174012971
"AR24_AR10","AR24","AR10",4833.52271340519
"AR3_AR10","AR3","AR10",6502.99221623296
"AR32_AR10","AR32","AR10",3014.97221427727
"AR34_AR10","AR34","AR10",2703.86541752828
"AR39_AR10","AR39","AR10",4498.26488140812
"AR41_AR10","AR41","AR10",4044.2895459289
"AR43_AR10","AR43","AR10",1727.75591761054
"AR50_AR10","AR50","AR10",5992.51385598312
"AR52_AR10","AR52","AR10",4250.71582496273
"AR56_AR10","AR56","AR10",3382.53301822538
"AR57_AR10","AR57","AR10",6780.67702467699
"AR59_AR10","AR59","AR10",4505.37206433711
"AR6_AR10","AR6","AR10",4014.574549736
"AR64_AR10","AR64","AR10",2539.5876890578
"AR65_AR10","AR65","AR10",4998.60633619089
"AR67_AR10","AR67","AR10",6978.03177090325
"AR70_AR10","AR70","AR10",6235.16763994498
"AR72_AR10","AR72","AR10",3864.4860934585
"AR76_AR10","AR76","AR10",3166.78695969358
"AR84_AR10","AR84","AR10",5870.81460075864
"AR88_AR10","AR88","AR10",5064.04060871002
"AR92_AR10","AR92","AR10",3373.58717315206
"AR95_AR10","AR95","AR10",7147.85391010865
"AR96_AR10","AR96","AR10",6606.70321607857
"AR101_AR100","AR101","AR100",3532.64334998198
"AR102_AR100","AR102","AR100",5584.69089463102
"AR103_AR100","AR103","AR100",6930.36978785785
"AR105_AR100","AR105","AR100",2031.47440958386
"AR107_AR100","AR107","AR100",5278.25594357869
"AR111_AR100","AR111","AR100",2166.45891652133
"AR112_AR100","AR112","AR100",6182.18687265835
"AR114_AR100","AR114","AR100",2956.09156251392
"AR115_AR100","AR115","AR100",5053.5884722904
"AR118_AR100","AR118","AR100",5637.11920362953
"AR119_AR100","AR119","AR100",2868.96943705789
"AR12_AR100","AR12","AR100",4655.801559553
"AR123_AR100","AR123","AR100",7168.10767404623
"AR125_AR100","AR125","AR100",5030.1407191846
"AR128_AR100","AR128","AR100",5305.26787749361
"AR129_AR100","AR129","AR100",6549.18935747483
"AR130_AR100","AR130","AR100",7106.36849973483
"AR132_AR100","AR132","AR100",4480.17390643704
"AR134_AR100","AR134","AR100",7096.85886073468
"AR137_AR100","AR137","AR100",4671.11244726057
"AR14_AR100","AR14","AR100",5688.69319417991
"AR141_AR100","AR141","AR100",2930.84492992455
"AR142_AR100","AR142","AR100",3265.15840645096
"AR144_AR100","AR144","AR100",6294.20900210843
"AR145_AR100","AR145","AR100",6408.09429732685
"AR147_AR100","AR147","AR100",5489.86422571525
"AR15_AR100","AR15","AR100",5682.27679914356
"AR150_AR100","AR150","AR100",4528.38644070106
"AR156_AR100","AR156","AR100",4859.92693565353
"AR157_AR100","AR157","AR100",4690.20800665881
"AR163_AR100","AR163","AR100",3868.88693064908
"AR164_AR100","AR164","AR100",3434.96830005004
"AR165_AR100","AR165","AR100",3355.73830051172
"AR166_AR100","AR166","AR100",5259.7211229119
"AR167_AR100","AR167","AR100",3610.7052713509
"AR169_AR100","AR169","AR100",4710.21647363448
"AR17_AR100","AR17","AR100",6787.54051342023
"AR170_AR100","AR170","AR100",4786.71766266818
"AR171_AR100","AR171","AR100",3474.18772975377
"AR174_AR100","AR174","AR100",3127.7524107303
"AR19_AR100","AR19","AR100",3595.78189540107
"AR2_AR100","AR2","AR100",6152.98751549276
"AR20_AR100","AR20","AR100",4149.66782812377
"AR23_AR100","AR23","AR100",4061.82049533342
"AR25_AR100","AR25","AR100",6122.82674554714
"AR26_AR100","AR26","AR100",6374.8321823607
"AR27_AR100","AR27","AR100",4748.23675894294
"AR31_AR100","AR31","AR100",4012.79801080317
"AR35_AR100","AR35","AR100",7159.63167251714
"AR38_AR100","AR38","AR100",5971.2004359339
"AR40_AR100","AR40","AR100",5300.72523689117
"AR42_AR100","AR42","AR100",4894.38780505998
"AR46_AR100","AR46","AR100",5530.21437268993
"AR48_AR100","AR48","AR100",3137.59410283031
"AR49_AR100","AR49","AR100",3404.70538738714
"AR5_AR100","AR5","AR100",4045.92380701434
"AR58_AR100","AR58","AR100",7171.91957002391
"AR60_AR100","AR60","AR100",7008.13737588803
"AR61_AR100","AR61","AR100",6989.22881972687
"AR63_AR100","AR63","AR100",6351.16668608576
"AR67_AR100","AR67","AR100",5806.04516438906
"AR71_AR100","AR71","AR100",3295.0811101215
"AR73_AR100","AR73","AR100",2654.69430813483
"AR74_AR100","AR74","AR100",4258.03978505622
"AR77_AR100","AR77","AR100",1988.57693907653
"AR81_AR100","AR81","AR100",2770.1716375652
"AR82_AR100","AR82","AR100",2238.85027726908
"AR89_AR100","AR89","AR100",5088.61470553841
"AR90_AR100","AR90","AR100",5482.70916508474
"AR91_AR100","AR91","AR100",6061.76196881119
"AR95_AR100","AR95","AR100",5133.40729579606
"AR97_AR100","AR97","AR100",6743.51408515098
"AR99_AR100","AR99","AR100",2600.59426040464
"AR100_AR101","AR100","AR101",3532.64334998198
"AR105_AR101","AR105","AR101",2749.72486242093
"AR107_AR101","AR107","AR101",7155.1491461524
"AR111_AR101","AR111","AR101",4219.42885301168
"AR114_AR101","AR114","AR101",5142.25149565153
"AR119_AR101","AR119","AR101",2533.19447423791
"AR12_AR101","AR12","AR101",7121.02737131695
"AR125_AR101","AR125","AR101",3375.39828865937
"AR128_AR101","AR128","AR101",5432.38422703985
"AR132_AR101","AR132","AR101",4999.93611593556
"AR135_AR101","AR135","AR101",6722.39066233598
"AR137_AR101","AR137","AR101",4905.37411302034
"AR138_AR101","AR138","AR101",7056.24022644467
"AR14_AR101","AR14","AR101",5957.47466980155
"AR141_AR101","AR141","AR101",4055.6943869727
"AR142_AR101","AR142","AR101",1275.85631789963
"AR145_AR101","AR145","AR101",4025.37766120124
"AR146_AR101","AR146","AR101",6373.65760714852
"AR147_AR101","AR147","AR101",5965.29099784314
"AR148_AR101","AR148","AR101",7110.66860461685
"AR15_AR101","AR15","AR101",6851.51448994237
"AR150_AR101","AR150","AR101",6651.25341323056
"AR152_AR101","AR152","AR101",6629.31861864831
