"GEOID","Cluster","State","County.Code","Tract_RUC","Tract_Population","Tract_Land","Tract_Lat","Tract_Long","Tract_methadone_unserved","Name","Address","Pharm_Lat","Pharm_Long","Cluster_centroid_Latitude","Cluster_centroid_Longitude","Shortest_distance","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC","Max_RUC","Max_PopD","Drive_Time"
5001480100,"AR93","Arkansas",5001,6,18352,988.812,34.3424381,-91.2160207,1.128364944,"TOMMYS REXALL DRUG COMPANY","220 COURT SQUARE",34.294519,-91.335477,34.2864755,-91.336502,12209.7827918656,18352,988.812,6,6,18.5596453117478,1192.63293781643
5001480200,"AR54","Arkansas",5001,6,18352,988.812,34.3790548,-91.555195,1.349694855,"WALMART PHARMACY 10-0102","406 E 22ND STREET",34.477074,-91.549104,34.494533,-91.553166,10925.7712225486,18352,988.812,6,6,18.5596453117478,1137.83132403798
5001480300,"AR54","Arkansas",5001,6,18352,988.812,34.5113876,-91.4992086,2.31268877,"COKER HAMPTON DRUG CO","218 South Main Street",34.500548,-91.552812,34.494533,-91.553166,5063.18125424485,18352,988.812,6,6,18.5596453117478,887.615984190779
5001480400,"AR54","Arkansas",5001,6,18352,988.812,34.5308197,-91.5548599,1.949373633,"PROFESSIONAL PHARMACY","1515 N MEDICAL DRIVE",34.515625,-91.559387,34.494533,-91.553166,1741.68149800205,18352,988.812,6,6,18.5596453117478,745.854374594336
5001480500,"AR54","Arkansas",5001,6,18352,988.812,34.4777411,-91.5623826,3.42434957,"DEANS PHARMACY #2","102 E 22nd St",34.479191,-91.551789,34.494533,-91.553166,985.429461872841,18352,988.812,6,6,18.5596453117478,713.577537692341
5001480600,"AR93","Arkansas",5001,6,18352,988.812,34.3069023,-91.3895216,1.370575035,"TOMMYS REXALL DRUG COMPANY","220 COURT SQUARE",34.294519,-91.335477,34.2864755,-91.336502,5157.57893669289,18352,988.812,6,6,18.5596453117478,891.644877277661
5001480700,"AR93","Arkansas",5001,6,18352,988.812,34.2888783,-91.2884998,2.471378141,"TOMMYS REXALL DRUG COMPANY","220 COURT SQUARE",34.294519,-91.335477,34.2864755,-91.336502,4365.88076012486,18352,988.812,6,6,18.5596453117478,857.855199101738
5001480800,"AR93","Arkansas",5001,6,18352,988.812,34.1186356,-91.330666,1.32129781,"DEANS PHARMACY","1640 S WHITEHEAD DR",34.278432,-91.337527,34.2864755,-91.336502,17799.6668904165,18352,988.812,6,6,18.5596453117478,1431.20919114259
5003960100,"AR153","Arkansas",5003,7,20771,925.359,33.2657179,-91.6105922,1.402312909,"Portland Drug Store","105 HWY 165 S",33.236105,-91.508135,33.236105,-91.508135,10091.7355990446,20771,925.359,7,7,22.4464234961782,1144.65623989018
5003960100,"AR33","Arkansas",5003,7,20771,925.359,33.2657179,-91.6105922,1.402312909,"LaGrone Drug & Gift","201 North Main Street",33.22657,-91.79771,33.2253195,-91.797875,17957.3074381624,20771,925.359,7,7,22.4464234961782,1480.35884598373
