"PharmID","Name","Address","City","State","Zip","Latitude","Longitude","Cluster","Cluster_centroid_Latitude","Cluster_centroid_Longitude","distance_to_clust","County","FIPS","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC"
"P7762","Rheem Specialty Pharmacy","346 Rheem Blvd Ste 109","Moraga","CA",945561511,37.860966,-122.128804,"CA100",37.87468256,-122.1458639,2139.88183,"contra costa",6013,1123678,717.078,1
"P5342","RITE AID PHARMACY 05963","910 DIABLO AVENUE","NOVATO","CA",949477311,38.103237,-122.573041,"CA101",38.09908756,-122.5684327,613.4570084,"marin",6041,260814,520.447,1
"P5208","CVS Pharmacy #09186","110 E LAUREL DR","SALINAS","CA",93906,36.698299,-121.650011,"CA105",36.68868461,-121.6463953,1117.870681,"monterey",6053,433168,3281.721,2
"P3202","CVS Pharmacy #09612","NO 6 THE CROSSROADS","CARMEL","CA",93923,36.448672,-121.849502,"CA106",36.448672,-121.849502,0,"monterey",6053,433168,3281.721,2
"P5619","CVS Pharmacy #03937","455 S Main St","RED BLUFF","CA",96080,40.166109,-122.22931,"CA109",40.1686012,-122.2324278,383.8087503,"tehama",6103,63247,2949.136,4
"P3227","CLOVERDALE PHARMACY","790 S Cloverdale Blvd","CLOVERDALE","CA",95425,38.792376,-123.016788,"CA110",38.788717,-123.015515,422.0286045,"sonoma",6097,500943,1575.597,2
"P8759","Walmart Pharmacy 10-4317","400 Tucker Rd","Tehachapi","CA",935610722,35.129637,-118.4658,"CA111",35.12787075,-118.467773,266.3183037,"kern",6029,878744,8132.29,2
"P3881","LOS BANOS DRUG CO","601 J ST","LOS BANOS","CA",936354224,37.059659,-120.848463,"CA114",37.05768786,-120.8526661,433.0882591,"merced",6047,267390,1936.111,2
"P5106","WALMART PHARMACY 10-1756","17251 FOOTHILL BLVD","FONTANA","CA",923359044,34.105656,-117.428788,"CA115",34.10030743,-117.4287647,595.4041167,"san bernardino",6071,2121220,20067.882,1
"P7738","CVS Pharmacy #05267","26973 Newport Rd","Menifee","CA",925849221,33.684366,-117.188013,"CA116",33.68865271,-117.1821591,722.3051334,"riverside",6065,2355002,7208.981,1
"P5205","RALEY'S PHARMACY #340","40041 HIGHWAY 49","OAKHURST","CA",93644,37.33278,-119.656933,"CA117",37.3329042,-119.658895,174.2120411,"madera",6039,154440,2136.93,3
"P5450","RALEY'S PHARMACY #247","1842 FORT JONES STREET","YREKA","CA",960979531,41.700464,-122.646462,"CA119",41.71273725,-122.6421675,1412.099028,"siskiyou",6093,43530,6278.768,6
"P3183","CVS Pharmacy #09099","4020 FREMONT HUB","FREMONT","CA",94538,37.547125,-121.988202,"CA12",37.55020904,-121.9933055,566.3426789,"alameda",6001,1629615,737.311,1
"P4632","SAFEWAY PHARMACY #1583","653 S State St","UKIAH","CA",954824912,39.143946,-123.205746,"CA120",39.1456232,-123.2046941,207.6201524,"mendocino",6045,87497,3506.358,4
"P8206","Hot Springs Pharmacy","13313 Palm Dr Ste A","Desert Hot Springs","CA",922405980,33.951648,-116.501794,"CA122",33.9495315,-116.5010868,244.4917387,"riverside",6065,2355002,7208.981,1
