"ID","Origin","Destination","Drive_Time"
"C77_CA100","C77","CA100",1682.8086799866
"C83_CA100","C83","CA100",842.139057184666
"C85_CA100","C85","CA100",4984.17260156809
"C96_CA100","C96","CA100",2237.57881240453
"C107_CA100","C107","CA100",1366.11199298372
"C108_CA100","C108","CA100",1223.84122208963
"C117_CA100","C117","CA100",3767.55754681883
"C130_CA100","C130","CA100",3759.09087475822
"C131_CA100","C131","CA100",6790.09196876934
"C132_CA100","C132","CA100",6803.94154754142
"C133_CA100","C133","CA100",7062.74616998949
"C134_CA100","C134","CA100",4794.61878494283
"C135_CA100","C135","CA100",4740.99344751937
"C139_CA100","C139","CA100",810.067198336862
"C140_CA100","C140","CA100",720.531241795136
"C141_CA100","C141","CA100",862.640888883368
"C142_CA100","C142","CA100",873.93438836244
"C159_CA100","C159","CA100",1238.05141889616
"C161_CA100","C161","CA100",5571.00715565105
"C162_CA100","C162","CA100",4297.32142692506
"C163_CA100","C163","CA100",4300.36833286426
"C164_CA100","C164","CA100",4491.26826899574
"C165_CA100","C165","CA100",4795.00746931912
"C166_CA100","C166","CA100",6349.77229021737
"C167_CA100","C167","CA100",6298.67613543919
"C172_CA100","C172","CA100",135.310305169975
"C173_CA100","C173","CA100",155.694356382007
"C174_CA100","C174","CA100",99.2350509091546
"C175_CA100","C175","CA100",65.2420894950799
"C176_CA100","C176","CA100",91.6403001483898
"C177_CA100","C177","CA100",411.421161940206
"C178_CA100","C178","CA100",3039.81546137973
"C179_CA100","C179","CA100",2937.87601774733
"C181_CA100","C181","CA100",4557.37345862926
"C182_CA100","C182","CA100",1908.97675204002
"C185_CA100","C185","CA100",4533.08703075068
"C187_CA100","C187","CA100",3972.45899369999
"C190_CA100","C190","CA100",3577.82679743142
"C191_CA100","C191","CA100",3556.54581759888
"C192_CA100","C192","CA100",3544.82465694748
"C193_CA100","C193","CA100",3501.98514572906
"C196_CA100","C196","CA100",2552.84879585216
"C203_CA100","C203","CA100",5049.21661817943
"C205_CA100","C205","CA100",4280.54114434957
"C77_CA101","C77","CA101",3262.1156130415
"C83_CA101","C83","CA101",1899.42484593782
"C85_CA101","C85","CA101",5560.63209032688
"C96_CA101","C96","CA101",2537.54923959596
"C107_CA101","C107","CA101",3211.43652139311
"C108_CA101","C108","CA101",3059.54884192811
"C117_CA101","C117","CA101",5262.83268376335
"C130_CA101","C130","CA101",5693.71515505941
"C131_CA101","C131","CA101",6648.18594846199
"C132_CA101","C132","CA101",6626.44771070063
"C134_CA101","C134","CA101",6804.15957392691
"C135_CA101","C135","CA101",6744.37913867491
"C139_CA101","C139","CA101",2338.35058545584
"C140_CA101","C140","CA101",2387.89857657289
"C141_CA101","C141","CA101",2070.70346473151
