"ID","Origin","Destination","Drive_Time"
"CA101_CA100","CA101","CA100",2353.94062611314
"CA105_CA100","CA105","CA100",6186.61935317422
"CA106_CA100","CA106","CA100",7166.49470964739
"CA110_CA100","CA110","CA100",5899.63010336752
"CA114_CA100","CA114","CA100",6522.49166811661
"CA12_CA100","CA12","CA100",1860.24866921278
"CA130_CA100","CA130","CA100",5299.61328449849
"CA14_CA100","CA14","CA100",3874.85820015004
"CA143_CA100","CA143","CA100",1789.47798005306
"CA144_CA100","CA144","CA100",2264.13196256856
"CA145_CA100","CA145","CA100",3001.1917556901
"CA146_CA100","CA146","CA100",1488.96166195785
"CA156_CA100","CA156","CA100",5927.56768942811
"CA16_CA100","CA16","CA100",5388.21854060389
"CA169_CA100","CA169","CA100",3734.60146611392
"CA193_CA100","CA193","CA100",5665.74778784381
"CA194_CA100","CA194","CA100",2497.50431023743
"CA195_CA100","CA195","CA100",1525.02464330483
"CA196_CA100","CA196","CA100",6394.85787886248
"CA197_CA100","CA197","CA100",7084.23288201233
"CA200_CA100","CA200","CA100",6724.89602961591
"CA205_CA100","CA205","CA100",683.264130069463
"CA206_CA100","CA206","CA100",5970.08182764657
"CA209_CA100","CA209","CA100",2628.62471771636
"CA211_CA100","CA211","CA100",6106.84697743988
"CA214_CA100","CA214","CA100",3972.18738942854
"CA219_CA100","CA219","CA100",4223.82275746809
"CA223_CA100","CA223","CA100",5953.20845760307
"CA224_CA100","CA224","CA100",6992.12099828867
"CA231_CA100","CA231","CA100",1847.35088746353
"CA232_CA100","CA232","CA100",5663.44295016774
"CA236_CA100","CA236","CA100",4824.64338536569
"CA244_CA100","CA244","CA100",5581.75379996371
"CA246_CA100","CA246","CA100",6846.28194661569
"CA247_CA100","CA247","CA100",6663.61882690125
"CA25_CA100","CA25","CA100",775.536471835772
"CA257_CA100","CA257","CA100",6068.95734453968
"CA263_CA100","CA263","CA100",2780.41546876596
"CA267_CA100","CA267","CA100",6692.91969861577
"CA270_CA100","CA270","CA100",4429.75064103176
"CA276_CA100","CA276","CA100",981.319382430031
"CA280_CA100","CA280","CA100",4540.34324898516
"CA283_CA100","CA283","CA100",6122.13358144491
"CA284_CA100","CA284","CA100",5844.10056686715
"CA289_CA100","CA289","CA100",6831.73516075945
"CA294_CA100","CA294","CA100",6514.46470711899
"CA308_CA100","CA308","CA100",3420.15058283849
"CA312_CA100","CA312","CA100",3566.88915720302
"CA323_CA100","CA323","CA100",2187.75554710962
"CA327_CA100","CA327","CA100",2236.3792966315
"CA353_CA100","CA353","CA100",3057.12612878546
"CA355_CA100","CA355","CA100",1165.89671843669
"CA364_CA100","CA364","CA100",5176.2252408066
"CA370_CA100","CA370","CA100",5642.85586121843
"CA378_CA100","CA378","CA100",3876.75290660363
"CA384_CA100","CA384","CA100",6195.56910628518
"CA41_CA100","CA41","CA100",1915.84381467702
"CA43_CA100","CA43","CA100",2829.51278807565
"CA44_CA100","CA44","CA100",2720.12323910349
"CA64_CA100","CA64","CA100",6432.26215952852
"CA66_CA100","CA66","CA100",796.411364513768
"CA7_CA100","CA7","CA100",6803.4899135015
"CA70_CA100","CA70","CA100",1143.66675910071
"CA72_CA100","CA72","CA100",5287.12409303003
"CA80_CA100","CA80","CA100",1127.31911396653
"CA81_CA100","CA81","CA100",5838.55769150907
"CA9_CA100","CA9","CA100",178.980125597123
"CA100_CA101","CA100","CA101",2353.94062611314
"CA110_CA101","CA110","CA101",4127.96722935408
"CA12_CA101","CA12","CA101",3713.08195685014
"CA120_CA101","CA120","CA101",6020.39043777325
"CA14_CA101","CA14","CA101",2145.28288422248
"CA143_CA101","CA143","CA101",3437.76983825874
"CA144_CA101","CA144","CA101",3734.32156943907
"CA145_CA101","CA145","CA101",5023.18744742746
"CA146_CA101","CA146","CA101",2936.60846522616
"CA16_CA101","CA16","CA101",5930.29106204488
"CA169_CA101","CA169","CA101",2456.7297290566
"CA193_CA101","CA193","CA101",7171.89341311647
"CA194_CA101","CA194","CA101",3385.13691140548
"CA195_CA101","CA195","CA101",3544.10014451956
"CA196_CA101","CA196","CA101",4823.30491466093
"CA200_CA101","CA200","CA101",7194.58782098761
"CA205_CA101","CA205","CA101",2670.29270939044
"CA206_CA101","CA206","CA101",6777.12046383716
"CA209_CA101","CA209","CA101",1897.80217078702
"CA214_CA101","CA214","CA101",4234.08089824554
"CA219_CA101","CA219","CA101",2769.01903098942
"CA223_CA101","CA223","CA101",4571.58505839383
"CA224_CA101","CA224","CA101",6311.28023665679
"CA231_CA101","CA231","CA101",3865.7550007482
"CA232_CA101","CA232","CA101",6348.79613423231
"CA236_CA101","CA236","CA101",2930.48443958208
"CA244_CA101","CA244","CA101",6858.43591922816
"CA25_CA101","CA25","CA101",2137.59926050343
"CA263_CA101","CA263","CA101",1438.98159387522
"CA267_CA101","CA267","CA101",5870.08695290099
"CA270_CA101","CA270","CA101",4457.05369571534
"CA276_CA101","CA276","CA101",2137.49457613723
"CA280_CA101","CA280","CA101",6636.50537203521
"CA283_CA101","CA283","CA101",6467.35150794017
"CA284_CA101","CA284","CA101",6463.93254671439
"CA286_CA101","CA286","CA101",7020.12826952398
"CA289_CA101","CA289","CA101",5224.83846511235
"CA308_CA101","CA308","CA101",3717.45497829533
"CA310_CA101","CA310","CA101",6202.05536571999
"CA312_CA101","CA312","CA101",3457.07437676259
"CA323_CA101","CA323","CA101",4060.11678481482
"CA327_CA101","CA327","CA101",4031.74357964042
"CA353_CA101","CA353","CA101",1309.4241336558
"CA355_CA101","CA355","CA101",2851.2656425607
"CA364_CA101","CA364","CA101",3833.69685807082
"CA378_CA101","CA378","CA101",5405.51609986151
"CA41_CA101","CA41","CA101",3114.63452303426
"CA43_CA101","CA43","CA101",3047.22708078688
"CA44_CA101","CA44","CA101",4399.65245117848
"CA66_CA101","CA66","CA101",2489.85552488478
"CA7_CA101","CA7","CA101",5307.42163900744
"CA70_CA101","CA70","CA101",3166.64727053956
"CA72_CA101","CA72","CA101",5684.3703798902
"CA80_CA101","CA80","CA101",2885.48045014825
"CA81_CA101","CA81","CA101",6296.67778961166
"CA9_CA101","CA9","CA101",623.612908380422
"CA100_CA105","CA100","CA105",6186.61935317422
"CA106_CA105","CA106","CA105",1900.52012637586
"CA114_CA105","CA114","CA105",3987.4825600081
"CA12_CA105","CA12","CA105",4552.46699339296
"CA130_CA105","CA130","CA105",4233.63928946172
"CA142_CA105","CA142","CA105",6651.49690462123
"CA143_CA105","CA143","CA105",6399.46213591717
"CA144_CA105","CA144","CA105",4482.75569446056
"CA145_CA105","CA145","CA105",5467.29873881547
"CA146_CA105","CA146","CA105",6678.57702970547
"CA156_CA105","CA156","CA105",1681.57664539588
"CA194_CA105","CA194","CA105",5060.91278624334
"CA195_CA105","CA195","CA105",5110.19617326117
"CA198_CA105","CA198","CA105",6845.72626615532
"CA205_CA105","CA205","CA105",6047.42925525084
"CA211_CA105","CA211","CA105",1051.57635584431
"CA213_CA105","CA213","CA105",3540.79997228609
"CA230_CA105","CA230","CA105",5096.26318291856
"CA231_CA105","CA231","CA105",5101.42585293556
"CA246_CA105","CA246","CA105",1526.18503040512
"CA25_CA105","CA25","CA105",6060.89764256905
"CA265_CA105","CA265","CA105",4614.17714553624
"CA269_CA105","CA269","CA105",1692.28540500004
"CA276_CA105","CA276","CA105",6783.2614255428
"CA280_CA105","CA280","CA105",4594.86877373184
"CA293_CA105","CA293","CA105",6092.02452302031
"CA299_CA105","CA299","CA105",2823.28289023133
"CA305_CA105","CA305","CA105",7096.39551474253
"CA315_CA105","CA315","CA105",6191.15138784136
"CA317_CA105","CA317","CA105",6304.472802218
"CA323_CA105","CA323","CA105",4235.50812187851
"CA327_CA105","CA327","CA105",6039.72445506095
"CA329_CA105","CA329","CA105",5322.31233322048
"CA345_CA105","CA345","CA105",2272.45996060957
"CA355_CA105","CA355","CA105",6379.00858442625
"CA370_CA105","CA370","CA105",5027.31999153988
"CA378_CA105","CA378","CA105",3153.8659743815
"CA41_CA105","CA41","CA105",5126.21398957703
"CA44_CA105","CA44","CA105",3857.00603167652
"CA64_CA105","CA64","CA105",1535.11139095966
"CA66_CA105","CA66","CA105",6406.11151256049
"CA70_CA105","CA70","CA105",5562.23700071038
"CA80_CA105","CA80","CA105",5332.3450569029
"CA9_CA105","CA9","CA105",4878.62837242785
"CA100_CA106","CA100","CA106",7166.49470964739
"CA105_CA106","CA105","CA106",1900.52012637586
"CA114_CA106","CA114","CA106",5281.04803336692
"CA12_CA106","CA12","CA106",5566.34273136541
"CA130_CA106","CA130","CA106",5636.34553813775
"CA135_CA106","CA135","CA106",7166.53572634154
"CA144_CA106","CA144","CA106",5304.26682615177
"CA145_CA106","CA145","CA106",6781.20117950958
"CA156_CA106","CA156","CA106",3039.25273177955
"CA194_CA106","CA194","CA106",5681.43612141407
"CA195_CA106","CA195","CA106",6219.46691224796
"CA205_CA106","CA205","CA106",7080.16219917504
"CA211_CA106","CA211","CA106",1626.43624308586
"CA213_CA106","CA213","CA106",3463.90448038397
"CA230_CA106","CA230","CA106",6146.67274917206
"CA231_CA106","CA231","CA106",6276.93861736742
"CA246_CA106","CA246","CA106",872.71127630386
"CA25_CA106","CA25","CA106",6959.15828161981
"CA265_CA106","CA265","CA106",5801.1497760516
"CA269_CA106","CA269","CA106",2064.08862943137
"CA280_CA106","CA280","CA106",6000.18096125055
"CA293_CA106","CA293","CA106",6378.6751104519
"CA299_CA106","CA299","CA106",2863.89010836038
"CA305_CA106","CA305","CA106",6488.61901854554
"CA317_CA106","CA317","CA106",5626.00801536212
"CA323_CA106","CA323","CA106",5286.02591873815
"CA329_CA106","CA329","CA106",6280.15373358216
"CA345_CA106","CA345","CA106",2485.76058063973
"CA370_CA106","CA370","CA106",6423.44649692498
"CA378_CA106","CA378","CA106",3822.40097209786
"CA41_CA106","CA41","CA106",5893.48434134295
"CA44_CA106","CA44","CA106",4784.42841782452
"CA64_CA106","CA64","CA106",1228.18761656265
"CA70_CA106","CA70","CA106",6633.86407271755
"CA80_CA106","CA80","CA106",6275.57488450423
"CA9_CA106","CA9","CA106",5642.11088615523
"CA120_CA109","CA120","CA109",6613.83157686767
"CA123_CA109","CA123","CA109",4598.40443937829
"CA166_CA109","CA166","CA109",4586.52664335118
"CA196_CA109","CA196","CA109",6654.60013041873
"CA215_CA109","CA215","CA109",1863.66071478352
"CA222_CA109","CA222","CA109",4398.31898510844
"CA223_CA109","CA223","CA109",6545.26127794157
"CA224_CA109","CA224","CA109",5261.47547953149
"CA227_CA109","CA227","CA109",6599.07019822504
"CA234_CA109","CA234","CA109",6321.08609685698
