"PharmID","Name","Address","City","State","Zip","Latitude","Longitude","Cluster","Cluster_centroid_Latitude","Cluster_centroid_Longitude","distance_to_clust","County","FIPS","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC"
"P9214","SAFEWAY PHARMACY #3723","315 W 2ND STREET","LA JUNTA","CO",810501419,37.987069,-103.547259,"CO1",37.9905306666667,-103.561148,1278.02228569274,"otero",8089,18325,1261.946,6
"P9209","KING SOOPERS PHARMACY","19711 E SMOKY HILL ROAD","AURORA","CO",800153101,39.615157,-104.758354,"CO10",39.6137557,-104.777347033333,1636.20497965711,"arapahoe",8005,626612,797.956,1
"P9424","SAFEWAY PHARMACY #2722","8355 N RAMPART RANGE ROAD","LITTLETON","CO",801259322,39.483349,-105.075497,"CO100",39.483349,-105.075497,0,"douglas",8035,320940,840.248,1
"P9444","KREMMLING MERCANTILE","101 MARTIN WAY Box 1600","KREMMLING","CO",80459,40.059666,-106.399059,"CO101",40.059666,-106.399059,0,"grand",8049,14793,1846.447,7
"P9470","COSTCO PHARMACY #637","170 COOLEY MESA RD","GYPSUM","CO",816379707,39.638412,-106.945651,"CO102",39.638412,-106.945651,0,"eagle",8037,53726,1684.47,5
"P9481","GOOD DAY PHARMACY","7955 6th St","WELLINGTON","CO",80549,40.701219,-105.000887,"CO103",40.698574,-105.0012545,296.069064772716,"larimer",8069,330976,2595.77,2
"P9510","GOOD DAY PHARMACY","201 JOHNSTOWN CENTER DR","JOHNSTOWN","CO",80534,40.334007,-104.907752,"CO105",40.334007,-104.907752,0,"weld",8123,285729,3984.931,2
"P9538","ABTS Pharmacy LLC","121 Cedar St","Julesburg","CO",807371519,40.986977,-102.263189,"CO106",40.986977,-102.263189,0,"sedgwick",8115,2357,548.041,9
"P9546","Meeker Drugs, Inc.","315 6th St","Meeker","CO",81641,40.037474,-107.913971,"CO108",40.037474,-107.913971,0,"rio blanco",8103,6557,3220.971,9
"P9566","Rio Grande Pharmacy","650 GRANDE AVE","DEL NORTE","CO",81132,37.679024,-106.354557,"CO111",37.679024,-106.354557,0,"rio grande",8105,11430,911.956,7
"P9585","SAFEWAY PHARMACY #2824","1900 N Poplar St","Leadville","CO",804613555,39.26145,-106.291471,"CO113",39.26145,-106.291471,0,"lake",8065,7481,376.919,6
"P9616","Haxtun Hospital District Pharmacy","235 W Fletcher St","Haxtun","CO",80731,40.641243,-102.631331,"CO114",40.641243,-102.631331,0,"phillips",8095,4327,687.928,9
"P9646","MMH Hometown pharmacy","1001 E Johnson St","Holyoke","CO",807341854,40.578545,-102.287963,"CO116",40.578545,-102.287963,0,"phillips",8095,4327,687.928,9
"P9677","The Apothecary Shoppe","480 Main Street","Nucla","CO",81424,38.269122,-108.546176,"CO117",38.269122,-108.546176,0,"montrose",8085,40908,2240.946,4
"P9680","B & B Drug","149 Main Avenue","Akron","CO",80720,40.159636,-103.212941,"CO118",40.159636,-103.212941,0,"washington",8121,4809,2518.084,9
"P9687","Stacie's Apothecary Shoppe","112 Village Square West Suite #110","Ridgway","CO",81432,38.152269,-107.748564,"CO119",38.152269,-107.748564,0,"ouray",8091,4653,541.593,9
"P9454","GOOD DAY PHARMACY","2601 S LEMAY AVE STE 44","FORT COLLINS","CO",80525,40.551232,-105.059526,"CO12",40.5512566296296,-105.063757259259,357.904417990405,"larimer",8069,330976,2595.77,2
"P9691","Mountain Key Pharmacy","18172 County Road 1","Florissant","CO",80816,38.944998,-105.288329,"CO120",38.944998,-105.288329,0,"teller",8119,23769,557.042,2
"P9716","Clark's Market","502 Belleview Ave","Crested Butte","CO",81224,38.866897,-106.981944,"CO121",38.866897,-106.981944,0,"gunnison",8051,16215,3239.142,7
"P9167","KING SOOPERS PHARMACY","2100 35TH AVENUE","GREELEY","CO",806323910,40.404793,-104.733327,"CO15",40.4032886315789,-104.738025210526,432.038989180225,"weld",8123,285729,3984.931,2
"P9089","CITY MARKET PHARMACY #417","1703 FREMONT DR","CANON CITY","CO",81212,38.448545,-105.223932,"CO17",38.4463908,-105.2217988,303.470444338502,"fremont",8043,46601,1533.083,4
"P8976","CARL'S PHARMACY LLC","306 E Main St","ASPEN","CO",816111930,39.191033,-106.820141,"CO18",39.1903536666667,-106.818645666667,149.54429131287,"pitkin",8097,17747,970.701,7
"P8977","Berthoud Drug","330 MOUNTAIN AVE","BERTHOUD","CO",80513,40.30541,-105.079,"CO19",40.30541,-105.079,0,"larimer",8069,330976,2595.77,2
"P9104","WALGREENS #4366","4401 WADSWORTH BLVD","WHEATRIDGE","CO",800333302,39.777103,-105.082121,"CO2",39.7744715471698,-105.080271792453,332.92528198587,"jefferson",8059,564029,764.346,1
"P8982","B AND B PHARMACY","1302 EDISON ST","BRUSH","CO",80723,40.254163,-103.636045,"CO20",40.254163,-103.636045,0,"morgan",8087,28123,1280.486,6
"P8983","WB Drug","314 14th St","BURLINGTON","CO",80807,39.303603,-102.26789,"CO21",39.303603,-102.26789,0,"kit carson",8063,7846,2160.822,7
"P8987","KIOWA DRUG","1201 MAINE","EADS","CO",81036,38.479867,-102.781685,"CO22",38.479867,-102.781685,0,"kiowa",8061,1368,1767.809,9
"P9215","CITY MARKET PHARMACY","0103 MARKET STREET","EAGLE","CO",81631,39.662678,-106.826057,"CO23",39.6583525,-106.8270505,488.981855961743,"eagle",8037,53726,1684.47,5
"P8989","FOX DRUG INC","1100 E MAIN ST","FLORENCE","CO",81226,38.38664,-105.100514,"CO24",38.38664,-105.100514,0,"fremont",8043,46601,1533.083,4
"P9461","WALGREENS #10117","17222 S GOLDEN RD","GOLDEN","CO",804012600,39.738422,-105.195812,"CO25",39.73751075,-105.20036925,403.082801083704,"jefferson",8059,564029,764.346,1
"P9634","Ben's Family Pharmacy","333 M Ave","Limon","CO",80828,39.265481,-103.699178,"CO26",39.2643195,-103.6942015,447.973135496469,"lincoln",8073,5520,2577.679,8
"P8995","ORDWAY PHARMACY","231 MAIN ST","ORDWAY","CO",81063,38.216754,-103.75641,"CO29",38.216754,-103.75641,0,"crowley",8025,5514,787.428,8
"P9231","UNIVERSITY OF COLORADO HOSPITAL LOWRY PHARMACY","8111 E. Lowry Blvd. STE 110, MS B01","DENVER","CO",80230,39.718762,-104.89341,"CO3",39.7124033333333,-104.891906961538,719.449391550834,"denver",8031,678467,153.292,1
"P8997","HAYS DRUG STORE","224 GRAND AVE","PAONIA","CO",81428,38.867838,-107.598199,"CO31",38.867838,-107.598199,0,"delta",8029,30217,1142.125,6
"P9004","HARRIS HEALTHMART PHARMACY","309 N MAIN ST","ROCKY FORD","CO",810671253,38.053845,-103.719331,"CO32",38.053845,-103.719331,0,"otero",8089,18325,1261.946,6
"P9005","R & R Family Pharmacy","909 MAIN STREET","SPRINGFIELD","CO",810731646,37.404167,-102.616672,"CO33",37.404167,-102.616672,0,"baca",8009,3581,2554.992,9
"P9006","Walker Pharmacy","410 W MAIN STREET","STERLING","CO",807513034,40.625489,-103.218323,"CO34",40.625069,-103.2175134,82.8547407730713,"logan",8075,21885,1838.598,7
"P9007","Star Drug","520 Main St","WALSENBURG","CO",810892136,37.623919,-104.780816,"CO35",37.623919,-104.780816,0,"huerfano",8055,6498,1591.032,6
"P9008","Good Day Pharmacy","315 E 8TH AVE","YUMA","CO",80759,40.118345,-102.720582,"CO36",40.118345,-102.720582,0,"yuma",8125,10109,2364.398,7
"P9066","WALGREENS #5645","205 E EISENHOWER BLVD","LOVELAND","CO",805373909,40.407785,-105.073724,"CO37",40.411224,-105.069285941176,536.719486002713,"larimer",8069,330976,2595.77,2
"P9017","Sunshine Pharmacy","333 W Colorado Ave Suite 3","Telluride","CO",81435,37.938068,-107.813176,"CO38",37.938068,-107.813176,0,"san miguel",8113,7804,1286.727,9
"P9500","WALMART PHARMACY 10-4377","2000 WEST VICTORY WAY","CRAIG","CO",816253440,40.511897,-107.569505,"CO39",40.514758,-107.564858,506.065979113694,"moffat",8081,13056,4743.244,7
"P8943","WALGREENS #2482","1830 30TH STREET","BOULDER","CO",803011016,40.018808,-105.253126,"CO4",40.0177607222222,-105.252935222222,117.711476594975,"boulder",8013,316782,726.377,2
"P9620","King Soopers Pharmacy #107","25701 E Smoky Hill Road","Aurora","CO",80016,39.587615,-104.687208,"CO42",39.587615,-104.687208,0,"arapahoe",8005,626612,797.956,1
"P9262","KING SOOPERS PHARMACY","3570 HARTSEL DRIVE","COLORADO SPRINGS","CO",809204170,38.939667,-104.760482,"CO44",38.9441032105263,-104.769054315789,891.489872284468,"el paso",8041,674826,2126.847,2
"P9628","Walmart Pharmacy 10-3018","4425 Venetucci Blvd","Fountain","CO",809064013,38.768444,-104.781588,"CO45",38.7627976666667,-104.778366166667,687.948746083549,"el paso",8041,674826,2126.847,2
"P9136","WALMART PHARMACY 10-1199","171 YODER AVENUE","AVON","CO",81620,39.627675,-106.500457,"CO46",39.63248575,-106.489606,1073.44675819268,"eagle",8037,53726,1684.47,5
"P9119","WALMART PHARMACY 10-0984","133 Sam Walton Ln","CASTLE ROCK","CO",801047933,39.406289,-104.860871,"CO47",39.3965704444444,-104.863663,1108.20114264286,"douglas",8035,320940,840.248,1
"P9598","Walmart Pharmacy 10-3176","1725 N Union Blvd","Colorado Springs","CO",809092850,38.857499,-104.793161,"CO5",38.8566951836735,-104.787173408163,526.6966527228,"el paso",8041,674826,2126.847,2
"P9197","CITY MARKET PHARMACY","438 S HWY 24","BUENA VISTA","CO",81211,38.845617,-106.134807,"CO53",38.8455145,-106.134587,22.2263644004891,"chaffee",8015,18818,1013.409,7
