"ID","Origin","Destination","Drive_Time"
"C213_CO1","C213","CO1",6787.63347322034
"C223_CO1","C223","CO1",4215.84316309903
"C226_CO1","C226","CO1",4842.65556343415
"C227_CO1","C227","CO1",4918.35232840743
"C209_CO10","C209","CO10",1859.66192841137
"C210_CO10","C210","CO10",848.757840857661
"C211_CO10","C211","CO10",2888.79182494007
"C212_CO10","C212","CO10",2175.41257920692
"C213_CO10","C213","CO10",4142.77916011008
"C214_CO10","C214","CO10",1061.72686251903
"C215_CO10","C215","CO10",1099.25849139787
"C216_CO10","C216","CO10",1187.31893242743
"C217_CO10","C217","CO10",1023.90938664314
"C218_CO10","C218","CO10",1155.88728518649
"C219_CO10","C219","CO10",851.602783046777
"C221_CO10","C221","CO10",879.003102641514
"C224_CO10","C224","CO10",1236.92247822186
"C225_CO10","C225","CO10",3488.74160687834
"C226_CO10","C226","CO10",6854.77583691288
"C227_CO10","C227","CO10",6760.19651443268
"C228_CO10","C228","CO10",1862.98647456194
"C209_CO100","C209","CO100",1915.04037758865
"C210_CO100","C210","CO100",1738.28418355066
"C211_CO100","C211","CO100",2909.2098562268
"C212_CO100","C212","CO100",2988.81458211558
"C213_CO100","C213","CO100",3720.83754647919
"C214_CO100","C214","CO100",1409.25067651109
"C215_CO100","C215","CO100",1295.2692221489
"C216_CO100","C216","CO100",1327.20049363376
"C217_CO100","C217","CO100",1395.70515825567
"C218_CO100","C218","CO100",1416.59588039244
"C219_CO100","C219","CO100",1293.00355027919
"C221_CO100","C221","CO100",1245.50623832156
"C224_CO100","C224","CO100",1015.48585111026
"C225_CO100","C225","CO100",3871.09396794112
"C226_CO100","C226","CO100",6498.07699051755
"C227_CO100","C227","CO100",6397.31436243706
"C228_CO100","C228","CO100",2174.82291009486
"C209_CO101","C209","CO101",5625.75195810072
"C210_CO101","C210","CO101",6632.272679309
"C211_CO101","C211","CO101",4956.51836284903
"C212_CO101","C212","CO101",6428.2035423806
"C214_CO101","C214","CO101",5802.90593536162
"C215_CO101","C215","CO101",5724.32026415985
"C216_CO101","C216","CO101",5639.99040972283
"C217_CO101","C217","CO101",5837.47137235762
"C218_CO101","C218","CO101",5704.13120349915
"C219_CO101","C219","CO101",5976.86277827564
"C221_CO101","C221","CO101",6618.66017420148
"C224_CO101","C224","CO101",6258.10408049875
"C225_CO101","C225","CO101",5426.84267715003
"C228_CO101","C228","CO101",5800.23007589449
"C211_CO102","C211","CO102",7075.21146667131
"C222_CO102","C222","CO102",7091.68039710057
"C209_CO103","C209","CO103",4720.53329522536
"C210_CO103","C210","CO103",5266.75095401259
"C211_CO103","C211","CO103",3971.69336437589
"C212_CO103","C212","CO103",3923.78754233022
"C214_CO103","C214","CO103",4684.02505596475
"C215_CO103","C215","CO103",4768.09473183629
"C216_CO103","C216","CO103",4718.41900505309
"C217_CO103","C217","CO103",4709.51750269357
"C218_CO103","C218","CO103",4646.97428502995
"C219_CO103","C219","CO103",4868.9379597852
"C221_CO103","C221","CO103",5755.86559817915
"C224_CO103","C224","CO103",5695.66667698888
"C225_CO103","C225","CO103",2879.24258718641
"C228_CO103","C228","CO103",4516.46813936333
"C209_CO105","C209","CO105",3040.61586207203
"C210_CO105","C210","CO105",3495.18424391372
"C211_CO105","C211","CO105",2495.22607337775
"C212_CO105","C212","CO105",2146.99435471124
"C214_CO105","C214","CO105",2943.79058713669
"C215_CO105","C215","CO105",3039.06350671903
"C216_CO105","C216","CO105",2998.25620553218
"C217_CO105","C217","CO105",2966.42192114563
"C218_CO105","C218","CO105",2916.80258715136
"C219_CO105","C219","CO105",3117.31514646324
"C221_CO105","C221","CO105",3995.44327275898
"C224_CO105","C224","CO105",3962.52384530964
