"ID","Origin","Destination","Drive_Time"
"CO22_CO1","CO22","CO1",4493.94968753432
"CO24_CO1","CO24","CO1",6773.64488993568
"CO26_CO1","CO26","CO1",6857.3291901265
"CO29_CO1","CO29","CO1",2099.82915504592
"CO32_CO1","CO32","CO1",1389.79806563197
"CO33_CO1","CO33","CO1",5261.97886948453
"CO35_CO1","CO35","CO1",5613.36802118478
"CO44_CO1","CO44","CO1",7038.65595917733
"CO45_CO1","CO45","CO1",6556.0365400064
"CO5_CO1","CO5","CO1",6860.58924597421
"CO64_CO1","CO64","CO1",6032.00859897911
"CO71_CO1","CO71","CO1",5503.33601197948
"CO100_CO10","CO100","CO10",1714.87190004139
"CO101_CO10","CO101","CO10",6998.61609046326
"CO103_CO10","CO103","CO10",5672.35504815812
"CO105_CO10","CO105","CO10",3896.12531879935
"CO113_CO10","CO113","CO10",6479.76812309937
"CO118_CO10","CO118","CO10",6936.21528613046
"CO12_CO10","CO12","CO10",5017.90356793512
"CO120_CO10","CO120","CO10",4170.91570585581
"CO15_CO10","CO15","CO10",4190.50007370265
"CO17_CO10","CO17","CO10",6326.13684962317
"CO19_CO10","CO19","CO10",3918.88986884769
"CO2_CO10","CO2","CO10",1806.70918659261
"CO20_CO10","CO20","CO10",5701.18049254948
"CO24_CO10","CO24","CO10",6495.1907299366
"CO25_CO10","CO25","CO10",2098.50261858347
"CO26_CO10","CO26","CO10",4920.70813467679
"CO3_CO10","CO3","CO10",794.050605688022
"CO37_CO10","CO37","CO10",4374.58356970087
"CO4_CO10","CO4","CO10",3071.7456601804
"CO42_CO10","CO42","CO10",686.473387040873
"CO44_CO10","CO44","CO10",3647.08351621448
"CO45_CO10","CO45","CO10",4461.48387902888
"CO46_CO10","CO46","CO10",6941.65437123935
"CO47_CO10","CO47","CO10",1456.12413438009
"CO5_CO10","CO5","CO10",4039.74170029174
"CO53_CO10","CO53","CO10",6898.62554446969
"CO54_CO10","CO54","CO10",3623.46418998022
"CO55_CO10","CO55","CO10",2621.89243507963
"CO57_CO10","CO57","CO10",2378.22004260386
"CO58_CO10","CO58","CO10",2428.13221971462
"CO59_CO10","CO59","CO10",880.497123472082
"CO6_CO10","CO6","CO10",1106.6945745837
"CO66_CO10","CO66","CO10",5466.86298424205
"CO7_CO10","CO7","CO10",1688.80674038682
"CO74_CO10","CO74","CO10",5008.00500827815
"CO75_CO10","CO75","CO10",3067.73862752079
"CO76_CO10","CO76","CO10",5233.8885993585
"CO77_CO10","CO77","CO10",6508.10912661621
"CO80_CO10","CO80","CO10",5325.20657051898
"CO83_CO10","CO83","CO10",1703.60411201342
"CO86_CO10","CO86","CO10",4753.14577116678
"CO89_CO10","CO89","CO10",4771.36044515935
"CO9_CO10","CO9","CO10",1598.44930821243
"CO91_CO10","CO91","CO10",4592.19899735998
"CO93_CO10","CO93","CO10",3195.24985141485
"CO99_CO10","CO99","CO10",5423.88087004051
"CO10_CO100","CO10","CO100",1714.87190004139
"CO101_CO100","CO101","CO100",6239.38940752404
"CO103_CO100","CO103","CO100",6263.37801387946
"CO105_CO100","CO105","CO100",4558.33245591244
"CO113_CO100","CO113","CO100",5230.483575756
"CO12_CO100","CO12","CO100",5544.75475979571
"CO120_CO100","CO120","CO100",3145.85043034264
"CO15_CO100","CO15","CO100",5022.62400442638
"CO17_CO100","CO17","CO100",5503.22045793007
"CO19_CO100","CO19","CO100",4376.51405991082
"CO2_CO100","CO2","CO100",1794.75166384528
"CO20_CO100","CO20","CO100",7041.9341021045
"CO23_CO100","CO23","CO100",7066.20858314549
"CO24_CO100","CO24","CO100",5767.67777116554
"CO25_CO100","CO25","CO100",1688.29639135814
"CO26_CO100","CO26","CO100",5886.86296184758
"CO3_CO100","CO3","CO100",1398.75774944657
"CO37_CO100","CO37","CO100",4862.89342230468
"CO4_CO100","CO4","CO100",3091.81403772061
"CO42_CO100","CO42","CO100",1901.54607440643
"CO44_CO100","CO44","CO100",3302.24130483591
"CO45_CO100","CO45","CO100",4035.93612720951
