"PharmID","Name","Address","City","State","Zip","Latitude","Longitude","Cluster","Cluster_centroid_Latitude","Cluster_centroid_Longitude","distance_to_clust","County","FIPS","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC"
"P10563","CVS Pharmacy #05246","110 Hwy 98","PORT SAINT JOE","FL",32456,29.81682,-85.30528,"FL5",29.814278,-85.3036985,321.5684803,"gulf",12045,16018,553.439,3
"P10565","WALGREENS","4320 26TH ST W","BRADENTON","FL",342053563,27.462931,-82.588366,"FL7",27.47162806,-82.57200781,1883.573542,"manatee",12081,363542,743.633,2
"P10597","CVS Pharmacy #05817","1800 EAST HIGHWAY 50","CLERMONT","FL",34711,28.54687,-81.72329,"FL32",28.54218353,-81.73152816,959.764979,"lake",12069,326215,950.757,1
"P10632","North Florida Pharmacy of Mayo","229 W MAIN ST","MAYO","FL",32066,30.052783,-83.177412,"FL59",30.052783,-83.177412,0,"lafayette",12067,8684,543.345,9
"P10682","WALMART PHARMACY 10-5172","1900 SOUTH JEFFERSON STREET","PERRY","FL",32348,30.10306,-83.58263,"FL86",30.1045986,-83.582682,171.3493633,"taylor",12123,22350,1043.318,6
"P10716","SAMS PHARMACY 10-6361","740 Beal Pkwy NW","FT WALTON BEACH","FL",325473002,30.439023,-86.639191,"FL83",30.43188692,-86.63058592,1145.940018,"okaloosa",12091,197591,930.227,3
"P10754","CVS Pharmacy #00262","400 6TH ST NW","WINTER HAVEN","FL",33881,28.026344,-81.732388,"FL62",28.02378346,-81.74233165,1017.852632,"polk",12105,652256,1797.536,2
"P10762","CVS Pharmacy #00411","500 S 11TH ST","LAKE WALES","FL",33853,27.893471,-81.564979,"FL102",27.89416117,-81.5653645,85.68087677,"polk",12105,652256,1797.536,2
"P10778","CVS Pharmacy #01293","12804 S US HWY 301","DADE CITY","FL",33525,28.343539,-82.18664,"FL2",28.34516129,-82.18704357,184.8697687,"pasco",12101,498136,746.584,1
"P10843","CVS Pharmacy #01114","4475 San Juan Ave","JACKSONVILLE","FL",32210,30.282328,-81.719639,"FL17",30.28692292,-81.72179249,551.8057361,"duval",12031,912043,762.629,1
"P10874","Cleveland Heights Pharmacy","3405 CLEVELAND HTS BLVD","LAKELAND","FL",33803,28.00171,-81.949317,"FL16",28.00527589,-81.94610105,507.4254083,"polk",12105,652256,1797.536,2
"P10890","Buy Rite Drugs #8","117 Ave. E Hw 98","Apalachicola","FL",323202034,29.723752,-84.988758,"FL134",29.723161,-84.989354,87.4530359,"franklin",12037,11675,545.141,6
"P10916","WALGREENS #7583","3820 N MONROE ST","TALLAHASSEE","FL",323032136,30.501762,-84.329686,"FL142",30.48803443,-84.35077629,2535.306288,"leon",12073,285890,666.889,2
"P10920","WALGREENS #6407","99551 OVERSEAS HWY","KEY LARGO","FL",330374371,25.093814,-80.440417,"FL124",25.099826,-80.43451367,895.5789938,"monroe",12087,76745,983.029,4
"P10941","CHEEK PHARMACY","16734 SE 19 HWY","CROSS CITY","FL",326285020,29.632811,-83.123479,"FL147",29.632811,-83.123479,0,"dixie",12029,16323,705.108,6
"P10962","WATSON'S PHARMACY","16 W WALL ST","FROSTPROOF","FL",338431176,27.74603,-81.530768,"FL149",27.74603,-81.530768,0,"polk",12105,652256,1797.536,2
"P10978","SUMMERFIELD PHARMACY","13057 Summerfield Square Dr","RIVERVIEW","FL",33578,27.795032,-82.336089,"FL146",27.80982382,-82.33862965,1665.514665,"hillsborough",12057,1351087,1021.913,1
"P10990","COOK DISCOUNT DRUGS","5324 BROWN ST","GRACEVILLE","FL",324402238,30.95558,-85.51569,"FL154",30.95558,-85.51569,0,"jackson",12063,48571,918.178,6
"P10991","KINGS DISCOUNT DRUG","1242 MAIN ST","CHIPLEY","FL",32428,30.765775,-85.540721,"FL155",30.763445,-85.54281367,327.6339899,"washington",12133,24472,584.677,6
"P10992","CVS Pharmacy #07894","8495 S US-1","VERO BEACH","FL",32967,27.74776,-80.435691,"FL156",27.74776,-80.435691,0,"indian river",12061,147981,502.785,3
"P11028","GROVELAND PHARMACY","145 E. Broad St.","GROVELAND","FL",34736,28.56005,-81.85489,"FL160",28.56097075,-81.84310175,1157.124879,"lake",12069,326215,950.757,1
"P11031","PIERSON COMMUNITY PHARMACY","112 EAST 1ST AVE","PIERSON","FL",32180,29.24356,-81.462404,"FL162",29.24356,-81.462404,0,"volusia",12127,518660,1101.241,2
"P11045","WALGREENS #1902","6680 THOMASVILLE RD","TALLAHASSEE","FL",323123836,30.561217,-84.218533,"FL163",30.554553,-84.2209746,777.8787877,"leon",12073,285890,666.889,2
"P11072","BURRYS PHARMACY","500 WEBSTER ST","LEESBURG","FL",347485019,28.816086,-81.878536,"FL121",28.82068964,-81.88140145,583.7266392,"lake",12069,326215,950.757,1
"P11074","CVS Pharmacy #17173","853 HARBOR BLVD","DESTIN","FL",32541,30.390476,-86.481616,"FL166",30.390424,-86.48387,216.5154234,"okaloosa",12091,197591,930.227,3
"P11081","WALGREENS #9421","115 N LAWRENCE BLVD","KEYSTONE HEIGHTS","FL",32656,29.785723,-82.029828,"FL167",29.78467775,-82.02966275,117.4469007,"clay",12019,203291,604.613,1
"P11107","WALMART PHARMACY 10-3347","7450 CYPRESS GARDENS BLVD","WINTER HAVEN","FL",33884,27.97837,-81.64815,"FL63",27.98935286,-81.636847,1652.082181,"polk",12105,652256,1797.536,2
"P11124","SILVER STAR PHARMACY LLC","12304 SW 127th Avenue","Miami","FL",33186,25.655294,-80.399546,"FL21",25.64660671,-80.39807283,978.2987946,"miami-dade",12086,2702602,1899.849,1
"P11131","WALGREENS #9578","2580 CRAWFORDVILLE HWY","CRAWFORDVILLE","FL",323272174,30.19555,-84.37067,"FL174",30.1980662,-84.3695776,299.1722211,"wakulla",12129,31586,606.418,2
"P11133","LITTLE DRUG HEALTH MART PHARMACY","412 CANAL ST","NEW SMYRNA BEACH","FL",321687010,29.023938,-80.924678,"FL175",29.00102179,-80.91582179,2692.772477,"volusia",12127,518660,1101.241,2
"P11172","WALGREENS #1990","2605 BARNA AVE","TITUSVILLLE","FL",327805452,28.585221,-80.817778,"FL34",28.58841147,-80.82519873,807.6500873,"brevard",12009,568183,1014.979,2
"P11192","WALMART PHARMACY 10-3348","101 NORTH CONGRESS AVE","LAKE PARK","FL",33403,26.795131,-80.088343,"FL30",26.79161602,-80.08445245,550.0557317,"palm beach",12099,1426772,1964.283,1
"P11198","WALGREENS #9016","200 W STATE RD 436","ALTAMONTE SPRINGS","FL",327144202,28.66176,-81.39177,"FL88",28.66047736,-81.39319823,199.6241054,"seminole",12117,449260,309.321,1
"P11207","WALMART PHARMACY 10-3862","1905 NORTH NOVA ROAD","HOLLY HILL","FL",32117,29.248695,-81.067231,"FL27",29.2435355,-81.06435268,638.7806521,"volusia",12127,518660,1101.241,2
"P11212","UMATILLA DRUG STORE","901 N CENTRAL AVE","UMATILLA","FL",32784,28.938787,-81.664855,"FL181",28.938787,-81.664855,0,"lake",12069,326215,950.757,1
"P11246","Yates Pharmacy","5404 10th St","MALONE","FL",32445,30.957262,-85.162007,"FL186",30.9549,-85.1623795,265.330352,"jackson",12063,48571,918.178,6
"P11254","THE VILLAGE PHARMACY AT DOWLING PARK","10820 MARVIN JONES BLVD","DOWLING PARK","FL",32060,30.252339,-83.233497,"FL187",30.252339,-83.233497,0,"suwannee",12121,43814,688.552,6
"P11269","Publix Pharmacy #1123","605 COURTLAND BLVD","DELTONA","FL",32738,28.879879,-81.177109,"FL98",28.896158,-81.1770274,1812.187444,"volusia",12127,518660,1101.241,2
"P11301","ISLAND PHARMACY INC","2330 PALM RIDGE RD STE 12","SANIBEL","FL",33957,26.437386,-82.076999,"FL194",26.4371075,-82.077153,34.59463404,"lee",12071,700165,781.457,2
"P11325","FAMILY PHARMACY","3644 WEBBER STREET","SARASOTA","FL",342324494,27.307512,-82.496466,"FL37",27.31152005,-82.50466636,925.7304732,"sarasota",12115,404839,555.992,2
"P11331","WALGREENS #9098","2 US HWY 27 S","LAKE PLACID","FL",338529453,27.29664,-81.35937,"FL197",27.2977512,-81.360858,192.271408,"highlands",12055,100177,1017.645,3
"P11340","North Florida Pharmacy of Fort White","7729 SW US HWY 27","FORT WHITE","FL",32038,29.923061,-82.714214,"FL202",29.923061,-82.714214,0,"columbia",12023,68484,797.552,4
"P11363","WALGREENS #10669","657 S 6TH ST","MACCLENNY","FL",320632607,30.273415,-82.122323,"FL151",30.27201033,-82.12234583,156.3821861,"baker",12003,27537,585.231,1
"P11373","SUPER DISCOUNT PHARMACY","1423 S COLLINS ST","PLANT CITY","FL",33563,28.002227,-82.122129,"FL101",28.00195177,-82.12937615,712.962324,"hillsborough",12057,1351087,1021.913,1
"P11379","CVS Pharmacy #17201","1040 DALE MABRY HWY","LUTZ","FL",33548,28.173013,-82.470569,"FL131",28.16533232,-82.46313573,1123.901445,"pasco",12101,498136,746.584,1
