"ID","Origin","Destination","Drive_Time"
"C316_FL5","C316","FL5",2773.04160092025
"C326_FL5","C326","FL5",5526.43178332616
"C281_FL7","C281","FL7",552.13261520026
"C283_FL7","C283","FL7",2405.04244772805
"C284_FL7","C284","FL7",2346.27670166699
"C291_FL7","C291","FL7",4616.95441767274
"C299_FL7","C299","FL7",6807.81075351316
"C303_FL7","C303","FL7",4470.92102161514
"C304_FL7","C304","FL7",6083.52897966524
"C319_FL7","C319","FL7",2124.41303312273
"C321_FL7","C321","FL7",4319.10999337049
"C322_FL7","C322","FL7",1418.80871496685
"C323_FL7","C323","FL7",1484.82289579881
"C324_FL7","C324","FL7",5163.217528108
"C327_FL7","C327","FL7",2779.29920549787
"C328_FL7","C328","FL7",3886.50294503858
"C281_FL32","C281","FL32",6671.94493602577
"C283_FL32","C283","FL32",5334.14695837786
"C284_FL32","C284","FL32",5340.31833266703
"C285_FL32","C285","FL32",4688.45550394713
"C286_FL32","C286","FL32",4585.61662951997
"C293_FL32","C293","FL32",6181.79529704041
"C299_FL32","C299","FL32",2153.83376842606
"C303_FL32","C303","FL32",2836.33927562811
"C310_FL32","C310","FL32",3974.12360703529
"C311_FL32","C311","FL32",2067.51542792359
"C312_FL32","C312","FL32",1738.16712030942
"C313_FL32","C313","FL32",1728.01552586828
"C314_FL32","C314","FL32",1776.25911734142
"C315_FL32","C315","FL32",5732.7367216166
"C319_FL32","C319","FL32",5432.2277756462
"C321_FL32","C321","FL32",4771.56500800807
"C324_FL32","C324","FL32",4102.89387082271
"C325_FL32","C325","FL32",6956.29327542351
"C327_FL32","C327","FL32",4510.27616366208
"C328_FL32","C328","FL32",5052.8125613819
"C293_FL59","C293","FL59",4792.86107950407
"C297_FL59","C297","FL59",7189.09763361842
"C298_FL59","C298","FL59",6723.01204274408
"C300_FL59","C300","FL59",3042.68805155092
"C310_FL59","C310","FL59",6728.9313052499
"C326_FL59","C326","FL59",5510.9707586548
"C293_FL86","C293","FL86",6258.39804161748
"C300_FL86","C300","FL86",4532.32289276359
"C326_FL86","C326","FL86",3746.80307522261
"C282_FL83","C282","FL83",4130.791717955
"C316_FL83","C316","FL83",4733.69268776214
"C317_FL83","C317","FL83",2883.43569566565
"C318_FL83","C318","FL83",3235.20564179862
"C281_FL62","C281","FL62",4860.89105108118
"C283_FL62","C283","FL62",4400.18478226078
"C284_FL62","C284","FL62",4376.76668971433
"C285_FL62","C285","FL62",4929.17645096948
"C286_FL62","C286","FL62",6691.4081352889
"C291_FL62","C291","FL62",5188.55687105043
"C292_FL62","C292","FL62",6948.61216319155
"C299_FL62","C299","FL62",2347.56869248588
"C303_FL62","C303","FL62",1449.62161717867
"C304_FL62","C304","FL62",7157.86707355241
"C310_FL62","C310","FL62",6246.20197412909
"C311_FL62","C311","FL62",3363.42562580477
"C312_FL62","C312","FL62",3182.78053733521
"C313_FL62","C313","FL62",3265.35904384426
"C314_FL62","C314","FL62",3686.926366397
"C315_FL62","C315","FL62",5187.00125396906
"C319_FL62","C319","FL62",4363.86464593804
"C321_FL62","C321","FL62",4741.23369583881
"C322_FL62","C322","FL62",5370.20955117972
"C323_FL62","C323","FL62",5216.28030627151
"C324_FL62","C324","FL62",4616.75375938084
"C327_FL62","C327","FL62",3427.02283347233
"C328_FL62","C328","FL62",4770.1409681592
"C281_FL102","C281","FL102",5148.83514667588
"C283_FL102","C283","FL102",5068.36806459652
"C284_FL102","C284","FL102",5036.7725028917
"C285_FL102","C285","FL102",4584.00249162253
"C286_FL102","C286","FL102",7014.71172987521
"C291_FL102","C291","FL102",4637.43588535602
"C292_FL102","C292","FL102",6049.95123527685
"C299_FL102","C299","FL102",2526.90976120049
"C303_FL102","C303","FL102",2355.07493421561
"C304_FL102","C304","FL102",6530.21537301952
"C310_FL102","C310","FL102",7071.98022091918
"C311_FL102","C311","FL102",3596.81645978205
"C312_FL102","C312","FL102",3505.60234934423
"C313_FL102","C313","FL102",3601.57427865855
"C314_FL102","C314","FL102",4080.56563526154
"C315_FL102","C315","FL102",4542.44834488625
"C319_FL102","C319","FL102",4989.79268904477
"C321_FL102","C321","FL102",5606.42688593935
"C322_FL102","C322","FL102",5476.60745727398
"C323_FL102","C323","FL102",5296.33853649616
"C324_FL102","C324","FL102",5543.07384329636
"C327_FL102","C327","FL102",4119.49598757679
"C328_FL102","C328","FL102",5592.39387239002
"C281_FL2","C281","FL2",4871.77140929395
"C283_FL2","C283","FL2",3220.14864037179
"C284_FL2","C284","FL2",3233.56111214559
"C285_FL2","C285","FL2",6525.90398564231
"C286_FL2","C286","FL2",6619.50349529632
"C291_FL2","C291","FL2",6936.06935299308
"C293_FL2","C293","FL2",6548.09280501929
"C299_FL2","C299","FL2",3633.79117747021
"C303_FL2","C303","FL2",1990.15753106341
"C310_FL2","C310","FL2",4468.77800177082
"C311_FL2","C311","FL2",4110.32315759206
"C312_FL2","C312","FL2",3791.44887833245
"C313_FL2","C313","FL2",3810.4625246238
"C314_FL2","C314","FL2",3936.76089459666
"C319_FL2","C319","FL2",3351.75738950158
"C321_FL2","C321","FL2",2661.40777849449
"C322_FL2","C322","FL2",5764.01626650369
"C323_FL2","C323","FL2",5697.13714869387
"C324_FL2","C324","FL2",2195.06394294461
"C327_FL2","C327","FL2",2522.79829359853
"C328_FL2","C328","FL2",2900.09317786359
"C286_FL17","C286","FL17",6175.44757536325
"C293_FL17","C293","FL17",4454.70941910736
"C295_FL17","C295","FL17",774.392158167079
"C296_FL17","C296","FL17",815.998329194703
"C297_FL17","C297","FL17",760.950050537993
"C298_FL17","C298","FL17",550.136337870606
"C300_FL17","C300","FL17",4330.10335776902
"C310_FL17","C310","FL17",5876.33577964588
"C325_FL17","C325","FL17",2886.4057019115
"C281_FL16","C281","FL16",4084.43715550748
"C283_FL16","C283","FL16",3482.7997956055
"C284_FL16","C284","FL16",3459.54518349406
"C285_FL16","C285","FL16",5825.08911645239
"C291_FL16","C291","FL16",5145.51886756437
"C299_FL16","C299","FL16",3132.64197443668
"C303_FL16","C303","FL16",903.125079881557
"C304_FL16","C304","FL16",7149.09765616986
"C310_FL16","C310","FL16",6165.82397396178
"C311_FL16","C311","FL16",4056.15067158613
"C312_FL16","C312","FL16",3825.12899472924
"C313_FL16","C313","FL16",3893.67857086597
"C314_FL16","C314","FL16",4249.8276594862
"C315_FL16","C315","FL16",6099.37087478542
"C319_FL16","C319","FL16",3449.38711510192
"C321_FL16","C321","FL16",3916.28705504847
"C322_FL16","C322","FL16",4705.83586719889
"C323_FL16","C323","FL16",4575.23421989889
"C324_FL16","C324","FL16",3925.10622846816
"C327_FL16","C327","FL16",2509.69595362852
"C328_FL16","C328","FL16",3901.8567779919
"C316_FL134","C316","FL134",4154.55486159744
"C326_FL134","C326","FL134",4921.57268136963
"C316_FL142","C316","FL142",6174.21597343342
"C326_FL142","C326","FL142",1108.12405619363
"C287_FL124","C287","FL124",6559.01330252626
"C288_FL124","C288","FL124",7043.9366601908
"C290_FL124","C290","FL124",6502.28164693968
"C294_FL124","C294","FL124",4951.48204387226
"C305_FL124","C305","FL124",2934.80707430114
"C306_FL124","C306","FL124",3801.72295109962
"C307_FL124","C307","FL124",4625.51449308214
"C308_FL124","C308","FL124",4575.63454666355
"C320_FL124","C320","FL124",5989.80448592807
"C293_FL147","C293","FL147",3884.92905093504
"C298_FL147","C298","FL147",7116.45201125613
"C300_FL147","C300","FL147",3845.01452569514
"C310_FL147","C310","FL147",5254.31145787329
"C324_FL147","C324","FL147",6661.90660088826
"C326_FL147","C326","FL147",6534.42814076768
"C281_FL149","C281","FL149",5040.42346111831
"C283_FL149","C283","FL149",5274.00019134144
"C284_FL149","C284","FL149",5235.43556433075
"C285_FL149","C285","FL149",4890.45504849537
"C291_FL149","C291","FL149",3992.1442955022
"C292_FL149","C292","FL149",5681.29298534678
"C299_FL149","C299","FL149",3173.34202506497
"C303_FL149","C303","FL149",2891.29521728245
"C304_FL149","C304","FL149",5843.27700763342
"C311_FL149","C311","FL149",4227.83040443684
"C312_FL149","C312","FL149",4164.93688557525
"C313_FL149","C313","FL149",4263.09449876954
"C314_FL149","C314","FL149",4751.42525789061
"C315_FL149","C315","FL149",4580.47893587977
"C319_FL149","C319","FL149",5158.32926301434
"C321_FL149","C321","FL149",6019.83985445873
"C322_FL149","C322","FL149",5223.70980018228
"C323_FL149","C323","FL149",5028.53111513136
"C324_FL149","C324","FL149",6058.77665868162
"C327_FL149","C327","FL149",4375.68343664552
"C328_FL149","C328","FL149",5952.07163978025
"C281_FL146","C281","FL146",2205.75351788702
"C283_FL146","C283","FL146",1875.45980057952
"C284_FL146","C284","FL146",1829.61107168603
"C291_FL146","C291","FL146",4792.3378086919
"C299_FL146","C299","FL146",4908.51419411838
"C303_FL146","C303","FL146",2533.39027475009
"C304_FL146","C304","FL146",6710.83937977918
"C310_FL146","C310","FL146",7068.07984571267
"C311_FL146","C311","FL146",5882.27505943958
"C312_FL146","C312","FL146",5631.86761320697
"C313_FL146","C313","FL146",5692.4296854165
"C314_FL146","C314","FL146",6003.88818231693
"C319_FL146","C319","FL146",1728.63815967549
"C321_FL146","C321","FL146",3120.2434234453
"C322_FL146","C322","FL146",3038.79610050983
"C323_FL146","C323","FL146",2968.20608458103
"C324_FL146","C324","FL146",3659.71197708163
"C327_FL146","C327","FL146",1229.07382715717
"C328_FL146","C328","FL146",2848.45444205695
"C316_FL154","C316","FL154",4397.37646688679
"C326_FL154","C326","FL154",6421.71649916052
"C316_FL155","C316","FL155",3491.04607905021
"C326_FL155","C326","FL155",6152.49642865782
"C280_FL156","C280","FL156",6410.43114781904
"C285_FL156","C285","FL156",3657.92853331546
"C288_FL156","C288","FL156",6849.19701016522
"C289_FL156","C289","FL156",6580.13926718244
"C291_FL156","C291","FL156",7078.44173798046
"C292_FL156","C292","FL156",2038.34497438297
"C299_FL156","C299","FL156",5410.89239531587
"C301_FL156","C301","FL156",5894.0592239473
"C302_FL156","C302","FL156",6045.2341669738
"C303_FL156","C303","FL156",7092.50215663542
"C311_FL156","C311","FL156",5650.60632940195
"C312_FL156","C312","FL156",5889.79314507201
"C313_FL156","C313","FL156",5964.80071521571
"C314_FL156","C314","FL156",6354.13741549876
"C315_FL156","C315","FL156",2033.81245319129
"C281_FL160","C281","FL160",6425.34194258264
"C283_FL160","C283","FL160",4940.00778206331
"C284_FL160","C284","FL160",4950.94424692712
"C285_FL160","C285","FL160",5239.02449067305
"C286_FL160","C286","FL160",4919.06408960515
"C293_FL160","C293","FL160",5900.21761123524
"C299_FL160","C299","FL160",2628.948445487
"C303_FL160","C303","FL160",2732.30447024915
"C310_FL160","C310","FL160",3682.0622835725
"C311_FL160","C311","FL160",2619.17095039883
"C312_FL160","C312","FL160",2290.10959242263
"C313_FL160","C313","FL160",2277.09696740373
"C314_FL160","C314","FL160",2280.70146590965
"C315_FL160","C315","FL160",6253.1637975098
"C319_FL160","C319","FL160",5058.65029248879
"C321_FL160","C321","FL160",4272.51760649346
"C323_FL160","C323","FL160",7113.82156987408
"C324_FL160","C324","FL160",3567.6530179137
"C325_FL160","C325","FL160",7056.45888419264
"C327_FL160","C327","FL160",4173.32279597828
"C328_FL160","C328","FL160",4576.89990502682
"C285_FL162","C285","FL162",5642.39577438428
"C286_FL162","C286","FL162",2076.70769114027
"C293_FL162","C293","FL162",4512.68159765959
