"ID","Origin","Destination","Drive_Time"
"FL83_FL5","FL83","FL5",6755.07579166763
"FL134_FL5","FL134","FL5",2048.88755561336
"FL142_FL5","FL142","FL5",5672.18776311911
"FL154_FL5","FL154","FL5",6147.37702917733
"FL155_FL5","FL155","FL5",5280.5025925015
"FL163_FL5","FL163","FL5",6204.06151869276
"FL166_FL5","FL166","FL5",6077.70749161052
"FL174_FL5","FL174","FL5",4786.00954555906
"FL186_FL5","FL186","FL5",6118.80070591358
"FL168_FL5","FL168","FL5",5212.08894165484
"FL221_FL5","FL221","FL5",5560.70692794978
"FL224_FL5","FL224","FL5",5234.35576552891
"FL178_FL5","FL178","FL5",5229.85067674409
"FL244_FL5","FL244","FL5",5118.33432577655
"FL256_FL5","FL256","FL5",2009.95036728733
"FL266_FL5","FL266","FL5",4795.24382405842
"FL189_FL5","FL189","FL5",3839.20946428505
"FL171_FL5","FL171","FL5",5943.49764669065
"FL284_FL5","FL284","FL5",5186.46723873888
"FL288_FL5","FL288","FL5",5795.20326783608
"FL296_FL5","FL296","FL5",6152.89515543036
"FL145_FL5","FL145","FL5",4002.11439032338
"FL270_FL5","FL270","FL5",6280.53095132154
"FL184_FL5","FL184","FL5",3341.96187274531
"FL31_FL5","FL31","FL5",5737.10159314577
"FL58_FL5","FL58","FL5",5729.42620882503
"FL32_FL7","FL32","FL7",6761.96354615759
"FL62_FL7","FL62","FL7",4947.57213359742
"FL102_FL7","FL102","FL7",5229.02894690771
"FL2_FL7","FL2","FL7",4958.48767274195
"FL16_FL7","FL16","FL7",4173.46302842843
"FL149_FL7","FL149","FL7",5113.50446976879
"FL146_FL7","FL146","FL7",2295.67388814319
"FL160_FL7","FL160","FL7",6514.74776654222
"FL63_FL7","FL63","FL7",5113.25713890746
"FL194_FL7","FL194","FL7",5760.76331464203
"FL37_FL7","FL37","FL7",1276.42791872062
"FL197_FL7","FL197","FL7",5749.58352473147
"FL101_FL7","FL101","FL7",3620.12159076144
"FL131_FL7","FL131","FL7",3857.21487889399
"FL104_FL7","FL104","FL7",5212.96620081619
"FL182_FL7","FL182","FL7",2846.62529713776
"FL190_FL7","FL190","FL7",5068.62661278159
"FL226_FL7","FL226","FL7",5315.02064552766
"FL235_FL7","FL235","FL7",4044.68234939976
"FL237_FL7","FL237","FL7",6194.92693477251
"FL240_FL7","FL240","FL7",1556.87212706342
"FL112_FL7","FL112","FL7",6920.76914982078
"FL188_FL7","FL188","FL7",4321.82094851349
"FL241_FL7","FL241","FL7",6555.79773129064
"FL192_FL7","FL192","FL7",5085.5061130345
"FL79_FL7","FL79","FL7",5551.95087811419
"FL170_FL7","FL170","FL7",4974.73425390564
"FL97_FL7","FL97","FL7",2614.95517108628
"FL165_FL7","FL165","FL7",5121.3409005356
"FL105_FL7","FL105","FL7",4242.51264598234
"FL259_FL7","FL259","FL7",6936.08083341607
"FL208_FL7","FL208","FL7",3371.73512032197
"FL161_FL7","FL161","FL7",3009.77313621275
"FL200_FL7","FL200","FL7",5649.98864066361
"FL11_FL7","FL11","FL7",5515.26550563541
"FL272_FL7","FL272","FL7",3394.85001823035
"FL264_FL7","FL264","FL7",6478.66902666549
"FL278_FL7","FL278","FL7",5711.97636837807
"FL141_FL7","FL141","FL7",6653.08900679693
"FL169_FL7","FL169","FL7",5554.55423705545
"FL28_FL7","FL28","FL7",3005.5345040494
"FL214_FL7","FL214","FL7",3934.82938206196
"FL249_FL7","FL249","FL7",4076.1080410572
"FL130_FL7","FL130","FL7",6244.10228326375
"FL292_FL7","FL292","FL7",3461.94774788421
"FL77_FL7","FL77","FL7",5352.66332541826
"FL157_FL7","FL157","FL7",4019.30678184642
"FL183_FL7","FL183","FL7",1096.68170533269
"FL110_FL7","FL110","FL7",5693.83769080989
"FL106_FL7","FL106","FL7",4522.67003601886
"FL65_FL7","FL65","FL7",1520.54562247953
"FL35_FL7","FL35","FL7",3555.05287440466
"FL299_FL7","FL299","FL7",4572.73083361393
"FL39_FL7","FL39","FL7",1928.80767859304
"FL300_FL7","FL300","FL7",3970.07037265388
"FL203_FL7","FL203","FL7",6761.99187996359
"FL33_FL7","FL33","FL7",3332.88311538935
"FL103_FL7","FL103","FL7",5131.42578357503
"FL304_FL7","FL304","FL7",4817.33637078142
"FL159_FL7","FL159","FL7",7114.39531849327
"FL82_FL7","FL82","FL7",2919.19675422512
"FL307_FL7","FL307","FL7",7078.90216203097
"FL308_FL7","FL308","FL7",1361.76048034347
"FL99_FL7","FL99","FL7",5404.47195179367
"FL61_FL7","FL61","FL7",2363.976695324
"FL132_FL7","FL132","FL7",6030.9670711254
"FL140_FL7","FL140","FL7",1641.04560870789
"FL301_FL7","FL301","FL7",6643.54334091888
"FL236_FL7","FL236","FL7",1901.39172161501
"FL222_FL7","FL222","FL7",2881.14469003743
"FL248_FL7","FL248","FL7",5992.09435248876
"FL70_FL7","FL70","FL7",4412.18472987875
"FL109_FL7","FL109","FL7",3272.0723744587
"FL55_FL7","FL55","FL7",6253.2376774448
"FL94_FL7","FL94","FL7",983.33799662255
"FL205_FL7","FL205","FL7",3934.13311251728
"FL293_FL7","FL293","FL7",1208.41303295183
"FL312_FL7","FL312","FL7",2715.55076569414
"FL139_FL7","FL139","FL7",6155.30668656963
"FL302_FL7","FL302","FL7",4016.37239355542
"FL7_FL32","FL7","FL32",6761.96354615759
"FL62_FL32","FL62","FL32",2945.72302967813
"FL102_FL32","FL102","FL32",3646.68058089187
"FL2_FL32","FL2","FL32",2568.00759725094
"FL16_FL32","FL16","FL32",3229.73253001934
"FL149_FL32","FL149","FL32",4361.77301261449
"FL146_FL32","FL146","FL32",4749.52948574393
"FL156_FL32","FL156","FL32",7112.87235689971
"FL160_FL32","FL160","FL32",983.986347173728
"FL162_FL32","FL162","FL32",3946.8917383192
"FL121_FL32","FL121","FL32",1864.67258486665
"FL167_FL32","FL167","FL32",6452.97442880568
"FL63_FL32","FL63","FL32",3191.6011337073
"FL175_FL32","FL175","FL32",4487.89960888582
"FL34_FL32","FL34","FL32",4239.0689788022
"FL88_FL32","FL88","FL32",1827.0242484635
"FL27_FL32","FL27","FL32",4772.23087608813
"FL181_FL32","FL181","FL32",2309.11578889948
"FL98_FL32","FL98","FL32",3235.28289406305
"FL37_FL32","FL37","FL32",7165.95942386972
"FL197_FL32","FL197","FL32",6650.00247115671
"FL101_FL32","FL101","FL32",3430.14020887628
"FL131_FL32","FL131","FL32",3998.57595464351
"FL209_FL32","FL209","FL32",4165.45483677022
"FL182_FL32","FL182","FL32",4218.26816125029
"FL211_FL32","FL211","FL32",5646.32436675452
"FL180_FL32","FL180","FL32",6630.72754798574
"FL190_FL32","FL190","FL32",5055.71161195992
"FL116_FL32","FL116","FL32",3352.02258268136
"FL4_FL32","FL4","FL32",3031.38792381907
"FL233_FL32","FL233","FL32",5496.56993762527
"FL234_FL32","FL234","FL32",4370.2305171324
"FL235_FL32","FL235","FL32",4265.78119105147
"FL240_FL32","FL240","FL32",7028.05300650014
"FL188_FL32","FL188","FL32",3829.76176989017
"FL241_FL32","FL241","FL32",2269.66568793946
"FL192_FL32","FL192","FL32",3658.03578495793
"FL247_FL32","FL247","FL32",1615.84335158253
"FL79_FL32","FL79","FL32",2503.82181992284
"FL119_FL32","FL119","FL32",1780.83832156493
"FL97_FL32","FL97","FL32",4730.45704308204
"FL255_FL32","FL255","FL32",3578.68992269435
"FL165_FL32","FL165","FL32",5529.55948641063
"FL257_FL32","FL257","FL32",5737.75796339891
"FL239_FL32","FL239","FL32",4451.12638017991
"FL105_FL32","FL105","FL32",3566.22219680183
"FL38_FL32","FL38","FL32",6741.25242056135
"FL259_FL32","FL259","FL32",2212.04870750653
"FL260_FL32","FL260","FL32",2763.8296158385
"FL68_FL32","FL68","FL32",5671.73040283389
"FL45_FL32","FL45","FL32",2541.95029230441
"FL268_FL32","FL268","FL32",4978.08166966126
"FL230_FL32","FL230","FL32",5691.79542410619
"FL208_FL32","FL208","FL32",4286.85796355859
"FL200_FL32","FL200","FL32",3270.02739204632
"FL219_FL32","FL219","FL32",3393.79971862807
"FL216_FL32","FL216","FL32",3369.42062514818
"FL272_FL32","FL272","FL32",3820.85359199739
"FL198_FL32","FL198","FL32",2436.70616004378
"FL278_FL32","FL278","FL32",2545.7915119139
"FL141_FL32","FL141","FL32",1584.67910993023
"FL78_FL32","FL78","FL32",1150.34646758637
"FL281_FL32","FL281","FL32",1572.55131840491
"FL74_FL32","FL74","FL32",4926.11622808354
"FL286_FL32","FL286","FL32",1757.31254288585
"FL199_FL32","FL199","FL32",2160.91390092209
"FL28_FL32","FL28","FL32",4503.90182650342
"FL289_FL32","FL289","FL32",5177.18253455078
"FL214_FL32","FL214","FL32",5319.89714319665
"FL80_FL32","FL80","FL32",2582.19935974723
"FL291_FL32","FL291","FL32",5078.52127788189
"FL179_FL32","FL179","FL32",3970.19064208045
"FL130_FL32","FL130","FL32",2639.62116875549
"FL77_FL32","FL77","FL32",3848.54737115366
"FL295_FL32","FL295","FL32",6857.78787588303
"FL157_FL32","FL157","FL32",3541.88782514379
"FL183_FL32","FL183","FL32",6778.85592281686
"FL106_FL32","FL106","FL32",2823.13189452562
"FL65_FL32","FL65","FL32",5771.42089879246
"FL299_FL32","FL299","FL32",4087.6486883448
"FL39_FL32","FL39","FL32",5559.34063254283
"FL300_FL32","FL300","FL32",4984.03676284
"FL203_FL32","FL203","FL32",4154.35183845576
"FL33_FL32","FL33","FL32",4062.11373801929
"FL304_FL32","FL304","FL32",2908.79085807567
"FL159_FL32","FL159","FL32",3446.19399916609
"FL136_FL32","FL136","FL32",1408.05965859087
"FL122_FL32","FL122","FL32",2417.72978891963
"FL204_FL32","FL204","FL32",4461.54216911758
"FL82_FL32","FL82","FL32",4151.24552208873
"FL306_FL32","FL306","FL32",6328.55935437968
"FL232_FL32","FL232","FL32",2036.47710594459
"FL307_FL32","FL307","FL32",2556.0236154974
"FL308_FL32","FL308","FL32",5902.43612746136
"FL231_FL32","FL231","FL32",5770.70880710569
"FL67_FL32","FL67","FL32",3853.32017315938
