"PharmID","Name","Address","City","State","Zip","Latitude","Longitude","Cluster","Cluster_centroid_Latitude","Cluster_centroid_Longitude","distance_to_clust","County","FIPS","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC"
"P17183","Walgreens #19880","301 SOUTH BROAD STREET","THOMASVILLE","GA",317925546,30.835137,-83.977486,"GA10",30.83990025,-83.96512642,1294.891114,"thomas",13275,44909,544.622,4
"P15347","MEDITHRIFT PHARMACY","324 W PATTON ST","LA FAYETTE","GA",307280791,34.704718,-85.285222,"GA101",34.7035166,-85.2805692,446.3149492,"walker",13295,68609,446.39,2
"P15348","Lakeland Drug Company","42 W Main St","LAKELAND","GA",316351197,31.039798,-83.079759,"GA102",31.039798,-83.079759,0,"lanier",13173,10388,196.536,3
"P15349","CITY PHARMACY","114 MAIN ST","LINCOLNTON","GA",308176300,33.792144,-82.478969,"GA103",33.7917925,-82.4792535,47.15728434,"lincoln",13181,7768,210.382,2
"P16783","Peachtree Pharmacy & Gifts, Inc","802 Peachtree St","Louisville","GA",304341450,33.003137,-82.408699,"GA105",33.002889,-82.40802933,68.34240737,"jefferson",13163,15954,526.551,6
"P16793","INGLES PHARMACY","1441 Eatonton Rd","Madison","GA",306504630,33.573754,-83.478621,"GA107",33.5803626,-83.4730974,896.460726,"morgan",13211,18013,347.403,1
"P15359","MCCAYSVILLE DRUG CENTER INC","131 Blue Ridge Dr","MCCAYSVILLE","GA",30555,34.987274,-84.371035,"GA109",34.987274,-84.371035,0,"polk",47139,16722,434.606,3
"P17259","NeighborCare Pharmacy","3 Short St","Monticello","GA",31064,33.302699,-83.684825,"GA111",33.303898,-83.68564133,153.5682755,"jasper",13159,13732,368.406,1
"P16278","The Medicine Cabinet of Ocilla","615 North Irwin Avenue","Ocilla","GA",31774,31.602358,-83.249864,"GA112",31.598133,-83.2497595,470.4291998,"irwin",13155,9278,354.362,7
"P15367","Morris Drug Co","646 MAIN ST N","PEARSON","GA",31642,31.304521,-82.850757,"GA113",31.304503,-82.850914,15.06663511,"atkinson",13003,8313,342.718,9
"P15368","MOYES DRUG STORE","162 E RAILROAD ST SE","PELHAM","GA",31779,31.12641,-84.151098,"GA114",31.12674633,-84.15245,134.1654755,"mitchell",13205,22574,512.159,6
"P15369","BEDINGFIELD PHARMACY","27 N MAIN ST","PEMBROKE","GA",313210326,32.13684,-81.622643,"GA115",32.13648233,-81.62498333,224.1717089,"bryan",13029,34883,437.547,2
"P15370","PINEVIEW PHARMACY","117 E COMMERCE ST","PINEVIEW","GA",31071,32.109983,-83.500111,"GA116",32.109983,-83.500111,0,"wilcox",13315,8896,377.81,8
"P15371","PLAINS PHARMACY","103 MAIN ST","PLAINS","GA",317800160,32.033175,-84.394049,"GA117",32.033175,-84.394049,0,"sumter",13261,30687,482.877,6
