"ID","Origin","Destination","Drive_Time"
"C329_GA10","C329","GA10",4431.95042017121
"C337_GA10","C337","GA10",3123.82571852075
"C389_GA10","C389","GA10",4223.91450225782
"C391_GA10","C391","GA10",3403.22978893454
"C332_GA101","C332","GA101",5877.73318687158
"C333_GA101","C333","GA101",6006.43051638094
"C334_GA101","C334","GA101",7019.98748438519
"C336_GA101","C336","GA101",5144.46745134636
"C338_GA101","C338","GA101",6084.06713962249
"C340_GA101","C340","GA101",6134.8015267154
"C341_GA101","C341","GA101",2374.39015795405
"C342_GA101","C342","GA101",5777.77984483718
"C343_GA101","C343","GA101",3700.13358365369
"C344_GA101","C344","GA101",2513.31784321706
"C349_GA101","C349","GA101",5475.73541418837
"C350_GA101","C350","GA101",5606.18551233958
"C351_GA101","C351","GA101",6195.19705544752
"C352_GA101","C352","GA101",6023.55428956909
"C353_GA101","C353","GA101",5827.66002943894
"C355_GA101","C355","GA101",6266.54477648425
"C359_GA101","C359","GA101",1684.08474115119
"C360_GA101","C360","GA101",6609.93909099098
"C363_GA101","C363","GA101",6763.11665687566
"C364_GA101","C364","GA101",4617.29477115221
"C366_GA101","C366","GA101",6481.95809541157
"C371_GA101","C371","GA101",4834.63431695943
"C372_GA101","C372","GA101",7199.36136499185
"C373_GA101","C373","GA101",7056.55503291624
"C374_GA101","C374","GA101",5989.1341744013
"C375_GA101","C375","GA101",5819.57647543011
"C377_GA101","C377","GA101",1742.0498648098
"C378_GA101","C378","GA101",1677.81675864316
"C379_GA101","C379","GA101",2884.92308951026
"C380_GA101","C380","GA101",1758.01260052996
"C381_GA101","C381","GA101",5181.02201149514
"C388_GA101","C388","GA101",6183.7438385463
"C395_GA101","C395","GA101",1865.08490143187
"C396_GA101","C396","GA101",4642.20680714839
"C329_GA102","C329","GA102",5868.41538232224
"C337_GA102","C337","GA102",6801.9972500906
"C339_GA102","C339","GA102",6862.74095209988
"C356_GA102","C356","GA102",6129.93937716627
"C385_GA102","C385","GA102",6730.49777899569
"C389_GA102","C389","GA102",3314.52246453112
"C391_GA102","C391","GA102",1686.72245748562
"C392_GA102","C392","GA102",6955.25806136771
"C394_GA102","C394","GA102",3740.77338888711
"C330_GA103","C330","GA103",4237.29927885593
"C331_GA103","C331","GA103",5090.41799292805
"C334_GA103","C334","GA103",5935.32334927773
"C335_GA103","C335","GA103",3074.21266421616
"C340_GA103","C340","GA103",6505.40447343499
"C347_GA103","C347","GA103",4962.18612788702
"C348_GA103","C348","GA103",6583.91592295907
"C354_GA103","C354","GA103",6801.64828278497
"C357_GA103","C357","GA103",2402.60305077848
"C360_GA103","C360","GA103",6268.83740856874
"C362_GA103","C362","GA103",6856.50199316193
"C366_GA103","C366","GA103",6364.91868090515
"C367_GA103","C367","GA103",6000.69559300755
"C369_GA103","C369","GA103",7138.58037211951
"C370_GA103","C370","GA103",6912.98912473159
"C388_GA103","C388","GA103",6597.23463062652
"C390_GA103","C390","GA103",5789.17896483749
"C330_GA105","C330","GA105",6597.61624598719
"C335_GA105","C335","GA105",2892.94349618321
"C354_GA105","C354","GA105",3666.52820464065
"C356_GA105","C356","GA105",5625.12467669852
"C357_GA105","C357","GA105",3345.6525309623
"C362_GA105","C362","GA105",7050.62907930607
"C368_GA105","C368","GA105",5780.50125862165
"C369_GA105","C369","GA105",5710.80077407743
"C370_GA105","C370","GA105",5669.39640354208
"C376_GA105","C376","GA105",6438.35415262789
"C383_GA105","C383","GA105",6646.39502143065
"C386_GA105","C386","GA105",4351.34398759569
"C392_GA105","C392","GA105",4438.87906455609
"C393_GA105","C393","GA105",5902.41193022816
"C330_GA107","C330","GA107",2249.30441535063
"C331_GA107","C331","GA107",3241.17974941354
"C332_GA107","C332","GA107",4322.1286089224
"C333_GA107","C333","GA107",4021.12788057619
"C334_GA107","C334","GA107",2937.36957121393
"C335_GA107","C335","GA107",6202.99887791504
"C336_GA107","C336","GA107",4937.69975629269
"C340_GA107","C340","GA107",3520.98575180254
"C342_GA107","C342","GA107",6456.15762637192
"C343_GA107","C343","GA107",6330.49225181216
"C347_GA107","C347","GA107",3631.68102067526
"C348_GA107","C348","GA107",2525.5812477918
"C349_GA107","C349","GA107",4378.98743624636
"C350_GA107","C350","GA107",4836.00933323645
"C351_GA107","C351","GA107",3546.64636059775
"C352_GA107","C352","GA107",3698.34448746721
"C353_GA107","C353","GA107",3725.3696594002
"C354_GA107","C354","GA107",5969.46799232317
"C355_GA107","C355","GA107",4080.81438454122
"C357_GA107","C357","GA107",5869.45135002794
"C358_GA107","C358","GA107",4382.97394481779
"C360_GA107","C360","GA107",4271.84845273318
"C361_GA107","C361","GA107",3932.28802440501
"C362_GA107","C362","GA107",2803.04451162807
"C363_GA107","C363","GA107",3882.29931344275
"C364_GA107","C364","GA107",5148.72898335159
"C365_GA107","C365","GA107",7053.74877840288
"C366_GA107","C366","GA107",3066.78839867918
"C367_GA107","C367","GA107",2403.12270238761
"C368_GA107","C368","GA107",4848.1230584274
"C369_GA107","C369","GA107",4227.74576380187
"C370_GA107","C370","GA107",3901.20497470937
"C371_GA107","C371","GA107",4889.61580015951
"C372_GA107","C372","GA107",5395.57926760458
"C373_GA107","C373","GA107",5458.65246681999
"C374_GA107","C374","GA107",3605.92133877081
"C375_GA107","C375","GA107",3738.86828302533
"C376_GA107","C376","GA107",5883.94093843678
"C381_GA107","C381","GA107",4385.64098987907
"C387_GA107","C387","GA107",3369.28020381145
"C388_GA107","C388","GA107",3374.29536176579
"C390_GA107","C390","GA107",5560.60156861527
"C393_GA107","C393","GA107",5208.200540365
"C396_GA107","C396","GA107",5208.9698124584
"C330_GA109","C330","GA109",6653.25208770074
"C331_GA109","C331","GA109",5751.35439321505
"C332_GA109","C332","GA109",6260.64878892907
"C333_GA109","C333","GA109",6163.54243410657
"C334_GA109","C334","GA109",5595.61327590689
"C336_GA109","C336","GA109",5802.68134069173
"C338_GA109","C338","GA109",2549.26006062408
"C340_GA109","C340","GA109",4845.16103648708
"C341_GA109","C341","GA109",3856.22732386054
"C343_GA109","C343","GA109",4770.27072146615
"C344_GA109","C344","GA109",2424.57419425374
"C347_GA109","C347","GA109",5654.59694925783
"C349_GA109","C349","GA109",4279.40797000281
"C350_GA109","C350","GA109",3738.78140821554
"C351_GA109","C351","GA109",6082.82465805711
"C352_GA109","C352","GA109",5954.3343034613
"C353_GA109","C353","GA109",5579.6164731036
"C355_GA109","C355","GA109",6595.62097954144
"C359_GA109","C359","GA109",3973.61978280835
"C360_GA109","C360","GA109",4383.38770668718
"C363_GA109","C363","GA109",7080.18186770833
"C364_GA109","C364","GA109",5139.5295553364
"C366_GA109","C366","GA109",5419.89147292916
"C367_GA109","C367","GA109",6390.09520445532
"C371_GA109","C371","GA109",5173.39954275748
"C374_GA109","C374","GA109",5550.91312370275
"C375_GA109","C375","GA109",5317.37241688667
"C377_GA109","C377","GA109",3726.87899346835
"C378_GA109","C378","GA109",3392.59395922067
"C379_GA109","C379","GA109",5289.25024540816
"C380_GA109","C380","GA109",4018.0067977632
"C381_GA109","C381","GA109",4817.39907175282
"C388_GA109","C388","GA109",5136.14909990461
"C390_GA109","C390","GA109",5141.67960020742
"C395_GA109","C395","GA109",4581.59603718332
"C396_GA109","C396","GA109",4829.13608463216
"C330_GA111","C330","GA111",3697.78456837016
"C331_GA111","C331","GA111",4550.25941867164
"C332_GA111","C332","GA111",4085.49335278485
"C333_GA111","C333","GA111",3870.48341393097
"C334_GA111","C334","GA111",3833.86018459158
"C335_GA111","C335","GA111",6959.50818237707
"C336_GA111","C336","GA111",4785.17299787485
"C340_GA111","C340","GA111",4266.5233687049
"C342_GA111","C342","GA111",5853.58733858887
"C343_GA111","C343","GA111",6429.47407908353
"C345_GA111","C345","GA111",6920.9058490477
"C346_GA111","C346","GA111",6723.13992913079
"C347_GA111","C347","GA111",5002.50887671688
"C348_GA111","C348","GA111",2318.8400265248
"C349_GA111","C349","GA111",5047.69000397323
"C350_GA111","C350","GA111",5711.92995356122
"C351_GA111","C351","GA111",3494.07482290024
"C352_GA111","C352","GA111",3665.87204875826
"C353_GA111","C353","GA111",3859.9866472863
"C354_GA111","C354","GA111",5311.84843864303
"C355_GA111","C355","GA111",3742.82885849956
"C356_GA111","C356","GA111",6347.12584581124
"C357_GA111","C357","GA111",6773.13804078269
"C358_GA111","C358","GA111",3595.45983695196
"C360_GA111","C360","GA111",5365.11113689096
"C361_GA111","C361","GA111",2758.26521612448
"C362_GA111","C362","GA111",1599.8022677804
"C363_GA111","C363","GA111",3364.47188390308
"C364_GA111","C364","GA111",5187.37788543637
"C365_GA111","C365","GA111",5880.7738816789
"C366_GA111","C366","GA111",3696.88369858705
"C367_GA111","C367","GA111",3016.73736507796
"C368_GA111","C368","GA111",3528.8352909737
"C369_GA111","C369","GA111",2869.93610875131
"C370_GA111","C370","GA111",2533.4029938082
"C371_GA111","C371","GA111",4952.90915980824
"C372_GA111","C372","GA111",4506.13596813466
"C373_GA111","C373","GA111",4603.62473755745
"C374_GA111","C374","GA111",3844.68473701302
"C375_GA111","C375","GA111",4045.66408441535
"C376_GA111","C376","GA111",4519.17945062101
"C381_GA111","C381","GA111",4707.2035910474
"C387_GA111","C387","GA111",2758.48020992283
"C388_GA111","C388","GA111",3991.35355615677
"C390_GA111","C390","GA111",6966.09620254966
"C393_GA111","C393","GA111",3886.30276633283
"C396_GA111","C396","GA111",5401.11076599589
"C329_GA112","C329","GA112",4562.95714013821
"C337_GA112","C337","GA112",7058.29367886773
"C354_GA112","C354","GA112",5385.68826717868
"C356_GA112","C356","GA112",3501.07595054647
"C368_GA112","C368","GA112",6035.77667839724
"C369_GA112","C369","GA112",6605.36219249067
"C370_GA112","C370","GA112",6932.23347269334
"C376_GA112","C376","GA112",5153.23072595441
"C389_GA112","C389","GA112",1891.16340664643
"C391_GA112","C391","GA112",4182.88043143114
"C392_GA112","C392","GA112",5229.62934167079
"C393_GA112","C393","GA112",5639.65021107821
"C394_GA112","C394","GA112",4850.92439671824
"C329_GA113","C329","GA113",6475.49779760022
"C339_GA113","C339","GA113",6120.17313633932
"C354_GA113","C354","GA113",6711.83870244627
"C356_GA113","C356","GA113",5190.86996393489
"C385_GA113","C385","GA113",6478.33654371053
"C389_GA113","C389","GA113",3559.86945352699
"C391_GA113","C391","GA113",3499.11513820058
"C392_GA113","C392","GA113",5509.67813243233
"C394_GA113","C394","GA113",2923.43864625169
"C329_GA114","C329","GA114",3032.99407287065
"C337_GA114","C337","GA114",2716.6373322553
"C356_GA114","C356","GA114",7058.94893394094
"C389_GA114","C389","GA114",3771.63642033241
"C391_GA114","C391","GA114",4392.16337960244
"C335_GA115","C335","GA115",6565.54923062818
"C339_GA115","C339","GA115",4815.6004172512
"C354_GA115","C354","GA115",6217.08403460197
"C356_GA115","C356","GA115",6928.21371334546
"C382_GA115","C382","GA115",2364.41725484808
"C383_GA115","C383","GA115",2245.05462855941
"C384_GA115","C384","GA115",2599.25191018579
"C385_GA115","C385","GA115",7113.12404325515
"C386_GA115","C386","GA115",2141.70653502108
"C392_GA115","C392","GA115",3842.13440849889
"C394_GA115","C394","GA115",5902.44416957824
"C329_GA116","C329","GA116",4410.16094340539
"C345_GA116","C345","GA116",6854.22706241988
"C346_GA116","C346","GA116",6871.99468436782
"C354_GA116","C354","GA116",3851.30077554548
"C356_GA116","C356","GA116",2098.84430077341
"C361_GA116","C361","GA116",6913.94954661831
"C362_GA116","C362","GA116",6718.02958340875
"C368_GA116","C368","GA116",3493.40438347955
"C369_GA116","C369","GA116",4063.99214247781
"C370_GA116","C370","GA116",4396.73579617891
"C376_GA116","C376","GA116",2583.68637731618
"C389_GA116","C389","GA116",3754.25010495071
"C391_GA116","C391","GA116",6699.53631607739
"C392_GA116","C392","GA116",5223.81951528517
"C393_GA116","C393","GA116",3085.68322773122
"C394_GA116","C394","GA116",7109.12799487222
"C329_GA117","C329","GA117",2765.13768777519
"C337_GA117","C337","GA117",6121.04430751398
"C345_GA117","C345","GA117",3726.69634465196
"C346_GA117","C346","GA117",3857.62191887338
"C354_GA117","C354","GA117",7041.89714534929
"C356_GA117","C356","GA117",5613.69899400524
"C361_GA117","C361","GA117",6405.31742995829
"C362_GA117","C362","GA117",6917.10508885103
"C365_GA117","C365","GA117",6021.98576972568
"C368_GA117","C368","GA117",5000.57260129138
"C369_GA117","C369","GA117",5313.18430566934
"C370_GA117","C370","GA117",5571.68192493115
"C372_GA117","C372","GA117",7135.9373488254
"C376_GA117","C376","GA117",4062.67843670959
"C389_GA117","C389","GA117",5124.46285075814
"C393_GA117","C393","GA117",4693.99797748338
"C330_GA120","C330","GA120",5802.65286917554
"C331_GA120","C331","GA120",6893.07340735156
"C334_GA120","C334","GA120",7034.95957664302
"C335_GA120","C335","GA120",4221.03868364019
"C347_GA120","C347","GA120",7115.10138098164
"C348_GA120","C348","GA120",6258.84393154577
"C354_GA120","C354","GA120",2833.77048615567
"C356_GA120","C356","GA120",4776.40288343743
"C357_GA120","C357","GA120",4432.1153900482
"C361_GA120","C361","GA120",6605.36464056882
"C362_GA120","C362","GA120",5575.1846593483
"C366_GA120","C366","GA120",7180.40084928972
"C367_GA120","C367","GA120",6501.38769187267
"C368_GA120","C368","GA120",4288.5728711634
"C369_GA120","C369","GA120",4166.83205453934
"C370_GA120","C370","GA120",4111.14597675813
"C376_GA120","C376","GA120",5047.12881438314
"C386_GA120","C386","GA120",5590.41321366557
"C387_GA120","C387","GA120",6807.37202113305
"C392_GA120","C392","GA120",4707.11330666008
"C393_GA120","C393","GA120",4453.01308030985
"C330_GA123","C330","GA123",4266.0240618229
"C331_GA123","C331","GA123",5356.88623674076
"C332_GA123","C332","GA123",6894.19034071524
"C333_GA123","C333","GA123",6619.32168606893
"C334_GA123","C334","GA123",5556.29415719193
"C335_GA123","C335","GA123",4394.03248949514
"C340_GA123","C340","GA123",6166.86243910026
"C347_GA123","C347","GA123",5578.69428197295
"C348_GA123","C348","GA123",5039.98409563398
"C349_GA123","C349","GA123",7030.37377694095
"C351_GA123","C351","GA123",6167.75948021859
"C352_GA123","C352","GA123",6328.59379324553
"C353_GA123","C353","GA123",6394.78712932313
"C354_GA123","C354","GA123",4171.10671531868
"C355_GA123","C355","GA123",6604.65699051899
"C356_GA123","C356","GA123",5945.57585298361
"C357_GA123","C357","GA123",4295.40660886247
"C358_GA123","C358","GA123",6634.78849333967
"C360_GA123","C360","GA123",6603.64006368613
"C361_GA123","C361","GA123",5801.9717927414
"C362_GA123","C362","GA123",4660.60188879086
"C363_GA123","C363","GA123",6308.65307454627
"C366_GA123","C366","GA123",5748.43595587769
