"ID","Origin","Destination","Drive_Time"
"GA102_GA10","GA102","GA10",4366.19872956822
"GA112_GA10","GA112","GA10",5402.34782420513
"GA113_GA10","GA113","GA10",5893.26377548263
"GA114_GA10","GA114","GA10",2220.37514674765
"GA116_GA10","GA116","GA10",7110.07697200473
"GA117_GA10","GA117","GA10",6603.49563063182
"GA130_GA10","GA130","GA10",6679.40365595797
"GA133_GA10","GA133","GA10",5305.09669926739
"GA140_GA10","GA140","GA10",5774.74185132815
"GA144_GA10","GA144","GA10",5018.83101526686
"GA160_GA10","GA160","GA10",3938.98113649404
"GA17_GA10","GA17","GA10",2427.75639852052
"GA177_GA10","GA177","GA10",2771.46009624425
"GA180_GA10","GA180","GA10",2893.3648815101
"GA181_GA10","GA181","GA10",3344.02382126724
"GA212_GA10","GA212","GA10",6200.31976842613
"GA251_GA10","GA251","GA10",4130.71107015462
"GA252_GA10","GA252","GA10",7059.27049944074
"GA265_GA10","GA265","GA10",2258.48170930827
"GA274_GA10","GA274","GA10",7024.49399651908
"GA275_GA10","GA275","GA10",6517.13095343577
"GA277_GA10","GA277","GA10",3339.49351932766
"GA284_GA10","GA284","GA10",4227.42736586665
"GA288_GA10","GA288","GA10",5753.60029372589
"GA291_GA10","GA291","GA10",6474.18264478329
"GA45_GA10","GA45","GA10",6794.68892442654
"GA49_GA10","GA49","GA10",6629.9283107208
"GA50_GA10","GA50","GA10",4914.45995696239
"GA53_GA10","GA53","GA10",5337.59564241334
"GA60_GA10","GA60","GA10",1612.86265468657
"GA74_GA10","GA74","GA10",6088.72811139561
"GA80_GA10","GA80","GA10",4480.21204979362
"GA81_GA10","GA81","GA10",6292.93377918184
"GA85_GA10","GA85","GA10",5372.14099846762
"GA94_GA10","GA94","GA10",3104.8571224427
"GA97_GA10","GA97","GA10",5767.65396225107
"GA109_GA101","GA109","GA101",4341.21389100058
"GA125_GA101","GA125","GA101",1547.11860172177
"GA128_GA101","GA128","GA101",1683.54212518811
"GA147_GA101","GA147","GA101",4016.48526467204
"GA154_GA101","GA154","GA101",5236.47947289466
"GA170_GA101","GA170","GA101",2849.33654957711
"GA179_GA101","GA179","GA101",4267.52311854196
"GA18_GA101","GA18","GA101",2676.38490492052
"GA193_GA101","GA193","GA101",3196.02164207741
"GA209_GA101","GA209","GA101",4403.07519224651
"GA211_GA101","GA211","GA101",5043.23831353766
"GA216_GA101","GA216","GA101",4012.2463902307
"GA222_GA101","GA222","GA101",6862.1263327474
"GA239_GA101","GA239","GA101",4674.79522820202
"GA244_GA101","GA244","GA101",6772.27329396168
"GA246_GA101","GA246","GA101",6621.56660975654
"GA256_GA101","GA256","GA101",3878.29030966237
"GA26_GA101","GA26","GA101",4282.94977365081
"GA260_GA101","GA260","GA101",4650.55427295093
"GA267_GA101","GA267","GA101",1947.34978760326
"GA286_GA101","GA286","GA101",1319.34970668526
"GA32_GA101","GA32","GA101",3808.60090668905
"GA54_GA101","GA54","GA101",4668.95738717088
"GA56_GA101","GA56","GA101",5215.1470618815
"GA58_GA101","GA58","GA101",4797.83810671604
"GA64_GA101","GA64","GA101",3820.31097534933
"GA76_GA101","GA76","GA101",5840.39847040929
"GA10_GA102","GA10","GA102",4366.19872956822
"GA112_GA102","GA112","GA102",3471.96602642907
"GA113_GA102","GA113","GA102",2361.69721196305
"GA114_GA102","GA114","GA102",5047.29370960864
"GA116_GA102","GA116","GA102",6115.87993289896
"GA130_GA102","GA130","GA102",6444.94964638674
"GA133_GA102","GA133","GA102",2225.89600747163
"GA140_GA102","GA140","GA102",3926.61735269806
"GA144_GA102","GA144","GA102",4590.95551303505
"GA146_GA102","GA146","GA102",5327.64083273946
"GA160_GA102","GA160","GA102",4370.43137742625
"GA17_GA102","GA17","GA102",3613.83151723387
"GA174_GA102","GA174","GA102",5298.84305995996
"GA177_GA102","GA177","GA102",5336.42197093357
"GA180_GA102","GA180","GA102",4201.78888539213
"GA181_GA102","GA181","GA102",2149.57397898846
"GA214_GA102","GA214","GA102",6784.00391236458
"GA249_GA102","GA249","GA102",4822.86529159067
"GA251_GA102","GA251","GA102",1700.15865331256
"GA252_GA102","GA252","GA102",3613.2673848267
"GA264_GA102","GA264","GA102",5152.78708792872
"GA265_GA102","GA265","GA102",2878.04537245359
"GA269_GA102","GA269","GA102",7046.18819513679
"GA270_GA102","GA270","GA102",5720.15069666652
"GA275_GA102","GA275","GA102",3602.20051714157
"GA277_GA102","GA277","GA102",5335.72312210065
"GA282_GA102","GA282","GA102",6550.37588654112
"GA291_GA102","GA291","GA102",5345.22143519859
"GA45_GA102","GA45","GA102",5288.37249941771
"GA48_GA102","GA48","GA102",4153.28557729177
"GA60_GA102","GA60","GA102",5318.98546189754
"GA71_GA102","GA71","GA102",6977.52873876813
"GA74_GA102","GA74","GA102",5883.88202787561
"GA81_GA102","GA81","GA102",3116.27261688303
"GA91_GA102","GA91","GA102",6987.29529521566
"GA94_GA102","GA94","GA102",1780.75113148947
"GA95_GA102","GA95","GA102",6664.01964693643
"GA96_GA102","GA96","GA102",5068.29124335766
"GA97_GA102","GA97","GA102",2017.6158453687
"GA99_GA102","GA99","GA102",6212.38666132272
"GA105_GA103","GA105","GA103",4429.02635209363
"GA107_GA103","GA107","GA103",4583.86713609588
"GA111_GA103","GA111","GA103",5809.9699448734
"GA120_GA103","GA120","GA103",4773.77974540888
"GA123_GA103","GA123","GA103",3869.62424895586
"GA126_GA103","GA126","GA103",6430.97778887103
"GA129_GA103","GA129","GA103",3173.20986943163
"GA13_GA103","GA13","GA103",4189.36407663176
"GA131_GA103","GA131","GA103",5092.17293191115
"GA135_GA103","GA135","GA103",5850.64006994805
"GA142_GA103","GA142","GA103",6643.58426284223
"GA145_GA103","GA145","GA103",4094.09828614643
"GA149_GA103","GA149","GA103",1725.25824966003
"GA163_GA103","GA163","GA103",3144.59362543714
"GA210_GA103","GA210","GA103",6610.31627408383
"GA226_GA103","GA226","GA103",4726.24524251485
"GA229_GA103","GA229","GA103",3861.37331076556
"GA24_GA103","GA24","GA103",2800.73716912804
"GA244_GA103","GA244","GA103",7167.42432118784
"GA246_GA103","GA246","GA103",7002.60604136935
"GA248_GA103","GA248","GA103",5838.08166883097
"GA254_GA103","GA254","GA103",5373.19451132733
"GA261_GA103","GA261","GA103",3653.60425296642
"GA262_GA103","GA262","GA103",3468.02230814974
"GA281_GA103","GA281","GA103",2703.62135490862
"GA287_GA103","GA287","GA103",2365.75779423679
"GA290_GA103","GA290","GA103",5527.73078804122
"GA36_GA103","GA36","GA103",4305.98291660449
"GA4_GA103","GA4","GA103",5057.7462099767
"GA43_GA103","GA43","GA103",2037.15380748326
"GA5_GA103","GA5","GA103",3871.91940461591
"GA72_GA103","GA72","GA103",7021.3326597933
"GA84_GA103","GA84","GA103",4938.76638888968
"GA92_GA103","GA92","GA103",6232.47821188991
"GA93_GA103","GA93","GA103",6178.97683101359
"GA103_GA105","GA103","GA105",4429.02635209363
"GA107_GA105","GA107","GA105",5709.17310790423
"GA111_GA105","GA111","GA105",5941.74619529278
"GA115_GA105","GA115","GA105",5847.77819646569
"GA116_GA105","GA116","GA105",6847.68277145632
"GA120_GA105","GA120","GA105",2318.51923832666
"GA123_GA105","GA123","GA105",3324.6035328101
"GA126_GA105","GA126","GA105",2676.649676247
"GA129_GA105","GA129","GA105",4603.92613893005
"GA131_GA105","GA131","GA105",1334.32506261462
"GA135_GA105","GA135","GA105",2510.36583422666
"GA142_GA105","GA142","GA105",3972.2034201216
"GA145_GA105","GA145","GA105",4627.00102850482
"GA146_GA105","GA146","GA105",6010.42714030996
"GA149_GA105","GA149","GA105",4393.46783525532
"GA163_GA105","GA163","GA105",5748.5986255906
"GA174_GA105","GA174","GA105",6541.5604802051
"GA210_GA105","GA210","GA105",2954.31935268628
"GA229_GA105","GA229","GA105",6903.61238903277
