"ID","Origin","Destination","Drive_Time"
"C401_ID17","C401","ID17",3699.77162406871
"C402_ID17","C402","ID17",3668.15661417255
"C403_ID17","C403","ID17",3875.59469751959
"C404_ID17","C404","ID17",4333.40673086232
"C401_ID18","C401","ID18",2866.39014647077
"C402_ID18","C402","ID18",2925.05171288731
"C403_ID18","C403","ID18",2662.39368635678
"C404_ID18","C404","ID18",2148.4147463751
"C401_ID27","C401","ID27",813.421501704535
"C402_ID27","C402","ID27",877.348309587647
"C403_ID27","C403","ID27",609.923117602127
"C404_ID27","C404","ID27",1170.87626474169
"C401_ID28","C401","ID28",975.280034312834
"C402_ID28","C402","ID28",984.339990265356
"C403_ID28","C403","ID28",892.527718686052
"C404_ID28","C404","ID28",1476.91489530713
"C401_ID3","C401","ID3",1685.96762216848
"C402_ID3","C402","ID3",1755.78469914342
"C403_ID3","C403","ID3",1478.91543072571
"C404_ID3","C404","ID3",919.949171251643
"C401_ID35","C401","ID35",4524.67652428419
"C402_ID35","C402","ID35",4546.06450743606
"C403_ID35","C403","ID35",4373.58139590107
"C404_ID35","C404","ID35",4240.28224693849
"C401_ID39","C401","ID39",3788.57716807162
"C402_ID39","C402","ID39",3820.83704641002
"C403_ID39","C403","ID39",3618.65295049753
"C404_ID39","C404","ID39",3394.33140817684
"C401_ID41","C401","ID41",1910.55476874374
"C402_ID41","C402","ID41",1922.59392100875
"C403_ID41","C403","ID41",1787.18512469331
"C404_ID41","C404","ID41",1970.40825989149
"C401_ID43","C401","ID43",6976.3861408014
"C402_ID43","C402","ID43",6925.18585147603
"C403_ID43","C403","ID43",7175.39129045312
"C401_ID48","C401","ID48",2668.17596828614
"C402_ID48","C402","ID48",2741.00598406649
"C403_ID48","C403","ID48",2463.53421855519
"C404_ID48","C404","ID48",1749.94858030484
"C401_ID56","C401","ID56",1241.85112969477
"C402_ID56","C402","ID56",1286.92070444135
"C403_ID56","C403","ID56",1060.30947624443
"C404_ID56","C404","ID56",1211.13452955574
"C401_ID61","C401","ID61",6194.14900743748
"C402_ID61","C402","ID61",6173.33217648679
"C403_ID61","C403","ID61",6137.06070084984
"C404_ID61","C404","ID61",6394.04592756435
"C401_ID71","C401","ID71",6781.67922453639
"C402_ID71","C402","ID71",6739.52773499589
"C403_ID71","C403","ID71",6970.61679490996
"ID17_C401","ID17","C401",3699.77162406871
"ID17_C402","ID17","C402",3668.15661417255
"ID17_C403","ID17","C403",3875.59469751959
"ID17_C404","ID17","C404",4333.40673086232
"ID18_C401","ID18","C401",2866.39014647077
"ID18_C402","ID18","C402",2925.05171288731
"ID18_C403","ID18","C403",2662.39368635678
"ID18_C404","ID18","C404",2148.4147463751
"ID27_C401","ID27","C401",813.421501704535
"ID27_C402","ID27","C402",877.348309587647
"ID27_C403","ID27","C403",609.923117602127
"ID27_C404","ID27","C404",1170.87626474169
"ID28_C401","ID28","C401",975.280034312834
"ID28_C402","ID28","C402",984.339990265356
"ID28_C403","ID28","C403",892.527718686052
"ID28_C404","ID28","C404",1476.91489530713
"ID3_C401","ID3","C401",1685.96762216848
"ID3_C402","ID3","C402",1755.78469914342
"ID3_C403","ID3","C403",1478.91543072571
"ID3_C404","ID3","C404",919.949171251643
"ID35_C401","ID35","C401",4524.67652428419
"ID35_C402","ID35","C402",4546.06450743606
"ID35_C403","ID35","C403",4373.58139590107
"ID35_C404","ID35","C404",4240.28224693849
"ID39_C401","ID39","C401",3788.57716807162
"ID39_C402","ID39","C402",3820.83704641002
"ID39_C403","ID39","C403",3618.65295049753
"ID39_C404","ID39","C404",3394.33140817684
"ID41_C401","ID41","C401",1910.55476874374
"ID41_C402","ID41","C402",1922.59392100875
"ID41_C403","ID41","C403",1787.18512469331
"ID41_C404","ID41","C404",1970.40825989149
"ID43_C401","ID43","C401",6976.3861408014
"ID43_C402","ID43","C402",6925.18585147603
"ID43_C403","ID43","C403",7175.39129045312
"ID48_C401","ID48","C401",2668.17596828614
"ID48_C402","ID48","C402",2741.00598406649
"ID48_C403","ID48","C403",2463.53421855519
"ID48_C404","ID48","C404",1749.94858030484
"ID56_C401","ID56","C401",1241.85112969477
"ID56_C402","ID56","C402",1286.92070444135
"ID56_C403","ID56","C403",1060.30947624443
"ID56_C404","ID56","C404",1211.13452955574
"ID61_C401","ID61","C401",6194.14900743748
"ID61_C402","ID61","C402",6173.33217648679
"ID61_C403","ID61","C403",6137.06070084984
"ID61_C404","ID61","C404",6394.04592756435
"ID71_C401","ID71","C401",6781.67922453639
"ID71_C402","ID71","C402",6739.52773499589
"ID71_C403","ID71","C403",6970.61679490996
