"ID","Origin","Destination","Drive_Time"
"ID10_ID1","ID10","ID1",5079.48975808954
"ID19_ID1","ID19","ID1",3714.24997667417
"ID2_ID1","ID2","ID1",5054.56323682234
"ID20_ID1","ID20","ID1",7131.11885743813
"ID21_ID1","ID21","ID1",1528.54576492646
"ID32_ID1","ID32","ID1",2469.54821170603
"ID46_ID1","ID46","ID1",4994.91971700192
"ID51_ID1","ID51","ID1",1218.86028230633
"ID52_ID1","ID52","ID1",6850.87407044755
"ID58_ID1","ID58","ID1",4101.17252374742
"ID6_ID1","ID6","ID1",2374.59594438897
"ID69_ID1","ID69","ID1",3286.6674777165
"ID9_ID1","ID9","ID1",4128.87347734981
"ID1_ID10","ID1","ID10",5079.48975808954
"ID19_ID10","ID19","ID10",3584.07551243415
"ID2_ID10","ID2","ID10",4712.36795352437
"ID20_ID10","ID20","ID10",3002.68744919213
"ID21_ID10","ID21","ID10",5922.45415651235
"ID32_ID10","ID32","ID10",6655.89339752892
"ID51_ID10","ID51","ID10",4705.71497508241
"ID52_ID10","ID52","ID10",2726.84620458918
"ID6_ID10","ID6","ID10",4320.75243216883
"ID9_ID10","ID9","ID10",6655.48564866811
"ID12_ID11","ID12","ID11",2226.50998909351
"ID14_ID11","ID14","ID11",4313.61849311638
"ID16_ID11","ID16","ID11",5452.62103481365
"ID38_ID11","ID38","ID11",6026.3969145234
"ID61_ID11","ID61","ID11",6568.0768561552
"ID63_ID11","ID63","ID11",4370.28601375188
"ID68_ID11","ID68","ID11",3463.98005679723
"ID8_ID11","ID8","ID11",1608.99294470962
"ID11_ID12","ID11","ID12",2226.50998909351
"ID14_ID12","ID14","ID12",4043.36944965237
"ID16_ID12","ID16","ID12",4738.91021837168
"ID24_ID12","ID24","ID12",6985.9782012788
"ID29_ID12","ID29","ID12",6201.88899246441
"ID38_ID12","ID38","ID12",5104.88560703621
"ID63_ID12","ID63","ID12",3517.32644690123
"ID68_ID12","ID68","ID12",2358.95580878607
"ID8_ID12","ID8","ID12",2120.38144696392
"ID17_ID13","ID17","ID13",5936.36940842503
"ID22_ID13","ID22","ID13",6004.35031363135
"ID36_ID13","ID36","ID13",5336.21178375134
"ID37_ID13","ID37","ID13",6324.13036690896
"ID40_ID13","ID40","ID13",6512.46285969763
"ID43_ID13","ID43","ID13",4437.3279802886
"ID46_ID13","ID46","ID13",4394.90012708403
"ID50_ID13","ID50","ID13",6177.99091671464
"ID55_ID13","ID55","ID13",6021.00321959336
"ID70_ID13","ID70","ID13",5160.1996378873
"ID71_ID13","ID71","ID13",5247.5578161983
"ID11_ID14","ID11","ID14",4313.61849311638
