"GEOID","Cluster","State","County.Code","Tract_RUC","Tract_Population","Tract_Land","Tract_Lat","Tract_Long","Tract_methadone_unserved","Name","Address","Pharm_Lat","Pharm_Long","Cluster_centroid_Latitude","Cluster_centroid_Longitude","Shortest_distance","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC","Max_RUC","Max_PopD","Drive_Time"
16001000100,"ID27","Idaho",16001,2,435117,1052.011,43.6159696,-116.2075223,0,"Albertsons Pharmacy #3195","3499 E Fairview Ave",43.618096,-116.351626,43.6180463333333,-116.388099571429,11615.9609382017,435117,1052.011,2,2,413.604990822339,963.962555944374
16001000100,"ID28","Idaho",16001,2,435117,1052.011,43.6159696,-116.2075223,0,"MEDNOW EAGLE PHARMACY","323 E RIVERSIDE DR STE 120",43.689495,-116.350624,43.692329,-116.3535085,14136.4245408472,435117,1052.011,2,2,413.604990822339,1071.53594250528
16001000100,"ID56","Idaho",16001,2,435117,1052.011,43.6159696,-116.2075223,0,"Star Pharmacy","9732 W State St",43.692261,-116.475054,43.6917465,-116.4851215,23160.7617059372,435117,1052.011,2,2,413.604990822339,1456.69465271133
16001000201,"ID27","Idaho",16001,2,435117,1052.011,43.6314866,-116.1710011,0,"Albertsons Pharmacy #3195","3499 E Fairview Ave",43.618096,-116.351626,43.6180463333333,-116.388099571429,14631.1034723548,435117,1052.011,2,2,413.604990822339,1092.64883930203
16001000201,"ID28","Idaho",16001,2,435117,1052.011,43.6314866,-116.1710011,0,"MEDNOW EAGLE PHARMACY","323 E RIVERSIDE DR STE 120",43.689495,-116.350624,43.692329,-116.3535085,15841.5046957447,435117,1052.011,2,2,413.604990822339,1144.30876351631
16001000202,"ID27","Idaho",16001,2,435117,1052.011,43.6751115,-116.2170641,0,"SAV-ON PHARMACY #0177","4700 N Eagle Rd",43.647404,-116.352524,43.6180463333333,-116.388099571429,11336.55567964,435117,1052.011,2,2,413.604990822339,952.037539508961
16001000202,"ID28","Idaho",16001,2,435117,1052.011,43.6751115,-116.2170641,0,"MEDNOW EAGLE PHARMACY","323 E RIVERSIDE DR STE 120",43.689495,-116.350624,43.692329,-116.3535085,10870.6821708937,435117,1052.011,2,2,413.604990822339,932.154058155669
16001000202,"ID56","Idaho",16001,2,435117,1052.011,43.6751115,-116.2170641,0,"Star Pharmacy","9732 W State St",43.692261,-116.475054,43.6917465,-116.4851215,20856.3103610573,435117,1052.011,2,2,413.604990822339,1358.34066931185
16001000302,"ID27","Idaho",16001,2,435117,1052.011,43.6518985,-116.2435264,0,"SAV-ON PHARMACY #0177","4700 N Eagle Rd",43.647404,-116.352524,43.6180463333333,-116.388099571429,8793.77039294078,435117,1052.011,2,2,413.604990822339,843.511463472638
16001000302,"ID28","Idaho",16001,2,435117,1052.011,43.6518985,-116.2435264,0,"MEDNOW EAGLE PHARMACY","323 E RIVERSIDE DR STE 120",43.689495,-116.350624,43.692329,-116.3535085,9585.41456348229,435117,1052.011,2,2,413.604990822339,877.29883667135
16001000302,"ID56","Idaho",16001,2,435117,1052.011,43.6518985,-116.2435264,0,"Star Pharmacy","9732 W State St",43.692261,-116.475054,43.6917465,-116.4851215,19175.9124455481,435117,1052.011,2,2,413.604990822339,1286.62128627792
16001000303,"ID27","Idaho",16001,2,435117,1052.011,43.6589621,-116.2693044,0,"SAV-ON PHARMACY #0177","4700 N Eagle Rd",43.647404,-116.352524,43.6180463333333,-116.388099571429,6825.14116845983,435117,1052.011,2,2,413.604990822339,759.490368171791
