"PharmID","Name","Address","City","State","Zip","Latitude","Longitude","Cluster","Cluster_centroid_Latitude","Cluster_centroid_Longitude","distance_to_clust","County","FIPS","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC"
"P18237","Dicks Pharmacy","118 S VINE STREET","ARTHUR","IL",619111334,39.716228,-88.472287,"IL1",39.716228,-88.472287,0,"douglas",17041,19830,416.646,6
"P18446","STOTLAR DRUG COMPANY","1 N WALNUT ST","PINCKNEYVILLE","IL",622741025,38.080292,-89.382916,"IL100",38.080292,-89.382916,0,"perry",17145,21467,441.843,6
"P18469","PRINCETON PHARMACY","610 N MAIN","PRINCETON","IL",61356,41.380809,-89.46521,"IL101",41.3823723333333,-89.464337,188.688296683097,"bureau",17011,33619,869.092,7
"P18448","PRINCEVILLE PHARMACY","206 E MAIN ST","PRINCEVILLE","IL",61559,40.930456,-89.755651,"IL102",40.930456,-89.755651,0,"peoria",17143,186145,618.717,2
"P18449","KEIL PHARMACY INC","1375 S MAIN","RED BUD","IL",62278,38.200054,-89.994842,"IL103",38.199651,-89.9944775,55.0395779124352,"randolph",17157,32829,575.368,6
"P18450","The Medicine Shoppe Pharmacy","101 MAIN ST","RIDGWAY","IL",629790146,37.799417,-88.261001,"IL104",37.799417,-88.261001,0,"gallatin",17059,5226,322.99,8
"P18451","BERTRAM PHARMACY","1300 N ALLEN ST","ROBINSON","IL",624541001,39.016047,-87.748848,"IL105",39.011073,-87.737253,1145.60578062118,"crawford",17033,19214,443.643,7
"P18452","Pharmacy Plus Inc","213 W CLAY","ROODHOUSE","IL",62082,39.483389,-90.371678,"IL106",39.460206,-90.3875905,2920.59321804353,"greene",17061,13311,543.039,6
"P18773","WALMART PHARMACY 10-0222","1410 N MARKET ST","SPARTA","IL",62286,38.140855,-89.703377,"IL107",38.1319315,-89.7030905,993.676163565662,"randolph",17157,32829,575.368,6
"P20094","CVS Pharmacy #10774","506 E Main St","Staunton","IL",620881561,39.012076,-89.782652,"IL108",39.012038,-89.7843295,145.159944762515,"macoupin",17117,45960,862.974,1
"P18456","Toledo Pharmacy","104 Court House Sq","TOLEDO","IL",62468,39.273275,-88.245746,"IL110",39.273275,-88.245746,0,"cumberland",17035,10899,345.943,9
"P18457","SAV MOR PHARMACY","104 E. Southline Road Route 36 Unit A","TUSCOLA","IL",619531480,39.791785,-88.287223,"IL111",39.791785,-88.287223,0,"douglas",17041,19830,416.646,6
"P18458","CAINS DRUG STORE","1401 N 8TH ST","VANDALIA","IL",62471,38.975029,-89.100224,"IL112",38.970742,-89.117765,1591.3235108572,"fayette",17051,21980,716.438,6
"P18459","SAV MOR PHARMACY","105 E JACKSON ST","VIRDEN","IL",62690,39.501661,-89.76625,"IL113",39.4740845,-89.773716,3136.09641336564,"macoupin",17117,45960,862.974,1
"P19061","SCHNUCKS PHARMACY","150 WATERLOO COMMONS DR","WATERLOO","IL",62298,38.335714,-90.149353,"IL114",38.34601025,-90.151899,1167.53096503233,"monroe",17133,33739,385.326,1
"P18463","KELLY DRUGS","105 E JONES ST","MILFORD","IL",609531047,40.628512,-87.695741,"IL116",40.628512,-87.695741,0,"iroquois",17075,28457,1117.395,6
"P19516","WALMART PHARMACY 10-5044","10000 BARTEL DR","GALENA","IL",610368219,42.435012,-90.445783,"IL117",42.433784,-90.44641,146.084453168846,"jo daviess",17085,22046,600.923,6
"P18466","BANDYS PHARMACY INC","1413 W WHITTAKER STREET","SALEM","IL",62881,38.623154,-88.961533,"IL118",38.62522075,-88.96246325,243.879689325941,"marion",17121,38305,572.538,4
"P18470","The Pharmacie Shoppe","202 W EDGAR AVE","CASEY","IL",62420,39.304338,-87.995257,"IL119",39.304338,-87.995257,0,"clark",17023,15924,501.374,6
