"ID","Origin","Destination","Drive_Time"
"C408_IL1","C408","IL1",2675.44845887091
"C442_IL1","C442","IL1",2605.16986829769
"C446_IL1","C446","IL1",6534.59961930857
"C460_IL1","C460","IL1",4845.11821843337
"C463_IL1","C463","IL1",6830.03139279932
"C464_IL1","C464","IL1",7071.17027456609
"C471_IL1","C471","IL1",4939.12040089201
"C472_IL1","C472","IL1",4948.88401526896
"C405_IL100","C405","IL100",5469.31551641345
"C458_IL100","C458","IL100",3014.10221733406
"C478_IL100","C478","IL100",5202.69868449072
"C406_IL101","C406","IL101",5154.28420594629
"C407_IL101","C407","IL101",7108.23054594512
"C409_IL101","C409","IL101",6973.8578330711
"C410_IL101","C410","IL101",7088.97270989254
"C412_IL101","C412","IL101",6933.04078638244
"C413_IL101","C413","IL101",7049.99706945417
"C415_IL101","C415","IL101",7107.07388928757
"C416_IL101","C416","IL101",6994.68938134428
"C417_IL101","C417","IL101",6935.45282443669
"C418_IL101","C418","IL101",7125.23374567046
"C419_IL101","C419","IL101",7000.24971619639
"C420_IL101","C420","IL101",6827.95297193385
"C421_IL101","C421","IL101",6906.83764729226
"C422_IL101","C422","IL101",6819.45421286457
"C423_IL101","C423","IL101",7020.87375241919
"C424_IL101","C424","IL101",7073.23855640401
"C425_IL101","C425","IL101",6867.38863754101
"C426_IL101","C426","IL101",7080.24243143102
"C429_IL101","C429","IL101",6931.40053441245
"C430_IL101","C430","IL101",7194.64799545522
"C433_IL101","C433","IL101",6818.69559076799
"C434_IL101","C434","IL101",7041.59864655341
"C435_IL101","C435","IL101",7156.97020203671
"C436_IL101","C436","IL101",7161.6211665467
"C437_IL101","C437","IL101",6752.63705631592
"C438_IL101","C438","IL101",6727.15604144178
"C439_IL101","C439","IL101",6255.06448219287
"C440_IL101","C440","IL101",6776.73355970996
"C441_IL101","C441","IL101",6721.52177626595
"C443_IL101","C443","IL101",6689.27827533603
"C444_IL101","C444","IL101",6683.70856217447
"C445_IL101","C445","IL101",6015.64797271727
"C446_IL101","C446","IL101",4204.28330505288
"C447_IL101","C447","IL101",6444.51115660823
"C451_IL101","C451","IL101",6777.49016355678
"C453_IL101","C453","IL101",6479.99927023558
"C454_IL101","C454","IL101",5485.57633342344
"C455_IL101","C455","IL101",5433.49890395021
"C456_IL101","C456","IL101",6580.39658796261
"C457_IL101","C457","IL101",6662.18655940412
"C459_IL101","C459","IL101",6512.85982857961
"C460_IL101","C460","IL101",5202.98795141166
"C461_IL101","C461","IL101",2965.37009663255
"C462_IL101","C462","IL101",6354.96854475685
"C463_IL101","C463","IL101",3987.45487533601
"C464_IL101","C464","IL101",3847.03033156149
"C466_IL101","C466","IL101",4695.40660792533
"C467_IL101","C467","IL101",5163.12397096696
"C468_IL101","C468","IL101",6222.32720925918
"C469_IL101","C469","IL101",7112.53987850135
"C470_IL101","C470","IL101",6965.07812411802
"C473_IL101","C473","IL101",6396.7678205797
"C474_IL101","C474","IL101",5477.69825727725
"C477_IL101","C477","IL101",5883.44345114203
"C406_IL102","C406","IL102",6957.22823935561
"C408_IL102","C408","IL102",7102.90349272262
"C442_IL102","C442","IL102",6252.15166473655
"C446_IL102","C446","IL102",2035.28549577602
"C454_IL102","C454","IL102",6921.28515060561
"C455_IL102","C455","IL102",6866.23834852265
"C460_IL102","C460","IL102",4012.33451945262
"C461_IL102","C461","IL102",4346.91050218855
"C463_IL102","C463","IL102",1738.51069729767
"C464_IL102","C464","IL102",1510.9008909071
"C466_IL102","C466","IL102",4388.98098212597
"C471_IL102","C471","IL102",5896.21792443587
"C472_IL102","C472","IL102",5961.1547528098
"C405_IL103","C405","IL103",4021.43222241334
"C458_IL103","C458","IL103",5202.44278183433
"C478_IL103","C478","IL103",3885.06105864263
"C458_IL104","C458","IL104",3312.50053018175
"C408_IL105","C408","IL105",6274.30229665108
"C442_IL105","C442","IL105",6767.82688845277
"C405_IL106","C405","IL106",3529.33348510315
"C442_IL106","C442","IL106",6180.0557950102
"C446_IL106","C446","IL106",6946.59127432663
"C463_IL106","C463","IL106",7054.03067802706
"C464_IL106","C464","IL106",7136.93217178459
"C465_IL106","C465","IL106",5009.3555839665
"C471_IL106","C471","IL106",3730.11911531472
"C472_IL106","C472","IL106",3684.87033858612
"C478_IL106","C478","IL106",3728.19642745006
"C405_IL107","C405","IL107",4614.36192184637
"C458_IL107","C458","IL107",4126.78237300534
"C478_IL107","C478","IL107",4398.68762943426
"C405_IL108","C405","IL108",1877.18119055142
"C442_IL108","C442","IL108",5681.80180327682
"C471_IL108","C471","IL108",4317.12008660498
"C472_IL108","C472","IL108",4249.3878392741
"C478_IL108","C478","IL108",1628.00681747035
"C408_IL110","C408","IL110",4787.15293807803
"C442_IL110","C442","IL110",4700.20874067658
"C471_IL110","C471","IL110",6476.35699433215
"C472_IL110","C472","IL110",6461.63515727557
"C408_IL111","C408","IL111",2193.40726836082
"C442_IL111","C442","IL111",3141.40674907945
"C446_IL111","C446","IL111",6752.10600476145
"C456_IL111","C456","IL111",7156.61997448349
"C460_IL111","C460","IL111",4869.49279165103
"C463_IL111","C463","IL111",7044.35792156282
"C471_IL111","C471","IL111",5592.98617911344
"C472_IL111","C472","IL111",5608.45085785566
"C405_IL112","C405","IL112",4529.67133717412
"C408_IL112","C408","IL112",6848.29111729863
"C442_IL112","C442","IL112",5031.48905882495
"C458_IL112","C458","IL112",6605.93356001353
"C471_IL112","C471","IL112",5056.61128079268
"C472_IL112","C472","IL112",5004.63114195437
"C478_IL112","C478","IL112",4217.06561126424
"C405_IL113","C405","IL113",3609.19473786364
"C408_IL113","C408","IL113",6680.59573138629
"C442_IL113","C442","IL113",4015.84370264755
"C446_IL113","C446","IL113",5979.13480515296
"C460_IL113","C460","IL113",6184.05263730044
"C463_IL113","C463","IL113",6176.35024482229
"C464_IL113","C464","IL113",6331.77013333479
"C465_IL113","C465","IL113",6955.00980777073
"C471_IL113","C471","IL113",2027.44374532587
"C472_IL113","C472","IL113",1959.729303411
"C478_IL113","C478","IL113",3571.05324685114
"C405_IL114","C405","IL114",3115.08544647375
"C458_IL114","C458","IL114",5898.65903820395
"C478_IL114","C478","IL114",3039.16680650888
"C406_IL116","C406","IL116",6447.53504549466
"C407_IL116","C407","IL116",4857.86986094536
"C408_IL116","C408","IL116",3887.39070904665
"C409_IL116","C409","IL116",5254.54110887245
"C410_IL116","C410","IL116",5443.74690998224
"C411_IL116","C411","IL116",5559.90045104219
"C412_IL116","C412","IL116",5542.8831819812
"C413_IL116","C413","IL116",5559.81658619105
"C414_IL116","C414","IL116",5607.34322402416
"C415_IL116","C415","IL116",5631.93986917407
"C416_IL116","C416","IL116",5663.17692344672
"C417_IL116","C417","IL116",5738.30283292144
"C418_IL116","C418","IL116",5802.90854759986
"C419_IL116","C419","IL116",5927.1709037869
"C420_IL116","C420","IL116",6026.4958913638
"C421_IL116","C421","IL116",6029.91136748104
"C422_IL116","C422","IL116",6087.20010555321
"C423_IL116","C423","IL116",6116.45938753082
"C424_IL116","C424","IL116",6161.9432106857
"C425_IL116","C425","IL116",6170.89955060705
"C426_IL116","C426","IL116",6188.20262233265
"C427_IL116","C427","IL116",6229.24191695896
"C428_IL116","C428","IL116",6248.29021460228
"C429_IL116","C429","IL116",6280.09822867065
"C430_IL116","C430","IL116",6520.49758759752
"C431_IL116","C431","IL116",6561.7391268386
"C432_IL116","C432","IL116",6629.1407487329
"C433_IL116","C433","IL116",5546.17031009394
"C434_IL116","C434","IL116",5687.58752812801
"C435_IL116","C435","IL116",6001.82039852706
"C436_IL116","C436","IL116",6513.23897182015
"C437_IL116","C437","IL116",4473.94439306437
"C438_IL116","C438","IL116",4392.03128208558
"C439_IL116","C439","IL116",4627.21836693633
"C440_IL116","C440","IL116",6051.11338185942
"C441_IL116","C441","IL116",6101.19666193875
"C442_IL116","C442","IL116",6422.76474363303
"C443_IL116","C443","IL116",6981.34635494359
"C444_IL116","C444","IL116",6971.53058831318
"C445_IL116","C445","IL116",6104.32048662028
"C447_IL116","C447","IL116",6569.40119768725
"C448_IL116","C448","IL116",6828.86929538563
"C449_IL116","C449","IL116",6957.37531371259
"C451_IL116","C451","IL116",4883.68635062461
"C453_IL116","C453","IL116",6113.68914856573
"C454_IL116","C454","IL116",5118.29348918339
"C455_IL116","C455","IL116",5112.30715418591
"C456_IL116","C456","IL116",3062.80219421954
"C457_IL116","C457","IL116",3543.49761133157
"C459_IL116","C459","IL116",6211.1215407722
"C460_IL116","C460","IL116",5236.3197638049
"C461_IL116","C461","IL116",5926.03947250331
"C462_IL116","C462","IL116",5198.73587961414
"C468_IL116","C468","IL116",7103.8162353916
"C469_IL116","C469","IL116",6923.21050954333
"C470_IL116","C470","IL116",4911.70126077629
"C473_IL116","C473","IL116",6302.54651207664
"C474_IL116","C474","IL116",6267.30775830724
"C477_IL116","C477","IL116",6450.08014929442
"C466_IL117","C466","IL117",5258.073749252
"C467_IL117","C467","IL117",5696.24734684037
"C405_IL118","C405","IL118",5145.78538033494
"C442_IL118","C442","IL118",6585.78023046402
"C458_IL118","C458","IL118",4819.01736635533
"C471_IL118","C471","IL118",6702.93533839416
"C472_IL118","C472","IL118",6648.88900153753
"C478_IL118","C478","IL118",4805.90574713273
"C408_IL119","C408","IL119",4648.86932704781
"C442_IL119","C442","IL119",5139.69253142917
"C471_IL119","C471","IL119",7127.57776260153
"C472_IL119","C472","IL119",7118.46505379861
"C458_IL120","C458","IL120",2572.47991374479
"C406_IL121","C406","IL121",4746.75221976995
