"ID","Origin","Destination","Drive_Time"
"IL105_IL1","IL105","IL1",4969.50877506152
"IL108_IL1","IL108","IL1",6530.31107835802
"IL110_IL1","IL110","IL1",3059.85048167037
"IL111_IL1","IL111","IL1",1434.52006661491
"IL112_IL1","IL112","IL1",4879.11797740498
"IL113_IL1","IL113","IL1",5513.42111024114
"IL116_IL1","IL116","IL1",5839.60737422082
"IL118_IL1","IL118","IL1",6164.63737195066
"IL119_IL1","IL119","IL1",3293.46029716768
"IL123_IL1","IL123","IL1",6810.71422490478
"IL124_IL1","IL124","IL1",4241.03502139208
"IL132_IL1","IL132","IL1",7072.96140980849
"IL135_IL1","IL135","IL1",2691.87341466017
"IL136_IL1","IL136","IL1",3858.40722620956
"IL138_IL1","IL138","IL1",3549.20224243502
"IL140_IL1","IL140","IL1",5596.02573440524
"IL145_IL1","IL145","IL1",3788.47326841796
"IL146_IL1","IL146","IL1",2602.075138387
"IL147_IL1","IL147","IL1",5625.26265377302
"IL152_IL1","IL152","IL1",4077.41410014103
"IL155_IL1","IL155","IL1",7015.99004209126
"IL156_IL1","IL156","IL1",5203.48242998733
"IL157_IL1","IL157","IL1",6218.13917279968
"IL159_IL1","IL159","IL1",6200.93173513339
"IL160_IL1","IL160","IL1",6810.63600547176
"IL164_IL1","IL164","IL1",6738.06111038126
"IL165_IL1","IL165","IL1",5893.057407428
"IL169_IL1","IL169","IL1",5090.56855204984
"IL172_IL1","IL172","IL1",4315.55622741616
"IL173_IL1","IL173","IL1",3421.43743285947
"IL174_IL1","IL174","IL1",3989.50124479013
"IL180_IL1","IL180","IL1",6360.916639209
"IL183_IL1","IL183","IL1",3696.79933402137
"IL186_IL1","IL186","IL1",6378.56054753428
"IL188_IL1","IL188","IL1",7092.08040527097
"IL191_IL1","IL191","IL1",2194.36431540921
"IL195_IL1","IL195","IL1",4340.04165451274
"IL2_IL1","IL2","IL1",3614.40244305431
"IL200_IL1","IL200","IL1",5750.44864285454
"IL206_IL1","IL206","IL1",5359.24515665557
"IL210_IL1","IL210","IL1",5692.65638767663
"IL212_IL1","IL212","IL1",7086.12244625693
"IL213_IL1","IL213","IL1",6266.89551704478
"IL218_IL1","IL218","IL1",5913.51942310459
"IL220_IL1","IL220","IL1",5919.99496274312
"IL221_IL1","IL221","IL1",6501.64753232297
"IL229_IL1","IL229","IL1",5650.87677756773
"IL231_IL1","IL231","IL1",7172.36479480503
"IL235_IL1","IL235","IL1",5876.86230429324
"IL239_IL1","IL239","IL1",5553.79993910636
"IL242_IL1","IL242","IL1",3494.01890160452
"IL248_IL1","IL248","IL1",3387.30362564747
"IL255_IL1","IL255","IL1",1997.96939809279
"IL256_IL1","IL256","IL1",2253.33090820283
"IL269_IL1","IL269","IL1",5343.44215395776
"IL274_IL1","IL274","IL1",1069.07162477002
"IL275_IL1","IL275","IL1",5191.6033262245
"IL279_IL1","IL279","IL1",6989.49571846668
"IL280_IL1","IL280","IL1",3850.69867990439
"IL281_IL1","IL281","IL1",7107.96445891595
"IL283_IL1","IL283","IL1",1776.67875496716
"IL290_IL1","IL290","IL1",6432.54609460958
"IL47_IL1","IL47","IL1",1417.29915537892
"IL52_IL1","IL52","IL1",1881.5099001261
"IL65_IL1","IL65","IL1",6339.82641231922
"IL66_IL1","IL66","IL1",4574.82453579276
"IL76_IL1","IL76","IL1",6708.06568954557
"IL80_IL1","IL80","IL1",4460.98776040814
"IL86_IL1","IL86","IL1",6273.48846655382
"IL87_IL1","IL87","IL1",5620.28045946693
"IL90_IL1","IL90","IL1",4250.84809082626
"IL93_IL1","IL93","IL1",5256.52242495437
"IL97_IL1","IL97","IL1",6199.14656583527
"IL98_IL1","IL98","IL1",2685.60657644042
"IL99_IL1","IL99","IL1",4688.37827542557
"IL103_IL100","IL103","IL100",3024.71468668259
"IL104_IL100","IL104","IL100",5165.04396094764
"IL107_IL100","IL107","IL100",1900.4089184458
"IL108_IL100","IL108","IL100",5338.21931764466
"IL112_IL100","IL112","IL100",5047.97922161926
"IL114_IL100","IL114","IL100",3773.88760028859
"IL118_IL100","IL118","IL100",3687.03180567957
"IL120_IL100","IL120","IL100",4420.89120753436
"IL123_IL100","IL123","IL100",2994.89457667803
"IL124_IL100","IL124","IL100",6481.81273713019
"IL128_IL100","IL128","IL100",5599.20554641848
"IL131_IL100","IL131","IL100",4314.25120277219
"IL132_IL100","IL132","IL100",4734.19076225852
"IL133_IL100","IL133","IL100",3558.39419337404
"IL138_IL100","IL138","IL100",6556.87870949561
"IL140_IL100","IL140","IL100",6409.54168040719
"IL141_IL100","IL141","IL100",5746.22096920316
"IL147_IL100","IL147","IL100",5081.20623394032
"IL151_IL100","IL151","IL100",4250.56378726699
"IL154_IL100","IL154","IL100",5222.46202146099
"IL155_IL100","IL155","IL100",4060.45103964355
"IL160_IL100","IL160","IL100",3276.47489382297
"IL164_IL100","IL164","IL100",6343.7627043688
"IL165_IL100","IL165","IL100",4526.70044566809
"IL168_IL100","IL168","IL100",3660.18543171954
"IL169_IL100","IL169","IL100",6629.57233088378
"IL174_IL100","IL174","IL100",5925.59458053883
"IL178_IL100","IL178","IL100",6691.04713701244
"IL190_IL100","IL190","IL100",4628.93905374238
"IL192_IL100","IL192","IL100",1764.26800767218
"IL193_IL100","IL193","IL100",3175.24689876792
"IL195_IL100","IL195","IL100",6979.80663770542
"IL198_IL100","IL198","IL100",6957.26737443543
"IL199_IL100","IL199","IL100",3932.79894478279
"IL200_IL100","IL200","IL100",5988.87578026001
"IL201_IL100","IL201","IL100",4220.0102291475
"IL203_IL100","IL203","IL100",3121.70184148967
"IL211_IL100","IL211","IL100",3249.74640311832
"IL217_IL100","IL217","IL100",4943.35428893052
"IL219_IL100","IL219","IL100",4371.17292042895
"IL227_IL100","IL227","IL100",1918.68932204034
"IL228_IL100","IL228","IL100",2143.50589783038
"IL230_IL100","IL230","IL100",3124.08761513488
"IL234_IL100","IL234","IL100",2561.50807641507
"IL245_IL100","IL245","IL100",3849.55331425976
"IL248_IL100","IL248","IL100",6988.81389024562
"IL249_IL100","IL249","IL100",4286.61999724864
"IL258_IL100","IL258","IL100",5932.16310088331
"IL262_IL100","IL262","IL100",2472.82763888564
"IL265_IL100","IL265","IL100",2787.83035298419
"IL275_IL100","IL275","IL100",5343.62619815078
"IL278_IL100","IL278","IL100",1957.82404259316
"IL279_IL100","IL279","IL100",5666.6084001034
"IL280_IL100","IL280","IL100",6667.09851898499
"IL285_IL100","IL285","IL100",5697.75250873666
"IL287_IL100","IL287","IL100",5564.85123452033
"IL288_IL100","IL288","IL100",5523.26592421404
"IL46_IL100","IL46","IL100",2683.86716849974
"IL49_IL100","IL49","IL100",3394.27851955932
"IL65_IL100","IL65","IL100",5895.8030816904
"IL67_IL100","IL67","IL100",4370.0016980212
"IL70_IL100","IL70","IL100",2444.57107984753
"IL72_IL100","IL72","IL100",3879.81940561193
"IL73_IL100","IL73","IL100",3885.62513623634
"IL77_IL100","IL77","IL100",2554.98092329277
"IL79_IL100","IL79","IL100",1918.49855917662
"IL81_IL100","IL81","IL100",4737.25197635883
"IL83_IL100","IL83","IL100",2408.61922799499
"IL86_IL100","IL86","IL100",6673.41903868826
"IL88_IL100","IL88","IL100",2406.24800747184
"IL89_IL100","IL89","IL100",1316.81526815163
"IL93_IL100","IL93","IL100",5810.84396685159
"IL96_IL100","IL96","IL100",2236.52952118311
"IL97_IL100","IL97","IL100",5552.12829301326
"IL102_IL101","IL102","IL101",3069.71807640942
"IL117_IL101","IL117","IL101",6804.12402549632
"IL121_IL101","IL121","IL101",2863.72809454164
"IL122_IL101","IL122","IL101",5998.0858538933
"IL127_IL101","IL127","IL101",3670.19784605847
"IL130_IL101","IL130","IL101",4500.60390326097
"IL137_IL101","IL137","IL101",2935.5604689472
"IL139_IL101","IL139","IL101",6383.07134400774
"IL143_IL101","IL143","IL101",5116.46023896615
"IL148_IL101","IL148","IL101",2976.36959204212
"IL158_IL101","IL158","IL101",2488.05125033854
"IL159_IL101","IL159","IL101",4523.95774970861
"IL16_IL101","IL16","IL101",6361.9165967081
"IL161_IL101","IL161","IL101",4939.73562921511
"IL162_IL101","IL162","IL101",4324.13476058311
"IL163_IL101","IL163","IL101",4875.6754643118
"IL166_IL101","IL166","IL101",5375.6498956442
"IL167_IL101","IL167","IL101",6807.12375305754
"IL17_IL101","IL17","IL101",5940.68478717107
"IL171_IL101","IL171","IL101",4517.78503293169
"IL173_IL101","IL173","IL101",6827.75284976069
"IL175_IL101","IL175","IL101",4421.93130146075
"IL176_IL101","IL176","IL101",5702.31276748094
"IL177_IL101","IL177","IL101",5340.27145967536
"IL179_IL101","IL179","IL101",4437.54574966469
"IL180_IL101","IL180","IL101",3938.35422591146
"IL181_IL101","IL181","IL101",4143.14143883969
"IL187_IL101","IL187","IL101",6407.59217427906
"IL196_IL101","IL196","IL101",2416.11481670744
"IL20_IL101","IL20","IL101",5731.10148458666
"IL204_IL101","IL204","IL101",2161.74142085392
"IL205_IL101","IL205","IL101",5034.02240740791
"IL207_IL101","IL207","IL101",3023.80125633226
"IL208_IL101","IL208","IL101",3411.6867848578
"IL210_IL101","IL210","IL101",6374.06110536999
"IL212_IL101","IL212","IL101",6276.88666255977
"IL213_IL101","IL213","IL101",3912.82308713522
"IL215_IL101","IL215","IL101",3763.44403983115
"IL216_IL101","IL216","IL101",4612.07261534256
"IL218_IL101","IL218","IL101",4154.36841577833
"IL220_IL101","IL220","IL101",6750.41518332349
"IL221_IL101","IL221","IL101",5410.54240881916
"IL223_IL101","IL223","IL101",2034.57113350499
"IL229_IL101","IL229","IL101",5499.43903593929
"IL231_IL101","IL231","IL101",5816.52427837082
"IL232_IL101","IL232","IL101",5818.56926307135
"IL233_IL101","IL233","IL101",6320.38384161925
"IL239_IL101","IL239","IL101",5306.00907057367
"IL241_IL101","IL241","IL101",2878.27376793353
"IL243_IL101","IL243","IL101",4947.24484825656
"IL247_IL101","IL247","IL101",5774.4315119524
"IL250_IL101","IL250","IL101",3987.01309157155
"IL252_IL101","IL252","IL101",4728.08367448919
"IL257_IL101","IL257","IL101",5393.59496601237
"IL259_IL101","IL259","IL101",6018.76500272725
"IL260_IL101","IL260","IL101",2363.48350800869
"IL261_IL101","IL261","IL101",5804.39174514158
"IL263_IL101","IL263","IL101",5068.11688071045
"IL264_IL101","IL264","IL101",1776.01924550399
"IL267_IL101","IL267","IL101",4589.4090215987
"IL268_IL101","IL268","IL101",6568.84572767365
"IL271_IL101","IL271","IL101",4379.08517952491
"IL273_IL101","IL273","IL101",1688.35936230833
"IL276_IL101","IL276","IL101",3257.72465247988
"IL277_IL101","IL277","IL101",5068.78077012674
"IL284_IL101","IL284","IL101",5697.31400706449
"IL286_IL101","IL286","IL101",4099.05903683787
"IL290_IL101","IL290","IL101",3647.35658205711
"IL291_IL101","IL291","IL101",5616.52346775691
"IL292_IL101","IL292","IL101",5912.3514168199
"IL294_IL101","IL294","IL101",3612.23052878351
"IL37_IL101","IL37","IL101",5745.92139637016
"IL38_IL101","IL38","IL101",6174.07386723804
"IL39_IL101","IL39","IL101",6821.05414869218
"IL40_IL101","IL40","IL101",5665.13330013493
"IL41_IL101","IL41","IL101",5779.55491920527
"IL43_IL101","IL43","IL101",5429.63150590652
"IL51_IL101","IL51","IL101",5395.80943593734
"IL53_IL101","IL53","IL101",6958.31655606154
"IL55_IL101","IL55","IL101",4556.35273532711
"IL57_IL101","IL57","IL101",3184.54832021473
"IL58_IL101","IL58","IL101",5089.7179656633
"IL61_IL101","IL61","IL101",2810.6964713699
"IL64_IL101","IL64","IL101",3685.88555288249
"IL66_IL101","IL66","IL101",6530.3611119033
"IL71_IL101","IL71","IL101",5482.89251029163
"IL76_IL101","IL76","IL101",3537.37091574113
"IL78_IL101","IL78","IL101",4070.62042262587
"IL85_IL101","IL85","IL101",6147.5952229596
"IL87_IL101","IL87","IL101",4742.05752200956
"IL90_IL101","IL90","IL101",6559.27374123022
"IL95_IL101","IL95","IL101",1924.1721110851
"IL101_IL102","IL101","IL102",3069.71807640942
"IL121_IL102","IL121","IL102",3073.54985974631
"IL122_IL102","IL122","IL102",4047.18196917885
"IL127_IL102","IL127","IL102",1111.46317677132
"IL130_IL102","IL130","IL102",6584.562151032
"IL137_IL102","IL137","IL102",5115.63190634148
"IL143_IL102","IL143","IL102",7175.45963426715
"IL144_IL102","IL144","IL102",6815.12067529719
"IL148_IL102","IL148","IL102",1423.77554175338
"IL158_IL102","IL158","IL102",2055.20214368255
"IL159_IL102","IL159","IL102",4577.49755317649
"IL161_IL102","IL161","IL102",6005.30632392215
"IL162_IL102","IL162","IL102",6511.29844263607
"IL163_IL102","IL163","IL102",6383.1603138675
"IL166_IL102","IL166","IL102",4262.3105563918
"IL167_IL102","IL167","IL102",4520.27593610934
"IL171_IL102","IL171","IL102",2814.83191227545
"IL173_IL102","IL173","IL102",5183.19444237093
"IL175_IL102","IL175","IL102",5688.93294570967
"IL179_IL102","IL179","IL102",1862.61876237974
"IL180_IL102","IL180","IL102",3785.40896148409
"IL181_IL102","IL181","IL102",5938.30990626841
"IL183_IL102","IL183","IL102",7000.05637780396
"IL188_IL102","IL188","IL102",6549.80344121349
"IL189_IL102","IL189","IL102",6644.34518044276
"IL196_IL102","IL196","IL102",1798.61079869253
"IL197_IL102","IL197","IL102",5634.65654266506
"IL204_IL102","IL204","IL102",4275.92868227804
"IL205_IL102","IL205","IL102",7002.12694893277
"IL206_IL102","IL206","IL102",6893.15715572246
"IL207_IL102","IL207","IL102",2005.46685776591
"IL208_IL102","IL208","IL102",4804.65620655147
"IL210_IL102","IL210","IL102",4114.62612048889
"IL212_IL102","IL212","IL102",3840.20622547246
"IL213_IL102","IL213","IL102",2460.75152636267
"IL215_IL102","IL215","IL102",5934.83480510945
"IL216_IL102","IL216","IL102",5332.86040287963
"IL218_IL102","IL218","IL102",3277.769014709
"IL220_IL102","IL220","IL102",7029.31147702554
"IL221_IL102","IL221","IL102",3066.53345302264
"IL223_IL102","IL223","IL102",2108.33779830013
"IL229_IL102","IL229","IL102",3235.87646778256
"IL231_IL102","IL231","IL102",6486.89170310509
"IL235_IL102","IL235","IL102",4905.438540579
"IL239_IL102","IL239","IL102",5161.46049248757
"IL240_IL102","IL240","IL102",6236.14460142598
"IL241_IL102","IL241","IL102",4137.88170064439
"IL243_IL102","IL243","IL102",6923.29780910801
"IL250_IL102","IL250","IL102",3492.89707017569
