"GEOID","Cluster","State","County.Code","Tract_RUC","Tract_Population","Tract_Land","Tract_Lat","Tract_Long","Tract_methadone_unserved","Name","Address","Pharm_Lat","Pharm_Long","Cluster_centroid_Latitude","Cluster_centroid_Longitude","Shortest_distance","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC","Max_RUC","Max_PopD","Drive_Time"
17001010200,"IL189","Illinois",17001,5,66787,855.14,40.1081128,-91.0341343,4.654815141,"DENMAN COUNTRY DRUG","102 PRAIRIE MILLS RD",40.106054,-91.028227,40.106054,-91.028227,552.713710225423,66787,855.14,5,5,78.1006618799261,647.491033924599
17003957600,"IL217","Illinois",17003,3,6776,235.394,37.2945891,-89.3516477,3.067663028,"ROGAN'S COUNTRY PHARMACY","201 E COMMERCIAL",37.210166,-89.203481,37.210166,-89.203481,16145.7205119646,5691,199.316,8,8,28.7857804362048,1445.26093245951
17003957700,"IL217","Illinois",17003,3,6776,235.394,37.1322588,-89.3422085,2.018835014,"ROGAN'S COUNTRY PHARMACY","201 E COMMERCIAL",37.210166,-89.203481,37.210166,-89.203481,15054.585564717,5691,199.316,8,8,28.7857804362048,1398.69129291098
17003957800,"IL128","Illinois",17003,3,6776,235.394,37.0610007,-89.2058275,1.865006905,"BODE DRUG INC","211 MAIN ST",37.08467,-89.163474,37.08467,-89.163474,4592.75423088249,8152,246.869,9,9,33.0215620430269,994.57329399588
17003957800,"IL217","Illinois",17003,3,6776,235.394,37.0610007,-89.2058275,1.865006905,"ROGAN'S COUNTRY PHARMACY","201 E COMMERCIAL",37.210166,-89.203481,37.210166,-89.203481,16606.3109338186,5691,199.316,8,8,28.7857804362048,1464.91893166424
17003957900,"IL128","Illinois",17003,3,6776,235.394,36.9879616,-89.1636803,1.662869142,"BODE DRUG INC","211 MAIN ST",37.08467,-89.163474,37.08467,-89.163474,10765.5454517819,8152,246.869,9,9,33.0215620430269,1258.02802330387
17005951200,"IL165","Illinois",17005,1,17034,380.339,38.9684694,-89.3649392,3.661363249,"WATSONS DRUG STORE","214 W MAIN ST",38.891903,-89.412631,38.889474,-89.4093915,9471.20556060637,17034,380.339,1,1,44.7863616405365,859.901706717471
17005951300,"IL165","Illinois",17005,1,17034,380.339,38.8862466,-89.3900594,8.526653928,"CVS Pharmacy #06930","401 E Harris Ave",38.887045,-89.406152,38.889474,-89.4093915,1397.25208559289,17034,380.339,1,1,44.7863616405365,515.305372403895
17005951400,"IL108","Illinois",17005,1,17034,380.339,38.9242859,-89.5380155,3.895283679,"CVS Pharmacy #10774","506 E Main St",39.012076,-89.782652,39.012038,-89.7843295,23319.9110698862,45960,862.974,1,1,53.2576879488837,1450.27040208909
17005951400,"IL155","Illinois",17005,1,17034,380.339,38.9242859,-89.5380155,3.895283679,"WALMART PHARMACY 10-0435","12495 STATE RTE 143",38.759319,-89.686144,38.7557416666667,-89.6855433333333,22409.6126120876,266153,715.509,1,1,371.977151929605,1385.30617822631
