"PharmID","Name","Address","City","State","Zip","Latitude","Longitude","Cluster","Cluster_centroid_Latitude","Cluster_centroid_Longitude","distance_to_clust","County","FIPS","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC"
"P20445","CVS Pharmacy #06525","302 E MAIN STREET","N MANCHESTER","IN",46962,40.999463,-85.766637,"IN100",40.9993445,-85.7769235,864.317327627717,"wabash",18169,31848,412.538,6
"P21014","JR PHARMACY ROCKVILLE LLC 4","1330 N LINCOLN RD","ROCKVILLE","IN",478721215,39.776347,-87.236542,"IN101",39.7697395,-87.2369735,736.469460252519,"parke",18121,17062,444.721,6
"P20448","CVS Pharmacy #06669","511 THIRD STREET","COVINGTON","IN",47932,40.138731,-87.39851,"IN102",40.138731,-87.39851,0,"fountain",18045,16620,395.667,6
"P20452","CVS PHARMACY","620 EAST STATE STREET","PENDLETON","IN",46064,39.999519,-85.73621,"IN103",39.999519,-85.73621,0,"madison",18095,129641,451.92,1
"P20453","CVS Pharmacy #06914","5765 EAST STATE ROAD 10","DEMOTTE","IN",46310,41.143905,-87.280386,"IN104",41.143905,-87.280386,0,"newton",18111,14056,401.754,1
"P20454","CVS Pharmacy #06674","505 WEST MAIN STREET","DELPHI","IN",46923,40.584546,-86.678705,"IN105",40.584546,-86.678705,0,"carroll",18015,19994,372.225,3
"P20509","CVS PHARMACY","31 Metamora Rd","BROOKVILLE","IN",47012,39.428425,-85.013312,"IN107",39.423974,-85.0131415,495.699909062112,"franklin",18047,22835,384.426,6
"P20459","FAMILY DRUG","810 W COMMERCE ST","BROWNSTOWN","IN",472201233,38.878986,-86.051844,"IN108",38.877341,-86.0476285,408.643094693066,"jackson",18071,43779,509.975,4
"P20460","CLOVERDALE DRUGS","900 N MAIN ST","CLOVERDALE","IN",46120,39.524735,-86.801263,"IN109",39.524735,-86.801263,0,"putnam",18133,37543,480.538,1
"P20461","Glotzbach Pharmacy","500 S grant ave","Fowler","IN",47944,40.613684,-87.315116,"IN110",40.613684,-87.315116,0,"benton",18007,8685,406.417,3
"P20466","SHELDONS EXPRESS PHARMACY","815 Sycamore St","ROCKPORT","IN",47635,37.891875,-87.055113,"IN111",37.887477,-87.0518275,568.335129233818,"spencer",18147,20610,396.768,8
"P20639","Pill Box Pharmacy","2306 Dubois Dr","WARSAW","IN",465803213,41.246234,-85.825523,"IN112",41.247757625,-85.835087875,818.333191480544,"kosciusko",18085,78720,531.438,4
"P20475","CVS Pharmacy #06675","366 W MAIN STREET","ROSSVILLE","IN",46065,40.417582,-86.603984,"IN114",40.417582,-86.603984,0,"clinton",18023,32455,405.066,6
"P20476","CVS Pharmacy #06508","529 WEST MAIN ST","BUTLER","IN",46721,41.430378,-84.886338,"IN115",41.430378,-84.886338,0,"de kalb",18033,42524,362.831,4
"P21308","Engleking Rx, LLC","1494 W Main St","Mitchell","IN",474469493,38.73149,-86.485375,"IN116",38.7311445,-86.48767,202.97288469587,"lawrence",18093,45669,449.179,6
"P20480","CVS Pharmacy #06528","928 US 27 NORTH","BERNE","IN",46711,40.665158,-84.955718,"IN117",40.6614345,-84.952578,492.048217701179,"adams",18001,35018,338.925,6
"P20484","CVS Pharmacy #06879","200 W Main St","PETERSBURG","IN",47567,38.486992,-87.285764,"IN118",38.486992,-87.285764,0,"pike",18125,12471,334.303,8
"P20486","CVS Pharmacy #06630","711 E JEFFERSON ST","TIPTON","IN",46072,40.282129,-86.032124,"IN119",40.282129,-86.032124,0,"tipton",18159,15290,260.541,6
"P20327","CVS Pharmacy #06553","2320 CUNNINGHAM RD","INDIANAPOLIS","IN",46224,39.798279,-86.26614,"IN12",39.792218,-86.27303846875,896.307800625413,"marion",18097,939964,396.568,1
"P21024","MARTINS PHARMACY","1527 BASHOR RD","GOSHEN","IN",46528,41.595349,-85.856271,"IN121",41.5934724545455,-85.8543151818182,264.857742554804,"elkhart",18039,202924,463.169,3
"P20497","CVS PHARMACY","103 E HACKBERRY ST","SALEM","IN",47167,38.608592,-86.099507,"IN122",38.6111188333333,-86.094863,492.249653127418,"washington",18175,27807,513.693,1
"P20500","CVS Pharmacy #06574","950 S Peru St","CICERO","IN",46034,40.124259,-86.014247,"IN123",40.124259,-86.014247,0,"hamilton",18057,309687,394.348,1
"P20501","CVS Pharmacy #06543","607 E TALMER AVE","NORTH JUDSON","IN",46366,41.214522,-86.769181,"IN124",41.214522,-86.769181,0,"starke",18149,22966,309.144,6
"P20504","CVS Pharmacy #06632","1130 S MAIN STREET","DUNKIRK","IN",47336,40.365857,-85.217682,"IN125",40.365857,-85.217682,0,"jay",18075,21107,383.905,6
"P20512","CVS Pharmacy #06787","907 State Road 229","BATESVILLE","IN",47006,39.308398,-85.21646,"IN127",39.3082593333333,-85.2127863333333,316.801136584327,"franklin",18047,22835,384.426,6
"P20513","CVS PHARMACY","263 W MORGAN STREET","KNIGHTSTOWN","IN",46148,39.801266,-85.531614,"IN128",39.801266,-85.531614,0,"henry",18065,48649,391.878,4
"P20515","CVS Pharmacy #06474","1900 N MICHIGAN ST","PLYMOUTH","IN",46563,41.35718,-86.311241,"IN129",41.3539406666667,-86.3120258333333,366.515706907143,"marshall",18099,46752,443.619,6
"P20874","WALMART PHARMACY 10-2787","7325 NORTH KEYSTONE AVE","INDIANAPOLIS","IN",462403245,39.887621,-86.118975,"IN13",39.9007607021277,-86.1209895319149,1472.78959937875,"marion",18097,939964,396.568,1
"P20516","FAMILY PHARMACY INC","508 W 11TH STREET","BICKNELL","IN",47512,38.780732,-87.315975,"IN130",38.780732,-87.315975,0,"knox",18083,37763,516.019,5
"P21163","SHELDON'S EXPRESS PHARMACY, LLC","1810 N Main St","Huntingburg","IN",475429701,38.313176,-86.955774,"IN131",38.3062865,-86.955864,766.975922298784,"dubois",18037,42379,427.265,5
