"ID","Origin","Destination","Drive_Time"
"C482_IN100","C482","IN100",2918.21830462153
"C483_IN100","C483","IN100",2863.45839754196
"C484_IN100","C484","IN100",6565.11418544579
"C485_IN100","C485","IN100",7021.02782657837
"C486_IN100","C486","IN100",6450.55394122764
"C487_IN100","C487","IN100",6132.00900450633
"C488_IN100","C488","IN100",5335.62429102884
"C489_IN100","C489","IN100",6730.55421448919
"C490_IN100","C490","IN100",6617.6430381038
"C491_IN100","C491","IN100",7154.72605263205
"C492_IN100","C492","IN100",4234.49301583254
"C479_IN101","C479","IN101",4486.1297285068
"C486_IN101","C486","IN101",4417.89207959006
"C487_IN101","C487","IN101",4566.85774352072
"C488_IN101","C488","IN101",4039.65195915321
"C489_IN101","C489","IN101",4515.73903712781
"C479_IN102","C479","IN102",6229.43610916549
"C486_IN102","C486","IN102",5310.80987902719
"C487_IN102","C487","IN102",5345.41163406984
"C488_IN102","C488","IN102",3124.81180936792
"C489_IN102","C489","IN102",5507.31240095288
"C490_IN102","C490","IN102",6889.1634007441
"C479_IN103","C479","IN103",5608.64937284891
"C482_IN103","C482","IN103",6162.97007661939
"C483_IN103","C483","IN103",6160.70013313285
"C486_IN103","C486","IN103",2126.76924485015
"C487_IN103","C487","IN103",1853.61093815693
"C488_IN103","C488","IN103",4908.23608059774
"C489_IN103","C489","IN103",2253.20799817576
"C491_IN103","C491","IN103",3963.629986497
"C484_IN104","C484","IN104",2529.38874217101
"C485_IN104","C485","IN104",2583.32508686809
"C488_IN104","C488","IN104",4354.10721826883
"C490_IN104","C490","IN104",1908.73713536409
"C492_IN104","C492","IN104",4944.10091153049
"C482_IN105","C482","IN105",6555.87439587991
"C483_IN105","C483","IN105",6508.53460563768
"C484_IN105","C484","IN105",5670.87259753465
"C485_IN105","C485","IN105",5910.15226400327
"C486_IN105","C486","IN105",4622.19865746483
"C487_IN105","C487","IN105",4427.09914641364
"C488_IN105","C488","IN105",1461.19905409158
"C489_IN105","C489","IN105",4935.38918716815
"C490_IN105","C490","IN105",5257.9293899653
"C492_IN105","C492","IN105",5903.39206539587
"C479_IN107","C479","IN107",6554.05076948173
"C480_IN107","C480","IN107",6208.76173312263
"C486_IN107","C486","IN107",4986.05620400609
"C487_IN107","C487","IN107",4974.80803007178
"C489_IN107","C489","IN107",4802.97176109583
"C491_IN107","C491","IN107",2653.57222152702
"C479_IN108","C479","IN108",2882.16975484133
"C480_IN108","C480","IN108",3272.64627241994
"C486_IN108","C486","IN108",4684.12015406328
"C487_IN108","C487","IN108",4967.60205435518
"C489_IN108","C489","IN108",4371.38264061446
"C491_IN108","C491","IN108",6942.49001880154
"C479_IN109","C479","IN109",2488.33023777607
"C486_IN109","C486","IN109",2909.61506844384
"C487_IN109","C487","IN109",3173.97874877722
"C488_IN109","C488","IN109",4747.20546310864
"C489_IN109","C489","IN109",2865.53847610916
"C484_IN110","C484","IN110",5136.92189523071
"C485_IN110","C485","IN110",5165.16907447657
"C486_IN110","C486","IN110",6129.07485789514
"C487_IN110","C487","IN110",6034.55625471111
"C488_IN110","C488","IN110",2542.43756268272
"C489_IN110","C489","IN110",6404.79111325255
"C490_IN110","C490","IN110",4501.08345984829
"C492_IN110","C492","IN110",6838.46684737567
"C479_IN111","C479","IN111",6947.0122424759
"C480_IN111","C480","IN111",6341.84030883775
"C481_IN111","C481","IN111",2727.51421437562
"C482_IN112","C482","IN112",3054.29503313308
"C483_IN112","C483","IN112",2988.67556383502
"C484_IN112","C484","IN112",5812.12736826021
"C485_IN112","C485","IN112",6294.75157514653
"C487_IN112","C487","IN112",7156.78869537654
"C488_IN112","C488","IN112",5876.46846742229
"C490_IN112","C490","IN112",5992.09389533292
"C492_IN112","C492","IN112",3036.96698027725
"C479_IN114","C479","IN114",6682.31658512137
"C482_IN114","C482","IN114",6830.79527151501
"C483_IN114","C483","IN114",6790.05849863949
"C484_IN114","C484","IN114",6635.52666144729
"C485_IN114","C485","IN114",6868.547665571
"C486_IN114","C486","IN114",3921.68746194427
"C487_IN114","C487","IN114",3737.43630421053
"C488_IN114","C488","IN114",1415.70261750869
"C489_IN114","C489","IN114",4233.077840281
"C490_IN114","C490","IN114",6212.33161949585
"C492_IN114","C492","IN114",6731.57133371353
"C482_IN115","C482","IN115",2308.15804888577
"C483_IN115","C483","IN115",2322.63379027302
"C492_IN115","C492","IN115",5473.84148560924
"C479_IN116","C479","IN116",2645.39891358606
"C480_IN116","C480","IN116",4032.97063957162
"C481_IN116","C481","IN116",6045.05624274205
"C486_IN116","C486","IN116",5596.61571374621
"C487_IN116","C487","IN116",5916.10711401042
"C489_IN116","C489","IN116",5321.40837851243
"C482_IN117","C482","IN117",2864.06997389449
"C483_IN117","C483","IN117",2904.88869551201
"C486_IN117","C486","IN117",6542.30375503688
"C487_IN117","C487","IN117",6237.82338005054
"C489_IN117","C489","IN117",6702.29778396682
"C491_IN117","C491","IN117",4662.01814656942
"C479_IN118","C479","IN118",4810.94127843806
"C480_IN118","C480","IN118",6690.75415297779
"C481_IN118","C481","IN118",3349.87930172814
"C479_IN119","C479","IN119",6396.36620436656
"C482_IN119","C482","IN119",5707.48344847602
"C483_IN119","C483","IN119",5685.96540392992
"C486_IN119","C486","IN119",2915.53016151397
"C487_IN119","C487","IN119",2601.81490501436
"C488_IN119","C488","IN119",3556.8690148438
"C489_IN119","C489","IN119",3204.51939990808
"C491_IN119","C491","IN119",5494.33696476328
