"ID","Origin","Destination","Drive_Time"
"IN103_IN100","IN103","IN100",5401.6582683105
"IN104_IN100","IN104","IN100",6131.86187563908
"IN105_IN100","IN105","IN100",4494.1062344783
"IN110_IN100","IN110","IN100",6529.16149616925
"IN112_IN100","IN112","IN100",1852.13323491197
"IN114_IN100","IN114","IN100",4757.58779541198
"IN115_IN100","IN115","IN100",4417.07421432921
"IN117_IN100","IN117","IN100",3984.28588759245
"IN119_IN100","IN119","IN100",4206.69450587657
"IN12_IN100","IN12","IN100",6465.11539484462
"IN121_IN100","IN121","IN100",3486.28901956639
"IN123_IN100","IN123","IN100",4861.8511692414
"IN124_IN100","IN124","IN100",4398.29556561604
"IN125_IN100","IN125","IN100",4268.6363066895
"IN128_IN100","IN128","IN100",6418.79330569225
"IN129_IN100","IN129","IN100",3249.20599476593
"IN13_IN100","IN13","IN100",5912.77491207775
"IN133_IN100","IN133","IN100",6217.74165320683
"IN138_IN100","IN138","IN100",5192.07317372948
"IN14_IN100","IN14","IN100",5932.77714309265
"IN144_IN100","IN144","IN100",6737.4685947276
"IN147_IN100","IN147","IN100",2262.08214906458
"IN148_IN100","IN148","IN100",2348.79738362218
"IN149_IN100","IN149","IN100",6597.60438781909
"IN15_IN100","IN15","IN100",5499.8352764803
"IN150_IN100","IN150","IN100",5992.01689094849
"IN157_IN100","IN157","IN100",6323.31496709559
"IN159_IN100","IN159","IN100",3354.36334706066
"IN16_IN100","IN16","IN100",6097.6892125373
"IN160_IN100","IN160","IN100",5932.23049411347
"IN161_IN100","IN161","IN100",6822.95893353752
"IN164_IN100","IN164","IN100",2602.26448283984
"IN166_IN100","IN166","IN100",5105.34797468493
"IN168_IN100","IN168","IN100",3241.91546424481
"IN169_IN100","IN169","IN100",5439.76563701162
"IN17_IN100","IN17","IN100",7040.09053540143
"IN171_IN100","IN171","IN100",3797.6743536565
"IN172_IN100","IN172","IN100",4068.30885701285
"IN173_IN100","IN173","IN100",5748.06341880675
"IN174_IN100","IN174","IN100",1305.38650018433
"IN178_IN100","IN178","IN100",3312.78074553867
"IN18_IN100","IN18","IN100",5796.78986617787
"IN184_IN100","IN184","IN100",3414.52770803265
"IN188_IN100","IN188","IN100",5045.57491043956
"IN19_IN100","IN19","IN100",5012.82396608076
"IN190_IN100","IN190","IN100",2960.10484628816
"IN191_IN100","IN191","IN100",6970.6913874022
"IN193_IN100","IN193","IN100",2779.8424414419
"IN195_IN100","IN195","IN100",5781.44618395289
"IN21_IN100","IN21","IN100",3019.02408115708
"IN23_IN100","IN23","IN100",4645.60940751618
"IN24_IN100","IN24","IN100",5002.25941986616
"IN25_IN100","IN25","IN100",6818.74360509693
"IN26_IN100","IN26","IN100",1572.62144622551
"IN27_IN100","IN27","IN100",7150.11362074273
"IN31_IN100","IN31","IN100",5433.25225902863
"IN32_IN100","IN32","IN100",5758.69473922134
"IN33_IN100","IN33","IN100",4091.38340877509
"IN38_IN100","IN38","IN100",6002.87109645706
"IN39_IN100","IN39","IN100",3470.97143046992
"IN40_IN100","IN40","IN100",4163.15894535426
"IN41_IN100","IN41","IN100",5549.39959500529
"IN42_IN100","IN42","IN100",6529.84330524019
"IN43_IN100","IN43","IN100",2909.76730097646
"IN44_IN100","IN44","IN100",3561.32394370522
"IN45_IN100","IN45","IN100",6698.45733962033
"IN46_IN100","IN46","IN100",5711.19808208468
"IN47_IN100","IN47","IN100",7127.13799626367
"IN49_IN100","IN49","IN100",4432.06376131535
"IN52_IN100","IN52","IN100",3084.67456282059
"IN56_IN100","IN56","IN100",6983.70231934686
"IN59_IN100","IN59","IN100",3765.02366622173
"IN60_IN100","IN60","IN100",5776.42883288718
"IN62_IN100","IN62","IN100",4855.90862334096
"IN64_IN100","IN64","IN100",5664.19665852379
"IN65_IN100","IN65","IN100",1735.10820259765
"IN66_IN100","IN66","IN100",5888.36967076978
"IN69_IN100","IN69","IN100",4521.3057716981
"IN71_IN100","IN71","IN100",1665.41250019022
"IN72_IN100","IN72","IN100",6051.02441918558
"IN73_IN100","IN73","IN100",3675.82780341744
"IN74_IN100","IN74","IN100",3663.95537761256
"IN78_IN100","IN78","IN100",6776.84125556423
"IN83_IN100","IN83","IN100",4017.36426938966
"IN84_IN100","IN84","IN100",2886.66367102503
"IN86_IN100","IN86","IN100",3211.52199235484
"IN88_IN100","IN88","IN100",4015.95802840663
"IN89_IN100","IN89","IN100",3458.22517601234
"IN9_IN100","IN9","IN100",5858.77590346259
"IN90_IN100","IN90","IN100",2908.4269152186
"IN91_IN100","IN91","IN100",2656.33676284726
"IN92_IN100","IN92","IN100",4009.39732353286
"IN93_IN100","IN93","IN100",5120.48230684414
"IN94_IN100","IN94","IN100",1938.73585495812
"IN95_IN100","IN95","IN100",2208.17422584855
"IN96_IN100","IN96","IN100",3236.11141027632
"IN97_IN100","IN97","IN100",4026.68903382751
"IN99_IN100","IN99","IN100",4962.17433104254
"IN102_IN101","IN102","IN101",2489.56535909416
"IN103_IN101","IN103","IN101",6220.80039351951
"IN104_IN101","IN104","IN101",7169.25570571625
"IN105_IN101","IN105","IN101",5009.65927756193
"IN108_IN101","IN108","IN101",6759.65358007708
"IN109_IN101","IN109","IN101",2657.74150401904
"IN110_IN101","IN110","IN101",4658.38793102984
"IN114_IN101","IN114","IN101",4483.1103199224
"IN116_IN101","IN116","IN101",6346.2798780038
"IN118_IN101","IN118","IN101",6883.93671798266
"IN119_IN101","IN119","IN101",5665.53078007019
"IN12_IN101","IN12","IN101",4023.17904500057
"IN123_IN101","IN123","IN101",5357.47411019751
"IN128_IN101","IN128","IN101",6888.24856050752
"IN13_IN101","IN13","IN101",4590.39785363519
"IN130_IN101","IN130","IN101",5406.33800050237
"IN135_IN101","IN135","IN101",4383.38987163542
"IN138_IN101","IN138","IN101",7004.21343083921
"IN14_IN101","IN14","IN101",4348.45199784601
"IN140_IN101","IN140","IN101",3507.72241680348
"IN144_IN101","IN144","IN101",5557.17059500763
"IN145_IN101","IN145","IN101",1511.55355970191
"IN147_IN101","IN147","IN101",6946.07113916033
"IN15_IN101","IN15","IN101",4808.02064584905
"IN151_IN101","IN151","IN101",6081.32879473803
"IN152_IN101","IN152","IN101",4206.93262739591
"IN153_IN101","IN153","IN101",6874.03278128448
"IN155_IN101","IN155","IN101",5236.41140072887
"IN157_IN101","IN157","IN101",6011.02203574724
"IN16_IN101","IN16","IN101",5103.64568018963
"IN160_IN101","IN160","IN101",4121.7083469556
"IN161_IN101","IN161","IN101",4139.57090096957
"IN166_IN101","IN166","IN101",5902.3625432664
"IN168_IN101","IN168","IN101",6307.25898828537
"IN169_IN101","IN169","IN101",4532.48382124715
"IN17_IN101","IN17","IN101",4610.18891718018
"IN176_IN101","IN176","IN101",4948.3616753405
"IN18_IN101","IN18","IN101",3758.70016163627
"IN181_IN101","IN181","IN101",3585.36429321088
"IN185_IN101","IN185","IN101",3083.20729711492
"IN186_IN101","IN186","IN101",6480.95274527744
"IN187_IN101","IN187","IN101",2217.69076631697
"IN188_IN101","IN188","IN101",4693.82348092342
"IN19_IN101","IN19","IN101",4229.35368918621
"IN191_IN101","IN191","IN101",6307.4132702964
"IN192_IN101","IN192","IN101",3920.2518643615
"IN194_IN101","IN194","IN101",1820.57957282977
"IN195_IN101","IN195","IN101",3507.33139942405
"IN2_IN101","IN2","IN101",5778.96634769897
"IN21_IN101","IN21","IN101",6351.12170258698
"IN22_IN101","IN22","IN101",6197.06315861599
"IN24_IN101","IN24","IN101",6511.16752184957
"IN25_IN101","IN25","IN101",2395.29014020286
"IN27_IN101","IN27","IN101",3771.43383163729
"IN29_IN101","IN29","IN101",1941.45513744364
"IN30_IN101","IN30","IN101",3965.76359873053
"IN31_IN101","IN31","IN101",5229.02450535279
