"GEOID","Cluster","State","County.Code","Tract_RUC","Tract_Population","Tract_Land","Tract_Lat","Tract_Long","Tract_methadone_unserved","Name","Address","Pharm_Lat","Pharm_Long","Cluster_centroid_Latitude","Cluster_centroid_Longitude","Shortest_distance","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC","Max_RUC","Max_PopD","Drive_Time"
18001030100,"IN59","Indiana",18001,6,35018,338.925,40.8835444,-84.9286621,0,"CVS Pharmacy #06516","1221 WEST MONROE STREET",40.828975,-84.936783,40.8188013333333,-84.9370956666667,6112.99797466679,35018,338.925,6,6,103.320793685919,925.477680932091
18001030200,"IN117","Indiana",18001,6,35018,338.925,40.8364217,-84.950076,0,"CVS Pharmacy #06528","928 US 27 NORTH",40.665158,-84.955718,40.6614345,-84.952578,19070.9239981482,35018,338.925,6,6,103.320793685919,1478.52196361428
18001030200,"IN52","Indiana",18001,6,35018,338.925,40.8364217,-84.950076,0,"WALGREENS #7472","1975 N MAIN ST",40.771116,-85.165037,40.7572943333333,-85.167972,19517.7831546471,27832,368.087,2,6,103.320793685919,1497.59391241365
18001030200,"IN59","Indiana",18001,6,35018,338.925,40.8364217,-84.950076,0,"CVS Pharmacy #06516","1221 WEST MONROE STREET",40.828975,-84.936783,40.8188013333333,-84.9370956666667,1393.10554738994,35018,338.925,6,6,103.320793685919,724.032672135915
18001030300,"IN117","Indiana",18001,6,35018,338.925,40.8151602,-84.9116931,10.37703603,"CVS Pharmacy #06528","928 US 27 NORTH",40.665158,-84.955718,40.6614345,-84.952578,17106.051664793,35018,338.925,6,6,103.320793685919,1394.66121242668
18001030300,"IN59","Indiana",18001,6,35018,338.925,40.8151602,-84.9116931,10.37703603,"KROGER PHARMACY J-407","929S 13TH ST",40.817883,-84.937261,40.8188013333333,-84.9370956666667,2175.24785120694,35018,338.925,6,6,103.320793685919,757.414505662825
18001030400,"IN117","Indiana",18001,6,35018,338.925,40.7812075,-84.9468488,6.340901456,"CVS Pharmacy #06528","928 US 27 NORTH",40.665158,-84.955718,40.6614345,-84.952578,12940.2229711489,35018,338.925,6,6,103.320793685919,1216.86364378195
18001030400,"IN52","Indiana",18001,6,35018,338.925,40.7812075,-84.9468488,6.340901456,"WALGREENS #7472","1975 N MAIN ST",40.771116,-85.165037,40.7572943333333,-85.167972,18427.2205356808,27832,368.087,2,6,103.320793685919,1451.04869983617
18001030400,"IN59","Indiana",18001,6,35018,338.925,40.7812075,-84.9468488,6.340901456,"WALMART PHARMACY 10-1647","1700 S 13TH ST",40.809546,-84.937243,40.8188013333333,-84.9370956666667,3256.83864138473,35018,338.925,6,6,103.320793685919,803.576800587613
18001030500,"IN117","Indiana",18001,6,35018,338.925,40.702854,-84.9342356,11.5778233,"CVS Pharmacy #06528","928 US 27 NORTH",40.665158,-84.955718,40.6614345,-84.952578,4571.37972621486,35018,338.925,6,6,103.320793685919,859.681414088163
