"ID","Origin","Destination","Drive_Time"
"C493_IA1","C493","IA1",1811.0144000213
"C494_IA1","C494","IA1",6399.73237682818
"C496_IA1","C496","IA1",2201.12667781488
"C497_IA1","C497","IA1",1890.81132505081
"C498_IA1","C498","IA1",2040.48783522439
"C499_IA1","C499","IA1",2413.24762664307
"C493_IA10","C493","IA10",1294.29624040577
"C496_IA10","C496","IA10",747.264630586518
"C497_IA10","C497","IA10",1058.15140049758
"C498_IA10","C498","IA10",939.062963994085
"C499_IA10","C499","IA10",3318.50110310828
"C500_IA100","C500","IA100",2711.03557153382
"C493_IA101","C493","IA101",4847.8419283394
"C496_IA101","C496","IA101",4230.77400316742
"C497_IA101","C497","IA101",4477.16941186579
"C498_IA101","C498","IA101",4297.99468244989
"C499_IA101","C499","IA101",5376.40890267132
"C494_IA102","C494","IA102",6152.41968735611
"C493_IA103","C493","IA103",2080.62371383093
"C496_IA103","C496","IA103",1668.17620503177
"C497_IA103","C497","IA103",1632.75112792246
"C498_IA103","C498","IA103",1522.89011841766
"C499_IA103","C499","IA103",2277.9763915337
"C493_IA105","C493","IA105",3372.7113171214
"C494_IA105","C494","IA105",5770.35647590465
"C496_IA105","C496","IA105",3494.06523603618
"C497_IA105","C497","IA105",3221.14222058155
"C498_IA105","C498","IA105",3286.04997631547
"C499_IA105","C499","IA105",1449.93971266147
"C496_IA108","C496","IA108",6721.08464017044
"C497_IA108","C497","IA108",7031.08122751287
"C498_IA108","C498","IA108",6885.81311604251
"C500_IA108","C500","IA108",7051.35897116663
"C494_IA109","C494","IA109",2080.1355355404
"C495_IA109","C495","IA109",3867.5925059529
"C493_IA11","C493","IA11",4834.14396470177
"C496_IA11","C496","IA11",5125.7893743799
"C497_IA11","C497","IA11",5210.30869215658
"C498_IA11","C498","IA11",5282.67062010028
"C493_IA110","C493","IA110",5298.2356912219
"C496_IA110","C496","IA110",5713.46228510956
"C497_IA110","C497","IA110",5727.06487424626
"C498_IA110","C498","IA110",5834.9503677848
"C493_IA111","C493","IA111",3678.57037269834
"C494_IA111","C494","IA111",4595.93236455489
"C496_IA111","C496","IA111",4097.62131074877
"C497_IA111","C497","IA111",3786.67257247032
"C498_IA111","C498","IA111",3929.53153256034
"C499_IA111","C499","IA111",3069.28311753149
"C494_IA112","C494","IA112",5231.23568514645
"C495_IA112","C495","IA112",5262.07107223902
"C499_IA112","C499","IA112",6484.92735881928
"C493_IA113","C493","IA113",4727.98919461732
"C496_IA113","C496","IA113",4168.14551721656
"C497_IA113","C497","IA113",4465.56469602667
"C498_IA113","C498","IA113",4302.15902133169
"C499_IA113","C499","IA113",5942.54925064828
"C493_IA114","C493","IA114",2818.64520293829
"C496_IA114","C496","IA114",2980.62089716391
"C497_IA114","C497","IA114",3118.20304977829
"C498_IA114","C498","IA114",3158.23512758404
"C499_IA114","C499","IA114",5380.49261790464
"C494_IA115","C494","IA115",5579.97611717577
"C494_IA116","C494","IA116",3713.47296144056
"C495_IA116","C495","IA116",5031.78677371368
"C494_IA117","C494","IA117",5224.90270669031
"C495_IA117","C495","IA117",6441.6306599816
"C497_IA117","C497","IA117",7120.38597910702
"C498_IA117","C498","IA117",7170.7003844008
"C499_IA117","C499","IA117",5025.82521128201
"C493_IA118","C493","IA118",5983.03639112608
"C496_IA118","C496","IA118",5738.82949376353
"C497_IA118","C497","IA118",6023.37491937271
"C498_IA118","C498","IA118",5945.7457752562
"C500_IA118","C500","IA118",6023.44617400128
"C494_IA119","C494","IA119",1377.81841309818
"C495_IA119","C495","IA119",4227.90097472571
"C499_IA119","C499","IA119",6370.50490705983
"C493_IA120","C493","IA120",5004.26579477212
"C494_IA120","C494","IA120",6384.04792554402
"C496_IA120","C496","IA120",5613.08951426348
"C497_IA120","C497","IA120",5444.8983704472
"C498_IA120","C498","IA120",5615.65057211374
"C499_IA120","C499","IA120",6510.97551126999
"C493_IA121","C493","IA121",4511.65116567142
"C494_IA121","C494","IA121",5330.16959789804
"C496_IA121","C496","IA121",4623.98075991307
"C497_IA121","C497","IA121",4356.93508830216
"C498_IA121","C498","IA121",4415.03423748642
"C499_IA121","C499","IA121",2352.03730173101
"C500_IA122","C500","IA122",7003.02601859506
"C495_IA123","C495","IA123",6986.02270144896
"C500_IA124","C500","IA124",4912.16660925498
"C494_IA125","C494","IA125",3530.51868643355
"C495_IA125","C495","IA125",4782.6389992228
"C499_IA125","C499","IA125",5686.20550610998
"C494_IA126","C494","IA126",1864.39684276076
"C495_IA126","C495","IA126",4855.19139092927
"C500_IA127","C500","IA127",2176.88105580398
"C493_IA128","C493","IA128",5891.28375512201
"C496_IA128","C496","IA128",5491.32409091394
"C497_IA128","C497","IA128",5800.18149013466
"C498_IA128","C498","IA128",5679.52317314777
"C500_IA128","C500","IA128",6902.35157222147
"C494_IA13","C494","IA13",4871.25661163796
"C495_IA13","C495","IA13",4767.29507735201
"C493_IA130","C493","IA130",7082.45272077
"C496_IA130","C496","IA130",6864.0396417383
"C497_IA130","C497","IA130",7143.72129360174
"C498_IA130","C498","IA130",7071.96579696524
"C500_IA130","C500","IA130",4882.97159400476
"C493_IA131","C493","IA131",1150.88295094341
"C496_IA131","C496","IA131",927.514303435064
"C497_IA131","C497","IA131",1151.49180186248
"C498_IA131","C498","IA131",1126.53823247713
"C499_IA131","C499","IA131",3545.89572954807
"C493_IA132","C493","IA132",1998.18926225696
"C494_IA132","C494","IA132",6877.78065464939
"C496_IA132","C496","IA132",2593.58602806233
"C497_IA132","C497","IA132",2452.29267879397
"C498_IA132","C498","IA132",2614.4746903344
"C499_IA132","C499","IA132",4182.60400694972
"C494_IA134","C494","IA134",2696.38610776015
"C495_IA134","C495","IA134",4158.37689497275
"C494_IA135","C494","IA135",7174.26590532009
"C493_IA136","C493","IA136",6004.5958712269
