"ID","Origin","Destination","Drive_Time"
"IA10_IA1","IA10","IA1",2511.31534500117
"IA101_IA1","IA101","IA1",5679.66961707066
"IA103_IA1","IA103","IA1",2503.49420512967
"IA105_IA1","IA105","IA1",2393.98471174818
"IA11_IA1","IA11","IA1",5760.95162924633
"IA110_IA1","IA110","IA1",5942.04813964414
"IA111_IA1","IA111","IA1",2566.97186709767
"IA113_IA1","IA113","IA1",5792.89271933579
"IA114_IA1","IA114","IA1",3936.00444847322
"IA117_IA1","IA117","IA1",6240.18451214985
"IA119_IA1","IA119","IA1",6475.82442200197
"IA120_IA1","IA120","IA1",4886.82134850333
"IA121_IA1","IA121","IA1",3497.57843259269
"IA125_IA1","IA125","IA1",6446.79401362505
"IA128_IA1","IA128","IA1",7127.50988393681
"IA131_IA1","IA131","IA1",2501.45262767555
"IA132_IA1","IA132","IA1",2446.14905801742
"IA136_IA1","IA136","IA1",5567.13199430187
"IA138_IA1","IA138","IA1",5763.02466991868
"IA139_IA1","IA139","IA1",2431.50663351226
"IA144_IA1","IA144","IA1",6368.098561627
"IA146_IA1","IA146","IA1",4950.03288435388
"IA148_IA1","IA148","IA1",2909.90412341371
"IA149_IA1","IA149","IA1",6257.08715314754
"IA15_IA1","IA15","IA1",5773.36663348439
"IA150_IA1","IA150","IA1",3826.55969289062
"IA151_IA1","IA151","IA1",6184.21039268763
"IA154_IA1","IA154","IA1",4211.85195313576
"IA156_IA1","IA156","IA1",2905.41078663071
"IA157_IA1","IA157","IA1",2272.27626707493
"IA158_IA1","IA158","IA1",3951.34743430073
"IA16_IA1","IA16","IA1",2706.73464996296
"IA161_IA1","IA161","IA1",6098.08801337938
"IA168_IA1","IA168","IA1",5045.12665768707
"IA169_IA1","IA169","IA1",4274.23241005382
"IA170_IA1","IA170","IA1",4877.07094536641
"IA171_IA1","IA171","IA1",6765.76568454211
"IA176_IA1","IA176","IA1",7037.91502946766
"IA179_IA1","IA179","IA1",4801.85496463405
"IA18_IA1","IA18","IA1",5567.95867760474
"IA180_IA1","IA180","IA1",5773.75231079399
"IA181_IA1","IA181","IA1",6903.89179712742
"IA182_IA1","IA182","IA1",4256.16989647663
"IA183_IA1","IA183","IA1",4498.72646936312
"IA184_IA1","IA184","IA1",2963.55760349808
"IA187_IA1","IA187","IA1",6377.72877907788
"IA189_IA1","IA189","IA1",5549.78383445517
"IA19_IA1","IA19","IA1",6610.28094827759
"IA191_IA1","IA191","IA1",4611.60587022994
"IA194_IA1","IA194","IA1",6746.49683746711
"IA195_IA1","IA195","IA1",5172.55056814531
"IA196_IA1","IA196","IA1",5058.61583691163
"IA197_IA1","IA197","IA1",2301.55335489939
"IA2_IA1","IA2","IA1",3423.35249206654
"IA20_IA1","IA20","IA1",5551.83859248876
"IA202_IA1","IA202","IA1",3311.4033169507
"IA206_IA1","IA206","IA1",4081.75237338335
"IA208_IA1","IA208","IA1",6877.97967294941
"IA211_IA1","IA211","IA1",3559.4383795296
"IA212_IA1","IA212","IA1",3731.67191908026
"IA216_IA1","IA216","IA1",5440.07050408663
"IA217_IA1","IA217","IA1",6590.50238142803
"IA218_IA1","IA218","IA1",6735.36780396507
"IA219_IA1","IA219","IA1",5368.5908158549
"IA223_IA1","IA223","IA1",1565.15009933218
"IA225_IA1","IA225","IA1",6141.24819822783
"IA23_IA1","IA23","IA1",1412.73774770185
