"GEOID","Cluster","State","County.Code","Tract_RUC","Tract_Population","Tract_Land","Tract_Lat","Tract_Long","Tract_methadone_unserved","Name","Address","Pharm_Lat","Pharm_Long","Cluster_centroid_Latitude","Cluster_centroid_Longitude","Shortest_distance","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC","Max_RUC","Max_PopD","Drive_Time"
19001960100,"IA113","Iowa",19001,8,7192,569.27,41.4226701,-94.4754745,1.954039506,"Fontanelle Drug","401 WASHINGTON ST",41.289235,-94.562519,41.289235,-94.562519,16539.0491935466,7192,569.27,8,8,12.633723892002,1463.3715385821
19001960100,"IA216","Iowa",19001,8,7192,569.27,41.4226701,-94.4754745,1.954039506,"NuCara Pharmacy #100","202 SW Kent Street Suite 1",41.302655,-94.462996,41.302655,-94.462996,13400.6379299986,7192,569.27,8,8,12.633723892002,1329.42414585387
19001960100,"IA80","Iowa",19001,8,7192,569.27,41.4226701,-94.4754745,1.954039506,"FAY PHARMACY","400 AUDUBON ST",41.500371,-94.642734,41.500371,-94.642734,16416.7478316474,7192,569.27,8,8,12.633723892002,1458.15171645624
19001960200,"IA113","Iowa",19001,8,7192,569.27,41.2403358,-94.4634803,1.125795602,"Fontanelle Drug","401 WASHINGTON ST",41.289235,-94.562519,41.289235,-94.562519,9914.99669754887,7192,569.27,8,8,12.633723892002,1180.65697805291
19001960200,"IA216","Iowa",19001,8,7192,569.27,41.2403358,-94.4634803,1.125795602,"NuCara Pharmacy #100","202 SW Kent Street Suite 1",41.302655,-94.462996,41.302655,-94.462996,6937.45994454756,7192,569.27,8,8,12.633723892002,1053.57570943482
19001960300,"IA113","Iowa",19001,8,7192,569.27,41.2964752,-94.5071226,1.95543975,"Fontanelle Drug","401 WASHINGTON ST",41.289235,-94.562519,41.289235,-94.562519,4702.90521931666,7192,569.27,8,8,12.633723892002,958.204913761963
19001960300,"IA216","Iowa",19001,8,7192,569.27,41.2964752,-94.5071226,1.95543975,"NuCara Pharmacy #100","202 SW Kent Street Suite 1",41.302655,-94.462996,41.302655,-94.462996,3753.91966462548,7192,569.27,8,8,12.633723892002,917.702210287744
19003950100,"IA176","Iowa",19003,9,3785,423.433,41.0509146,-94.6680804,1.152400225,"Hy-Vee Pharmacy (1083)","625 DAVIS AVE",40.988596,-94.734558,40.988596,-94.734558,8905.04125304543,3785,423.433,9,9,8.93884038324835,1180.59480148738
19003950200,"IA176","Iowa",19003,9,3785,423.433,40.9482672,-94.8079792,1.497560195,"Hy-Vee Pharmacy (1083)","625 DAVIS AVE",40.988596,-94.734558,40.988596,-94.734558,7631.52318667414,3785,423.433,9,9,8.93884038324835,1126.24105041465
19003950200,"IA66","Iowa",19003,9,3785,423.433,40.9482672,-94.8079792,1.497560195,"HONEYMAN DRUG","408 S 3RD AVE",40.928307,-94.977353,40.928307,-94.977353,14415.3379886567,10239,424.096,6,9,24.1431185391987,1414.52857965395
19005960100,"IA45","Iowa",19005,6,13940,639.043,43.3464049,-91.2647941,1.286070544,"HARTIG DRUG CO","21 W MAIN ST",43.269406,-91.476205,43.269406,-91.476205,19150.5989618033,13940,639.043,6,6,21.8138685503166,1488.60035343944
19005960200,"IA45","Iowa",19005,6,13940,639.043,43.3971626,-91.4741746,1.802490463,"HARTIG DRUG CO","21 W MAIN ST",43.269406,-91.476205,43.269406,-91.476205,14222.7498721492,13940,639.043,6,6,21.8138685503166,1278.279754293
19005960300,"IA45","Iowa",19005,6,13940,639.043,43.2661236,-91.4897803,2.730765939,"HARTIG DRUG CO","21 W MAIN ST",43.269406,-91.476205,43.269406,-91.476205,1159.47028194828,13940,639.043,6,6,21.8138685503166,720.738981383225
19005960400,"IA102","Iowa",19005,6,13940,639.043,43.1749656,-91.2911688,1.638886357,"NuCara Pharmacy #40","118 W Center St",43.053081,-91.390921,43.053081,-91.390921,15805.1716093596,17711,778.495,8,8,22.7503066814816,1431.22079166105
19005960400,"IA45","Iowa",19005,6,13940,639.043,43.1749656,-91.2911688,1.638886357,"HARTIG DRUG CO","21 W MAIN ST",43.269406,-91.476205,43.269406,-91.476205,18325.4522734079,13940,639.043,6,6,21.8138685503166,1453.38309277872
19005960500,"IA102","Iowa",19005,6,13940,639.043,43.179367,-91.5066694,2.457618213,"NuCara Pharmacy #40","118 W Center St",43.053081,-91.390921,43.053081,-91.390921,16914.395485351,17711,778.495,8,8,22.7503066814816,1478.56246668837
19005960500,"IA210","Iowa",19005,6,13940,639.043,43.179367,-91.5066694,2.457618213,"The Prescription Shoppe","139 N Lawler St",43.085603,-91.568216,43.085603,-91.568216,11573.5107079562,17711,778.495,8,8,22.7503066814816,1250.61350438916
19005960500,"IA45","Iowa",19005,6,13940,639.043,43.179367,-91.5066694,2.457618213,"HARTIG DRUG CO","21 W MAIN ST",43.269406,-91.476205,43.269406,-91.476205,10323.227270495,13940,639.043,6,6,21.8138685503166,1111.8481296544
19007950100,"IA82","Iowa",19007,7,12547,497.291,40.7873507,-92.7433917,2.012320664,"Hy-Vee Pharmacy (1058)","609 N 18TH STREET",40.738294,-92.86785,40.7272523333333,-92.869664,11829.6727174417,12547,497.291,7,7,25.2306999322328,1218.60328033496
19007950200,"IA82","Iowa",19007,7,12547,497.291,40.8274778,-92.9639064,1.218698395,"Hy-Vee Pharmacy (1058)","609 N 18TH STREET",40.738294,-92.86785,40.7272523333333,-92.869664,12810.8520306254,12547,497.291,7,7,25.2306999322328,1260.48001342164
19007950300,"IA82","Iowa",19007,7,12547,497.291,40.7505354,-92.8694687,2.023332998,"Hy-Vee Pharmacy (1058)","609 N 18TH STREET",40.738294,-92.86785,40.7272523333333,-92.869664,1369.52775884737,12547,497.291,7,7,25.2306999322328,772.164293502158
19007950400,"IA82","Iowa",19007,7,12547,497.291,40.7050487,-92.8797915,2.333880842,"WALMART PHARMACY 10-1621","23148 Highway 5",40.709439,-92.867738,40.7272523333333,-92.869664,1128.46760844858,12547,497.291,7,7,25.2306999322328,761.875846283138
