"PharmID","Name","Address","City","State","Zip","Latitude","Longitude","Cluster","Cluster_centroid_Latitude","Cluster_centroid_Longitude","distance_to_clust","County","FIPS","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC"
"P21400","EVANS DRUG INC","116 W Pine St","COLUMBUS","KS",66725,37.169708,-94.843111,"KS10",37.169708,-94.843111,0,"cherokee",20021,20501,587.567,6
"P21572","AuBurn Pharmacy","429 N Maple Street","GARNETT","KS",660321074,38.287819,-95.25042,"KS100",38.287819,-95.25042,0,"anderson",20003,7840,579.645,6
"P21580","TICE HEALTHMART","618 OREGON ST","HIAWATHA","KS",664342299,39.853141,-95.536336,"KS101",39.850726,-95.5438983333333,699.964340556299,"brown",20013,9736,570.872,6
"P21582","Caney Drug","208 W 4TH AVE","CANEY","KS",673331462,37.011739,-95.936727,"KS102",37.011739,-95.936727,0,"washington",40147,51867,415.523,4
"P21597","SCOTT CITY PHARMACY","102 ALBERT AVE","SCOTT CITY","KS",67871,38.46651,-100.90586,"KS104",38.46651,-100.90586,0,"scott",20171,4981,717.585,7
"P21609","GREGWIRE DRUG STORE","714 N MAIN ST","RUSSELL","KS",676651991,38.892501,-98.860072,"KS105",38.8877635,-98.858364,547.747035997907,"russell",20167,6987,886.26,7
"P21610","AuBurn Pharmacy","625 MAIN ST","MOUND CITY","KS",66056,38.142243,-94.816282,"KS106",38.142243,-94.816282,0,"linn",20107,9602,594.081,1
"P21612","PRESCRIPTION CENTRE","312 CROSS ST","BURLINGTON","KS",66839,38.206865,-95.737431,"KS107",38.2040945,-95.738357,318.870458007449,"coffey",20031,8328,626.885,6
"P21624","EUREKA PHARMACY","1602 N ELM","EUREKA","KS",67045,37.835437,-96.292724,"KS108",37.835437,-96.292724,0,"greenwood",20073,6227,1143.304,6
"P21628","WICHITA COUNTY PHARMACY","111 W BROADWAY","LEOTI","KS",67861,38.481098,-101.359405,"KS109",38.481098,-101.359405,0,"wichita",20203,2157,718.566,9
"P21401","RIGGS DRUGS STORE","308 MAPLE ST","CHETOPA","KS",67336,37.036688,-95.086509,"KS11",37.036688,-95.086509,0,"cherokee",20021,20501,587.567,6
"P21629","SILVER CREEK PHARMACY AND GIFTS","945 Market St","LA CYGNE","KS",66040,38.345139,-94.752994,"KS110",38.345139,-94.752994,0,"linn",20107,9602,594.081,1
"P21640","WALMART PHARMACY 10-0039","2500 SOUTH MAIN ST","FORT SCOTT","KS",667018724,37.80766,-94.705163,"KS111",37.8100633333333,-94.7067933333333,303.539359133073,"bourbon",20011,14757,635.471,6
"P21703","PRICE CHOPPER PHARMACY 249","22210 WEST 66TH ST","SHAWNEE","KS",66226,39.010109,-94.844008,"KS112",39.0101582857143,-94.8271732857143,1456.19798364875,"johnson",20091,578797,473.621,1
"P21952","Lakin Drug","610 Oloughlin St","Lakin","KS",678609494,37.947654,-101.253316,"KS113",37.9471335,-101.252602,85.3565538874821,"kearny",20093,3931,870.543,9
"P21655","CHENEY PHARMACY","114 N MAIN","CHENEY","KS",67025,37.627481,-97.780671,"KS115",37.627481,-97.780671,0,"sedgwick",20173,510484,996.926,2
"P21665","WALDRONS PHARMACY","111 S MAIN","JOHNSON","KS",67855,37.569615,-101.750348,"KS116",37.569615,-101.750348,0,"stanton",20187,2107,680.352,9
"P21680","AuBurn Pharmacy #150","400 Ames St","BALDWIN CITY","KS",66006,38.782548,-95.183548,"KS117",38.782548,-95.183548,0,"douglas",20045,117806,455.766,3
"P21717","Queen's Price Chopper #7","22350 S HARRISON","SPRING HILL","KS",66083,38.722089,-94.830836,"KS118",38.722089,-94.830836,0,"miami",20121,32976,575.878,1
"P21726","ST MARYS PHARMACY","520 W BERTRAND AVE","SAINT MARYS","KS",665361698,39.193536,-96.069921,"KS119",39.193536,-96.069921,0,"pottawatomie",20149,23188,840.741,3
"P21402","Kays Pharmacy","2 West Main Street","Herington","KS",67449,38.671708,-96.943866,"KS12",38.671708,-96.943866,0,"dickinson",20041,19162,847.066,7
"P21731","CEDAR CREEK PHARMACY","34040 Commerce Dr","DE SOTO","KS",66018,38.96318,-94.97979,"KS120",38.96318,-94.97979,0,"johnson",20091,578797,473.621,1
"P21837","Vohs Pharmacy","100 W Crestview Suite 120","Louisburg","KS",66053,38.621486,-94.693407,"KS121",38.6210755,-94.6850525,728.048599347877,"miami",20121,32976,575.878,1
"P21761","SEDAN PHARMACY","129 E MAIN","SEDAN","KS",67361,37.126561,-96.186254,"KS123",37.126561,-96.186254,0,"chautauqua",20019,3425,638.881,8
"P21768","AUBURN PHARMACY","1012 Popular Suite A","WELLSVILLE","KS",66092,38.709822,-95.075621,"KS125",38.709822,-95.075621,0,"miami",20121,32976,575.878,1
"P21778","MAINSTREET DRUG","103 W MAIN ST","OSBORNE","KS",67473,39.437964,-98.695064,"KS126",39.437964,-98.695064,0,"osborne",20141,3684,892.516,9
"P21800","Washington Health Mart","227 C Street","Washington","KS",66968,39.817704,-97.051544,"KS127",39.817704,-97.051544,0,"washington",20201,5572,894.761,9
"P21816","Kex Rx Pharmacy & Home Care","1903 Euclid Ave","Horton","KS",664391238,39.674166,-95.530121,"KS128",39.674166,-95.530121,0,"brown",20013,9736,570.872,6
"P21819","Harper Pharmacy","1404 Maple Street","Harper","KS",670581214,37.282835,-98.033275,"KS129",37.282835,-98.033275,0,"harper",20077,5746,801.274,8
"P21767","WALGREENS #10150","750 E MAIN ST","GARDNER","KS",660301744,38.811654,-94.911717,"KS13",38.8111938,-94.913831,190.393347450031,"johnson",20091,578797,473.621,1
"P21823","Cardinal Pharmacy","821 N. Main St.","Hoisington","KS",67544,38.521296,-98.778598,"KS130",38.521296,-98.778598,0,"barton",20009,27067,895.257,7
"P21827","AuBurn Pharmacy","310 E 15th","Eudora","KS",66025,38.933883,-95.095006,"KS131",38.933883,-95.095006,0,"douglas",20045,117806,455.766,3
"P21834","Kiowa County Pharmacy","721 W Kansas Ave Ste 101","Greensburg","KS",670541633,37.605685,-99.301576,"KS134",37.605685,-99.301576,0,"kiowa",20097,2524,722.64,9
"P21839","Dixon Drug-Wallace County","107 W 2nd St","Sharon Springs","KS",67758,38.895948,-101.752447,"KS135",38.895948,-101.752447,0,"wallace",20199,1591,913.652,9
"P21840","Freeman Pharmacy","100 E Spring Ave","Conway Springs","KS",670313101,37.390548,-97.640883,"KS136",37.390548,-97.640883,0,"sumner",20191,23336,1181.655,2
"P21841","FOUR STATES PHARMACY","1605 - Suite B, K66","GALENA","KS",66739,37.07489,-94.657295,"KS137",37.07489,-94.657295,0,"cherokee",20021,20501,587.567,6
"P21845","Moffet Drug","102 S STATE ST","NORTON","KS",676540405,39.828961,-99.889167,"KS138",39.828961,-99.889167,0,"norton",20137,5527,878.044,7
"P21846","WALMART PHARMACY 10-3103","18631 W Kellog Dr","Goddard","KS",670529221,37.661099,-97.55477,"KS139",37.661099,-97.55477,0,"sedgwick",20173,510484,996.926,2
"P21405","PATTERSON HEALTH CARE PHARMACY","105 NW THIRD ST","ABILENE","KS",67410,38.917123,-97.214318,"KS14",38.9219886666667,-97.2152006666667,547.011835583282,"dickinson",20041,19162,847.066,7
"P21852","Grant County Drug","219 N MAIN ST","ULYSSES","KS",678802130,37.582596,-101.358361,"KS140",37.582596,-101.358361,0,"grant",20067,7716,574.808,7
"P21857","Midwest Family Health","210 W MILL ST","PLAINVILLE","KS",67663,39.234574,-99.300262,"KS141",39.234574,-99.300262,0,"rooks",20163,5148,890.527,9
