"ID","Origin","Destination","Drive_Time"
"C501_KS100","C501","KS100",5752.90878465414
"C502_KS100","C502","KS100",4939.31281484098
"C503_KS100","C503","KS100",3797.91304744221
"C504_KS100","C504","KS100",4420.88959455037
"C501_KS101","C501","KS101",5787.15083051938
"C502_KS101","C502","KS101",5665.63805378216
"C503_KS101","C503","KS101",5095.58112947605
"C504_KS101","C504","KS101",4707.94563472262
"C505_KS102","C505","KS102",6332.98682763234
"C506_KS102","C506","KS102",6734.99710318802
"C507_KS102","C507","KS102",6765.77280752913
"C508_KS102","C508","KS102",6876.71865196859
"C501_KS106","C501","KS106",5464.56106610285
"C502_KS106","C502","KS106",4779.39145425479
"C503_KS106","C503","KS106",4647.15445634908
"C504_KS106","C504","KS106",5739.34755078166
"C502_KS107","C502","KS107",6396.62825145609
"C503_KS107","C503","KS107",4664.36637570694
"C504_KS107","C504","KS107",4447.9622424135
"C505_KS107","C505","KS107",6789.26861602727
"C506_KS107","C506","KS107",7076.80191749504
"C507_KS107","C507","KS107",7094.59248580779
"C508_KS107","C508","KS107",6995.29711041113
"C504_KS108","C504","KS108",6649.61878720091
"C505_KS108","C505","KS108",4244.97663189482
"C506_KS108","C506","KS108",4587.77765905112
"C507_KS108","C507","KS108",4610.6513509139
"C508_KS108","C508","KS108",4563.05943211245
"C501_KS110","C501","KS110",4472.77897425394
"C502_KS110","C502","KS110",3789.70745090287
"C503_KS110","C503","KS110",3884.43039852104
"C504_KS110","C504","KS110",5189.0730870915
"C501_KS111","C501","KS111",7148.89712188448
"C502_KS111","C502","KS111",6526.12065009443
"C503_KS111","C503","KS111",6410.58800445638
"C501_KS112","C501","KS112",2004.60919514632
"C502_KS112","C502","KS112",1252.749916997
"C503_KS112","C503","KS112",1874.83273929781
"C504_KS112","C504","KS112",3551.04074981697
"C505_KS115","C505","KS115",2538.612311374
"C506_KS115","C506","KS115",2181.22502292765
"C507_KS115","C507","KS115",2158.82848131931
"C508_KS115","C508","KS115",2234.40808739507
"C501_KS117","C501","KS117",3774.58294302018
"C502_KS117","C502","KS117",2941.94710482853
"C503_KS117","C503","KS117",1331.09978591698
"C504_KS117","C504","KS117",2655.94209417673
"C501_KS118","C501","KS118",2954.70473396417
"C502_KS118","C502","KS118",2155.31892545128
"C503_KS118","C503","KS118",2334.4279351389
"C504_KS118","C504","KS118",3955.05887915338
"C501_KS119","C501","KS119",6480.35984046363
"C502_KS119","C502","KS119",5873.01267513327
"C503_KS119","C503","KS119",3854.36515433262
"C504_KS119","C504","KS119",2192.42952762766
"C503_KS12","C503","KS12",7199.63200599814
"C504_KS12","C504","KS12",5609.50841641865
"C505_KS12","C505","KS12",5576.52555995163
"C506_KS12","C506","KS12",5530.09878619881
"C507_KS12","C507","KS12",5522.23543610606
"C508_KS12","C508","KS12",5296.26323393176
"C501_KS120","C501","KS120",2552.85868291073
"C502_KS120","C502","KS120",1796.93899382257
"C503_KS120","C503","KS120",1346.78986261597
"C504_KS120","C504","KS120",3058.49278861017
"C501_KS121","C501","KS121",3154.4770076258
"C502_KS121","C502","KS121",2458.32814524559
"C503_KS121","C503","KS121",3030.16069780228
"C504_KS121","C504","KS121",4619.60882121159
"C505_KS123","C505","KS123",5413.52303918814
"C506_KS123","C506","KS123",5814.83396081015
"C507_KS123","C507","KS123",5845.61259628295
"C508_KS123","C508","KS123",5958.80906733396
"C501_KS125","C501","KS125",3591.33687980951
"C502_KS125","C502","KS125",2751.81551867894
"C503_KS125","C503","KS125",1787.47291713827
"C504_KS125","C504","KS125",3176.8601699806
"C504_KS127","C504","KS127",7100.37274354399
"C501_KS128","C501","KS128",5280.84757481447
"C502_KS128","C502","KS128",5055.40707027012
"C503_KS128","C503","KS128",4274.13161326121
"C504_KS128","C504","KS128",3871.47789643388
"C505_KS129","C505","KS129",4246.56512817272
"C506_KS129","C506","KS129",4011.37256852909
"C507_KS129","C507","KS129",4000.24033607627
"C508_KS129","C508","KS129",4156.52106990434
"C501_KS13","C501","KS13",2766.65318170404
"C502_KS13","C502","KS13",1973.49713134614
"C503_KS13","C503","KS13",1770.66570907834
"C504_KS13","C504","KS13",3450.38126137236
"C501_KS131","C501","KS131",3133.9876987903
"C502_KS131","C502","KS131",2337.12325536044
"C503_KS131","C503","KS131",1003.74838213762
"C504_KS131","C504","KS131",2725.52880558221
"C505_KS136","C505","KS136",2482.72028579264
"C506_KS136","C506","KS136",2321.82805511577
"C507_KS136","C507","KS136",2318.49656478036
"C508_KS136","C508","KS136",2515.48454149519
"C505_KS139","C505","KS139",1681.11626947713
"C506_KS139","C506","KS139",1316.53072151904
"C507_KS139","C507","KS139",1294.39293789857
"C508_KS139","C508","KS139",1387.24498364355
"C504_KS14","C504","KS14",6352.95155508255
"C505_KS14","C505","KS14",6624.76756862903
"C506_KS14","C506","KS14",6491.9004214656
"C507_KS14","C507","KS14",6477.54761557382
"C508_KS14","C508","KS14",6244.54188143758
"C505_KS142","C505","KS142",6162.77871669159
"C506_KS142","C506","KS142",5860.11497696266
"C507_KS142","C507","KS142",5842.32698978625
"C508_KS142","C508","KS142",5950.1993358381
"C505_KS147","C505","KS147",4600.18383751408
"C506_KS147","C506","KS147",4412.94903522297
"C507_KS147","C507","KS147",4405.80277994856
"C508_KS147","C508","KS147",4583.12328536013
"C504_KS149","C504","KS149",6501.38107841017
"C505_KS149","C505","KS149",3971.4994341796
"C506_KS149","C506","KS149",3940.4273585774
"C507_KS149","C507","KS149",3934.3321764212
"C508_KS149","C508","KS149",3712.57456350153
"C505_KS151","C505","KS151",3459.03030172248
"C506_KS151","C506","KS151",3192.1038284834
"C507_KS151","C507","KS151",3169.24026609473
"C508_KS151","C508","KS151",2950.63478484927
"C505_KS152","C505","KS152",3057.46029155404
"C506_KS152","C506","KS152",3017.4398774329
"C507_KS152","C507","KS152",3011.44354931164
"C508_KS152","C508","KS152",2790.4055413229
"C505_KS153","C505","KS153",2834.34018957784
"C506_KS153","C506","KS153",2595.18584243895
"C507_KS153","C507","KS153",2574.57634148161
"C508_KS153","C508","KS153",2348.56619803227
"C505_KS154","C505","KS154",1742.96211980208
"C506_KS154","C506","KS154",1578.43212958062
"C507_KS154","C507","KS154",1576.91163101682
"C508_KS154","C508","KS154",1783.05610073768
"C503_KS157","C503","KS157",5379.76409951252
"C504_KS157","C504","KS157",3761.96673764328
"C501_KS160","C501","KS160",7017.4264380292
"C502_KS160","C502","KS160",6547.18618252762
"C503_KS160","C503","KS160",4850.54243056839
"C504_KS160","C504","KS160",3426.61247201417
"C501_KS161","C501","KS161",4314.32120144425
"C502_KS161","C502","KS161",3860.21749986459
"C503_KS161","C503","KS161",2595.17228262209
"C504_KS161","C504","KS161",2340.79219204347
"C501_KS162","C501","KS162",4277.09308981403
"C502_KS162","C502","KS162",4341.8782547054
"C503_KS162","C503","KS162",4531.48867300247
"C504_KS162","C504","KS162",4824.05224821064
"C505_KS163","C505","KS163",6676.74190452696
"C506_KS163","C506","KS163",6269.99176414992
"C507_KS163","C507","KS163",6240.46909561074
"C508_KS163","C508","KS163",6197.02714369726
"C505_KS164","C505","KS164",3782.8700320515
"C506_KS164","C506","KS164",3778.8464798184
"C507_KS164","C507","KS164",3786.32480881632
"C508_KS164","C508","KS164",4012.7835837443
"C505_KS165","C505","KS165",5586.08408480876
"C506_KS165","C506","KS165",5205.05674053554
"C507_KS165","C507","KS165",5174.86879997059
"C508_KS165","C508","KS165",5029.6708286421
"C501_KS166","C501","KS166",4067.81570117775
"C502_KS166","C502","KS166",3283.92306441051
"C503_KS166","C503","KS166",2902.8501566627
"C504_KS166","C504","KS166",4176.81912120802
"C505_KS167","C505","KS167",6704.76975790529
"C506_KS167","C506","KS167",6305.66395137312
"C507_KS167","C507","KS167",6274.90167641454
"C508_KS167","C508","KS167",6160.81862567468
"C505_KS168","C505","KS168",1061.33338128094
"C506_KS168","C506","KS168",1431.66293647838
"C507_KS168","C507","KS168",1462.12036755608
