"ID","Origin","Destination","Drive_Time"
"KS100_KS10","KS100","KS10",6198.53243702666
"KS102_KS10","KS102","KS10",4874.86386070112
"KS106_KS10","KS106","KS10",5291.90962116609
"KS107_KS10","KS107","KS10",6635.65830835439
"KS108_KS10","KS108","KS10",6983.38266748998
"KS11_KS10","KS11","KS10",1788.23570148479
"KS110_KS10","KS110","KS10",6265.03885733659
"KS111_KS10","KS111","KS10",3745.45458229722
"KS123_KS10","KS123","KS10",5846.23660073506
"KS137_KS10","KS137","KS10",1505.91713372813
"KS156_KS10","KS156","KS10",3153.93014885713
"KS166_KS10","KS166","KS10",6998.87008697801
"KS170_KS10","KS170","KS10",5520.15024631459
"KS20_KS10","KS20","KS10",3995.38589966699
"KS21_KS10","KS21","KS10",3444.38600560725
"KS30_KS10","KS30","KS10",2303.85114125393
"KS33_KS10","KS33","KS10",6309.18639021707
"KS44_KS10","KS44","KS10",4089.07492797146
"KS48_KS10","KS48","KS10",2507.87797774218
"KS5_KS10","KS5","KS10",1489.80628802911
"KS58_KS10","KS58","KS10",4859.65246484178
"KS6_KS10","KS6","KS10",3699.6226937404
"KS76_KS10","KS76","KS10",1988.30500446204
"KS83_KS10","KS83","KS10",1719.52288499176
"KS84_KS10","KS84","KS10",4810.5109887819
"KS90_KS10","KS90","KS10",4487.13927388187
"KS92_KS10","KS92","KS10",5561.12754696012
"KS99_KS10","KS99","KS10",3960.09366329176
"KS10_KS100","KS10","KS100",6198.53243702666
"KS106_KS100","KS106","KS100",2433.74010451238
"KS107_KS100","KS107","KS100",2529.35659212445
"KS108_KS100","KS108","KS100",5124.08195910301
"KS11_KS100","KS11","KS100",6646.32895446725
"KS110_KS100","KS110","KS100",2545.86842944002
"KS111_KS100","KS111","KS100",3731.54789211388
"KS112_KS100","KS112","KS100",4321.31194687882
"KS117_KS100","KS117","KS100",3015.47951407787
"KS118_KS100","KS118","KS100",3254.98394485726
"KS119_KS100","KS119","KS100",5937.605399664
"KS120_KS100","KS120","KS100",3935.19115677809
"KS121_KS100","KS121","KS100",3277.57010699799
"KS125_KS100","KS125","KS100",2776.05026094607
"KS13_KS100","KS13","KS100",3361.81524418079
"KS131_KS100","KS131","KS100",3775.14286440221
"KS137_KS100","KS137","KS100",6849.41099957825
"KS156_KS100","KS156","KS100",4110.83587576105
"KS161_KS100","KS161","KS100",5756.78709307201
"KS166_KS100","KS166","KS100",2198.64973406971
"KS170_KS100","KS170","KS100",2769.42660694054
"KS20_KS100","KS20","KS100",3777.09377150529
"KS21_KS100","KS21","KS100",5650.04630155359
"KS25_KS100","KS25","KS100",5697.33011791951
"KS26_KS100","KS26","KS100",7085.16316545874
"KS28_KS100","KS28","KS100",4246.69172645351
"KS30_KS100","KS30","KS100",4640.35572264768
"KS32_KS100","KS32","KS100",6631.88808698977
"KS33_KS100","KS33","KS100",6195.25165885946
"KS36_KS100","KS36","KS100",4999.59206384399
"KS4_KS100","KS4","KS100",4437.38358207664
"KS40_KS100","KS40","KS100",3016.84340649253
"KS44_KS100","KS44","KS100",5151.89834630288
"KS45_KS100","KS45","KS100",3366.6633517658
"KS46_KS100","KS46","KS100",2129.26989331036
"KS47_KS100","KS47","KS100",2648.21560419326
"KS48_KS100","KS48","KS100",5217.35796090138
"KS5_KS100","KS5","KS100",6997.75502055238
"KS56_KS100","KS56","KS100",6514.22432672382
"KS57_KS100","KS57","KS100",5085.3236126681
"KS58_KS100","KS58","KS100",2546.01006683405
"KS6_KS100","KS6","KS100",6796.02632330776
"KS62_KS100","KS62","KS100",5448.82070247832
"KS76_KS100","KS76","KS100",5247.04379647516
"KS78_KS100","KS78","KS100",4870.05164887682
"KS80_KS100","KS80","KS100",3893.50070084381
"KS81_KS100","KS81","KS100",4028.01564764389
"KS83_KS100","KS83","KS100",6068.87052891704
"KS84_KS100","KS84","KS100",4898.84971254397
"KS86_KS100","KS86","KS100",3679.56081586876
"KS87_KS100","KS87","KS100",6721.43357796143
"KS88_KS100","KS88","KS100",5579.3209417559
"KS90_KS100","KS90","KS100",3087.23019755304
"KS92_KS100","KS92","KS100",3445.81710282417
"KS97_KS100","KS97","KS100",4645.71141783262
"KS99_KS100","KS99","KS100",6015.57948901062
"KS112_KS101","KS112","KS101",5316.03234971914
"KS117_KS101","KS117","KS101",5901.04945829973
"KS118_KS101","KS118","KS101",6635.50906971237
