"GEOID","Cluster","State","County.Code","Tract_RUC","Tract_Population","Tract_Land","Tract_Lat","Tract_Long","Tract_methadone_unserved","Name","Address","Pharm_Lat","Pharm_Long","Cluster_centroid_Latitude","Cluster_centroid_Longitude","Shortest_distance","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC","Max_RUC","Max_PopD","Drive_Time"
20001952600,"KS58","Kansas",20001,7,12752,500.298,37.8701999,-95.197265,2.026304113,"IOLA PHARMACY CLINIC","1408 EAST STREET",37.922787,-95.387468,37.9317765,-95.40193725,17704.1367075561,12752,500.298,7,7,25.4888086700327,1469.30425658416
20001952700,"KS58","Kansas",20001,7,12752,500.298,37.9730751,-95.3766221,2.049270981,"Apothecare - Iola","2051 N State St",37.941367,-95.408336,37.9317765,-95.40193725,4495.26360332097,12752,500.298,7,7,25.4888086700327,905.549552495403
20001952800,"KS58","Kansas",20001,7,12752,500.298,37.9478025,-95.395218,4.187277586,"Apothecare - Iola","2051 N State St",37.941367,-95.408336,37.9317765,-95.40193725,1356.24088384564,12752,500.298,7,7,25.4888086700327,771.576062828196
20001952800,"KS90","Kansas",20001,7,12752,500.298,37.9478025,-95.395218,4.187277586,"HUMBOLDT PHARMACY","204 SOUTH 9TH ST",37.810017,-95.435667,37.810017,-95.435667,15744.591946398,12752,500.298,7,7,25.4888086700327,1385.67088617793
20001952900,"KS58","Kansas",20001,7,12752,500.298,37.8887615,-95.3976184,2.397949793,"IOLA PHARMACY","109 E MADISON",37.921272,-95.402801,37.9317765,-95.40193725,3647.5685693913,12752,500.298,7,7,25.4888086700327,869.369928447285
20001952900,"KS90","Kansas",20001,7,12752,500.298,37.8887615,-95.3976184,2.397949793,"HUMBOLDT PHARMACY","204 SOUTH 9TH ST",37.810017,-95.435667,37.810017,-95.435667,9382.1586703997,12752,500.298,7,7,25.4888086700327,1114.12223395832
20001953000,"KS20","Kansas",20001,7,12752,500.298,37.8374004,-95.4535716,2.651629287,"Cardinal Drugstore","103 E MAIN ST",37.681492,-95.451549,37.6712126,-95.4572326,17356.5565089683,16209,571.482,7,7,28.3630980503323,1454.2340431795
20001953000,"KS58","Kansas",20001,7,12752,500.298,37.8374004,-95.4535716,2.651629287,"IOLA PHARMACY","109 E MADISON",37.921272,-95.402801,37.9317765,-95.40193725,10347.5231724546,12752,500.298,7,7,25.4888086700327,1155.32399090603
20001953000,"KS90","Kansas",20001,7,12752,500.298,37.8374004,-95.4535716,2.651629287,"HUMBOLDT PHARMACY","204 SOUTH 9TH ST",37.810017,-95.435667,37.810017,-95.435667,3430.86468298013,12752,500.298,7,7,25.4888086700327,860.121006575256
20003953600,"KS100","Kansas",20003,6,7840,579.645,38.3273219,-95.1930761,5.184248442,"AuBurn Pharmacy","429 N Maple Street",38.287819,-95.25042,38.287819,-95.25042,6665.47102842805,7840,579.645,6,6,13.5255199303022,956.414157645419
20003953700,"KS100","Kansas",20003,6,7840,579.645,38.1782779,-95.312532,3.000308099,"AuBurn Pharmacy","429 N Maple Street",38.287819,-95.25042,38.287819,-95.25042,13348.8803374769,7840,579.645,6,6,13.5255199303022,1241.66206695562
20005081600,"KS87","Kansas",20005,6,16466,431.174,39.5247992,-95.3333254,3.04385434,"WALMART PHARMACY 10-1054","1920 Highway 73",39.540275,-95.129747,39.5531026666667,-95.126864,17563.2476545212,16466,431.174,6,6,38.1887590624667,1419.51060486498
20005081700,"KS87","Kansas",20005,6,16466,431.174,39.588905,-95.1400456,4.295637682,"Kex Rx Pharmacy","807 Main St",39.561151,-95.124159,39.5531026666667,-95.126864,3376.91048184533,16466,431.174,6,6,38.1887590624667,814.037734335171
20005081800,"KS87","Kansas",20005,6,16466,431.174,39.5382231,-95.1469116,1.880481704,"WALMART PHARMACY 10-1054","1920 Highway 73",39.540275,-95.129747,39.5531026666667,-95.126864,1491.15066667477,16466,431.174,6,6,38.1887590624667,733.553505423691
20005081900,"KS87","Kansas",20005,6,16466,431.174,39.564954,-95.1246354,2.333761995,"Kex Rx Pharmacy","807 Main St",39.561151,-95.124159,39.5531026666667,-95.126864,425.3175988112,16466,431.174,6,6,38.1887590624667,688.063750087274
20007968100,"KS142","Kansas",20007,9,4905,1134.076,37.3687018,-98.6794989,3.122098337,"Hibbard's Prescriptions Plus","126 N Main St",37.280948,-98.579183,37.280948,-98.579183,13201.7331515758,4905,1134.076,9,9,4.32510695932195,1364.35561489608
20009971100,"KS130","Kansas",20009,7,27067,895.257,38.4908345,-98.5945803,3.728112407,"Cardinal Pharmacy","821 N. Main St.",38.521296,-98.778598,38.521296,-98.778598,16384.9142075799,27067,895.257,7,7,30.2337764463165,1412.61108507526
20009971100,"KS167","Kansas",20009,7,27067,895.257,38.4908345,-98.5945803,3.728112407,"The Red Haus Pharmacy","19 N Humbolt Ave",38.354307,-98.582745,38.354307,-98.582745,15233.1824334168,27067,895.257,7,7,30.2337764463165,1363.45517295398
20009971200,"KS130","Kansas",20009,7,27067,895.257,38.5163034,-98.9125337,1.679021213,"Cardinal Pharmacy","821 N. Main St.",38.521296,-98.778598,38.521296,-98.778598,11678.6015696434,27067,895.257,7,7,30.2337764463165,1211.74566168813
20009971300,"KS130","Kansas",20009,7,27067,895.257,38.5000388,-98.7877126,2.912587818,"Cardinal Pharmacy","821 N. Main St.",38.521296,-98.778598,38.521296,-98.778598,2495.97923644705,27067,895.257,7,7,30.2337764463165,819.831340507313
20009971300,"KS70","Kansas",20009,7,27067,895.257,38.5000388,-98.7877126,2.912587818,"MEDICAL PARK PHARMACY","1309 POLK ST",38.364618,-98.78653,38.3621636,-98.7867806,15075.3272185047,27067,895.257,7,7,30.2337764463165,1356.71791238153
20009971400,"KS130","Kansas",20009,7,27067,895.257,38.379804,-98.7646135,2.601259103,"Cardinal Pharmacy","821 N. Main St.",38.521296,-98.778598,38.521296,-98.778598,15797.9300982113,27067,895.257,7,7,30.2337764463165,1387.55860328741
20009971400,"KS167","Kansas",20009,7,27067,895.257,38.379804,-98.7646135,2.601259103,"The Red Haus Pharmacy","19 N Humbolt Ave",38.354307,-98.582745,38.354307,-98.582745,16125.2584278658,27067,895.257,7,7,30.2337764463165,1401.52897639707
