"ID","Origin","Destination","Drive_Time"
"C511_KY1","C511","KY1",5899.8604310069
"C513_KY1","C513","KY1",2786.06139988381
"C515_KY1","C515","KY1",2261.58929400773
"C516_KY1","C516","KY1",2279.20802070426
"C518_KY1","C518","KY1",3323.55174202628
"C522_KY1","C522","KY1",1469.82544774499
"C523_KY1","C523","KY1",3426.86915488959
"C524_KY1","C524","KY1",3338.37205309001
"C525_KY1","C525","KY1",5189.31898199925
"C526_KY1","C526","KY1",4676.78250462196
"C527_KY1","C527","KY1",3773.63537553032
"C532_KY1","C532","KY1",5110.97048209116
"C533_KY1","C533","KY1",3728.57197138773
"C509_KY10","C509","KY10",6831.96303925969
"C510_KY10","C510","KY10",6771.9931942554
"C511_KY10","C511","KY10",2504.65105926231
"C513_KY10","C513","KY10",5527.14723532781
"C514_KY10","C514","KY10",5613.99827773553
"C515_KY10","C515","KY10",5689.898729853
"C516_KY10","C516","KY10",5708.50847317635
"C517_KY10","C517","KY10",7054.68872584973
"C518_KY10","C518","KY10",3256.78771653411
"C520_KY10","C520","KY10",5674.39178429686
"C522_KY10","C522","KY10",4976.20444665662
"C523_KY10","C523","KY10",1530.71951429919
"C524_KY10","C524","KY10",1517.57589634162
"C525_KY10","C525","KY10",6333.7016848962
"C526_KY10","C526","KY10",5789.13857550043
"C527_KY10","C527","KY10",4212.3783251174
"C530_KY10","C530","KY10",6042.01933673554
"C532_KY10","C532","KY10",1675.07990849855
"C533_KY10","C533","KY10",4549.14505943157
"C534_KY10","C534","KY10",5107.92500230345
"C509_KY101","C509","KY101",4731.901696184
"C510_KY101","C510","KY101",4839.06701018856
"C520_KY101","C520","KY101",4727.061789088
"C530_KY101","C530","KY101",2823.23415577336
"C531_KY101","C531","KY101",2050.31307865096
"C509_KY102","C509","KY102",3819.06824842581
"C510_KY102","C510","KY102",3921.01647748268
"C520_KY102","C520","KY102",4831.92896001518
"C527_KY102","C527","KY102",7087.45150274267
"C530_KY102","C530","KY102",2233.76519155888
"C531_KY102","C531","KY102",2634.51148837798
"C511_KY104","C511","KY104",5196.19918762363
"C512_KY104","C512","KY104",4887.18362145555
"C514_KY104","C514","KY104",5379.6919589931
"C517_KY104","C517","KY104",4226.47840878612
"C518_KY104","C518","KY104",5921.92444303635
"C519_KY104","C519","KY104",5866.51869941464
"C523_KY104","C523","KY104",6091.29740487448
"C524_KY104","C524","KY104",6195.93257111744
"C525_KY104","C525","KY104",6199.05521994591
"C526_KY104","C526","KY104",6080.24174323891
"C532_KY104","C532","KY104",5726.46267100502
"C533_KY104","C533","KY104",6020.95768871264
"C534_KY104","C534","KY104",3332.05749579026
"C511_KY105","C511","KY105",4648.10226099036
"C512_KY105","C512","KY105",5881.65135310451
"C514_KY105","C514","KY105",4522.32828046054
"C517_KY105","C517","KY105",5088.60317439166
"C518_KY105","C518","KY105",6007.50147447012
"C519_KY105","C519","KY105",6757.43438508451
"C523_KY105","C523","KY105",5899.13774292806
"C524_KY105","C524","KY105",6005.0580992933
"C525_KY105","C525","KY105",6814.60872645402
"C526_KY105","C526","KY105",6620.92727531221
"C532_KY105","C532","KY105",5278.03940507756
"C533_KY105","C533","KY105",6345.07453092585
"C534_KY105","C534","KY105",2505.7929156979
"C512_KY107","C512","KY107",3716.02844357747
"C517_KY107","C517","KY107",7026.4347547813
"C519_KY107","C519","KY107",3067.8542505555
"C521_KY107","C521","KY107",1982.26165786397
"C528_KY107","C528","KY107",5378.65517688143
"C529_KY107","C529","KY107",6723.15806450142
"C509_KY108","C509","KY108",5526.03393443335
"C510_KY108","C510","KY108",5635.38692318275
"C520_KY108","C520","KY108",4882.60170957094
"C530_KY108","C530","KY108",3503.57803321127
"C531_KY108","C531","KY108",2132.26572334848
"C521_KY110","C521","KY110",4090.44711230956
"C529_KY110","C529","KY110",3390.68240594492
"C512_KY112","C512","KY112",7199.76596866242
"C521_KY112","C521","KY112",3963.82662008445
"C528_KY112","C528","KY112",5062.10818722257
"C529_KY112","C529","KY112",3265.96866534519
"C511_KY113","C511","KY113",5746.18425827287
"C514_KY113","C514","KY113",4611.87362326938
"C520_KY113","C520","KY113",1643.29554658848
"C530_KY113","C530","KY113",4150.83461265396
"C531_KY113","C531","KY113",3370.27438137701
"C532_KY113","C532","KY113",6093.45016071775
"C534_KY113","C534","KY113",6519.19609511515
"C509_KY114","C509","KY114",5716.52194721896
"C510_KY114","C510","KY114",5706.42803530542
"C511_KY114","C511","KY114",3636.07683156167
"C514_KY114","C514","KY114",5010.11343626984
"C518_KY114","C518","KY114",6173.27018348537
"C520_KY114","C520","KY114",3262.19627674731
"C523_KY114","C523","KY114",4537.22389946061
"C524_KY114","C524","KY114",4533.7649507978
"C527_KY114","C527","KY114",5199.10999804502
"C530_KY114","C530","KY114",3655.21511935912
"C531_KY114","C531","KY114",4853.02920349198
"C532_KY114","C532","KY114",3473.22484345342
"C534_KY114","C534","KY114",5812.78643667611
"C509_KY116","C509","KY116",6002.8182780766
"C510_KY116","C510","KY116",6105.3781560753
"C520_KY116","C520","KY116",4408.96659955682
"C530_KY116","C530","KY116",3592.82182890086
"C531_KY116","C531","KY116",1825.26991433961
"C511_KY117","C511","KY117",2371.18288957719
"C513_KY117","C513","KY117",4990.20409640508
"C514_KY117","C514","KY117",5497.376005432
"C515_KY117","C515","KY117",6002.14676498342
"C516_KY117","C516","KY117",6020.43346988821
"C517_KY117","C517","KY117",5636.40725021313
"C518_KY117","C518","KY117",2281.68329631961
"C520_KY117","C520","KY117",6512.76803758265
"C522_KY117","C522","KY117",5221.82540788878
"C523_KY117","C523","KY117",1191.065013599
"C524_KY117","C524","KY117",1296.60036700703
"C525_KY117","C525","KY117",5146.76511354264
"C526_KY117","C526","KY117",4630.73387981558
"C527_KY117","C527","KY117",5311.79956228118
"C532_KY117","C532","KY117",1849.05397760875
"C533_KY117","C533","KY117",3460.73180504061
"C534_KY117","C534","KY117",4393.78512712948
"C512_KY119","C512","KY119",5085.8497245328
"C517_KY119","C517","KY119",6662.27166627922
"C519_KY119","C519","KY119",5579.65062230392
"C521_KY119","C521","KY119",3375.73352743497
"C528_KY119","C528","KY119",2890.48968672635
"C529_KY119","C529","KY119",5477.36562810489
"C511_KY12","C511","KY12",4875.03740592196
"C512_KY12","C512","KY12",5005.21311567486
"C513_KY12","C513","KY12",7060.52329066209
"C514_KY12","C514","KY12",5840.14310913341
"C517_KY12","C517","KY12",3272.24852463373
"C518_KY12","C518","KY12",4872.75451105024
"C519_KY12","C519","KY12",6277.93365287511
"C523_KY12","C523","KY12",5273.21578097232
"C524_KY12","C524","KY12",5373.50513389011
"C525_KY12","C525","KY12",5025.1275384023
"C526_KY12","C526","KY12",4887.82465323739
"C532_KY12","C532","KY12",5231.23485165224
"C533_KY12","C533","KY12",4850.03236960277
"C534_KY12","C534","KY12",3736.5360055575
"C509_KY120","C509","KY120",3434.40236283693
