"ID","Origin","Destination","Drive_Time"
"KY10_KY1","KY10","KY1",4093.60448583751
"KY114_KY1","KY114","KY1",6736.66551041146
"KY117_KY1","KY117","KY1",4202.51518404565
"KY120_KY1","KY120","KY1",5493.6975941466
"KY122_KY1","KY122","KY1",4442.51690003472
"KY124_KY1","KY124","KY1",3073.8070399535
"KY126_KY1","KY126","KY1",4535.32221957498
"KY127_KY1","KY127","KY1",5844.87814151334
"KY128_KY1","KY128","KY1",4134.27623433345
"KY13_KY1","KY13","KY1",5138.56853595538
"KY136_KY1","KY136","KY1",1403.32657260457
"KY138_KY1","KY138","KY1",7129.87821483948
"KY14_KY1","KY14","KY1",5729.14012621207
"KY141_KY1","KY141","KY1",6934.28937359082
"KY147_KY1","KY147","KY1",6043.91751553632
"KY159_KY1","KY159","KY1",3485.86121139258
"KY161_KY1","KY161","KY1",6238.13884670136
"KY162_KY1","KY162","KY1",5719.75007981388
"KY163_KY1","KY163","KY1",4370.08791853052
"KY165_KY1","KY165","KY1",6544.38999615477
"KY166_KY1","KY166","KY1",5042.13767072917
"KY188_KY1","KY188","KY1",1848.77911489493
"KY189_KY1","KY189","KY1",5851.16696275365
"KY192_KY1","KY192","KY1",5196.99334148803
"KY196_KY1","KY196","KY1",6058.26382790933
"KY21_KY1","KY21","KY1",4484.02488470771
"KY31_KY1","KY31","KY1",5915.32641870783
"KY4_KY1","KY4","KY1",4980.60929867193
"KY44_KY1","KY44","KY1",5799.72619995252
"KY46_KY1","KY46","KY1",7022.12048489681
"KY5_KY1","KY5","KY1",4429.70496527003
"KY51_KY1","KY51","KY1",5696.89423984299
"KY52_KY1","KY52","KY1",6548.79172524319
"KY6_KY1","KY6","KY1",5006.95657713239
"KY61_KY1","KY61","KY1",4818.89270708928
"KY65_KY1","KY65","KY1",6945.69892727587
"KY69_KY1","KY69","KY1",6563.6677907409
"KY70_KY1","KY70","KY1",6103.1618044661
"KY74_KY1","KY74","KY1",1259.5559811714
