"GEOID","Cluster","State","County.Code","Tract_RUC","Tract_Population","Tract_Land","Tract_Lat","Tract_Long","Tract_methadone_unserved","Name","Address","Pharm_Lat","Pharm_Long","Cluster_centroid_Latitude","Cluster_centroid_Longitude","Shortest_distance","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC","Max_RUC","Max_PopD","Drive_Time"
21001970100,"KY104","Kentucky",21001,7,19304,405.287,37.2350908,-85.1589966,3.038007768,"North Century Pharmacy","3058 Campbellsville Rd",37.149167,-85.306369,37.10522575,-85.309074875,16195.1150267041,19304,405.287,7,7,47.6304445985191,1403.08514701377
21001970200,"KY104","Kentucky",21001,7,19304,405.287,37.1723486,-85.3378147,3.440590393,"North Century Pharmacy","3058 Campbellsville Rd",37.149167,-85.306369,37.10522575,-85.309074875,3800.24105089408,19304,405.287,7,7,47.6304445985191,874.071925726203
21001970200,"KY164","Kentucky",21001,7,19304,405.287,37.1723486,-85.3378147,3.440590393,"JANE TODD PHARMACY LLC","310 Industrial Park Rd Ste 2",37.263665,-85.485896,37.2643465,-85.4933025,16602.8525632714,11044,286.049,8,8,47.6304445985191,1463.22738507447
21001970300,"KY104","Kentucky",21001,7,19304,405.287,37.1281637,-85.1565883,5.887770884,"JAMES MEDICAL PHARMACY","1545 CAMPBELLSVILLE RD",37.117957,-85.29792,37.10522575,-85.309074875,12595.8944494249,19304,405.287,7,7,47.6304445985191,1249.4704127755
21001970300,"KY105","Kentucky",21001,7,19304,405.287,37.1281637,-85.1565883,5.887770884,"Lake Cumberland Pharmacy","2431 Lakeway Dr",37.067662,-85.074235,37.0520235,-85.0709686666667,9941.17107371512,17731,253.693,9,9,69.8915618483758,1219.82296576392
21001970401,"KY104","Kentucky",21001,7,19304,405.287,37.0523709,-85.328457,8.679755938,"WALMART PHARMACY 10-0569","2988 Burkesville Rd",37.075805,-85.334564,37.10522575,-85.309074875,2664.47953798887,19304,405.287,7,7,47.6304445985191,825.597624355408
21001970402,"KY104","Kentucky",21001,7,19304,405.287,37.1223003,-85.2765566,7.779536455,"JAMES MEDICAL PHARMACY","1545 CAMPBELLSVILLE RD",37.117957,-85.29792,37.10522575,-85.309074875,1956.94802126436,19304,405.287,7,7,47.6304445985191,795.400179221606
21001970500,"KY104","Kentucky",21001,7,19304,405.287,37.0345903,-85.4404426,4.232708982,"WALMART PHARMACY 10-0569","2988 Burkesville Rd",37.075805,-85.334564,37.10522575,-85.309074875,10465.4474038637,19304,405.287,7,7,47.6304445985191,1158.54293287095
21001970500,"KY42","Kentucky",21001,7,19304,405.287,37.0345903,-85.4404426,4.232708982,"METCALFE DRUG","115 E STOCKTON ST",36.979811,-85.612163,36.980651,-85.6168405,16438.0599834355,9990,289.641,9,9,47.6304445985191,1498.93403776707
21001970600,"KY104","Kentucky",21001,7,19304,405.287,37.0014658,-85.2620308,2.920587836,"WALMART PHARMACY 10-0569","2988 Burkesville Rd",37.075805,-85.334564,37.10522575,-85.309074875,10489.1731428388,19304,405.287,7,7,47.6304445985191,1159.5555474104
21003920100,"KY206","Kentucky",21003,3,20628,344.341,36.85153,-86.1686133,0,"DIXIE PHARMACY-4","124 N Main St",37.053418,-86.207971,37.053418,-86.207971,22745.1616309968,123824,541.72,3,3,228.575647936203,1496.85629557553
21003920100,"KY66","Kentucky",21003,3,20628,344.341,36.85153,-86.1686133,0,"PHARMACY ARTS","31 BURNLEY RD",36.760482,-86.216521,36.75406325,-86.2033235,10998.1674837521,20628,344.341,3,3,59.9057329798078,1009.3137115035
21003920200,"KY66","Kentucky",21003,3,20628,344.341,36.7747795,-86.3386507,0,"PHARMACY ARTS","31 BURNLEY RD",36.760482,-86.216521,36.75406325,-86.2033235,11006.5574654206,20628,344.341,3,3,59.9057329798078,1009.67179592112
21003920300,"KY66","Kentucky",21003,3,20628,344.341,36.7692407,-86.2246641,0,"PHARMACY ARTS","31 BURNLEY RD",36.760482,-86.216521,36.75406325,-86.2033235,1215.72867307068,20628,344.341,3,3,59.9057329798078,591.799223063621
21003920400,"KY66","Kentucky",21003,3,20628,344.341,36.7356624,-86.1261802,8.711440679,"STOVALLS PRESCRIPTION SHOP","202 S COURT ST",36.750198,-86.191262,36.75406325,-86.2033235,6026.79492132134,20628,344.341,3,3,59.9057329798078,797.135530538959
21003920500,"KY66","Kentucky",21003,3,20628,344.341,36.6889435,-86.0468268,3.023097301,"STOVALLS PRESCRIPTION SHOP","202 S COURT ST",36.750198,-86.191262,36.75406325,-86.2033235,14580.724324142,20628,344.341,3,3,59.9057329798078,1162.21723745134
21003920600,"KY66","Kentucky",21003,3,20628,344.341,36.6759266,-86.2825845,0,"PHARMACY ARTS","31 BURNLEY RD",36.760482,-86.216521,36.75406325,-86.2033235,11106.2632913415,20628,344.341,3,3,59.9057329798078,1013.92724057142
21007950100,"KY82","Kentucky",21007,9,8152,246.869,37.1038446,-88.9597759,0,"SUTTON DRUGS","234 BROADWAY",37.075005,-88.973456,37.075005,-88.973456,3432.55285449782,8152,246.869,9,9,33.0215620430269,945.055899251782
21007950200,"KY82","Kentucky",21007,9,8152,246.869,37.086031,-89.101605,2.536043419,"SUTTON DRUGS","234 BROADWAY",37.075005,-88.973456,37.075005,-88.973456,11446.8389310751,8152,246.869,9,9,33.0215620430269,1287.1056290001
21007950200,"KY98","Kentucky",21007,9,8152,246.869,37.086031,-89.101605,2.536043419,"MedCare Pharmacy & Home Medical","409 COURT ST",36.964407,-89.088919,36.964407,-89.088919,13585.9846256993,4890,189.441,9,9,33.0215620430269,1378.40436724666
21007950300,"KY129","Kentucky",21007,9,8152,246.869,36.9762903,-88.9800668,0,"Bardwell Pharmacy","325 Elm St",36.869041,-89.008898,36.8397865,-89.009112,12211.5346236704,4890,189.441,9,9,33.0215620430269,1319.74284116007
21007950300,"KY82","Kentucky",21007,9,8152,246.869,36.9762903,-88.9800668,0,"SUTTON DRUGS","234 BROADWAY",37.075005,-88.973456,37.075005,-88.973456,11004.5651336374,8152,246.869,9,9,33.0215620430269,1268.22938332546
21007950300,"KY98","Kentucky",21007,9,8152,246.869,36.9762903,-88.9800668,0,"MedCare Pharmacy & Home Medical","409 COURT ST",36.964407,-89.088919,36.964407,-89.088919,9771.0947289127,4890,189.441,9,9,33.0215620430269,1215.58486645181
21009950100,"KY23","Kentucky",21009,6,43418,487.585,37.0926705,-85.8496934,6.167342151,"T.J. SAMSON COMMUNITY HOSPITAL OUTPATIENT PHARMACY","1301 N Race St",37.0109,-85.90337,37.0023465,-85.9180713,10276.1690550795,43418,487.585,6,6,89.047037952357,1104.33127145136
21009950100,"KY39","Kentucky",21009,6,43418,487.585,37.0926705,-85.8496934,6.167342151,"PARKLAND DRUGS","209 N DIXIE HWY",37.136187,-85.955284,37.1489226666667,-85.9404763333333,10551.0366510049,43418,487.585,6,6,89.047037952357,1116.06262044545
21009950200,"KY206","Kentucky",21009,6,43418,487.585,37.1105297,-86.0904549,0,"DIXIE PHARMACY-4","124 N Main St",37.053418,-86.207971,37.053418,-86.207971,12220.345273323,123824,541.72,3,6,228.575647936203,1175.87713343001
21009950200,"KY23","Kentucky",21009,6,43418,487.585,37.1105297,-86.0904549,0,"WALMART PHARMACY 10-0711","2345 HAPPY VALLEY ROAD",37.022199,-85.934122,37.0023465,-85.9180713,17015.2680995285,43418,487.585,6,6,89.047037952357,1391.95601866844
21009950200,"KY34","Kentucky",21009,6,43418,487.585,37.1105297,-86.0904549,0,"EDMONSON DRUG Co.","432 S Main St",37.190695,-86.262934,37.1909565,-86.2643725,17715.4494304812,12063,302.886,3,6,89.047037952357,1421.8397578735
21009950200,"KY39","Kentucky",21009,6,43418,487.585,37.1105297,-86.0904549,0,"Cave City Prescription Center Inc","101 SOUTH DIXIE HWY",37.127527,-85.963526,37.1489226666667,-85.9404763333333,11424.5347522323,43418,487.585,6,6,89.047037952357,1153.34351940584
21009950300,"KY206","Kentucky",21009,6,43418,487.585,37.0682444,-86.0130385,6.508419095,"DIXIE PHARMACY-4","124 N Main St",37.053418,-86.207971,37.053418,-86.207971,17394.8195823658,123824,541.72,3,6,228.575647936203,1396.72369693996
21009950300,"KY23","Kentucky",21009,6,43418,487.585,37.0682444,-86.0130385,6.508419095,"WALMART PHARMACY 10-0711","2345 HAPPY VALLEY ROAD",37.022199,-85.934122,37.0023465,-85.9180713,8685.53736895779,43418,487.585,6,6,89.047037952357,1036.44311108768
21009950300,"KY39","Kentucky",21009,6,43418,487.585,37.0682444,-86.0130385,6.508419095,"Cave City Prescription Center Inc","101 SOUTH DIXIE HWY",37.127527,-85.963526,37.1489226666667,-85.9404763333333,7929.51397733963,43418,487.585,6,6,89.047037952357,1004.17603273342
21009950400,"KY23","Kentucky",21009,6,43418,487.585,36.9938634,-85.9436939,10.48951394,"PHARMACY EXPRESS","415 SOUTH L ROGERS WELLS BLVD",36.994582,-85.931389,37.0023465,-85.9180713,1096.95486330886,43418,487.585,6,6,89.047037952357,712.562409746586
21009950400,"KY39","Kentucky",21009,6,43418,487.585,36.9938634,-85.9436939,10.48951394,"Cave City Prescription Center Inc","101 SOUTH DIXIE HWY",37.127527,-85.963526,37.1489226666667,-85.9404763333333,14983.2969934447,43418,487.585,6,6,89.047037952357,1305.23149186078
21009950400,"KY45","Kentucky",21009,6,43418,487.585,36.9938634,-85.9436939,10.48951394,"ELY DRUGS","415 HAPPY VALLEY RD",36.890651,-85.856559,36.890651,-85.856559,13860.4082003518,43418,487.585,6,6,89.047037952357,1257.30659817158
21009950500,"KY23","Kentucky",21009,6,43418,487.585,37.0235979,-85.9368596,7.145841583,"WALMART PHARMACY 10-0711","2345 HAPPY VALLEY ROAD",37.022199,-85.934122,37.0023465,-85.9180713,288.876637724447,43418,487.585,6,6,89.047037952357,678.073631078643
