"PharmID","Name","Address","City","State","Zip","Latitude","Longitude","Cluster","Cluster_centroid_Latitude","Cluster_centroid_Longitude","distance_to_clust","County","FIPS","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC"
"P23749","Rocky's Med Shoppe","133 Cumberland St","Bogalusa","LA",704273101,30.786661,-89.86485,"LA10",30.78464675,-89.86207413,347.4897752,"washington",22117,46449,669.596,6
"P23416","MITCHELLS PHARMACY INC","202 EAST MAIN STREET","JONESBORO","LA",71251,32.241059,-92.712678,"LA101",32.24107567,-92.71392033,116.9869189,"jackson",22049,15952,569.186,6
"P23273","R & K DRUGS","2832 FRONT ST","OLLA","LA",71465,31.904338,-92.241561,"LA102",31.883844,-92.2682635,3402.051451,"la salle",22059,14930,624.685,6
"P23682","WALGREENS #10538","2008 S 5TH ST","LEESVILLE","LA",714465314,31.127196,-93.267184,"LA103",31.13144625,-93.26726125,473.1929253,"vernon",22115,51906,1327.918,5
"P23253","MILLS CASHWAY PHARMACY","1027 MARTIN ST","PARKS","LA",70582,30.21338,-91.832385,"LA104",30.21338,-91.832385,0,"st martin",22099,53609,737.222,2
"P23260","CVS Pharmacy #05451","1116 WASHINGTON ST","FRANKLINTON","LA",70438,30.845375,-90.15438,"LA106",30.841296,-90.148427,727.9425976,"washington",22117,46449,669.596,6
"P23267","Delta Drugs of Port Sulphur","27136 LA-23","PORT SULPHUR","LA",700832648,29.501887,-89.716708,"LA108",29.501887,-89.716708,0,"plaquemines",22075,23394,780.293,1
"P23615","CLINIC PHARMACY OF MANGHAM LLC","252 HWY 132","MANGHAM","LA",71259,32.319783,-91.775623,"LA109",32.314588,-91.7757285,578.3899168,"richland",22083,20619,555.728,6
"P23058","CVS Pharmacy #05278","20 W 10th St","DONALDSONVILLE","LA",70346,30.101364,-90.994358,"LA11",30.097227,-90.9903015,603.916617,"ascension",22005,119129,290.062,2
"P23391","WALMART PHARMACY 10-0502","16759 HWY 3235","GALLIANO","LA",703454053,29.456877,-90.318958,"LA110",29.460761,-90.3157095,534.8651352,"lafourche",22057,98112,1068.358,3
"P23599","PINE PRAIRIE PHARMACY","10711 VETERANS MEMORIAL HWY","PINE PRAIRIE","LA",70576,30.781738,-92.42588,"LA112",30.7810575,-92.4259655,76.19296099,"evangeline",22039,33750,662.382,6
"P23968","Ochsner Pharmacy and Wellness - Destrehan","13100 River Rd Ste 110","Destrehan","LA",700475203,29.946387,-90.367517,"LA113",29.9396935,-90.367464,745.1345502,"st charles",22089,52728,277.75,1
"P23427","Springhill Family Pharmacy","1190 S Arkansas St","SPRINGHILL","LA",71075,32.990956,-93.461606,"LA114",32.993494,-93.46113975,285.8630668,"webster",22119,40043,593.184,2
"P23885","Walmart Pharmacy 10-0912","6000 Bullard Ave","New Orleans","LA",701282813,30.043428,-89.961464,"LA115",30.03464838,-89.9514725,1371.966727,"orleans",22071,388182,169.434,1
"P23643","WALGREENS #9485","300 KEYSER AVE","NATCHITOCHES","LA",714575802,31.754185,-93.081802,"LA116",31.75952529,-93.079321,639.1806496,"natchitoches",22069,39051,1252.276,6
"P23334","LIVE OAK PHARMACY","34730 LA HWY 16","DENHAM SPRINGS","LA",70706,30.378856,-90.863489,"LA118",30.3575335,-90.8554895,2494.862173,"livingston",22063,137096,648.174,2
"P23335","Thrifty Way Pharmacy of Basile","3131 Stagg Ave","BASILE","LA",70515,30.486061,-92.592132,"LA119",30.486061,-92.592132,0,"evangeline",22039,33750,662.382,6
