"ID","Origin","Destination","Drive_Time"
"C536_LA10","C536","LA10",5859.3442329552
"C538_LA10","C538","LA10",4691.71754167408
"C539_LA10","C539","LA10",3279.11539575425
"C540_LA10","C540","LA10",4758.46850578497
"C543_LA10","C543","LA10",4531.98448990321
"C535_LA101","C535","LA101",5124.53528436469
"C542_LA101","C542","LA101",3437.73293814416
"C544_LA101","C544","LA101",4974.38144605692
"C535_LA102","C535","LA102",3583.75625074665
"C542_LA102","C542","LA102",3493.89339693024
"C535_LA103","C535","LA103",3962.34311803552
"C541_LA103","C541","LA103",5010.48070229787
"C535_LA104","C535","LA104",6434.05489388523
"C536_LA104","C536","LA104",3674.30343561644
"C537_LA104","C537","LA104",985.25119451974
"C539_LA104","C539","LA104",6471.7484137215
"C540_LA104","C540","LA104",6197.19628118273
"C541_LA104","C541","LA104",6118.04053593913
"C536_LA106","C536","LA106",4911.93747400929
"C538_LA106","C538","LA106",4930.8338750726
"C539_LA106","C539","LA106",2550.58986094111
"C540_LA106","C540","LA106",4462.04445680592
"C543_LA106","C543","LA106",4713.08057261126
"C538_LA108","C538","LA108",2770.48293920733
"C539_LA108","C539","LA108",6207.36265965295
"C540_LA108","C540","LA108",4546.32211514077
"C543_LA108","C543","LA108",2926.38910902384
"C535_LA109","C535","LA109",6180.77646432826
"C542_LA109","C542","LA109",2118.03250668279
"C536_LA11","C536","LA11",1794.77335108049
"C537_LA11","C537","LA11",4315.5997368691
"C538_LA11","C538","LA11",4384.00781999505
"C539_LA11","C539","LA11",3581.81436307784
"C540_LA11","C540","LA11",2707.6054213414
"C543_LA11","C543","LA11",4098.5850820586
"C536_LA110","C536","LA110",5833.36974673749
"C538_LA110","C538","LA110",2940.72639593285
"C539_LA110","C539","LA110",5626.49525980121
"C540_LA110","C540","LA110",3565.41765719665
"C543_LA110","C543","LA110",2916.17778068495
"C535_LA112","C535","LA112",3249.22743759877
"C536_LA112","C536","LA112",6473.07601203315
"C537_LA112","C537","LA112",3812.58815607929
"C541_LA112","C541","LA112",4829.44809780507
"C536_LA113","C536","LA113",3959.89086072961
"C537_LA113","C537","LA113",7014.66621783421
"C538_LA113","C538","LA113",1681.29640142351
"C539_LA113","C539","LA113",3289.96238404112
"C540_LA113","C540","LA113",1187.45221862023
"C543_LA113","C543","LA113",1417.06804999937
