"GEOID","Cluster","State","County.Code","Tract_RUC","Tract_Population","Tract_Land","Tract_Lat","Tract_Long","Tract_methadone_unserved","Name","Address","Pharm_Lat","Pharm_Long","Cluster_centroid_Latitude","Cluster_centroid_Longitude","Shortest_distance","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC","Max_RUC","Max_PopD","Drive_Time"
22001960100,"LA16","Louisiana",22001,2,62607,655.168,30.4101287,-92.2171924,4.734642921,"Southern Pharmacy","3939 I 49 S Service Rd",30.47079,-92.078156,30.525855,-92.0806717058824,14955.3356038867,83580,923.914,4,4,95.5586963954283,1218.02459957821
22001960100,"LA171","Louisiana",22001,2,62607,655.168,30.4101287,-92.2171924,4.734642921,"Super 1 Pharmacy #643","200 Destination Pointe Ln.",30.251675,-92.110574,30.251675,-92.110574,20397.9510017061,238230,268.761,2,2,886.400928706174,1300.04172066392
22001960100,"LA32","Louisiana",22001,2,62607,655.168,30.4101287,-92.2171924,4.734642921,"Thrifty Way Pharmacy","208 EAST ST PETER ST",30.317232,-92.047208,30.316531,-92.0407512,19326.4847769991,238230,268.761,2,2,886.400928706174,1254.31154219342
22001960100,"LA36","Louisiana",22001,2,62607,655.168,30.4101287,-92.2171924,4.734642921,"SUNSET PHARMACY","907 Napoleon Ave",30.410813,-92.061836,30.410634,-92.0598,14915.0736526605,83580,923.914,4,4,95.5586963954283,1216.30621949987
22001960100,"LA37","Louisiana",22001,2,62607,655.168,30.4101287,-92.2171924,4.734642921,"PICOU'S DRUG STORE","260 N 2ND ST",30.496546,-92.416232,30.4922478,-92.426084,21386.039370322,83580,923.914,4,4,95.5586963954283,1492.48703632967
22001960100,"LA38","Louisiana",22001,2,62607,655.168,30.4101287,-92.2171924,4.734642921,"CHURCH POINT PHARMACY","300 N MAIN ST",30.40728,-92.218354,30.4018256666667,-92.2139253333333,336.153678153048,62607,655.168,2,2,95.5586963954283,508.597914987895
22001960100,"LA7","Louisiana",22001,2,62607,655.168,30.4101287,-92.2171924,4.734642921,"Scott Pharmacy","1000 ST MARY ST",30.235384,-92.094486,30.1983334181818,-92.0420493090909,22746.972906477,238230,268.761,2,2,886.400928706174,1400.29797555954
22001960100,"LA74","Louisiana",22001,2,62607,655.168,30.4101287,-92.2171924,4.734642921,"Care Rx Express","2400 Church Point Hwy, Suite A",30.262363,-92.261682,30.2442211666667,-92.2517055,16995.5008118796,62607,655.168,2,2,95.5586963954283,1219.61885065534
22001960200,"LA29","Louisiana",22001,2,62607,655.168,30.4173573,-92.3900213,4.306099194,"Super 1 Pharmacy #639","2004 NORTH PARKERSON AVE",30.230281,-92.382726,30.2218305714286,-92.3720511428571,20837.0333350518,62607,655.168,2,2,95.5586963954283,1383.57545874433
22001960200,"LA37","Louisiana",22001,2,62607,655.168,30.4173573,-92.3900213,4.306099194,"BELLARDS FAMILY PHARMACY INC","621 W MAPLE AVE",30.487403,-92.42123,30.4922478,-92.426084,8352.81792377509,83580,923.914,4,4,95.5586963954283,936.229144991043
