"PharmID","Name","Address","City","State","Zip","Latitude","Longitude","Cluster","Cluster_centroid_Latitude","Cluster_centroid_Longitude","distance_to_clust","County","FIPS","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC"
"P26635","Walgreens #18431","37 PORTLAND ROAD","KENNEBUNK","ME",40431629,43.393284,-70.531941,"ME1",43.38627525,-70.51753825,1402.223136,"york",23031,201454,991.075,2
"P26399","HARRIS DRUG","10 PRITHAM AVE","GREENVILLE","ME",4441,45.458811,-69.592048,"ME10",45.458811,-69.592048,0,"piscataquis",23021,16960,3961.029,8
"P26400","PATTEN DRUG COMPANY","20 MAIN ST","PATTEN","ME",4765,45.996703,-68.447518,"ME11",45.996103,-68.446765,88.61240612,"penobscot",23019,152284,3397.197,3
"P26401","CARROLL DRUG STORE","3 VILLAGE GREEN WAY","SOUTHWEST HARBOR","ME",46791306,44.280607,-68.326571,"ME12",44.280607,-68.326571,0,"hancock",23009,54468,1587.128,6
"P26515","YORK HOSPITAL BERWICK PHARMACY","4 DANA DRIVE","BERWICK","ME",3901,43.27382,-70.853392,"ME13",43.254321,-70.8314645,2805.554397,"york",23031,201454,991.075,2
"P26567","Walgreens #12400","868 Main St","Sanford","ME",40733530,43.441778,-70.777858,"ME14",43.43563017,-70.7645945,1271.907323,"york",23031,201454,991.075,2
"P26631","Walgreens #18307","720 CENTRAL STREET","MILLINOCKET","ME",44621800,45.65723,-68.694661,"ME15",45.65718267,-68.696992,181.4439819,"penobscot",23019,152284,3397.197,3
"P26590","Walgreens #17139","225 MADISON AVENUE","SKOWHEGAN","ME",49762054,44.777216,-69.724253,"ME16",44.77676275,-69.72474075,63.49228489,"somerset",23025,50994,3924.283,6
"P26650","Walgreens #19692","120 MAIN STREET","GORHAM","ME",40381306,43.681416,-70.438663,"ME17",43.68239867,-70.43258433,501.4380167,"cumberland",23005,289173,835.947,2
"P26409","CVS Pharmacy #00378","770 ROOSEVELT TRAIL ROUTE 302 SHAWS PLAZA","WINDHAM","ME",4062,43.835527,-70.442411,"ME18",43.836717,-70.4413855,155.9777129,"cumberland",23005,289173,835.947,2
"P26483","HANNAFORD FOOD AND DRUG","5 Hannaford Dr","YORK","ME",3909,43.15235,-70.668851,"ME19",43.14817667,-70.66437433,589.9252737,"york",23031,201454,991.075,2
"P26432","Hannaford Supermarket & Pharmacy","299 ELM STREET","BIDDEFORD","ME",4005,43.488104,-70.465651,"ME21",43.49211764,-70.45970682,655.8089664,"york",23031,201454,991.075,2
"P26503","OSCO PHARMACY #0608","200 LOWER MAIN ST","FREEPORT","ME",40321030,43.845091,-70.11837,"ME23",43.8265035,-70.14710225,3099.075343,"cumberland",23005,289173,835.947,2
"P26433","DAVIS PHARMACY","59 MAIN ST","E MILLINOCKET","ME",44301126,45.625735,-68.575659,"ME25",45.625735,-68.575659,0,"penobscot",23019,152284,3397.197,3
"P26538","WALGREENS #11742","226 High St","Ellsworth","ME",46051742,44.53293,-68.407744,"ME26",44.53095675,-68.40575725,270.3837207,"hancock",23009,54468,1587.128,6
