"ID","Origin","Destination","Drive_Time"
"C548_ME1","C548","ME1",6515.35665676832
"C549_ME1","C549","ME1",1845.78073936323
"C550_ME1","C550","ME1",6764.59257519766
"C551_ME1","C551","ME1",2005.7488653748
"C545_ME10","C545","ME10",4868.07108556556
"C546_ME10","C546","ME10",4866.49153964805
"C547_ME10","C547","ME10",4860.38876407143
"C550_ME10","C550","ME10",5112.51956707166
"C545_ME11","C545","ME11",6443.29279268593
"C546_ME11","C546","ME11",6228.37237896265
"C547_ME11","C547","ME11",6137.51065925364
"C545_ME12","C545","ME12",3593.29559831062
"C546_ME12","C546","ME12",3630.50799459456
"C547_ME12","C547","ME12",3662.41125089483
"C548_ME12","C548","ME12",3623.20728599972
"C550_ME12","C550","ME12",5403.8231336441
"C549_ME13","C549","ME13",2988.69811458386
"C551_ME13","C551","ME13",3115.14352036421
"C548_ME14","C548","ME14",7109.33631839985
"C549_ME14","C549","ME14",2287.71493527837
"C550_ME14","C550","ME14",7014.70124140961
"C551_ME14","C551","ME14",2383.83630880104
"C545_ME15","C545","ME15",4717.29537248451
"C546_ME15","C546","ME15",4523.57887618935
"C547_ME15","C547","ME15",4441.35495071018
"C550_ME15","C550","ME15",6812.5560031413
"C545_ME16","C545","ME16",3701.87064568948
"C546_ME16","C546","ME16",3914.21328485495
"C547_ME16","C547","ME16",3995.00528692592
"C548_ME16","C548","ME16",4509.9516285493
"C549_ME16","C549","ME16",6418.9255822256
"C550_ME16","C550","ME16",1792.00357145412
"C551_ME16","C551","ME16",6247.22669222679
"C548_ME17","C548","ME17",5540.20005633859
"C549_ME17","C549","ME17",894.057837282001
"C550_ME17","C550","ME17",5406.40824542622
"C551_ME17","C551","ME17",838.63867129332
"C548_ME18","C548","ME18",5300.76536590829
"C549_ME18","C549","ME18",1472.4264901721
"C550_ME18","C550","ME18",4812.90154488284
"C551_ME18","C551","ME18",1297.10022885715
"C549_ME19","C549","ME19",3078.25139740129
"C551_ME19","C551","ME19",3242.84788852367
"C548_ME21","C548","ME21",6073.41340999369
"C549_ME21","C549","ME21",1342.16639224266
"C550_ME21","C550","ME21",6259.46466139245
"C551_ME21","C551","ME21",1500.54104830159
"C545_ME23","C545","ME23",6776.45946636949
"C546_ME23","C546","ME23",7048.39969763465
"C547_ME23","C547","ME23",7157.44161199439
"C548_ME23","C548","ME23",4228.96881379739
"C549_ME23","C549","ME23",1680.49002667483
"C550_ME23","C550","ME23",4197.68580444679
"C551_ME23","C551","ME23",1543.22418784448
"C545_ME25","C545","ME25",4630.91915403949
"C546_ME25","C546","ME25",4418.63473970298
