"ID","Origin","Destination","Drive_Time"
"ME13_ME1","ME13","ME1",1732.90461522005
"ME14_ME1","ME14","ME1",1364.81473448277
"ME17_ME1","ME17","ME1",1879.87962750147
"ME18_ME1","ME18","ME1",2597.33519782828
"ME19_ME1","ME19","ME1",1724.23829157227
"ME21_ME1","ME21","ME1",990.645389743233
"ME23_ME1","ME23","ME1",3048.86343376103
"ME27_ME1","ME27","ME1",2071.76716376236
"ME29_ME1","ME29","ME1",5612.51493045383
"ME3_ME1","ME3","ME1",1968.57388285321
"ME34_ME1","ME34","ME1",6671.30912422518
"ME35_ME1","ME35","ME1",5390.45578527395
"ME37_ME1","ME37","ME1",6141.68207486028
"ME39_ME1","ME39","ME1",4474.05274597482
"ME42_ME1","ME42","ME1",5327.77108921123
"ME43_ME1","ME43","ME1",2333.51987522673
"ME45_ME1","ME45","ME1",6004.61950759958
"ME46_ME1","ME46","ME1",1481.21495001816
"ME5_ME1","ME5","ME1",961.693374973286
"ME52_ME1","ME52","ME1",3660.36025673502
"ME53_ME1","ME53","ME1",2676.93797701856
"ME54_ME1","ME54","ME1",1542.72590566149
"ME55_ME1","ME55","ME1",5339.15631046266
"ME57_ME1","ME57","ME1",2981.03553986784
"ME6_ME1","ME6","ME1",4058.31461037483
"ME61_ME1","ME61","ME1",4513.31823208696
"ME64_ME1","ME64","ME1",5925.63078414408
"ME66_ME1","ME66","ME1",4704.06694772451
"ME73_ME1","ME73","ME1",5581.93954573165
"ME74_ME1","ME74","ME1",4571.93311402493
"ME75_ME1","ME75","ME1",3827.58801337829
"ME77_ME1","ME77","ME1",3981.41535472396
"ME81_ME1","ME81","ME1",2089.65872423858
"ME82_ME1","ME82","ME1",3222.77508127282
"ME83_ME1","ME83","ME1",3804.56597160469
"ME9_ME1","ME9","ME1",3691.31329239443
"ME11_ME10","ME11","ME10",5330.82816714354
"ME15_ME10","ME15","ME10",3885.44512939605
"ME16_ME10","ME16","ME10",4025.98278647103
"ME25_ME10","ME25","ME10",4228.69631177221
"ME26_ME10","ME26","ME10",6687.13188549743
"ME29_ME10","ME29","ME10",6239.76545052539
"ME30_ME10","ME30","ME10",4373.09168042632
"ME33_ME10","ME33","ME10",6051.48737927279
"ME34_ME10","ME34","ME10",5128.11399231898
"ME37_ME10","ME37","ME10",6142.03185618408
"ME38_ME10","ME38","ME10",3883.10725692261
"ME42_ME10","ME42","ME10",6609.64097774415
"ME44_ME10","ME44","ME10",5748.15678170488
"ME45_ME10","ME45","ME10",5781.18425189007
"ME47_ME10","ME47","ME10",3754.2785347241
