"PharmID","Name","Address","City","State","Zip","Latitude","Longitude","Cluster","Cluster_centroid_Latitude","Cluster_centroid_Longitude","distance_to_clust","County","FIPS","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC"
"P25817","Safeway Pharmacy #1938","40 Shining Willow Way","LAPLATA","MD",206464224,38.541743,-76.982024,"MD19",38.54347614,-76.98337157,225.8082942,"charles",24017,156021,457.795,1
"P26376","Tidewater Drug and Health Care","30170 Three Notch Rd Unit B","Charlotte Hall","MD",206224119,38.497132,-76.774195,"MD34",38.4868918,-76.7714184,1165.322226,"st marys",24037,110979,358.696,3
"P25545","WALMART PHARMACY 10-1981","45485 MIRAMAR WAY","CALIFORNIA","MD",20619,38.292908,-76.50338,"MD35",38.292331,-76.498404,439.4713228,"st marys",24037,110979,358.696,3
"P25319","EDWARDS PHARMACY","102 S COMMERCE STREET","CENTREVILLE","MD",21617,39.044259,-76.065648,"MD41",39.0376045,-76.0709935,873.1313433,"queen annes",24035,49071,371.689,1
"P25322","MARION PHARMACY INC","26427 BURTON AVENUE","CRISFIELD","MD",21817,37.99421,-75.839904,"MD43",37.988196,-75.8470965,919.9832889,"somerset",24039,25801,319.748,2
"P25360","DAPO PHARMACY","300 WASHINGTON ST","CAMBRIDGE","MD",21613,38.562592,-76.07569,"MD47",38.562511,-76.07184786,334.5563809,"dorchester",24019,32386,540.763,6
"P25958","WALGREENS #12266","209 N 3rd St","Oakland","MD",215501325,39.412861,-79.403423,"MD50",39.4154992,-79.3993862,454.7318433,"garrett",24023,29516,649.076,6
"P25370","GREENSBORO PHARMACY","102 S MAIN ST","GREENSBORO","MD",21639,38.973682,-75.805904,"MD57",38.9607345,-75.8457455,3737.439147,"caroline",24011,32785,319.443,6
"P25376","Friendsville Pharmacy","248 MAPLE ST","FRIENDSVILLE","MD",215310127,39.663491,-79.403542,"MD59",39.663491,-79.403542,0,"garrett",24023,29516,649.076,6
"P25442","Safeway Pharmacy #1939","1925 Main St","CHESTER","MD",216192607,38.974137,-76.274279,"MD70",38.9737395,-76.27616725,169.3004342,"queen annes",24035,49071,371.689,1
"P25443","DEEP CREEK PHARMACY","24465 GARRETT HIGHWAY","MC HENRY","MD",21541,39.559867,-79.355621,"MD71",39.559867,-79.355621,0,"garrett",24023,29516,649.076,6
"P25463","MILLINGTON PHARMACY","200 SASSAFRAS ST","MILLINGTON","MD",21651,39.258167,-75.837155,"MD73",39.258167,-75.837155,0,"kent",24029,19666,277.034,6
"P25469","RITE AID PHARMACY 03837","505 LINDEN AVENUE","POCOMOKE CITY","MD",218511133,38.075439,-75.559508,"MD74",38.07297625,-75.5586325,284.6851131,"worcester",24047,51559,468.402,2
"P25515","Giant Pharmacy","655 SOLOMONS ISLAND RD N","PRINCE FREDERICK","MD",20678,38.551252,-76.593309,"MD75",38.5508368,-76.5935866,52.15678395,"calvert",24009,90824,213.191,1
"P25857","REEDS PHARMACY","343 N PENNSYLVANIA AVE","HANCOCK","MD",21750,39.714316,-78.175374,"MD76",39.707005,-78.178741,863.4237929,"washington",24043,149546,457.769,2
"P26382","Cyreene LLC dba Cyreene Pharmacy","25805 Point Lookout Rd Ste C","Leonardtown","MD",206502038,38.301735,-76.649981,"MD78",38.3007432,-76.646372,334.0526754,"st marys",24037,110979,358.696,3
"P26255","MEDSURG PHARMACY","3037 Marshall Hall Rd","Bryans Road","MD",206163240,38.628996,-77.073196,"MD83",38.6275755,-77.0715805,211.5242254,"charles",24017,156021,457.795,1
"P25618","Tri-Towns Pharmacy","22 MAIN STREET","WESTERNPORT","MD",215621408,39.484682,-79.045005,"MD87",39.484682,-79.045005,0,"allegany",24001,72591,422.187,3
"P25885","TLC PHARMACY","12145 ELM ST","PRINCESS ANNE","MD",21853,38.215013,-75.6976,"MD90",38.21466633,-75.69784733,44.2404345,"somerset",24039,25801,319.748,2
"P25749","WALGREENS #11763","701 WASHINGTON AVE","CHESTERTOWN","MD",216201001,39.223881,-76.06944,"MD92",39.223273,-76.06911,73.42183262,"kent",24029,19666,277.034,6
"P25754","Walgreens 11064","21400 ZEERNAN RD","ROCKHALL","MD",216611515,39.139472,-76.23102,"MD93",39.139472,-76.23102,0,"kent",24029,19666,277.034,6
"P25913","Giant Pharmacy","11740 ROUSBY HALL RD","LUSBY","MD",20657,38.374162,-76.441597,"MD96",38.3729775,-76.44101675,141.2476432,"calvert",24009,90824,213.191,1
"P26038","Indian Head Care Pharmacy","4115 Indian Head Hwy.","Indian Head","MD",20640,38.599282,-77.165641,"MD99",38.599282,-77.165641,0,"charles",24017,156021,457.795,1
