"ID","Origin","Destination","Drive_Time"
"C552_MD19","C552","MD19",5907.96730254141
"C553_MD19","C553","MD19",5911.91453016852
"C554_MD19","C554","MD19",3026.89880632352
"C555_MD19","C555","MD19",3017.28750038559
"C556_MD19","C556","MD19",3480.02107197325
"C557_MD19","C557","MD19",3592.47587846544
"C558_MD19","C558","MD19",3712.49689287827
"C559_MD19","C559","MD19",3576.93109438511
"C560_MD19","C560","MD19",3725.95400510537
"C561_MD19","C561","MD19",3623.36855465805
"C562_MD19","C562","MD19",3734.87093685187
"C563_MD19","C563","MD19",3661.20174874958
"C564_MD19","C564","MD19",3669.36418797924
"C565_MD19","C565","MD19",3672.40302856989
"C566_MD19","C566","MD19",3712.30193037784
"C567_MD19","C567","MD19",3778.62777770326
"C568_MD19","C568","MD19",3737.06533249192
"C569_MD19","C569","MD19",3739.03963394816
"C570_MD19","C570","MD19",3729.44932145394
"C571_MD19","C571","MD19",3796.23783073828
"C572_MD19","C572","MD19",3862.965329933
"C573_MD19","C573","MD19",4044.63350411919
"C574_MD19","C574","MD19",3464.06673387543
"C575_MD19","C575","MD19",3473.61507237002
"C576_MD19","C576","MD19",3681.50834670692
"C577_MD19","C577","MD19",3710.29267663555
"C578_MD19","C578","MD19",3630.07692015445
"C579_MD19","C579","MD19",3660.54823228494
"C580_MD19","C580","MD19",3769.40576600476
"C581_MD19","C581","MD19",3829.99740174277
"C582_MD19","C582","MD19",3908.12824436177
"C583_MD19","C583","MD19",5673.55935800615
"C584_MD19","C584","MD19",3420.05034167023
"C585_MD19","C585","MD19",3418.2008772229
"C586_MD19","C586","MD19",3831.05539365958
"C587_MD19","C587","MD19",2178.48528609072
"C588_MD19","C588","MD19",3511.26578038011
"C589_MD19","C589","MD19",4200.66154444907
"C590_MD19","C590","MD19",6154.94513247318
"C591_MD19","C591","MD19",4212.2193152271
"C592_MD19","C592","MD19",5342.16550099879
"C593_MD19","C593","MD19",4493.44258617396
"C594_MD19","C594","MD19",7011.61902500392
"C595_MD19","C595","MD19",7019.08392587915
"C596_MD19","C596","MD19",3892.96645313041
"C597_MD19","C597","MD19",4578.8476341001
"C598_MD19","C598","MD19",4771.5872870609
"C599_MD19","C599","MD19",4858.89293384982
"C600_MD19","C600","MD19",4927.84037767809
"C601_MD19","C601","MD19",3477.79580558583
"C602_MD19","C602","MD19",3527.5728322149
"C603_MD19","C603","MD19",3640.32041655421
"C604_MD19","C604","MD19",3667.66742581572
"C605_MD19","C605","MD19",3630.68012972913
"C606_MD19","C606","MD19",6347.30763212478
"C607_MD19","C607","MD19",6465.62633103892
"C608_MD19","C608","MD19",3917.67410720201
"C609_MD19","C609","MD19",5231.21666162806
"C610_MD19","C610","MD19",2944.18682062618
"C613_MD19","C613","MD19",4385.81244690724
"C614_MD19","C614","MD19",1875.93182195486
"C615_MD19","C615","MD19",2790.22115739964
"C616_MD19","C616","MD19",2990.45433817326
"C617_MD19","C617","MD19",4480.92714695178
"C618_MD19","C618","MD19",5687.35303563975
"C619_MD19","C619","MD19",5683.44510400989
"C620_MD19","C620","MD19",5786.9329819344
"C621_MD19","C621","MD19",2414.6029091024
"C622_MD19","C622","MD19",4784.73538843099
"C623_MD19","C623","MD19",988.866076501408
"C624_MD19","C624","MD19",5318.45038665704
"C625_MD19","C625","MD19",5353.83484716552
"C552_MD34","C552","MD34",5817.91660787678
"C553_MD34","C553","MD34",5808.47094738506
"C554_MD34","C554","MD34",2931.10195197963
"C555_MD34","C555","MD34",2908.231533487
"C556_MD34","C556","MD34",3615.84244932715
"C557_MD34","C557","MD34",3698.98995962698
"C558_MD34","C558","MD34",3759.48941107072
"C559_MD34","C559","MD34",3699.04999811818
"C560_MD34","C560","MD34",3767.18270973389
"C561_MD34","C561","MD34",3723.44816431569
"C562_MD34","C562","MD34",3780.55878183996
"C563_MD34","C563","MD34",3749.62558466786
"C564_MD34","C564","MD34",3769.52807832683
"C565_MD34","C565","MD34",3772.23381230233
"C566_MD34","C566","MD34",3793.19078998833
"C567_MD34","C567","MD34",3854.69863545718
"C568_MD34","C568","MD34",3838.40528812198
"C569_MD34","C569","MD34",3840.07560017779
"C570_MD34","C570","MD34",3861.43903349705
"C571_MD34","C571","MD34",3913.87777697403
"C572_MD34","C572","MD34",4004.3651312877
"C573_MD34","C573","MD34",4111.88184179125
"C574_MD34","C574","MD34",3562.91643457684
"C575_MD34","C575","MD34",3590.51166215276
"C576_MD34","C576","MD34",3775.30156355243
"C577_MD34","C577","MD34",3793.68082334972
"C578_MD34","C578","MD34",3764.03474800132
