"ID","Origin","Destination","Drive_Time"
"MD34_MD19","MD34","MD19",1317.99867850784
"MD35_MD19","MD35","MD19",2655.20624640151
"MD41_MD19","MD41","MD19",4580.53889694949
"MD43_MD19","MD43","MD19",5465.86710101344
"MD47_MD19","MD47","MD19",4014.1055417978
"MD57_MD19","MD57","MD19",5461.56644852506
"MD70_MD19","MD70","MD19",3762.45511040757
"MD73_MD19","MD73","MD19",6076.95470523661
"MD74_MD19","MD74","MD19",6221.54038173052
"MD75_MD19","MD75","MD19",1869.55207802441
"MD78_MD19","MD78","MD19",2198.53182235027
"MD83_MD19","MD83","MD19",966.674715229575
"MD90_MD19","MD90","MD19",5503.53876363761
"MD92_MD19","MD92","MD19",5324.26970032714
"MD93_MD19","MD93","MD19",4618.59027976941
"MD96_MD19","MD96","MD19",2586.95974685541
"MD99_MD19","MD99","MD19",1166.22972345342
"MD19_MD34","MD19","MD34",1317.99867850784
"MD35_MD34","MD35","MD34",1918.8952230726
"MD41_MD34","MD41","MD34",4213.48301786063
"MD43_MD34","MD43","MD34",4745.87445197205
"MD47_MD34","MD47","MD34",3262.39453345236
"MD57_MD34","MD57","MD34",4890.77907294428
"MD70_MD34","MD70","MD34",3446.69787730198
"MD73_MD34","MD73","MD34",5656.18650029573
"MD74_MD34","MD74","MD34",5472.59514839037
"MD75_MD34","MD75","MD34",1229.76174512289
"MD78_MD34","MD78","MD34",1556.65507523045
"MD83_MD34","MD83","MD34",1792.18389193201
"MD90_MD34","MD90","MD34",4748.51977836199
"MD92_MD34","MD92","MD34",4974.35233890739
"MD93_MD34","MD93","MD34",4302.34568811243
"MD96_MD34","MD96","MD34",1878.66149000802
"MD99_MD34","MD99","MD34",2050.25246175412
"MD19_MD35","MD19","MD35",2655.20624640151
"MD34_MD35","MD34","MD35",1918.8952230726
"MD41_MD35","MD41","MD35",4441.16992588456
"MD43_MD35","MD43","MD35",3376.04966043164
"MD47_MD35","MD47","MD35",2691.14936098261
"MD57_MD35","MD57","MD35",4790.41077869662
"MD70_MD35","MD70","MD35",3865.88875284179
"MD73_MD35","MD73","MD35",5855.4727489106
"MD74_MD35","MD74","MD35",4192.65797972588
"MD75_MD35","MD75","MD35",1782.16460946721
"MD78_MD35","MD78","MD35",1067.70887058142
"MD83_MD35","MD83","MD35",3170.86789078244
"MD90_MD35","MD90","MD35",3548.4626058289
"MD92_MD35","MD92","MD35",5353.94994513439
"MD93_MD35","MD93","MD35",4794.59791636058
"MD96_MD35","MD96","MD35",959.415648661548
"MD99_MD35","MD99","MD35",3378.9840229969
"MD19_MD41","MD19","MD41",4580.53889694949
"MD34_MD41","MD34","MD41",4213.48301786063
"MD35_MD41","MD35","MD41",4441.16992588456
"MD43_MD41","MD43","MD41",5550.24408364653
"MD47_MD41","MD47","MD41",2950.98120951757
"MD57_MD41","MD57","MD41",1678.0937416458
"MD70_MD41","MD70","MD41",1287.71849098702
"MD73_MD41","MD73","MD41",1981.91905372591
"MD74_MD41","MD74","MD41",5463.48889113541
"MD75_MD41","MD75","MD41",3474.67480177629
"MD78_MD41","MD78","MD41",4659.9104414542
"MD83_MD41","MD83","MD41",4649.93310090085
"MD90_MD41","MD90","MD41",4661.1935148939
"MD92_MD41","MD92","MD41",1515.74281045054
"MD93_MD41","MD93","MD41",1421.50348015509
"MD96_MD41","MD96","MD41",3899.8686095903
"MD99_MD41","MD99","MD41",5019.23736986085
"MD19_MD43","MD19","MD43",5465.86710101344
"MD34_MD43","MD34","MD43",4745.87445197205
"MD35_MD43","MD35","MD43",3376.04966043164
"MD41_MD43","MD41","MD43",5550.24408364653
"MD47_MD43","MD47","MD43",3506.45665565845
"MD57_MD43","MD57","MD43",5319.9338642318
"MD70_MD43","MD70","MD43",5419.30034822811
"MD73_MD43","MD73","MD43",6671.64375699852
"MD74_MD43","MD74","MD43",1611.06748839826
"MD75_MD43","MD75","MD43",4327.38249054456
"MD78_MD43","MD78","MD43",3880.39703554349
"MD83_MD43","MD83","MD43",5972.66250868547
"MD90_MD43","MD90","MD43",1671.72040955308
