"GEOID","Cluster","State","County.Code","Tract_RUC","Tract_Population","Tract_Land","Tract_Lat","Tract_Long","Tract_methadone_unserved","Name","Address","Pharm_Lat","Pharm_Long","Cluster_centroid_Latitude","Cluster_centroid_Longitude","Shortest_distance","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC","Max_RUC","Max_PopD","Drive_Time"
24001001800,"MD87","Maryland",24001,3,72591,422.187,39.6570617,-78.9459687,0,"Tri-Towns Pharmacy","22 MAIN STREET",39.484682,-79.045005,39.484682,-79.045005,20986.8019048984,72591,422.187,3,3,171.94039608041,1426.4496286502
24001001900,"MD87","Maryland",24001,3,72591,422.187,39.6087821,-78.9348917,0,"Tri-Towns Pharmacy","22 MAIN STREET",39.484682,-79.045005,39.484682,-79.045005,16738.8239518454,72591,422.187,3,3,171.94039608041,1245.14592961389
24001002000,"MD87","Maryland",24001,3,72591,422.187,39.5639618,-78.893989,0,"Tri-Towns Pharmacy","22 MAIN STREET",39.484682,-79.045005,39.484682,-79.045005,15685.5712349354,72591,422.187,3,3,171.94039608041,1200.19310365618
24001002100,"MD87","Maryland",24001,3,72591,422.187,39.5551974,-78.9860824,0,"Tri-Towns Pharmacy","22 MAIN STREET",39.484682,-79.045005,39.484682,-79.045005,9339.17009672817,72591,422.187,3,3,171.94039608041,929.32870307749
24001002200,"MD87","Maryland",24001,3,72591,422.187,39.4980725,-78.9858124,0,"Tri-Towns Pharmacy","22 MAIN STREET",39.484682,-79.045005,39.484682,-79.045005,5299.06473195176,72591,422.187,3,3,171.94039608041,756.897006108833
24003701101,"MD70","Maryland",24003,1,564600,414.811,38.9315963,-76.5756683,0,"RITE AID PHARMACY 04810","1720 MAIN STREET",38.973685,-76.280826,38.9737395,-76.27616725,25950.7575174661,49071,371.689,1,1,1361.1018029898,1455.4032601265
24003701102,"MD70","Maryland",24003,1,564600,414.811,38.9351084,-76.5513663,0,"RITE AID PHARMACY 04810","1720 MAIN STREET",38.973685,-76.280826,38.9737395,-76.27616725,23810.3669093864,49071,371.689,1,1,1361.1018029898,1364.05138897366
24003701200,"MD70","Maryland",24003,1,564600,414.811,38.9027195,-76.5155361,0,"RITE AID PHARMACY 04810","1720 MAIN STREET",38.973685,-76.280826,38.9737395,-76.27616725,21804.2456786536,49071,371.689,1,1,1361.1018029898,1278.43013484598
24003702402,"MD70","Maryland",24003,1,564600,414.811,38.9765291,-76.5659981,0,"RITE AID PHARMACY 04810","1720 MAIN STREET",38.973685,-76.280826,38.9737395,-76.27616725,24681.3620390907,49071,371.689,1,1,1361.1018029898,1401.22546110944
24003702500,"MD70","Maryland",24003,1,564600,414.811,38.96222,-76.5264133,0,"RITE AID PHARMACY 04810","1720 MAIN STREET",38.973685,-76.280826,38.9737395,-76.27616725,21294.0191657199,49071,371.689,1,1,1361.1018029898,1256.65366727397
