"ID","Origin","Destination","Drive_Time"
"C626_MA17","C626","MA17",7162.51163082303
"C627_MA17","C627","MA17",5719.28221201306
"C628_MA17","C628","MA17",5734.33430989525
"C629_MA17","C629","MA17",5729.16453238973
"C630_MA17","C630","MA17",6765.3108983674
"C631_MA17","C631","MA17",5938.28097632321
"C632_MA17","C632","MA17",5597.87650692791
"C633_MA17","C633","MA17",5602.06789978044
"C634_MA17","C634","MA17",5898.4659132089
"C635_MA17","C635","MA17",7047.49887999989
"C636_MA17","C636","MA17",6825.82264371589
"C640_MA17","C640","MA17",3745.39013488696
"C641_MA17","C641","MA17",4948.38231146005
"C642_MA17","C642","MA17",4889.86096944784
"C643_MA17","C643","MA17",4895.23849475644
"C651_MA17","C651","MA17",5658.83888755656
"C655_MA17","C655","MA17",6973.6768204044
"C656_MA17","C656","MA17",7168.63820817543
"C658_MA17","C658","MA17",3997.66752421123
"C659_MA17","C659","MA17",4097.53048913375
"C660_MA17","C660","MA17",4094.77609148061
"C666_MA17","C666","MA17",6227.49850078503
"C667_MA17","C667","MA17",5728.58858341734
"C669_MA17","C669","MA17",5838.47140606102
"C674_MA17","C674","MA17",5842.0749068814
"C675_MA17","C675","MA17",5264.83812328839
"C676_MA17","C676","MA17",5329.38435574322
"C682_MA17","C682","MA17",5921.58618247707
"C688_MA17","C688","MA17",2677.17903980509
"C626_MA31","C626","MA31",5489.47036357588
"C627_MA31","C627","MA31",4097.49970707013
"C628_MA31","C628","MA31",4108.94710225869
"C629_MA31","C629","MA31",4106.20323961661
"C630_MA31","C630","MA31",5164.38284426437
"C631_MA31","C631","MA31",4274.30213517908
"C632_MA31","C632","MA31",3855.62081473075
"C633_MA31","C633","MA31",3860.17593683321
"C634_MA31","C634","MA31",4249.2344050521
"C635_MA31","C635","MA31",5416.48901418781
"C636_MA31","C636","MA31",5267.03403534941
"C638_MA31","C638","MA31",6121.63876812401
"C639_MA31","C639","MA31",6036.30671631792
"C640_MA31","C640","MA31",2121.10604817986
"C641_MA31","C641","MA31",2939.71571124608
"C642_MA31","C642","MA31",2883.60063142564
"C643_MA31","C643","MA31",2893.77989693061
"C645_MA31","C645","MA31",5419.35508625724
"C646_MA31","C646","MA31",6148.30595031668
"C651_MA31","C651","MA31",3996.19053427446
"C652_MA31","C652","MA31",6837.47381573873
"C653_MA31","C653","MA31",7185.52670091701
"C654_MA31","C654","MA31",6701.22660555888
"C655_MA31","C655","MA31",5489.36428326795
"C656_MA31","C656","MA31",5251.87570065957
"C657_MA31","C657","MA31",6066.64512648365
"C658_MA31","C658","MA31",1996.76408216148
"C659_MA31","C659","MA31",2111.74538340229
"C660_MA31","C660","MA31",2109.41601842675
"C663_MA31","C663","MA31",5919.94066423731
"C666_MA31","C666","MA31",4617.95033106061
"C667_MA31","C667","MA31",4080.01965600152
"C668_MA31","C668","MA31",5715.79429186967
"C669_MA31","C669","MA31",4215.03112361804
"C670_MA31","C670","MA31",6524.64870580538
"C674_MA31","C674","MA31",4077.29934167971
"C675_MA31","C675","MA31",3368.79591720383
"C676_MA31","C676","MA31",3434.34515036289
"C677_MA31","C677","MA31",6442.88061939746
"C678_MA31","C678","MA31",5551.13188373144
"C679_MA31","C679","MA31",6030.37328026699
"C682_MA31","C682","MA31",4319.34528912733
"C683_MA31","C683","MA31",5825.15095189559
"C684_MA31","C684","MA31",6431.20861327236
"C685_MA31","C685","MA31",6415.73206880148
"C686_MA31","C686","MA31",6413.82759989338
"C687_MA31","C687","MA31",6427.89995112969
"C688_MA31","C688","MA31",2440.40761351244
"C626_MA70","C626","MA70",5515.83620090204
"C627_MA70","C627","MA70",4037.73797379836
"C628_MA70","C628","MA70",4056.94612095822
"C629_MA70","C629","MA70",4048.43161707156
"C630_MA70","C630","MA70",5039.40730620069
"C631_MA70","C631","MA70",4303.43665836059
"C632_MA70","C632","MA70",4299.65246790054
"C633_MA70","C633","MA70",4302.33558754742
"C634_MA70","C634","MA70",4242.80535089782
"C635_MA70","C635","MA70",5341.34887401638
"C636_MA70","C636","MA70",5030.18892066689
"C638_MA70","C638","MA70",5555.91582135283
"C639_MA70","C639","MA70",5433.33304042768
"C640_MA70","C640","MA70",2886.55224376708
"C641_MA70","C641","MA70",4661.77373496059
"C642_MA70","C642","MA70",4576.93442858197
"C643_MA70","C643","MA70",4532.15411030546
"C645_MA70","C645","MA70",5933.8015664994
"C646_MA70","C646","MA70",5073.57658827177
"C649_MA70","C649","MA70",6746.23827349518
"C651_MA70","C651","MA70",4051.82411027207
"C652_MA70","C652","MA70",6414.89119612849
"C654_MA70","C654","MA70",6600.19287266424
"C655_MA70","C655","MA70",5063.21182989341
"C656_MA70","C656","MA70",6093.16573249673
"C657_MA70","C657","MA70",7024.83219220212
"C658_MA70","C658","MA70",3847.06356318582
"C659_MA70","C659","MA70",3830.21873097393
"C660_MA70","C660","MA70",3826.29169319628
"C663_MA70","C663","MA70",5423.88161603843
"C666_MA70","C666","MA70",4580.50651515022
"C667_MA70","C667","MA70",4089.92233828823
"C668_MA70","C668","MA70",5328.34864138276
"C669_MA70","C669","MA70",4271.32353976525
"C674_MA70","C674","MA70",4531.88035178645
"C675_MA70","C675","MA70",4384.7206367625
"C676_MA70","C676","MA70",4433.38931048772
"C677_MA70","C677","MA70",6196.25301618876
"C678_MA70","C678","MA70",5694.63062180058
"C679_MA70","C679","MA70",6738.5707354976
"C682_MA70","C682","MA70",4307.02284946752
"C683_MA70","C683","MA70",5593.53764492891
"C688_MA70","C688","MA70",1416.56895102186
"C637_MA84","C637","MA84",3131.58000482389
"C644_MA84","C644","MA84",6336.44642834648
"C647_MA84","C647","MA84",3764.48848657656
"C648_MA84","C648","MA84",3879.74429253159
"C650_MA84","C650","MA84",3045.76404110788
"C653_MA84","C653","MA84",6351.60773784604
"C656_MA84","C656","MA84",7061.42021447794
"C657_MA84","C657","MA84",6149.7469915993
"C661_MA84","C661","MA84",2937.73720390378
"C662_MA84","C662","MA84",3164.75135638298
"C664_MA84","C664","MA84",1842.3544398039
"C665_MA84","C665","MA84",1880.12976953895
"C670_MA84","C670","MA84",5221.64041983895
"C671_MA84","C671","MA84",3303.10813151215
"C672_MA84","C672","MA84",3201.53651320414
"C673_MA84","C673","MA84",3280.2493997327
"C679_MA84","C679","MA84",6608.58032830812
"C680_MA84","C680","MA84",2687.83401190144
"C681_MA84","C681","MA84",5952.45093120464
"C684_MA84","C684","MA84",5956.21055891007
"C685_MA84","C685","MA84",6021.85050937455
"C686_MA84","C686","MA84",6118.61087326726
"C687_MA84","C687","MA84",5861.41431819846
"C626_MA90","C626","MA90",5858.29728683143
"C627_MA90","C627","MA90",4459.22057454378
"C628_MA90","C628","MA90",4471.14964075873
"C629_MA90","C629","MA90",4468.09596495685
"C630_MA90","C630","MA90",5523.8362193671
"C631_MA90","C631","MA90",4641.54183940015
"C632_MA90","C632","MA90",4227.97012577577
"C633_MA90","C633","MA90",4232.49816468565
"C634_MA90","C634","MA90",4614.6936530731
"C635_MA90","C635","MA90",5780.31328901321
"C636_MA90","C636","MA90",5621.31649012201
"C638_MA90","C638","MA90",6462.76855408734
"C639_MA90","C639","MA90",6374.31507525293
"C640_MA90","C640","MA90",2456.69552268951
"C641_MA90","C641","MA90",3307.72589634384
"C642_MA90","C642","MA90",3254.37512046601
"C643_MA90","C643","MA90",3267.99975345574
"C645_MA90","C645","MA90",5802.32035274439
"C646_MA90","C646","MA90",6451.12256433187
"C651_MA90","C651","MA90",4362.61662266225
"C652_MA90","C652","MA90",7191.6051706383
"C654_MA90","C654","MA90",7070.34732119664
"C655_MA90","C655","MA90",5834.12026863326
"C656_MA90","C656","MA90",5636.72647936625
"C657_MA90","C657","MA90",6449.21868319739
"C658_MA90","C658","MA90",2373.66370068654
"C659_MA90","C659","MA90",2493.39431827488
"C660_MA90","C660","MA90",2491.16146947779
"C663_MA90","C663","MA90",6263.97356956401
"C666_MA90","C666","MA90",4976.6987725683
"C667_MA90","C667","MA90",4444.98026016607
"C668_MA90","C668","MA90",6064.86979603667
"C669_MA90","C669","MA90",4574.0378329009
"C670_MA90","C670","MA90",6893.44549525976
"C674_MA90","C674","MA90",4452.93210199717
"C675_MA90","C675","MA90",3753.23626542785
"C676_MA90","C676","MA90",3818.78925543311
"C677_MA90","C677","MA90",6804.364285805
"C678_MA90","C678","MA90",5924.83393740714
"C679_MA90","C679","MA90",6415.32163871848
"C682_MA90","C682","MA90",4675.91272837702
"C683_MA90","C683","MA90",6183.91366398144
"C684_MA90","C684","MA90",6814.54250181366
"C685_MA90","C685","MA90",6799.49161628486
"C686_MA90","C686","MA90",6798.16068213585
"C687_MA90","C687","MA90",6810.28457986743
"C688_MA90","C688","MA90",2456.56981062479
"C626_MA93","C626","MA93",4288.74325172844
"C627_MA93","C627","MA93",2818.81597925137
"C628_MA93","C628","MA93",2839.17150802618
"C629_MA93","C629","MA93",2829.35451050617
"C630_MA93","C630","MA93",3794.26049960647
"C631_MA93","C631","MA93",3095.00483341592
"C632_MA93","C632","MA93",3385.62411003695
"C633_MA93","C633","MA93",3386.91924044596
"C634_MA93","C634","MA93",3026.64266552603
"C635_MA93","C635","MA93",4092.37558640947
"C636_MA93","C636","MA93",3750.83770814384
"C638_MA93","C638","MA93",4174.99621803673
"C639_MA93","C639","MA93",4048.88831483357
"C640_MA93","C640","MA93",2685.47310105233
"C641_MA93","C641","MA93",4345.09880858335
"C642_MA93","C642","MA93",4255.55986951366
