"PharmID","Name","Address","City","State","Zip","Latitude","Longitude","Cluster","Cluster_centroid_Latitude","Cluster_centroid_Longitude","distance_to_clust","County","FIPS","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC"
"P26664","Maple Valley Pharmacy","219 N MAIN ST","NASHVILLE","MI",490739766,42.601379,-85.093475,"MI1",42.601379,-85.093475,0,"barry",26015,59607,553.094,2
"P26710","THE DRUG STORE OF IRON MOUNTAIN","1112 S STEPHENSON AVE","IRON MOUNTAIN","MI",49801,45.813492,-88.06216,"MI42",45.811563,-88.05483467,607.5884961,"dickinson",26043,25694,760.948,7
"P26720","Weatherwax Family Pharmacies Inc","8012 SPRING ARBOR ROAD","SPRING ARBOR","MI",49283,42.208199,-84.541364,"MI49",42.208199,-84.541364,0,"jackson",26075,158989,701.879,3
"P26726","COLON VILLAGE PHARMACY","131 S BLACKSTONE AVE","COLON","MI",49040,41.958012,-85.325367,"MI53",41.958012,-85.325367,0,"st joseph",26149,60890,500.594,4
"P26753","BOBS DRUGS","194 N DIVISION ST","HESPERIA","MI",494219126,43.571472,-86.039184,"MI65",43.571472,-86.039184,0,"newaygo",26123,47899,838.886,6
"P26754","L ANSE PHARMACY INC","18341 US-41","L ANSE","MI",499461095,46.731785,-88.425067,"MI66",46.731785,-88.425067,0,"baraga",26013,8580,898.427,9
"P26757","RIVER PHARMACY","124 AMES ST","ELK RAPIDS","MI",496299723,44.900722,-85.407217,"MI69",44.899515,-85.410513,292.5732707,"antrim",26009,23133,475.68,9
"P26758","FAMILY FARE PHARMACY 1507","617 N WILLIAMS","MANCELONA","MI",496599766,44.895365,-85.068372,"MI70",44.895365,-85.068372,0,"antrim",26009,23133,475.68,9
"P26760","Larmour's Village Drug","106 S CAPITAL AVENUE","ATHENS","MI",49011,42.087527,-85.235717,"MI72",42.087527,-85.235717,0,"calhoun",26025,134327,706.261,3
"P26761","richmond drug","7717 LAKE ST","BEAR LAKE","MI",496140248,44.423203,-86.147021,"MI73",44.423203,-86.147021,0,"manistee",26101,24432,542.325,7
"P26764","FAMILY FARE PHARMACY 1517","430 NORTH LAKE ST","BOYNE CITY","MI",497121104,45.219646,-85.014984,"MI75",45.219646,-85.014984,0,"charlevoix",26029,26160,416.329,7
"P26766","CENTRAL DRUG STORE INC","301 BRIDGE ST","CHARLEVOIX","MI",497201414,45.316939,-85.259004,"MI77",45.3098485,-85.2600695,793.7058284,"charlevoix",26029,26160,416.329,7
"P26767","COLEMAN FAMILY PHARMACY","211 E RAILWAY ST","COLEMAN","MI",48618,43.756145,-84.585373,"MI78",43.756145,-84.585373,0,"midland",26111,83489,516.279,3
"P26770","RITE AID PHARMACY 04502","211 WEST LAKE STREET","TAWAS CITY","MI",487639305,44.270593,-83.513314,"MI80",44.271951,-83.51202633,182.7231755,"iosco",26069,25317,549.104,7
"P26774","Hometown Pharmacy #39 -Hale","3270 N M-65","HALE","MI",48739,44.371195,-83.805863,"MI82",44.371195,-83.805863,0,"iosco",26069,25317,549.104,7
"P26776","HOPPS COLONIAL PHARMACY","126 W MAIN","HOMER","MI",49245,42.145875,-84.807469,"MI83",42.145875,-84.807469,0,"calhoun",26025,134327,706.261,3
"P26782","KALKASKA MEMORIAL HEALTH CENTER PHARMACY","419 S CORAL ST","KALKASKA","MI",496462503,44.730576,-85.184002,"MI86",44.7336625,-85.18104975,415.4040314,"kalkaska",26079,17358,559.743,7
"P26785","Putvin Drug Store","211 S CEDAR ST","MANISTIQUE","MI",49854,45.955232,-86.24646,"MI87",45.955232,-86.24646,0,"schoolcraft",26153,8114,1171.876,7
