"ID","Origin","Destination","Drive_Time"
"C689_MI1","C689","MI1",5498.45043613212
"C690_MI1","C690","MI1",5317.08748521733
"C691_MI1","C691","MI1",1992.85988660481
"C692_MI1","C692","MI1",5759.67831837813
"C693_MI1","C693","MI1",4979.68117699018
"C694_MI1","C694","MI1",6720.00850866336
"C698_MI1","C698","MI1",7046.52696142368
"C703_MI1","C703","MI1",5541.11497832784
"C704_MI1","C704","MI1",5530.08853043569
"C707_MI1","C707","MI1",2861.51554050983
"C708_MI1","C708","MI1",3211.39711528202
"C709_MI1","C709","MI1",3333.18378465408
"C710_MI1","C710","MI1",2405.82879189135
"C711_MI1","C711","MI1",2363.29274055905
"C712_MI1","C712","MI1",2259.56729200312
"C713_MI1","C713","MI1",6535.27720191132
"C717_MI1","C717","MI1",5646.5146565876
"C718_MI1","C718","MI1",5534.6390557228
"C719_MI1","C719","MI1",5422.03187352899
"C720_MI1","C720","MI1",5410.74875159311
"C721_MI1","C721","MI1",7051.80941736322
"C723_MI1","C723","MI1",6194.86968416932
"C727_MI1","C727","MI1",6196.83718611489
"C728_MI1","C728","MI1",5808.06519054299
"C689_MI49","C689","MI49",3381.22555082581
"C690_MI49","C690","MI49",3199.28761669748
"C691_MI49","C691","MI49",2793.83788751553
"C693_MI49","C693","MI49",3604.70744924723
"C694_MI49","C694","MI49",4743.80819612099
"C695_MI49","C695","MI49",5566.29023375836
"C696_MI49","C696","MI49",5604.83342706581
"C697_MI49","C697","MI49",5565.93869080745
"C698_MI49","C698","MI49",5166.23175455497
"C699_MI49","C699","MI49",5444.702242349
"C700_MI49","C700","MI49",6051.08356411754
"C701_MI49","C701","MI49",5692.59097185117
"C702_MI49","C702","MI49",5562.14341540643
"C703_MI49","C703","MI49",5228.79463418204
"C704_MI49","C704","MI49",5224.19221591313
"C707_MI49","C707","MI49",5590.98443697255
"C708_MI49","C708","MI49",5911.2797161227
"C709_MI49","C709","MI49",1117.61998163052
"C710_MI49","C710","MI49",2769.072628764
"C711_MI49","C711","MI49",2828.58484413919
"C712_MI49","C712","MI49",2929.81419917781
"C713_MI49","C713","MI49",4655.08374944266
"C714_MI49","C714","MI49",5707.85013342284
"C716_MI49","C716","MI49",4806.81599553199
"C717_MI49","C717","MI49",5417.33939141068
"C721_MI49","C721","MI49",5280.69097595994
"C723_MI49","C723","MI49",6782.0661914983
"C724_MI49","C724","MI49",6093.51348544165
"C725_MI49","C725","MI49",5986.35946092712
"C726_MI49","C726","MI49",5806.27362589206
"C727_MI49","C727","MI49",4854.29843494461
"C728_MI49","C728","MI49",4231.60294651825
"C689_MI53","C689","MI53",6370.9681516342
"C690_MI53","C690","MI53",6196.72872008718
"C691_MI53","C691","MI53",2277.90086327637
"C692_MI53","C692","MI53",4550.04051356494
"C693_MI53","C693","MI53",6630.55757653442
"C707_MI53","C707","MI53",5229.69557554569
"C708_MI53","C708","MI53",5271.59143559161
"C709_MI53","C709","MI53",4146.21336385409
"C710_MI53","C710","MI53",4948.18533746843
"C711_MI53","C711","MI53",4959.11449966955
"C712_MI53","C712","MI53",4948.78175678928
"C707_MI65","C707","MI65",4003.82667022815
"C708_MI65","C708","MI65",3930.15994031228
"C712_MI65","C712","MI65",7082.37672815859
"C718_MI65","C718","MI65",5077.31402411326
"C719_MI65","C719","MI65",2329.13338748004
"C720_MI65","C720","MI65",2510.24838012085
"C705_MI69","C705","MI69",3303.41732219353
"C706_MI69","C706","MI69",3191.67661661754
"C705_MI70","C705","MI70",2228.16358485925
"C706_MI70","C706","MI70",2134.26221453086
"C718_MI70","C718","MI70",6962.87706716452
"C689_MI72","C689","MI72",5884.42186942373
"C690_MI72","C690","MI72",5704.73280269407
"C691_MI72","C691","MI72",1557.64986935925
"C692_MI72","C692","MI72",4748.86744396848
"C693_MI72","C693","MI72",6027.15312088891
"C707_MI72","C707","MI72",4683.61137038646
"C708_MI72","C708","MI72",4781.68059528516
"C709_MI72","C709","MI72",3574.44107705443
"C710_MI72","C710","MI72",4228.19558678637
"C711_MI72","C711","MI72",4236.43834747387
"C712_MI72","C712","MI72",4221.36367039551
"C713_MI72","C713","MI72",7166.80412529869
"C716_MI72","C716","MI72",7070.08724806985
"C719_MI72","C719","MI72",6943.27817527005
"C720_MI72","C720","MI72",6867.57565274218
"C728_MI72","C728","MI72",6716.93165519092
"C705_MI73","C705","MI73",6415.95856821227
"C706_MI73","C706","MI73",6327.90628628293
"C718_MI73","C718","MI73",6809.13719083433
"C719_MI73","C719","MI73",6323.26814095209
"C720_MI73","C720","MI73",6483.00087380331
"C705_MI75","C705","MI75",2176.2244050951
"C706_MI75","C706","MI75",2055.36291877403
"C705_MI77","C705","MI77",3104.43975481548
"C706_MI77","C706","MI77",2979.79830869087
"C693_MI78","C693","MI78",6785.12323432641
"C703_MI78","C703","MI78",5051.8490259282
"C704_MI78","C704","MI78",5039.88637843133
"C705_MI78","C705","MI78",6718.12852161177
"C706_MI78","C706","MI78",6767.12889726732
"C707_MI78","C707","MI78",5853.31049774156
"C708_MI78","C708","MI78",6269.08626623306
"C710_MI78","C710","MI78",5592.44644857094
"C711_MI78","C711","MI78",5533.14063809636
"C712_MI78","C712","MI78",5492.5520907314
"C717_MI78","C717","MI78",4900.27356647859
"C718_MI78","C718","MI78",1466.99256987823
"C719_MI78","C719","MI78",6613.77616611003
"C720_MI78","C720","MI78",6771.17716791831
"C723_MI78","C723","MI78",3156.68356929948
"C727_MI78","C727","MI78",7015.26803102732
"C703_MI80","C703","MI80",6680.6605033965
"C704_MI80","C704","MI80",6678.22104084073
"C705_MI80","C705","MI80",6029.42734010927
"C706_MI80","C706","MI80",6150.29210552129
"C717_MI80","C717","MI80",6463.25291125285
"C718_MI80","C718","MI80",5978.96494089566
"C723_MI80","C723","MI80",4863.91790683837
"C703_MI82","C703","MI82",7108.55483813371
"C704_MI82","C704","MI82",7103.84677908513
"C705_MI82","C705","MI82",4984.41950149787
"C706_MI82","C706","MI82",5101.23611526082
"C717_MI82","C717","MI82",6892.93414661458
"C718_MI82","C718","MI82",5550.68730751898
"C723_MI82","C723","MI82",5094.72645044232
"C689_MI83","C689","MI83",4350.05380656569
"C690_MI83","C690","MI83",4170.22569605453
"C691_MI83","C691","MI83",2011.35523762561
"C692_MI83","C692","MI83",6254.91009175098
"C693_MI83","C693","MI83",4557.75092862864
"C694_MI83","C694","MI83",5714.80071330709
"C695_MI83","C695","MI83",6535.37450003035
"C696_MI83","C696","MI83",6574.95796609806
"C697_MI83","C697","MI83",6537.62258977707
"C698_MI83","C698","MI83",6142.77278552505
"C699_MI83","C699","MI83",6423.13805884693
"C700_MI83","C700","MI83",7027.75503384839
"C701_MI83","C701","MI83",6666.63443691765
"C702_MI83","C702","MI83",6541.83720278531
"C703_MI83","C703","MI83",6046.32631891197
"C704_MI83","C704","MI83",6040.30536465111
"C707_MI83","C707","MI83",5167.60324814528
"C708_MI83","C708","MI83",5415.75204150945
"C709_MI83","C709","MI83",2070.06074938048
"C710_MI83","C710","MI83",3221.32611291819
"C711_MI83","C711","MI83",3258.11586662784
"C712_MI83","C712","MI83",3306.16603707629
"C713_MI83","C713","MI83",5633.49252776696
"C714_MI83","C714","MI83",6690.18930115178
"C716_MI83","C716","MI83",5628.16292669577
"C717_MI83","C717","MI83",6222.30171944117
"C721_MI83","C721","MI83",6262.09381791637
"C724_MI83","C724","MI83",7072.37337158068
"C725_MI83","C725","MI83",6968.67390154114
"C726_MI83","C726","MI83",6788.58544402611
"C727_MI83","C727","MI83",5820.85993656447
"C728_MI83","C728","MI83",5209.48452215479
"C705_MI86","C705","MI86",2894.18125025362
"C706_MI86","C706","MI86",2825.65996657013
"C718_MI86","C718","MI86",6198.79287913445
"C691_MI92","C691","MI92",6557.24041561656
"C692_MI92","C692","MI92",2409.43844720349
"C707_MI92","C707","MI92",7108.10113948518
"C708_MI92","C708","MI92",6740.44983034898
"C693_MI94","C693","MI94",6973.84638946725
"C702_MI94","C702","MI94",7109.83758377486
"C703_MI94","C703","MI94",4864.50374276349
"C704_MI94","C704","MI94",4865.87775794051
"C714_MI94","C714","MI94",6921.02885357023
"C715_MI94","C715","MI94",5405.1513691553
"C717_MI94","C717","MI94",4657.17466657342
"C718_MI94","C718","MI94",5912.44950190759
"C721_MI94","C721","MI94",7141.13003728918
"C722_MI94","C722","MI94",5819.19988257312
"C723_MI94","C723","MI94",3635.94793618344
"C724_MI94","C724","MI94",7136.7512351537
"C725_MI94","C725","MI94",6557.21544927634
"C726_MI94","C726","MI94",6626.94959804225
"C727_MI94","C727","MI94",6214.10463881799
"C728_MI94","C728","MI94",6862.19158596838
"C705_MI95","C705","MI95",4142.58711564959
"C706_MI95","C706","MI95",4188.9895770001
"C718_MI95","C718","MI95",3969.78411254733
"C723_MI95","C723","MI95",5397.1766004338
"C689_MI96","C689","MI96",6558.71492598536
"C690_MI96","C690","MI96",6372.67836516239
"C691_MI96","C691","MI96",1566.70196365437
"C692_MI96","C692","MI96",4149.97123358116
"C693_MI96","C693","MI96",6322.36495580422
"C703_MI96","C703","MI96",7157.6546929407
"C704_MI96","C704","MI96",7147.31507978839
"C707_MI96","C707","MI96",3109.05512757713
"C708_MI96","C708","MI96",3170.70042107655
"C709_MI96","C709","MI96",4197.83691337569
"C710_MI96","C710","MI96",3969.6363963472
"C711_MI96","C711","MI96",3943.09974860746
