"ID","Origin","Destination","Drive_Time"
"MI49_MI1","MI49","MI1",3217.21025623556
"MI53_MI1","MI53","MI1",3741.124854092
"MI65_MI1","MI65","MI1",6321.95917213205
"MI72_MI1","MI72","MI1",3021.1802739889
"MI78_MI1","MI78","MI1",6293.46541916201
"MI83_MI1","MI83","MI1",2914.87992876156
"MI96_MI1","MI96","MI1",2134.67736007743
"MI97_MI1","MI97","MI1",6187.30602200079
"MI110_MI1","MI110","MI1",7018.39093931764
"MI116_MI1","MI116","MI1",2393.69698770372
"MI128_MI1","MI128","MI1",5464.70986032158
"MI129_MI1","MI129","MI1",7036.3315420628
"MI130_MI1","MI130","MI1",1928.01505647802
"MI131_MI1","MI131","MI1",3822.5298819987
"MI134_MI1","MI134","MI1",4964.91595329634
"MI135_MI1","MI135","MI1",1690.75944541758
"MI137_MI1","MI137","MI1",5695.57173414781
"MI139_MI1","MI139","MI1",4568.04750934043
"MI144_MI1","MI144","MI1",5456.21740404165
"MI61_MI1","MI61","MI1",5760.6217288624
"MI147_MI1","MI147","MI1",3808.94029556081
"MI149_MI1","MI149","MI1",3342.38197956648
"MI152_MI1","MI152","MI1",2156.58796160105
"MI155_MI1","MI155","MI1",5219.72122935999
"MI156_MI1","MI156","MI1",6148.70217711283
"MI158_MI1","MI158","MI1",4321.90091889412
"MI165_MI1","MI165","MI1",3208.78900984866
"MI172_MI1","MI172","MI1",3778.271308313
"MI173_MI1","MI173","MI1",4478.79948590989
"MI178_MI1","MI178","MI1",4380.28656182119
"MI181_MI1","MI181","MI1",2090.50072615933
"MI184_MI1","MI184","MI1",5757.41356546506
"MI185_MI1","MI185","MI1",5414.67812637905
"MI48_MI1","MI48","MI1",6881.05856928624
"MI196_MI1","MI196","MI1",1442.48925576086
"MI112_MI1","MI112","MI1",6270.62510537288
"MI21_MI1","MI21","MI1",7021.09622171147
"MI199_MI1","MI199","MI1",3843.81617244714
"MI64_MI1","MI64","MI1",3812.6445942545
"MI207_MI1","MI207","MI1",6192.31717656905
"MI208_MI1","MI208","MI1",4466.48568580005
"MI153_MI1","MI153","MI1",3244.83908359943
"MI210_MI1","MI210","MI1",4107.9995167043
"MI212_MI1","MI212","MI1",7176.44307999351
"MI213_MI1","MI213","MI1",4703.55926268931
"MI215_MI1","MI215","MI1",6907.50533175817
"MI217_MI1","MI217","MI1",6579.91503799812
"MI218_MI1","MI218","MI1",4478.48019269621
"MI219_MI1","MI219","MI1",4812.97395323278
"MI224_MI1","MI224","MI1",5898.52156661877
"MI52_MI1","MI52","MI1",4080.94365715481
"MI228_MI1","MI228","MI1",4162.89050019768
"MI229_MI1","MI229","MI1",4308.95829089
"MI190_MI1","MI190","MI1",4330.28042570191
"MI204_MI1","MI204","MI1",7100.79426680792
"MI238_MI1","MI238","MI1",3746.19285964203
"MI240_MI1","MI240","MI1",3225.09018449656
"MI231_MI1","MI231","MI1",6028.20031273006
"MI243_MI1","MI243","MI1",5152.71746240509
"MI244_MI1","MI244","MI1",6276.97875560353
"MI245_MI1","MI245","MI1",6496.71808079966
"MI247_MI1","MI247","MI1",4714.78483643569
"MI251_MI1","MI251","MI1",3469.02250635985
"MI253_MI1","MI253","MI1",2016.22120795336
"MI255_MI1","MI255","MI1",3820.14007517597
"MI256_MI1","MI256","MI1",7071.93367633003
"MI121_MI1","MI121","MI1",6903.38539433568
"MI123_MI1","MI123","MI1",2683.53028351047
"MI142_MI1","MI142","MI1",2986.18650811774
"MI267_MI1","MI267","MI1",5396.8186073558
"MI170_MI1","MI170","MI1",6661.55650051715
"MI117_MI1","MI117","MI1",5589.20020223124
"MI11_MI1","MI11","MI1",2932.49210707748
"MI109_MI1","MI109","MI1",3147.55443412076
"MI133_MI1","MI133","MI1",4283.62175129261
"MI50_MI1","MI50","MI1",2243.00096347636
"MI8_MI1","MI8","MI1",3078.51565970522
"MI148_MI1","MI148","MI1",3299.06228388629
"MI125_MI1","MI125","MI1",6281.26178275892
"MI189_MI1","MI189","MI1",1946.49981490227
"MI160_MI1","MI160","MI1",4678.84890245917
"MI146_MI1","MI146","MI1",4957.06198388026
"MI186_MI1","MI186","MI1",3348.16657782708
"MI284_MI1","MI284","MI1",3463.13008003922
"MI62_MI1","MI62","MI1",6264.17217068091
"MI276_MI1","MI276","MI1",6585.38926137123
"MI45_MI1","MI45","MI1",4343.45793843298
"MI32_MI1","MI32","MI1",6250.00487024416
"MI171_MI1","MI171","MI1",2828.37640875187
"MI287_MI1","MI287","MI1",6993.52883743846
"MI290_MI1","MI290","MI1",3526.49640513458
"MI150_MI1","MI150","MI1",2280.83018330803
"MI19_MI1","MI19","MI1",6652.29031850783
"MI294_MI1","MI294","MI1",6424.3746777778
"MI5_MI1","MI5","MI1",3200.0197844649
"MI301_MI1","MI301","MI1",4379.43097325632
"MI198_MI1","MI198","MI1",6005.60164282973
"MI302_MI1","MI302","MI1",5655.00588019602
"MI304_MI1","MI304","MI1",3530.58712776537
"MI124_MI1","MI124","MI1",4746.73640776479
"MI305_MI1","MI305","MI1",6988.88626655016
"MI220_MI1","MI220","MI1",5086.07506566635
"MI262_MI1","MI262","MI1",1224.34393509717
"MI211_MI1","MI211","MI1",4610.23126295606
"MI7_MI1","MI7","MI1",2856.17745064291
"MI254_MI1","MI254","MI1",6237.50328500229
"MI143_MI1","MI143","MI1",2692.2206368738
"MI311_MI1","MI311","MI1",4124.03114048569
"MI27_MI1","MI27","MI1",4913.96020103812
