"GEOID","Cluster","State","County.Code","Tract_RUC","Tract_Population","Tract_Land","Tract_Lat","Tract_Long","Tract_methadone_unserved","Name","Address","Pharm_Lat","Pharm_Long","Cluster_centroid_Latitude","Cluster_centroid_Longitude","Shortest_distance","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC","Max_RUC","Max_PopD","Drive_Time"
26001000100,"MI140","Michigan",26001,9,10413,674.656,44.7999576,-83.4969141,1.826329028,"Lincoln Pharmacy","301 2ND ST",44.68259,-83.411452,44.671521,-83.4073105,14709.3507831287,10413,674.656,9,9,15.4345325617796,1427.79054017115
26001000100,"MI205","Michigan",26001,9,10413,674.656,44.7999576,-83.4969141,1.826329028,"OSSINEKE PHARMACY","11745 Us Hwy 23 S",44.914375,-83.439889,44.914375,-83.439889,13508.4157799916,28730,571.868,7,9,50.2388663118062,1373.68311517312
26001970100,"MI140","Michigan",26001,9,10413,674.656,44.742703,-83.3361215,2.579410537,"Lincoln Pharmacy","301 2ND ST",44.68259,-83.411452,44.671521,-83.4073105,8960.61275357548,10413,674.656,9,9,15.4345325617796,1182.43440106981
26001970400,"MI140","Michigan",26001,9,10413,674.656,44.6304232,-83.4888762,2.980415804,"Alcona Health Center Pharmacy","177 N Barlow",44.660452,-83.403169,44.671521,-83.4073105,7566.48861239713,10413,674.656,9,9,15.4345325617796,1122.93318272432
26001970600,"MI140","Michigan",26001,9,10413,674.656,44.5453219,-83.3800639,1.593384323,"Alcona Health Center Pharmacy","177 N Barlow",44.660452,-83.403169,44.671521,-83.4073105,12946.395672503,10413,674.656,9,9,15.4345325617796,1352.54761604964
26001970600,"MI93","Michigan",26001,9,10413,674.656,44.5453219,-83.3800639,1.593384323,"RITE AID PHARMACY 02473","5280 N HURON RD",44.433856,-83.330168,44.4243545,-83.329803,13025.628071915,25317,549.104,7,9,46.1060199889274,1353.41633989164
26005030200,"MI208","Michigan",26005,4,114145,825.255,42.7430095,-86.1872019,3.412116895,"SAUGATUCK DRUG STORE","201 BUTLER ST",42.655825,-86.203897,42.655825,-86.203897,9800.9713878084,114145,825.255,4,4,138.314823902915,994.533325309297
26005030200,"MI210","Michigan",26005,4,114145,825.255,42.7430095,-86.1872019,3.412116895,"ALEXANDERS DRUG STORE","211 E MAIN ST",42.594498,-86.103266,42.594498,-86.103266,17902.9344383567,114145,825.255,4,4,138.314823902915,1340.3251083067
26005030200,"MI238","Michigan",26005,4,114145,825.255,42.7430095,-86.1872019,3.412116895,"Moore Family Pharmacy Hamilton","3416 M40",42.668855,-85.995749,42.668855,-85.995749,17703.6525719621,114145,825.255,4,4,138.314823902915,1331.81975824898
26005030200,"MI52","Michigan",26005,4,114145,825.255,42.7430095,-86.1872019,3.412116895,"FAMILY FARE PHARMACY 123","1185 S WASHINGTON AVE",42.756305,-86.114246,42.8014678333333,-86.0929992222222,6144.67986465279,280243,563.508,2,4,497.318582877262,809.069625128247
26005030300,"MI171","Michigan",26005,4,114145,825.255,42.7301263,-85.888949,0,"Dorr Community Pharmacy","1730 142nd Avenue",42.724699,-85.715904,42.69929,-85.686444,14163.5039062714,114145,825.255,4,4,138.314823902915,1180.7262131973
26005030300,"MI238","Michigan",26005,4,114145,825.255,42.7301263,-85.888949,0,"Moore Family Pharmacy Hamilton","3416 M40",42.668855,-85.995749,42.668855,-85.995749,11084.4112574137,114145,825.255,4,4,138.314823902915,1049.31053894405
26005030300,"MI52","Michigan",26005,4,114145,825.255,42.7301263,-85.888949,0,"Buntes Pharmacy","115 E Main Ave",42.81247,-86.014279,42.8014678333333,-86.0929992222222,13744.5377705131,280243,563.508,2,4,497.318582877262,1133.43156055037
26005030401,"MI130","Michigan",26005,4,114145,825.255,42.7246171,-85.7226539,0,"PHARMACY CARE","4652 N M-37",42.720789,-85.470662,42.720789,-85.470662,20612.395924318,59607,553.094,2,4,138.314823902915,1455.96492452753
26005030401,"MI152","Michigan",26005,4,114145,825.255,42.7246171,-85.7226539,0,"RITE AID PHARMACY 01532","9377 CHERRY VALLEY RD",42.794048,-85.509127,42.7953306666667,-85.5084583333333,19086.8986355253,636376,848.878,2,4,749.667207773084,1340.76859943137
26005030401,"MI171","Michigan",26005,4,114145,825.255,42.7246171,-85.7226539,0,"Dorr Community Pharmacy","1730 142nd Avenue",42.724699,-85.715904,42.69929,-85.686444,552.067405255179,114145,825.255,4,4,138.314823902915,599.790103333925
