"PharmID","Name","Address","City","State","Zip","Latitude","Longitude","Cluster","Cluster_centroid_Latitude","Cluster_centroid_Longitude","distance_to_clust","County","FIPS","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC"
"P29078","CVS Pharmacy #","3300 124TH AVE NW","COON RAPIDS","MN",55433,45.194425,-93.350121,"MN10",45.1858394482759,-93.3436153448276,1083.48253718355,"anoka",27003,344861,421.963,1
"P29633","THRIFTY WHITE PHARMACY #770","724 E MN-7","MONTEVIDEO","MN",56265,44.951998,-95.717684,"MN100",44.951553,-95.7036025,1110.45999427699,"chippewa",27023,12040,581.184,7
"P29810","CVS PHARMACY #10252","1411 Vermillion St","Hastings","MN",550332844,44.731808,-92.851736,"MN101",44.7314212,-92.866568,1173.7434500286,"dakota",27037,414655,562.545,1
"P29498","WALGREENS #1951","612 4TH ST NW","FARIBAULT","MN",550215035,44.294943,-93.278637,"MN102",44.2928756,-93.2823238,373.175767639879,"rice",27131,65251,495.838,4
"P29281","IVANHOE FAMILY PHARMACY","366 E GEORGE ST STE 1","IVANHOE","MN",56142,44.459105,-96.242619,"MN103",44.459105,-96.242619,0,"lincoln",27081,5724,536.782,9
"P29282","CROSSLAKE DRUG","14311 Gould St.","CROSSLAKE","MN",564420578,46.671182,-94.102183,"MN104",46.671182,-94.102183,0,"crow wing",27035,63505,998.364,4
"P29284","GuidePoint Pharmacy","20 W MAIN ST","CROSBY","MN",564411422,46.482269,-93.951285,"MN105",46.482269,-93.951285,0,"crow wing",27035,63505,998.364,4
"P29295","Trumm Drug Elbow Lake","11 CENTRAL AVE S","Elbow Lake","MN",56531,45.992346,-95.976571,"MN106",45.992346,-95.976571,0,"grant",27051,5923,547.796,9
"P29301","COBORNS PHARMACY 2022","214 12TH AVE","SAUK CENTRE","MN",56378,45.723626,-94.947147,"MN107",45.7235265,-94.9470805,12.222623220114,"stearns",27145,155300,1342.796,3
"P29307","SEIP DRUG","519 DOUGLAS AVE","HENNING","MN",56551,46.321239,-95.444445,"MN108",46.321239,-95.444445,0,"otter tail",27111,57790,1971.856,6
"P29501","WALGREENS #2460","115 GARFIELD ST N","CAMBRIDGE","MN",550081765,45.573233,-93.214643,"MN109",45.5716586,-93.2091954,459.257725955928,"isanti",27059,38584,435.739,1
"P29870","Hy-Vee Pharmacy (1531)","16705 County Road 24","Plymouth","MN",554471287,45.019382,-93.492738,"MN11",45.0162327142857,-93.5059058571428,1093.88232999838,"hennepin",27053,1224763,553.852,1
"P29327","FAIRVIEW NORTHLAND PHARMACY PRINCETON","919 NORTHLAND DRIVE","PRINCETON","MN",55371,45.558202,-93.589655,"MN111",45.5613125,-93.5907525,356.66904816515,"sherburne",27141,92024,432.91,1
"P29670","Fairview Pharmacy Hugo","14712 Victor Hugo Blvd N Ste 10","Hugo","MN",550384561,45.162902,-93.01816,"MN112",45.162902,-93.01816,0,"anoka",27003,344861,421.963,1
"P29336","SEIP DRUG","101 E MAIN ST","FRAZEE","MN",56544,46.726835,-95.699323,"MN113",46.726835,-95.699323,0,"becker",27005,33552,1315.083,6
"P29787","Welia Health Community Pharmacy","1425 Main St N","Pine City","MN",55063,45.848808,-92.969934,"MN114",45.833088,-92.973418,1770.67777587764,"pine",27115,29057,1411.288,6
"P29610","CUB PHARMACY","20250 HERITAGE DR","LAKEVILLE","MN",55044,44.65919,-93.251918,"MN115",44.66497975,-93.25460525,678.724435947858,"dakota",27037,414655,562.545,1
"P29351","LONGBELLA DRUG MOTLEY","1233 HWY 10 S","MOTLEY","MN",564660548,46.328071,-94.648026,"MN116",46.328071,-94.648026,0,"morrison",27097,32880,1125.095,6
"P29354","COBORNS PHARMACY #2002","161 GLEN ST","FOLEY","MN",56329,45.662362,-93.918587,"MN117",45.662362,-93.918587,0,"benton",27009,39360,408.297,3
"P29362","LEWIS FAMILY DRUG #51","202 KNISS AVE S","LUVERNE","MN",56156,43.652531,-96.213505,"MN118",43.652531,-96.213505,0,"rock",27133,9433,482.458,6
"P29872","Hy-Vee Pharmacy (1892)","192 10th Street","Windom","MN",561011559,43.866696,-95.114532,"MN119",43.8645205,-95.1147045,242.57095247417,"cottonwood",27033,11437,639.974,7
"P29051","WATERTOWN PHARMACY","204 LEWIS AVE S SUITE 101","WATERTOWN","MN",55388,44.961737,-93.848654,"MN12",44.961737,-93.848654,0,"carver",27019,98799,354.195,1
"P29679","WALGREENS #13938","135 E Broadway St","Monticello","MN",553628791,45.305995,-93.794571,"MN120",45.3066994,-93.7793878,1191.3182632632,"wright",27171,131130,661.119,1
"P29845","Hy-Vee Pharmacy (1559)","6150 Egan Drive","Savage","MN",553782699,44.748065,-93.357041,"MN121",44.764961,-93.355441,1885.10180536415,"scott",27139,141463,356.25,1
"P29383","Thrifty White Pharmacy","241 W HWY 210","MCGREGOR","MN",55760,46.610064,-93.31482,"MN122",46.610064,-93.31482,0,"aitkin",27001,15841,1821.798,8
"P29396","THRIFTY WHITE PHARMACY #740","105 INTERNATIONAL DRIVE Suite 102","RED LAKE FALLS","MN",567500189,47.875491,-96.272713,"MN123",47.875491,-96.272713,0,"red lake",27125,4017,432.407,8
"P29398","BLUE EARTH DRUG","125 S Grove St Ste 1","BLUE EARTH","MN",56013,43.638007,-94.090258,"MN124",43.638007,-94.090258,0,"faribault",27043,13966,712.478,6
"P29420","Thrifty White Pharmacy #742","3 E Highway 28","MORRIS","MN",562671186,45.59377,-95.917988,"MN125",45.59377,-95.917988,0,"stevens",27149,9759,563.61,7
"P29625","CVS Pharmacy #05311","1314 BABCOCK BLVD","DELANO","MN",55328,45.03706,-93.770522,"MN126",45.037002,-93.7695505,76.6942114839914,"wright",27171,131130,661.119,1
"P29440","GOODRICH PHARMACY ST FRANCIS","23122 ST FRANCIS BLVD","ST FRANCIS","MN",55070,45.388907,-93.3678,"MN127",45.388907,-93.3678,0,"anoka",27003,344861,421.963,1
"P29446","HERMAN CLINIC PHARMACY","204 5TH ST E","HERMAN","MN",562480304,45.809182,-96.141686,"MN128",45.809182,-96.141686,0,"grant",27051,5923,547.796,9
