"ID","Origin","Destination","Drive_Time"
"C729_MN10","C729","MN10",6614.69519822525
"C730_MN10","C730","MN10",762.173573252169
"C731_MN10","C731","MN10",2367.23372328407
"C733_MN10","C733","MN10",1745.76180540392
"C734_MN10","C734","MN10",1402.0190301661
"C735_MN10","C735","MN10",1446.35033899261
"C736_MN10","C736","MN10",1267.74438637545
"C737_MN10","C737","MN10",1721.32503186091
"C738_MN10","C738","MN10",781.243762082844
"C739_MN10","C739","MN10",6745.40000669379
"C740_MN10","C740","MN10",1361.53097336841
"C741_MN10","C741","MN10",3776.04353967816
"C742_MN10","C742","MN10",1603.24696547101
"C743_MN10","C743","MN10",2300.78995249446
"C741_MN100","C741","MN100",6588.64223268807
"C730_MN101","C730","MN101",2608.47809463089
"C731_MN101","C731","MN101",1710.84543368995
"C733_MN101","C733","MN101",1720.13628883968
"C734_MN101","C734","MN101",2037.011844451
"C735_MN101","C735","MN101",1930.48024307962
"C736_MN101","C736","MN101",2119.24294637717
"C737_MN101","C737","MN101",1831.93253516747
"C738_MN101","C738","MN101",2741.99107093199
"C739_MN101","C739","MN101",4043.23492695189
"C740_MN101","C740","MN101",1752.18635877311
"C741_MN101","C741","MN101",6453.49936709928
"C742_MN101","C742","MN101",1500.19025975696
"C743_MN101","C743","MN101",1427.2425445945
"C730_MN102","C730","MN102",4211.20679188348
"C731_MN102","C731","MN102",2870.82356830851
"C733_MN102","C733","MN102",3306.26373925705
"C734_MN102","C734","MN102",3604.37732297077
"C735_MN102","C735","MN102",3618.73801840638
"C736_MN102","C736","MN102",3753.7332065235
"C737_MN102","C737","MN102",3280.336428091
"C738_MN102","C738","MN102",4202.67684258439
"C739_MN102","C739","MN102",3607.77448400437
"C740_MN102","C740","MN102",3750.39478721167
"C742_MN102","C742","MN102",3499.62394547636
"C743_MN102","C743","MN102",3871.94555882668
"C729_MN104","C729","MN104",2227.36111750798
"C732_MN104","C732","MN104",7193.66116078055
"C741_MN104","C741","MN104",5851.46211909637
"C729_MN105","C729","MN105",1668.31292493206
"C732_MN105","C732","MN105",6868.76553860327
"C741_MN105","C741","MN105",5015.48654408379
"C729_MN106","C729","MN106",6858.35693853877
"C741_MN106","C741","MN106",7060.53927897767
"C729_MN107","C729","MN107",4374.0249760488
"C730_MN107","C730","MN107",6567.11332713317
"C734_MN107","C734","MN107",7061.08479365607
"C735_MN107","C735","MN107",7181.61802603252
"C736_MN107","C736","MN107",6999.70567011494
"C738_MN107","C738","MN107",6393.19356588008
"C741_MN107","C741","MN107",3170.88302225153
"C729_MN108","C729","MN108",4748.96775630566
"C741_MN108","C741","MN108",6160.86783448051
"C729_MN109","C729","MN109",5437.25584476965
"C730_MN109","C730","MN109",2574.27375258385
"C731_MN109","C731","MN109",4134.25286757645
"C733_MN109","C733","MN109",3462.47355905825
"C734_MN109","C734","MN109",3157.56973080565
"C735_MN109","C735","MN109",3147.52615241249
"C736_MN109","C736","MN109",3007.98448302918
"C737_MN109","C737","MN109",3481.33208683417
"C738_MN109","C738","MN109",2636.55511817397
"C740_MN109","C740","MN109",2863.75047018176
"C741_MN109","C741","MN109",3772.33695159199
"C742_MN109","C742","MN109",3135.5666495798
"C743_MN109","C743","MN109",3565.91917716054
"C729_MN11","C729","MN11",7069.136637589
"C730_MN11","C730","MN11",970.335378674184
"C731_MN11","C731","MN11",1686.41137253116
"C733_MN11","C733","MN11",1392.29663485384
"C734_MN11","C734","MN11",1116.77828099303
