"ID","Origin","Destination","Drive_Time"
"MN101_MN10","MN101","MN10",3156.06455052413
"MN102_MN10","MN102","MN10",4800.94558098813
"MN105_MN10","MN105","MN10",6954.675046088
"MN107_MN10","MN107","MN10",6363.85733440235
"MN109_MN10","MN109","MN10",2248.05191509652
"MN11_MN10","MN11","MN10",1237.5112412799
"MN111_MN10","MN111","MN10",2296.6519231143
"MN112_MN10","MN112","MN10",1514.17759116174
"MN114_MN10","MN114","MN10",3962.83392160731
"MN115_MN10","MN115","MN10",2956.70955151276
"MN117_MN10","MN117","MN10",3399.39671969337
"MN12_MN10","MN12","MN10",2397.28100936159
"MN120_MN10","MN120","MN10",1970.67199729722
"MN121_MN10","MN121","MN10",2513.21605558636
"MN126_MN10","MN126","MN10",1987.89822819435
"MN127_MN10","MN127","MN10",1318.27442462146
"MN13_MN10","MN13","MN10",1259.65561985715
"MN130_MN10","MN130","MN10",1296.88745252591
"MN14_MN10","MN14","MN10",953.854422824167
"MN140_MN10","MN140","MN10",6849.88330586195
"MN141_MN10","MN141","MN10",6700.2691167475
"MN144_MN10","MN144","MN10",4597.43558967662
"MN145_MN10","MN145","MN10",3190.08223771513
"MN146_MN10","MN146","MN10",2962.86651727825
"MN15_MN10","MN15","MN10",874.367513543935
"MN150_MN10","MN150","MN10",3914.93724820685
"MN153_MN10","MN153","MN10",6006.65159572418
"MN157_MN10","MN157","MN10",3564.85275477447
"MN158_MN10","MN158","MN10",5853.74352481722
"MN159_MN10","MN159","MN10",5259.53856916841
"MN164_MN10","MN164","MN10",4290.50179118622
"MN167_MN10","MN167","MN10",3422.21532644762
"MN168_MN10","MN168","MN10",5005.56476680945
"MN169_MN10","MN169","MN10",5090.71354935411
"MN170_MN10","MN170","MN10",2732.47587248808
"MN173_MN10","MN173","MN10",4112.01608541942
"MN176_MN10","MN176","MN10",4645.62998322406
"MN18_MN10","MN18","MN10",1492.89475498767
"MN182_MN10","MN182","MN10",1895.57127021867
"MN184_MN10","MN184","MN10",3077.99107810069
"MN185_MN10","MN185","MN10",2300.98547352569
"MN187_MN10","MN187","MN10",7165.70599599801
"MN188_MN10","MN188","MN10",6307.47575041479
"MN190_MN10","MN190","MN10",4718.2713028376
"MN198_MN10","MN198","MN10",5054.13627996304
"MN199_MN10","MN199","MN10",7125.28921401361
"MN2_MN10","MN2","MN10",5799.19863118838
"MN20_MN10","MN20","MN10",4480.95670132575
"MN200_MN10","MN200","MN10",3171.48218747107
"MN201_MN10","MN201","MN10",1852.71943780947
"MN202_MN10","MN202","MN10",2981.18756203663
"MN205_MN10","MN205","MN10",6506.43898905566
"MN208_MN10","MN208","MN10",4365.12033843596
"MN210_MN10","MN210","MN10",3260.87912669055
"MN214_MN10","MN214","MN10",6369.8351888986
"MN215_MN10","MN215","MN10",5761.73508317471
"MN216_MN10","MN216","MN10",6784.909639
"MN221_MN10","MN221","MN10",5378.15160023243
"MN226_MN10","MN226","MN10",6427.447388518
"MN23_MN10","MN23","MN10",1636.00682301926
"MN24_MN10","MN24","MN10",6249.12753355462
"MN3_MN10","MN3","MN10",1595.74403072792
"MN41_MN10","MN41","MN10",5572.51163170365
"MN42_MN10","MN42","MN10",4498.53468730153
"MN43_MN10","MN43","MN10",3239.01941725864
"MN44_MN10","MN44","MN10",4070.12164690587
"MN45_MN10","MN45","MN10",3823.0995984152
"MN47_MN10","MN47","MN10",4091.33007234514
"MN49_MN10","MN49","MN10",5122.15806500977
"MN55_MN10","MN55","MN10",5034.33644696834
"MN56_MN10","MN56","MN10",2623.75625912707
"MN58_MN10","MN58","MN10",6194.48525968322
"MN59_MN10","MN59","MN10",5812.98391839459
"MN6_MN10","MN6","MN10",1765.02893116829
"MN61_MN10","MN61","MN10",2154.21001799878
"MN62_MN10","MN62","MN10",5590.91192586328
"MN63_MN10","MN63","MN10",4107.07097749025
"MN64_MN10","MN64","MN10",5894.66153090498
"MN65_MN10","MN65","MN10",2620.12720945734
"MN67_MN10","MN67","MN10",3037.07465516781
"MN71_MN10","MN71","MN10",2290.18112090473
